	Cux2_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	Rbp4_tdTpositive_cell_174	Rbp4_tdTnegative_cell_22	Sst_tdTpositive_cell_106	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nmnat2	0.2	15.41	0.0	38.66	0.39	2.29	67.76	9.66	187.59	6.28	3.16	7.06	0.0	328.67	83.8	85.87
Nsf	0.12	41.23	0.04	10.12	0.23	2.77	251.77	82.68	270.08	170.39	330.95	56.02	0.16	660.83	644.67	625.39
Paqr4	0.0	0.0	0.0	0.0	38.03	0.0	11.05	27.21	18.37	0.0	18.39	2.49	0.0	75.08	56.39	58.59
Pgm2	0.0	7.93	0.0	0.0	1.15	28.92	67.27	4.55	5.12	3.62	0.22	0.51	0.0	145.42	63.19	59.45
Phtf1	0.0	0.2	0.0	3.15	0.0	26.91	0.49	0.12	0.0	1.05	7.2	0.0	0.0	155.7	36.2	36.1
Pmpcb	0.0	0.0	0.1	32.37	0.0	0.67	159.73	129.95	44.65	25.62	0.16	0.76	92.13	314.37	53.29	51.43
Prkacb	0.0	12.13	0.04	17.18	0.21	1.99	207.46	102.16	283.84	118.58	212.11	2.3	0.0	344.73	379.07	378.45
Prmt8	0.0	0.0	0.0	1.17	0.0	1.31	15.65	0.0	34.46	0.19	5.14	0.99	0.0	127.36	88.89	85.48
Psmc1	0.0	389.49	0.32	246.09	189.83	8.61	186.3	326.17	296.77	338.73	5.08	30.88	0.0	990.26	187.8	176.79
Psmd13	4.2	0.0	0.1	0.0	0.0	31.44	107.5	0.0	119.26	2.66	0.0	0.0	0.0	287.05	102.87	98.96
Psmd4	0.0	97.68	0.0	112.4	0.0	1.72	95.28	1.16	89.77	20.7	422.75	86.96	0.0	115.62	138.13	125.81
Ptpn5	0.0	74.16	1.08	1.23	0.0	1.73	0.94	14.32	42.53	64.6	0.25	7.08	0.0	78.15	176.6	181.66
Pus10	0.0	85.35	0.0	1.01	0.0	0.33	0.15	0.11	4.64	0.14	2.34	6.36	0.19	116.17	9.58	10.79
Rab10	0.13	0.16	0.04	51.28	0.0	0.0	21.21	48.58	35.12	2.39	0.0	107.38	0.0	66.87	123.8	124.07
Rnft2	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	6.65	0.1	31.57	6.81	0.0	50.37	59.35	61.39
Rnps1	0.0	16.18	0.0	2.15	0.0	3.95	159.35	1.11	136.53	56.36	23.84	53.81	0.0	164.05	146.1	143.89
Slc25a25	0.0	0.0	0.0	0.0	0.0	0.32	8.9	0.0	71.56	0.0	19.53	0.0	0.0	76.47	46.66	37.47
Slc35b4	0.0	53.01	0.0	0.0	0.0	0.85	14.49	0.0	12.81	0.18	0.0	0.0	0.0	123.11	43.34	45.82
Snhg8	0.0	25.55	0.21	0.0	0.0	0.0	10.89	11.86	67.87	44.7	27.63	0.0	0.0	40.59	17.03	16.05
Snord116	0.0	15.31	0.0	0.0	0.0	8.64	0.0	0.0	3.67	8.22	22.82	0.0	0.0	6.17	1.15	1.9
Snord116l1	0.0	15.31	0.0	0.0	0.0	8.64	0.0	0.0	3.67	8.22	22.82	0.0	0.0	6.17	1.15	1.9
Snord116l2	0.0	15.31	0.0	0.0	0.0	8.64	0.0	0.0	3.67	8.22	22.82	0.0	0.0	6.17	1.15	1.9
Snrnp48	0.0	3.58	0.0	14.33	0.0	0.0	6.47	1.0	12.53	43.36	2.76	7.41	0.0	59.3	13.92	13.13
Spock1	0.0	27.06	0.0	3.37	0.0	0.89	66.12	48.33	68.27	52.06	56.63	46.32	0.0	96.44	145.55	144.61
Srp54c	362.79	376.29	0.0	0.0	0.0	3.43	79.43	8.69	85.71	13.16	212.67	0.0	0.0	218.79	90.59	92.05
Srp68	0.0	57.58	0.0	0.0	0.0	1.25	13.8	0.0	40.85	137.38	0.92	0.47	0.0	109.06	62.8	60.84
Stt3a	40.33	186.77	0.0	0.0	0.66	1.17	28.11	149.03	0.0	175.16	52.81	0.0	0.0	137.32	28.8	28.97
Sugt1	0.0	62.54	23.31	69.77	0.0	1.63	157.68	125.65	134.72	2.82	9.7	4.31	0.0	345.18	69.96	72.91
Thoc6	0.0	0.0	0.0	0.0	0.0	0.75	38.21	0.0	11.81	18.0	165.28	0.0	0.0	142.26	7.09	6.65
Tmem127	0.0	3.12	0.0	22.12	178.79	0.47	10.96	0.0	53.57	0.62	9.56	0.0	0.0	173.88	74.31	73.22
Trak1	0.0	0.0	0.0	1.66	0.72	46.7	10.64	2.79	29.27	1.15	11.87	5.56	0.61	60.37	90.67	87.04
Tspyl4	0.0	34.02	0.16	19.36	0.23	1.07	131.91	146.3	112.31	49.98	96.12	0.61	0.0	657.57	408.0	381.62
Tti1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.33	0.0	0.0	0.0	0.0	71.69	15.61	15.15
Ubr4	4.95	0.86	1.16	4.47	0.0	0.2	4.55	1.25	19.85	11.36	0.05	1.48	0.0	17.81	42.73	49.32
Usp48	0.16	11.21	0.03	5.44	0.31	0.9	1.26	24.96	32.47	66.43	15.13	0.0	76.99	82.8	53.57	52.55
Vps35	0.0	135.97	0.1	0.07	0.0	141.18	68.23	116.87	106.53	53.77	0.89	4.5	40.5	575.5	148.65	144.59
Vstm2b	0.0	1.21	0.0	0.0	0.0	0.74	38.71	24.71	20.69	106.65	115.9	0.0	0.0	97.08	55.1	58.87
Vta1	0.0	0.0	0.0	164.05	0.0	8.93	2.21	232.21	91.58	0.88	226.79	7.37	0.0	353.26	57.79	60.15
Wbp2	0.0	5.84	0.0	9.76	4.51	10.07	158.12	92.61	197.9	198.26	269.44	6.04	0.0	473.55	406.35	394.59
Yaf2	0.0	0.26	0.21	43.88	0.0	0.0	0.0	29.32	131.14	0.2	194.93	1.03	0.0	148.94	112.81	112.42
Zfp2	0.15	4.1	0.0	0.0	0.0	0.0	47.03	0.0	8.62	0.15	0.08	0.0	0.0	56.26	18.71	16.26
Zfp260	0.0	5.4	0.0	0.28	0.24	1.97	57.41	0.0	2.64	0.12	148.23	0.64	0.0	647.75	40.08	37.78
mt_AK131579	55662.18	73067.83	55281.42	94403.3	41195.59	50469.69	60705.47	56120.42	46620.23	59803.41	51796.42	50260.41	29300.66	18771.35	20196.08	21406.08
mt_AK166684	0.0	0.0	0.0	19.39	0.0	0.0	0.0	0.0	0.0	3.78	0.0	0.0	0.0	26.94	17507.83	18655.33
