	Calb2_tdTpositive_cell_9	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_93	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_28	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_183	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36
Auts2	0.05	37.33	40.27	14.5	0.0	0.0	0.0	0.05	31.16	0.0	0.0	2.53	20.15	9.04	23.53	3.18	1.58	4.13	5.26	1.74	3.3	3.51	2.61	0.0	16.8	0.0	0.0	0.0	0.0	18.45
Bcr	6.79	0.0	90.05	13.69	32.6	0.0	23.8	13.53	0.0	0.0	0.0	77.59	0.64	1.82	0.05	9.27	5.35	6.73	9.6	3.12	0.97	10.42	2.39	0.0	0.04	31.32	0.0	0.07	23.0	21.37
C130022K22Rik	0.0	0.0	347.54	49.15	0.0	0.19	0.0	4.32	70.33	0.0	58.86	0.23	42.66	15.06	9.74	16.57	37.95	54.67	20.91	32.9	20.34	35.4	47.79	90.44	0.0	14.96	0.0	0.0	170.64	0.0
Cacna1g	0.0	0.0	35.91	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.2	0.35	0.04	0.07	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	1.35	0.0	0.22
Calm2	20249.89	17688.69	9150.83	19628.74	24749.41	13802.61	16961.32	21064.56	19971.06	20654.99	19749.13	19103.2	18653.08	18187.15	19736.86	15475.49	15887.21	17363.25	16198.04	15858.62	15343.8	18644.66	18004.95	22860.58	23322.9	25106.81	19256.69	21777.08	23557.63	19735.95
Ccdc85b	0.77	0.55	45.49	0.47	1.14	0.24	8.17	2.54	0.0	17.43	0.25	0.52	0.58	3.49	0.73	5.11	0.48	1.29	5.78	4.06	1.12	4.65	4.49	0.57	0.28	0.0	2.35	0.0	0.14	1.57
Chd9	0.13	0.93	65.38	12.06	5.2	0.14	0.0	2.97	0.0	0.02	4.27	0.56	7.88	15.78	7.75	17.61	14.83	8.33	10.99	10.26	14.31	10.05	8.76	21.64	6.88	0.04	21.85	5.93	3.09	9.66
Chic1	5.94	22.24	106.36	1.37	0.27	0.46	0.9	76.41	21.7	0.73	3.75	1.14	17.38	12.93	1.53	9.18	15.16	20.82	23.39	17.59	17.45	6.14	31.53	2.9	1.06	1.04	15.44	0.17	6.29	10.75
Col6a1	0.0	0.0	174.98	0.0	0.0	0.0	0.0	0.51	0.0	75.4	29.08	0.0	0.0	17.4	1.12	15.6	12.52	0.07	8.69	14.12	4.99	16.64	12.89	0.0	27.12	0.0	37.21	14.04	89.83	0.0
Cpt1c	39.49	0.0	340.53	235.73	0.0	0.12	0.25	0.0	5.28	0.0	85.23	126.18	28.03	50.11	69.91	58.41	66.59	59.24	105.92	50.19	79.56	90.36	69.16	0.2	10.62	0.47	0.44	45.61	0.0	46.82
Dbpht2	334.04	0.0	948.18	127.74	42.28	0.35	157.34	36.66	55.27	85.33	100.46	79.42	78.64	445.95	160.51	162.71	149.66	181.33	123.69	232.79	280.94	139.77	353.65	57.09	71.4	51.65	7.29	49.29	491.32	489.18
Ddx47	0.0	0.0	795.24	144.81	0.0	0.39	111.17	0.39	0.0	208.34	60.51	167.22	70.89	118.95	1.72	134.04	111.75	79.53	194.34	161.67	114.02	180.66	118.99	0.0	114.55	613.32	12.74	13.92	0.0	87.25
Dusp11	0.06	0.0	77.55	11.25	0.0	0.0	0.53	46.48	0.0	0.0	1.46	0.18	5.65	20.95	10.54	8.66	9.24	10.86	5.34	12.28	14.66	7.61	9.52	0.04	1.87	4.05	0.0	0.0	8.34	0.0
Eef2k	0.29	0.0	0.46	0.92	0.27	0.06	0.38	0.24	0.04	0.34	0.4	0.17	0.55	3.62	26.23	0.67	2.59	6.06	7.19	3.47	4.88	5.89	6.48	0.18	0.12	0.35	0.2	0.12	0.71	6.5
Eif3a	23.77	2.41	186.04	199.94	52.59	0.06	26.65	0.0	0.0	21.7	56.16	49.71	93.42	41.11	126.2	79.34	67.36	56.63	66.76	83.0	112.05	44.73	82.78	122.99	0.11	23.99	50.59	84.08	157.41	92.66
Ephx2	0.0	0.0	409.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.92	7.31	0.0	0.0	11.52	7.83	5.2	12.22	19.56	7.83	8.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fam177a	17.93	31.64	14.54	38.16	12.26	4.54	0.56	1.53	2.82	1.38	30.82	5.09	5.76	16.78	23.68	30.05	10.32	6.5	14.42	11.21	10.72	11.25	13.41	43.09	1.8	56.74	0.96	8.04	2.23	32.53
Git2	0.23	0.0	57.49	0.42	0.07	0.06	0.07	33.6	0.0	0.07	0.14	2.24	0.6	3.16	0.48	4.82	8.81	15.62	16.27	4.87	18.76	12.16	8.66	0.0	0.58	0.0	0.16	0.0	0.43	0.45
Gm14430	0.03	0.15	0.0	2.43	0.16	0.0	0.1	8.97	0.0	0.0	0.04	1.35	0.0	6.69	1.36	11.7	6.07	1.76	6.89	5.17	4.81	3.28	4.14	2.35	0.0	0.0	0.0	0.0	0.86	0.69
Gm14434	0.03	0.15	0.0	2.43	0.16	0.0	0.1	8.97	0.0	0.0	0.04	1.35	0.0	6.69	1.36	11.7	6.07	1.76	6.89	5.17	4.81	3.28	4.14	2.35	0.0	0.0	0.0	0.0	0.86	0.69
Gm4724	0.03	0.15	0.0	2.43	0.16	0.0	0.1	8.97	0.0	0.0	0.04	1.35	0.0	6.69	1.36	11.7	6.07	1.76	6.89	5.17	4.81	3.28	4.14	2.35	0.0	0.0	0.0	0.0	0.86	0.69
Kit	0.0	0.0	134.6	0.0	0.0	0.0	0.0	0.07	0.0	0.0	15.27	0.0	0.0	19.85	0.4	10.31	1.17	7.66	1.67	3.41	0.47	2.61	6.27	2.56	0.0	0.0	0.0	53.29	38.88	0.0
Lrrc55	0.0	0.0	116.39	28.15	0.0	0.0	0.0	2.11	0.0	0.0	0.0	0.0	9.47	0.09	0.05	8.92	11.1	17.73	1.55	3.56	30.26	11.09	29.28	0.0	0.0	0.48	59.49	23.65	0.0	0.0
Med24	35.83	366.82	220.56	102.39	154.44	0.0	9.01	0.0	0.08	26.85	0.1	38.07	40.54	17.47	35.82	28.25	44.94	43.15	22.35	33.76	47.93	15.41	30.05	0.0	0.0	76.09	1.42	0.0	2.36	10.39
Mis12	0.0	0.0	78.37	7.07	0.0	0.0	0.0	113.34	0.0	0.0	1.54	0.07	0.0	14.88	38.12	19.63	18.63	48.84	18.65	39.82	13.29	28.57	26.1	0.0	0.0	0.0	0.0	0.0	132.31	0.0
Mrpl17	0.0	61.51	160.12	22.13	0.0	0.05	1.07	18.79	18.83	21.52	27.67	8.96	14.94	21.64	17.08	10.07	10.21	21.24	15.48	20.81	18.3	26.68	21.5	28.53	0.0	13.08	0.0	8.37	3.86	22.54
Mrpl9	8.14	365.42	352.93	78.85	2.34	3.3	1.05	2.2	1.33	3.94	5.72	9.48	10.54	43.14	21.77	39.98	13.0	8.74	38.92	44.77	50.0	46.44	26.38	4.62	75.67	2.12	3.89	2.71	23.95	9.73
Nap1l2	369.3	0.0	891.82	248.83	234.89	187.62	86.99	311.62	75.75	1.9	163.18	7.47	153.64	117.46	145.81	179.72	235.84	245.23	245.03	172.27	199.4	167.17	212.94	74.93	115.14	81.84	151.95	104.9	163.59	351.34
Nr1h2	0.0	0.0	209.76	0.0	0.0	0.0	25.29	0.0	0.0	9.78	0.0	5.31	40.66	1.73	0.0	11.31	16.0	3.4	5.24	2.65	19.79	9.04	5.06	0.0	0.0	0.0	0.0	0.0	0.0	0.16
Nsmce4a	0.0	0.0	286.11	0.0	139.83	0.24	0.0	0.0	0.0	47.75	0.0	0.0	13.52	2.39	62.95	1.01	15.78	21.26	10.02	27.13	10.71	6.18	14.64	142.46	0.0	0.0	0.0	0.0	0.0	0.0
Otub1	864.46	361.11	1300.3	902.82	1177.91	808.06	1070.17	1015.01	932.5	411.98	977.23	883.19	855.23	1170.97	800.42	1102.54	1133.23	957.57	1087.4	1095.02	1041.92	1014.08	1707.25	675.73	740.63	549.14	674.13	435.16	1383.98	679.81
Parl	36.7	0.0	332.72	47.13	1.53	0.0	110.33	314.81	0.0	51.83	0.0	23.2	64.21	62.92	179.75	73.7	40.49	82.64	17.2	127.35	54.88	42.56	9.48	0.0	0.0	0.0	0.0	134.09	0.0	8.95
Pnn	51.65	39.35	453.94	58.31	61.69	0.1	12.83	50.92	0.0	0.0	128.75	96.51	120.59	69.18	95.31	101.76	108.56	95.79	79.78	78.36	80.74	77.74	65.23	16.15	49.0	58.36	114.37	52.91	76.76	74.39
Ptprr	0.15	0.0	246.38	51.31	0.0	0.0	0.0	93.74	0.0	98.63	0.14	52.21	16.77	10.79	0.78	1.43	0.0	6.69	20.73	5.36	19.14	14.28	11.14	0.0	0.0	1.23	0.0	0.0	128.79	0.0
Rab1b	0.0	0.0	217.62	55.29	0.0	0.0	29.4	0.19	0.0	0.0	22.46	0.44	21.22	13.54	11.29	20.14	30.17	34.37	76.84	32.4	23.25	50.41	15.94	20.52	23.82	0.0	0.0	0.52	0.0	53.94
Sept3	1.27	0.21	256.77	43.47	33.28	62.3	74.12	119.53	11.02	8.79	71.02	57.9	87.15	35.96	28.6	72.19	54.89	127.99	117.75	111.96	106.67	137.83	101.63	27.19	79.24	1.39	72.26	39.67	82.27	26.05
Slc25a37	1.94	0.0	113.76	0.91	0.0	0.0	0.0	0.97	0.0	0.0	0.75	0.05	0.1	8.21	71.63	0.09	9.05	3.02	10.8	12.52	1.65	4.34	4.84	0.0	0.0	0.0	0.0	0.0	0.0	2.26
Slc6a15	0.0	0.0	226.61	8.56	0.0	0.0	0.0	0.09	0.0	0.0	0.99	9.02	20.67	29.13	6.68	35.97	21.14	20.08	62.07	27.68	26.1	24.23	47.45	0.08	0.0	0.0	66.27	0.07	0.0	105.79
Smcr7l	61.12	0.0	231.23	25.76	0.0	0.07	0.67	231.65	18.8	7.46	0.0	1.35	28.75	24.0	0.06	73.23	30.25	26.81	55.54	42.16	59.48	23.69	76.24	0.0	0.28	4.11	26.51	12.01	115.24	0.12
Spry4	38.13	0.0	177.64	72.89	0.07	0.0	59.37	0.0	6.14	0.0	0.0	0.0	8.87	3.52	0.03	21.48	27.98	31.78	18.88	20.51	11.03	8.32	17.59	0.0	24.06	0.0	0.0	18.41	107.04	0.0
Strbp	69.72	6.98	213.47	97.41	74.74	39.98	65.06	165.55	11.39	13.36	126.81	140.67	111.62	164.02	136.73	176.19	131.7	107.1	185.45	197.64	165.08	84.11	289.37	85.32	45.25	12.74	37.79	49.56	184.69	265.48
Syt16	0.0	13.7	447.78	47.06	11.07	0.0	0.0	262.82	4.17	5.21	10.17	132.15	23.94	43.08	5.31	56.44	47.39	33.92	57.23	56.12	57.41	45.24	44.13	8.2	0.21	128.75	13.94	27.35	0.0	0.11
Tcea2	17.47	177.97	184.45	177.58	0.0	0.0	132.62	0.3	0.0	0.0	0.0	8.43	0.75	43.08	94.58	19.51	6.66	0.0	20.47	17.04	4.81	2.98	11.63	0.0	0.0	8.58	0.0	0.0	0.0	4.04
Tmem111	0.0	7.71	305.56	0.0	221.14	0.17	229.81	125.96	0.0	0.0	32.42	152.81	2.4	58.41	92.18	160.95	166.36	121.62	100.77	193.34	145.11	88.69	102.24	51.42	0.0	0.0	88.66	5.07	2.38	120.63
Tmtc4	0.0	0.0	128.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.93	0.04	6.88	0.0	5.79	3.0	8.85	6.96	0.12	6.05	0.0	0.0	0.0	0.0	0.0	0.0	0.54
Tnks2	0.0	0.0	166.83	26.19	31.38	77.01	0.0	38.92	38.47	2.11	3.91	97.96	11.55	38.34	20.83	16.93	25.25	13.19	19.65	20.37	16.21	10.3	35.5	17.46	0.04	0.47	0.0	0.0	8.46	30.31
Tpp1	0.0	0.0	230.21	0.0	0.0	0.1	0.0	16.12	0.0	0.07	0.1	0.45	0.48	21.67	1.54	34.88	40.89	60.44	47.93	54.75	74.88	90.7	57.47	0.08	0.08	0.0	0.0	0.0	0.11	2.43
Trip4	1.41	0.55	74.61	30.16	0.46	0.72	1.46	12.51	1.2	1.26	8.25	52.3	9.09	12.09	34.76	3.54	6.17	2.46	5.12	19.65	7.59	5.1	11.15	5.71	0.85	3.72	0.51	0.39	0.29	2.98
Tubgcp5	46.04	0.0	184.91	5.28	0.0	0.09	21.88	1.47	0.07	0.13	98.85	0.32	25.96	30.53	14.97	29.88	13.05	10.33	21.8	22.09	22.87	14.95	41.5	0.0	52.86	0.0	15.44	0.78	38.21	1.81
Usp1	0.0	0.0	30.12	70.27	0.0	0.0	0.0	27.74	0.0	0.62	14.52	0.0	3.31	8.88	0.38	23.17	4.39	0.64	4.69	0.88	5.16	13.17	8.32	0.48	0.0	0.0	0.0	0.0	0.22	54.8
Usp16	86.38	0.0	115.62	201.99	16.85	0.0	0.0	91.28	0.0	104.96	0.0	0.2	43.47	5.02	0.62	17.68	31.42	20.86	22.9	18.69	11.2	27.39	21.03	15.95	0.4	0.0	0.0	0.0	3.42	0.1
Zfp260	15.6	0.0	233.13	112.01	0.0	0.0	97.11	443.42	23.83	86.71	27.76	42.96	0.57	51.76	100.68	95.36	57.62	72.81	117.89	69.06	84.08	24.43	115.9	74.86	1.29	4.24	97.62	88.15	299.99	179.23
Zkscan14	0.0	0.0	396.02	0.0	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.2	0.0	3.37	0.15	19.52	30.62	9.51	16.34	11.1	16.08	24.42	17.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK136262	0.0	0.0	0.06	0.0	75.42	0.09	0.01	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.77	9.86	261.93	210.2	12.15	50.19	19.33	8.22	1.14	52.84	4.5	2.02	0.0	240.38	2.48
mt_AK142003	0.0	0.0	0.06	0.0	75.42	0.09	0.01	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.77	9.86	261.93	210.2	12.15	50.19	19.33	8.22	1.14	52.84	4.5	2.02	0.0	240.38	2.48
mt_AK166798	0.0	0.0	0.06	0.0	75.42	0.09	0.01	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.77	9.86	261.93	210.2	12.15	50.19	19.33	8.22	1.14	52.84	4.5	2.02	0.0	240.38	2.48
mt_AK166978	0.0	0.0	0.06	0.0	75.42	0.09	0.01	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.77	9.86	261.93	210.2	12.15	50.19	19.33	8.22	1.14	52.84	4.5	2.02	0.0	240.38	2.48
