	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_10	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Coq3	0.0	0.0	0.0	0.0	30.01	66.16	43.16	31.64	3.11	42.71	140.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.9	17.26	17.01
Cybb	0.0	0.0	0.0	0.0	0.0	0.49	0.22	0.16	0.17	0.15	0.2	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.07	0.5	0.56
Dbp	0.0	0.0	0.0	0.0	5.71	32.68	2.93	8.4	8.33	0.0	2.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44	154.83	108.82
Dgcr14	0.0	0.0	0.0	0.0	43.59	0.0	0.0	5.5	0.0	0.0	0.25	0.12	0.0	0.0	0.0	0.23	0.0	0.0	0.0	23.52	22.67
Dhdh	0.38	8.25	0.0	1.08	1.78	4.12	5.58	1.49	2.53	1.16	0.88	2.98	7.56	1.1	0.59	0.0	102.6	0.5	26.2	9.3	9.67
Dnm1	0.0	0.0	0.0	11.22	65.89	75.92	46.15	36.26	33.46	69.02	64.19	0.0	0.19	0.2	0.0	0.0	0.0	0.12	33.52	840.55	821.55
Eif2a	0.0	0.0	0.0	0.0	53.72	85.72	49.35	111.04	44.63	65.42	103.43	0.06	154.84	0.0	0.0	0.0	0.0	0.0	121.37	41.48	39.47
Ephx2	0.0	0.0	0.0	0.0	0.0	97.13	47.53	7.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.05	22.49	22.78
Etfa	0.7	1459.19	0.0	26.14	68.56	99.19	45.11	104.31	5.64	0.0	56.49	0.45	0.51	0.0	0.0	0.0	0.0	0.0	98.84	44.4	45.42
Fam184b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.85	7.45
Glt8d2	0.0	0.0	0.0	352.22	37.55	27.26	49.05	40.16	0.38	0.0	156.03	0.07	0.51	0.36	0.0	0.0	0.0	0.0	0.15	17.1	18.26
Gm13306	0.0	0.0	0.0	10.7	54.72	30.68	0.23	40.26	114.35	145.03	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	28.29	22.96
Gm13547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	1.37
Gm14430	0.0	0.0	0.03	1.33	4.76	8.15	0.0	6.69	0.0	12.82	0.0	0.04	0.0	0.0	0.0	0.28	0.0	0.0	13.33	5.07	7.49
Gm14431	0.0	0.34	0.23	0.0	8.71	14.04	1.15	1.74	0.35	0.77	17.97	0.09	0.44	0.0	0.0	3.0	21.86	0.0	0.04	7.17	8.34
Gm14434	0.0	0.0	0.03	1.33	4.76	8.15	0.0	6.69	0.0	12.82	0.0	0.04	0.0	0.0	0.0	0.28	0.0	0.0	13.33	5.07	7.49
Gm2506	0.0	0.0	0.0	10.7	54.72	30.68	0.23	40.26	114.35	145.03	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	28.29	22.96
Gm4724	0.0	0.0	0.03	1.33	4.76	8.15	0.0	6.69	0.0	12.82	0.0	0.04	0.0	0.0	0.0	0.28	0.0	0.0	13.33	5.07	7.49
Gm8898	0.0	0.34	0.23	0.0	8.71	14.04	1.15	1.74	0.35	0.77	17.97	0.09	0.44	0.0	0.0	3.0	21.86	0.0	0.04	7.17	8.34
Gnaq	0.0	0.0	0.0	3.19	52.54	51.43	16.26	41.11	12.43	15.91	34.13	1.11	29.65	0.27	0.0	1.48	0.0	0.25	41.41	91.77	106.51
Hcn1	0.0	0.0	0.0	10.66	19.18	52.64	25.67	38.48	25.59	15.12	4.22	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.2	25.28	29.23
Hif1an	0.0	0.0	0.0	0.21	0.0	0.0	0.0	4.67	0.0	9.35	10.26	0.0	0.99	0.0	0.0	0.0	0.0	0.0	0.0	25.97	25.72
Hpcal4	0.0	0.0	0.0	3.31	41.17	26.88	30.88	46.3	6.4	20.2	23.08	0.07	0.0	0.0	0.0	0.0	0.13	0.0	7.26	589.7	600.85
Hsd17b4	0.0	0.0	0.0	0.97	63.03	36.88	0.26	16.98	0.0	88.01	0.0	0.0	0.27	0.0	0.0	0.24	0.0	0.0	51.35	51.35	47.9
Hspa12a	0.0	0.0	0.0	0.22	40.16	50.39	59.8	15.07	86.14	0.25	10.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.09	114.32	124.73
Kcns3	0.0	0.0	0.0	0.0	0.0	33.75	1.21	5.23	0.0	0.0	35.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.29	6.45
Ldoc1l	0.0	0.0	0.0	0.0	4.09	0.0	0.31	1.69	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.14	0.0	0.0	0.0	45.1	45.4
Lrfn2	0.0	0.0	0.0	0.0	2.47	0.0	4.04	2.76	4.59	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.55	16.41
Magi1	0.0	0.0	0.0	0.0	29.09	54.2	59.34	72.32	54.86	79.05	67.7	74.59	0.0	20.81	0.0	0.0	0.0	0.0	48.58	50.18	51.81
Mansc1	0.0	0.0	0.27	0.0	36.49	40.53	0.0	15.41	0.0	65.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.2	12.79	12.46
Mapk1	0.0	0.0	0.0	16.86	212.94	97.82	90.17	136.79	28.1	53.06	131.44	0.06	16.46	0.0	13.02	0.0	0.0	0.0	20.22	366.39	352.91
Med13l	0.0	35.2	0.0	12.36	59.12	5.99	29.54	15.68	22.78	4.58	29.09	29.95	0.23	0.0	2.12	0.0	66.05	0.0	9.06	32.78	36.67
Mir690	18673.1	26828.41	19376.41	30464.78	30528.33	39867.27	42000.18	11744.41	37370.15	37614.4	32522.04	27509.93	44948.68	42282.55	27759.51	24726.6	35532.88	23237.11	48007.3	1.29	0.95
Mpped1	0.0	0.0	0.0	2.38	34.43	47.41	112.68	41.7	41.61	4.05	7.36	0.2	0.22	0.0	0.0	0.0	0.0	0.0	7.42	168.42	172.83
Mrps9	0.0	0.0	0.0	0.93	34.92	105.2	68.75	104.22	12.82	11.52	85.11	0.0	98.63	0.56	54.28	0.46	0.0	0.0	0.0	44.17	36.5
Msl2	0.0	0.0	0.0	0.0	39.47	0.0	0.0	10.94	0.0	3.6	10.88	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.23	29.12
Ndufa1	0.0	0.0	0.0	635.73	919.72	1330.95	1294.55	1194.89	1236.86	1399.95	1378.25	0.72	1.63	0.0	0.0	0.0	0.0	0.0	676.43	126.88	125.82
Ndufa11	0.95	0.0	128.48	182.19	286.69	468.33	306.58	248.81	222.62	258.86	169.72	0.24	0.27	0.0	77.19	0.97	0.0	0.0	287.83	37.82	36.8
Nsd1	0.04	0.0	8.85	158.56	50.01	38.25	53.33	26.48	43.38	43.06	19.92	0.17	183.82	102.9	0.0	0.1	28.51	0.04	85.49	32.27	36.03
Numbl	17.79	0.0	0.0	1.42	5.5	6.78	3.55	8.82	7.42	3.57	6.07	0.0	14.7	0.0	0.0	0.0	0.0	0.0	8.87	93.6	88.07
Pcdhac2	0.0	0.0	0.0	0.0	0.0	0.79	28.75	3.65	0.0	0.0	1.26	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.32	44.47
Pik3cb	0.1	0.0	0.0	0.0	3.04	0.48	3.97	0.69	2.65	0.0	7.39	2.63	0.0	6.51	0.0	0.0	22.52	0.0	0.0	20.25	19.65
Prickle2	0.0	0.0	0.0	0.33	16.32	24.05	45.08	26.76	62.79	15.1	25.19	0.04	0.35	0.0	0.0	0.08	0.0	0.0	50.74	84.5	85.69
Prkcz	0.0	0.0	0.0	0.63	24.1	41.82	24.73	29.22	2.36	0.0	19.14	0.0	0.18	0.19	0.0	0.0	0.0	0.0	15.79	178.52	171.75
Qrfpr	0.0	0.0	0.0	0.0	172.13	413.67	159.79	152.19	78.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.63	4.73
Rad9b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.34	0.0	2.23	0.0	0.0	0.47	0.0	0.0	0.82	0.0	0.0	2.54	3.96	3.75
Rangap1	0.81	0.11	0.44	29.76	91.21	75.33	63.71	68.12	59.67	27.99	18.84	1.05	4.18	2.75	0.56	1.85	2.36	0.73	117.99	193.72	182.24
Rap2b	0.0	0.0	0.0	43.81	63.94	103.53	61.25	106.56	35.16	69.55	90.84	0.14	106.64	0.18	46.88	0.0	175.8	0.0	71.27	41.06	42.79
Repin1	0.0	0.0	0.0	26.24	2.05	15.73	10.18	28.41	9.86	50.65	32.67	0.11	0.0	102.06	0.48	0.0	0.0	0.0	87.72	32.22	32.44
Reps2	0.0	0.0	0.0	0.5	64.49	41.06	3.19	33.62	57.23	47.68	15.33	0.05	0.39	0.32	0.19	0.1	0.21	0.0	40.79	77.05	87.88
Rnf14	0.0	0.0	0.0	187.95	494.46	352.68	428.9	220.29	28.22	5.06	127.79	0.45	59.37	509.33	0.0	0.45	0.21	0.0	410.16	291.02	279.63
Samd12	0.0	0.0	0.0	1.45	166.69	73.5	0.0	0.29	0.0	4.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.12	15.13	17.59
Samd3	0.0	0.0	0.0	0.0	0.0	51.73	31.2	13.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.02	2.26
Sdr39u1	0.0	0.0	0.0	4.34	225.41	136.25	101.25	137.82	196.88	83.93	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	250.47	88.42	84.35
Serf1	0.0	0.0	0.0	0.0	66.25	0.0	1.5	126.68	152.08	103.74	167.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	230.3	22.76	29.85
Sez6l	0.0	0.0	0.0	0.22	36.73	30.3	36.22	20.85	36.38	3.87	10.63	0.0	0.49	0.0	0.0	0.0	0.0	0.0	42.29	101.75	107.49
Spin4	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.61
Syt11	5.35	7.79	3.92	217.2	717.9	584.09	417.72	201.41	122.02	277.99	101.87	6.49	581.11	850.61	515.0	9.37	6.22	7.21	472.1	501.63	484.45
Syt7	0.0	0.0	0.0	2.25	48.59	9.98	2.25	20.23	9.1	9.25	9.14	0.22	0.29	0.98	0.0	0.0	0.09	0.09	29.02	129.89	141.23
Tfb2m	0.0	0.0	0.13	0.51	57.66	0.0	68.0	7.44	36.87	0.0	19.89	0.0	0.0	2.0	0.0	1.85	0.24	0.0	0.0	28.17	25.53
Tmod2	0.24	0.13	0.0	0.9	116.79	63.11	37.6	29.17	26.26	22.52	33.09	0.57	0.6	0.56	0.14	0.46	0.36	0.47	25.86	135.01	149.73
Tspan13	1.6	0.0	0.34	16.24	369.3	562.95	283.93	284.18	76.87	111.11	135.35	1.48	2.08	9.53	5.26	343.27	11.31	159.34	390.73	236.24	228.37
Ttc7b	0.0	0.0	0.0	1.87	34.19	25.86	5.52	24.27	29.0	0.0	10.53	0.0	0.21	0.0	0.0	0.0	0.0	0.0	23.17	145.7	148.07
Vps37d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	31.01	24.14
Zfp53	0.0	0.0	0.0	0.0	0.0	0.0	0.9	4.47	0.0	32.06	2.39	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.15	3.26	3.81
mt_AK131599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.28	2.61
