	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_38	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Mavs	0.0	0.0	6.45	6.05	5.97
Mcm6	0.0	3.4	7.41	6.6	6.81
Mir1895	0.0	0.0	0.0	0.0	9.36
Mir5136	0.0	0.0	2.78	0.56	2.54
Mlycd	0.0	0.0	24.25	28.0	28.09
Muc4	0.0	0.0	0.02	0.0	0.02
Myog	0.0	0.0	0.07	0.0	0.07
Nap1l3	12.26	0.0	49.16	48.39	48.81
Ncr1	0.0	0.0	0.07	0.0	0.07
Nkx6-3	0.0	0.0	0.04	0.04	0.09
Nle1	0.0	0.0	12.32	14.41	14.81
Notch1	0.0	0.0	9.17	9.32	10.62
Nox4	0.0	0.0	0.06	0.0	0.06
Ntsr2	0.0	0.0	115.96	120.7	129.09
Olfr1420	0.0	0.0	0.11	0.1	0.11
Olfr15	0.0	0.0	0.11	0.0	0.11
Otx2os1	0.0	0.0	0.14	0.0	0.14
Pde1c	0.0	0.0	4.98	4.05	5.23
Plcg1	0.0	0.0	47.58	47.21	51.72
Polq	0.0	0.0	1.94	1.59	1.77
Prps1l1	0.0	0.0	0.06	0.0	0.06
Ptpra	0.69	0.21	123.81	126.6	126.44
Ptprk	0.0	0.31	30.75	29.92	32.35
Qsox1	0.0	0.0	19.22	20.71	19.77
Raet1d	0.0	0.0	0.16	0.0	0.16
Rasgrf2	0.0	0.0	69.67	65.09	66.74
Sct	0.0	0.0	0.21	0.0	0.21
Sft2d3	0.0	0.0	7.09	7.21	6.96
Sgsh	0.0	0.08	3.9	4.56	4.15
Sh3bgr	0.0	0.0	1.14	1.07	0.86
Slc22a21	0.0	0.0	1.45	1.45	2.21
Slc34a2	0.0	0.0	0.05	0.0	0.05
Slc4a1	0.0	0.0	0.02	0.0	0.02
Slc7a10	0.0	10.82	40.29	38.01	40.85
Slfnl1	0.0	0.0	0.06	0.0	0.06
Tac4	0.0	0.0	0.08	0.0	0.08
Tas1r2	0.0	0.0	0.03	0.0	0.03
Tbc1d8	0.0	0.0	20.16	19.89	20.27
Tcfl5	0.0	0.0	1.45	1.07	1.38
Tcstv1	0.0	0.0	0.12	0.0	0.12
Trim46	1.12	0.0	74.11	77.53	76.37
Usp26	0.0	0.0	0.02	0.0	0.02
Vamp8	0.0	0.0	14.16	12.12	12.34
Vmn1r210	0.0	0.0	0.11	0.0	0.11
Vmn2r11	0.0	0.0	0.04	0.0	0.04
Vmn2r118	0.0	0.0	0.04	0.04	0.09
Vmn2r89	0.0	0.0	0.0	0.04	0.0
Zfp862	0.0	0.0	6.43	5.53	6.55
Zfp871	10.9	0.0	39.08	32.97	39.89
c14_5S	0.0	0.0	10.37	13.69	13.41
c3_tRNA-Ala-GCA	0.0	0.0	6.83	9.6	5.76
c4_tRNA-Ala-GCG	0.0	0.0	0.0	0.0	0.0
mt_AF357430	0.0	0.0	9.29	0.0	0.0
mt_AK131586	1075.62	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	26.24	0.0	9032.87	8417.95	8583.15
