	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_11	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_2	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm4724	8.29	2.27	0.0	0.0	0.0	0.0	0.0	12.4	17.47	8.79	7.41	19.54	38.63	13.78	0.25	0.0	6.19	5.76	15.98	0.27	6.16	4.55	5.5	0.17	11.93	0.37	0.47	6.27	0.0	11.85	0.11	5.6	4.55	0.54	1.09	12.18	0.0	2.39	0.82	4.29	0.0	7.67	5.07	7.49
Gucy1a2	19.77	0.42	0.23	1.95	0.05	0.36	0.44	12.3	52.74	26.42	30.59	4.84	46.63	40.08	0.03	0.04	10.2	0.38	12.98	0.32	2.42	0.32	6.05	1.71	1.11	0.47	0.25	0.26	3.89	0.48	2.02	0.29	2.75	7.22	1.5	6.71	0.04	10.16	5.8	4.65	1.26	25.02	18.28	24.48
Kif5c	101.66	59.0	21.56	0.0	0.0	0.0	0.0	124.5	70.18	250.82	56.19	257.51	60.76	69.68	0.0	0.0	108.68	56.84	142.51	27.29	26.58	20.67	44.52	37.43	35.39	40.8	31.06	49.35	1.02	38.76	61.09	38.2	33.69	40.53	86.84	7.38	0.0	52.47	58.58	49.23	26.52	410.62	385.0	413.29
Mapk9	43.96	28.73	23.88	0.0	0.0	0.0	0.0	89.6	101.38	71.96	94.49	51.34	187.16	96.33	0.0	0.0	33.81	30.49	6.88	59.96	0.04	39.75	49.48	59.97	15.78	28.59	14.01	7.52	35.82	20.79	1.59	19.98	11.75	36.65	48.47	60.53	0.0	18.03	25.75	19.44	32.63	154.54	146.91	148.44
Mbd2	26.02	0.0	7.69	0.0	0.0	0.0	0.0	0.93	40.95	49.26	38.36	0.0	121.08	5.45	0.0	0.0	0.0	0.0	22.46	0.0	1.64	0.0	0.0	23.93	0.0	1.54	0.0	0.0	0.0	0.0	0.0	3.86	0.0	0.0	0.0	2.02	0.0	3.6	0.0	10.02	0.66	44.34	48.96	43.56
Mfap1a	44.36	27.81	19.66	5.48	0.42	12.35	0.31	73.1	115.88	255.34	91.63	142.39	113.39	146.45	3.31	1.72	0.64	111.04	46.08	60.3	58.54	25.15	48.62	28.17	52.0	33.76	28.3	49.1	51.22	52.64	37.23	63.48	22.78	21.33	38.79	28.84	3.94	1.11	3.35	45.22	48.13	40.23	35.44	37.11
Mll3	1.2	7.72	0.9	0.0	0.0	0.0	0.0	0.03	0.21	6.99	9.56	16.94	17.4	11.85	0.0	0.0	0.02	0.64	10.08	1.97	0.26	10.35	3.86	7.61	0.0	16.74	1.33	2.25	8.92	8.1	37.16	0.46	1.84	19.41	4.27	0.39	0.0	1.84	8.52	3.76	4.5	22.29	18.92	23.35
Nlk	10.45	7.55	1.41	0.0	0.0	0.0	0.0	9.01	10.52	0.32	31.11	43.29	153.92	62.96	0.0	0.0	0.0	89.77	1.15	0.0	6.42	11.81	4.58	3.71	11.21	8.31	17.13	0.07	0.0	41.03	0.0	0.0	0.0	22.68	19.85	30.58	3.25	10.68	14.43	0.73	6.1	84.39	75.64	77.97
Npy	138375.8	173305.25	115124.65	0.0	0.0	0.0	0.0	108594.8	96206.73	82245.2	68542.73	67463.47	6792.77	125016.83	0.0	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	122165.94	132052.33	122154.33	122963.43	130527.91	173863.58	166048.87	191162.16	108906.97	154857.31	134158.33	153405.37	147732.76	141010.39	151963.58	0.0	145032.54	180453.32	137945.15	137580.94	214.21	196.57	200.76
Orc5	126.19	0.0	97.89	0.0	0.0	0.0	0.0	149.8	42.12	120.09	134.82	133.06	370.72	96.28	0.0	0.0	53.83	0.18	29.87	0.0	14.72	40.34	0.0	86.8	1.71	178.91	84.63	0.0	71.11	118.33	170.44	46.21	106.3	0.0	36.13	33.32	0.0	0.0	0.0	0.0	14.12	25.27	24.99	22.01
Ppil4	131.6	81.44	2.66	0.24	0.0	0.15	0.0	5.97	1.09	275.04	174.86	184.72	236.02	99.66	0.0	0.19	31.95	18.73	26.05	70.15	29.25	0.0	19.56	37.64	55.87	1.36	13.08	0.11	0.0	22.01	75.33	22.23	50.61	0.0	208.36	64.0	0.0	34.78	25.17	102.84	53.11	33.67	29.76	33.53
Purb	26.72	24.41	29.82	0.0	0.19	0.0	0.0	46.33	206.62	77.65	183.45	172.1	101.61	85.87	0.0	0.0	51.24	17.58	18.77	32.48	49.28	12.33	69.02	18.74	45.83	26.62	83.13	2.59	1.09	77.27	5.22	40.04	37.15	10.56	23.22	39.38	8.22	24.41	23.81	45.41	19.34	202.04	181.97	195.46
Raf1	20.63	3.12	38.17	0.11	0.0	0.14	0.0	0.0	52.98	42.86	56.6	16.97	81.49	33.42	0.0	0.0	0.49	0.0	0.26	0.04	0.16	0.16	30.4	12.39	1.01	10.34	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.82	7.96	0.0	0.09	0.07	1.83	0.0	66.43	68.35	63.65
Rap1gds1	63.05	115.78	36.34	0.0	0.0	0.0	0.0	28.41	224.72	143.78	80.4	87.31	84.58	124.96	0.0	0.0	88.29	19.32	84.24	18.27	70.34	9.62	79.76	147.77	63.24	73.47	87.65	8.02	1.03	127.9	29.57	175.93	64.52	34.07	59.64	65.02	0.0	13.7	2.53	98.98	3.01	284.57	290.45	264.54
Rbm39	69.22	16.55	9.07	0.0	0.0	3.19	0.12	144.98	30.73	192.22	137.56	99.53	116.84	156.71	66.16	3.57	110.9	34.98	69.98	143.68	26.22	53.6	75.73	43.91	9.06	9.01	3.62	4.64	51.7	9.88	129.3	50.29	39.34	47.39	71.67	95.23	0.0	37.22	29.3	1.73	49.87	157.24	142.95	151.0
Rnf157	28.9	50.12	13.02	0.0	0.0	0.0	0.0	52.4	66.31	153.2	29.94	39.05	54.67	44.81	0.0	0.0	0.28	9.7	56.92	0.1	0.35	6.73	3.7	0.53	15.03	76.43	36.95	22.67	21.63	36.89	2.3	27.05	14.78	44.77	7.28	17.39	0.0	0.0	0.67	19.3	15.72	165.94	162.23	173.95
Rph3a	51.39	76.82	0.19	4.92	0.0	0.0	0.0	33.76	282.63	269.57	185.83	325.57	132.14	254.99	0.0	0.0	34.97	27.77	65.1	41.32	73.52	74.55	12.36	55.13	20.7	8.71	51.57	37.75	41.54	145.65	0.77	18.09	29.04	41.97	61.85	14.53	0.0	76.8	11.54	75.04	43.48	260.55	249.44	277.37
Slc5a12	0.25	0.39	0.05	0.07	0.0	0.0	0.0	0.15	0.1	0.68	0.43	0.17	1.16	0.38	0.0	0.0	0.31	0.12	0.09	0.23	0.13	0.14	0.62	0.0	0.3	0.06	0.04	0.44	0.11	0.06	0.87	0.11	0.05	0.0	0.11	0.05	0.0	0.0	0.0	0.09	0.12	0.38	0.28	0.6
Srgap3	30.48	37.3	11.86	0.0	0.54	0.21	1.33	42.26	27.06	54.05	63.52	101.61	87.14	19.37	0.0	0.69	26.13	11.44	29.06	10.21	13.09	24.89	19.35	26.64	27.51	19.41	25.83	18.29	14.44	45.62	22.65	10.21	8.93	2.59	47.72	23.52	0.0	22.13	38.57	22.98	5.87	121.23	113.19	124.22
Sv2a	87.21	188.74	86.37	0.0	0.0	0.0	0.0	114.86	293.01	728.63	363.2	451.82	224.23	316.92	0.0	0.0	172.66	150.24	149.6	76.27	60.63	44.28	31.77	60.44	54.79	181.48	119.27	47.95	77.31	229.46	106.52	83.75	57.37	130.42	30.97	59.77	0.0	36.62	36.85	128.48	86.59	289.26	306.68	286.94
Syn2	352.96	100.1	147.37	0.0	0.0	0.0	0.0	9.66	259.86	528.93	155.92	298.3	231.48	225.59	0.0	0.0	234.46	19.19	169.2	14.71	139.66	125.14	83.98	133.31	52.18	70.85	160.98	134.37	100.18	175.12	70.81	51.32	230.18	99.26	49.87	59.41	0.0	147.12	136.4	181.79	206.75	385.63	397.76	386.53
Tada1	39.05	121.69	0.0	0.0	0.0	0.0	0.0	0.0	98.32	202.86	0.0	94.22	431.53	112.9	0.0	0.0	0.0	152.36	165.77	189.32	74.21	33.26	58.9	16.16	94.64	140.2	62.96	114.16	94.15	319.35	0.0	0.0	0.13	194.41	45.06	42.15	0.0	0.0	85.7	50.72	49.6	35.57	38.34	37.56
Trim2	43.25	40.32	25.47	23.59	0.66	0.08	0.0	123.14	62.76	142.43	96.03	86.07	190.52	46.67	0.05	0.0	0.09	31.31	65.5	65.62	51.58	20.54	68.71	44.72	89.26	53.36	63.43	36.09	51.99	13.43	19.74	76.85	39.57	32.13	21.69	30.53	0.0	5.12	60.55	78.75	31.81	107.53	98.64	106.4
Trip11	15.5	11.74	12.58	0.0	0.0	0.0	0.0	9.72	25.81	18.2	0.3	53.52	59.49	26.07	9.31	0.0	0.05	3.6	9.92	1.2	0.05	2.84	13.68	7.68	28.35	6.51	1.71	23.07	4.05	13.03	0.0	0.0	0.0	4.07	19.78	1.44	135.97	0.0	8.44	0.0	6.16	11.24	9.02	13.26
Tub	0.44	0.0	0.04	0.0	0.0	0.0	0.0	0.53	10.4	1.29	0.0	0.05	87.34	22.48	0.0	0.0	0.06	0.0	22.51	0.82	0.06	17.05	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.13	0.04	19.79	0.0	0.0	0.0	0.0	0.0	14.91	0.0	0.22	0.62	106.14	109.45	103.21
Ubqln2	33.93	48.37	13.05	0.0	0.0	0.0	0.0	13.87	40.0	107.46	58.39	28.71	54.0	22.76	0.0	0.0	26.48	15.93	8.29	0.14	19.18	8.87	19.58	4.95	10.46	8.59	4.24	8.79	0.0	70.48	7.68	11.55	18.06	22.4	38.91	18.52	0.0	13.81	30.49	7.54	1.36	164.55	175.3	163.88
Zdhhc5	5.64	16.28	3.23	0.0	0.0	0.0	0.0	0.35	0.0	35.11	0.0	21.55	42.45	14.94	0.0	0.0	14.97	0.15	0.03	0.0	14.33	0.0	17.17	0.3	16.57	13.12	0.0	0.0	0.0	0.06	0.0	0.0	10.35	0.0	16.77	0.0	0.0	0.0	8.03	21.36	6.98	33.67	29.92	29.42
Zik1	6.21	0.53	0.0	0.12	0.0	0.0	0.0	0.18	0.05	29.85	0.31	0.66	84.06	108.49	0.25	0.38	40.52	0.26	0.13	0.17	0.66	0.06	0.0	5.84	0.0	0.07	2.65	0.15	0.0	0.17	22.8	5.28	0.22	0.28	0.1	0.29	0.0	0.29	0.16	0.14	0.22	10.96	10.3	11.39
