	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_96	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_46	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31
Calm2	20813.5	20740.74	17688.69	19533.68	19578.34	24749.41	20654.99	19749.13	18161.55	18187.15	17343.84	19736.86	20660.56	16637.95	19581.9	19276.37	15901.8	18004.95	22860.58	23322.9	25106.81	19256.69	21777.08	23557.63
Cbln4	0.0	133.93	0.0	6.74	0.0	0.0	0.0	0.0	0.0	5.09	0.1	0.11	0.0	37.09	0.0	0.0	53.34	0.85	0.0	0.0	0.0	0.0	0.0	0.0
Cc2d1a	0.0	0.0	76.9	0.0	0.0	0.0	20.66	0.0	0.13	0.08	0.09	0.18	0.0	40.81	0.0	3.26	44.52	1.54	0.0	0.0	0.0	0.0	0.0	0.0
Chst12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.76	45.68	26.45	25.77	0.17	0.0	152.53	0.0	108.69	128.91	25.52	0.0	0.0	0.0	0.0	85.83	0.0
Crim1	25.27	3.7	0.0	6.35	1.83	0.0	0.0	0.0	0.11	5.62	21.87	2.09	0.62	0.1	0.0	5.85	19.39	1.33	0.0	0.0	0.0	0.0	0.0	0.0
Dcaf11	3.54	346.12	0.31	103.5	0.0	26.99	0.1	0.0	65.4	45.17	15.55	1.55	101.36	77.81	0.0	147.25	89.97	94.64	110.59	35.37	0.0	0.0	125.02	0.0
Dgkb	276.63	86.92	0.0	24.66	0.0	0.0	0.0	0.94	0.0	39.27	13.41	5.55	87.26	75.42	0.15	65.0	108.93	5.11	0.0	0.0	1.18	0.0	0.0	0.0
Egln1	0.1	0.12	0.0	64.63	0.0	0.0	0.0	0.0	0.0	4.83	23.89	1.18	51.66	65.65	0.0	22.54	141.5	6.4	0.0	0.0	61.65	0.0	68.76	0.11
Enpp2	1197.19	10.9	0.0	363.92	0.0	0.2	0.0	139.89	1.04	227.65	142.67	199.64	356.04	689.78	89.59	934.65	403.63	23.02	0.1	0.1	0.0	0.0	0.0	0.0
Epb4.1l2	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.33	1.32	0.03	44.17	5.18	0.0	1.62	12.83	0.28	0.0	0.0	0.0	0.0	0.0	0.0
Fam19a1	117.1	216.47	0.0	986.26	0.0	0.0	0.0	0.0	0.0	492.87	179.65	92.16	499.48	1082.92	0.26	1123.86	494.79	0.18	0.09	0.0	0.0	0.19	0.14	0.0
Fam60a	180.01	93.36	0.0	12.61	0.0	0.0	0.0	0.0	0.0	19.03	0.61	69.53	12.32	81.78	0.0	26.2	111.34	1.58	0.0	0.0	0.0	0.0	0.0	0.0
Fam84a	29.46	226.94	0.0	155.11	0.0	0.1	0.0	0.1	0.0	111.24	106.8	28.13	171.82	384.85	0.0	317.9	246.24	4.31	0.0	0.0	0.0	0.0	0.0	0.0
Fktn	12.65	1.22	0.36	70.46	1.36	1.04	0.76	0.72	0.97	2.23	56.6	1.69	62.28	125.35	3.97	2.53	112.67	14.26	53.75	5.5	1.02	15.27	0.47	1.67
Fstl4	0.0	8.71	0.0	34.56	0.0	0.0	0.0	0.11	0.0	0.75	1.4	0.1	0.0	128.87	0.0	0.2	18.63	2.2	0.0	0.0	0.0	0.0	0.0	0.0
Galntl4	0.29	1.34	0.0	73.72	0.0	0.0	97.16	0.0	0.16	21.45	0.91	0.06	59.24	0.94	64.52	79.08	61.75	26.68	1.0	0.0	0.0	0.35	0.0	0.0
Glt8d2	92.89	0.0	0.0	53.13	0.0	0.0	0.12	0.0	0.0	40.16	2.33	67.4	0.44	77.29	0.39	20.73	229.16	39.03	0.13	0.0	0.0	0.0	52.58	0.0
Gm14430	15.53	17.21	0.15	24.2	0.0	0.16	0.0	0.04	0.08	6.69	1.12	1.36	0.0	3.12	0.0	0.0	1.17	4.14	2.35	0.0	0.0	0.0	0.0	0.86
Gm14434	15.53	17.21	0.15	24.2	0.0	0.16	0.0	0.04	0.08	6.69	1.12	1.36	0.0	3.12	0.0	0.0	1.17	4.14	2.35	0.0	0.0	0.0	0.0	0.86
Gm4724	15.53	17.21	0.15	24.2	0.0	0.16	0.0	0.04	0.08	6.69	1.12	1.36	0.0	3.12	0.0	0.0	1.17	4.14	2.35	0.0	0.0	0.0	0.0	0.86
Gnb2	4.79	31.44	0.0	0.49	0.0	15.69	1.91	0.0	0.0	19.35	29.77	13.68	0.0	61.86	10.31	2.86	76.17	7.69	121.87	0.55	0.0	1.18	0.77	0.0
Gucy1a3	187.54	0.64	0.0	47.78	0.08	0.0	0.0	0.0	0.0	35.35	8.76	41.95	134.71	83.08	0.0	42.09	158.83	1.72	0.0	0.0	0.0	0.0	0.0	0.0
H2afy	10.38	58.4	1.63	25.82	29.86	55.55	141.46	0.36	40.41	52.4	62.58	49.93	1.61	73.25	19.6	48.93	41.07	64.82	70.1	0.0	12.75	14.22	0.0	115.29
Hddc3	0.0	0.0	0.0	197.13	0.0	0.0	0.0	51.88	0.0	106.35	77.62	1.28	94.39	179.74	0.0	0.0	116.25	30.98	0.0	0.0	0.54	173.01	249.47	213.56
Itm2b	783.45	40.97	0.45	252.71	17.96	53.16	318.56	81.72	105.13	306.12	559.76	429.97	146.85	593.03	303.85	69.18	169.6	98.84	272.72	78.32	308.1	238.16	117.66	54.14
Kcnq5	13.89	77.97	0.0	2.26	0.0	0.0	0.0	28.14	0.0	6.8	13.54	16.69	33.64	39.35	0.12	49.32	56.02	2.21	0.0	0.0	0.0	15.39	11.76	0.0
Lifr	106.66	75.03	8.41	222.78	3.25	2.85	2.66	5.93	5.27	23.36	42.49	17.01	51.02	95.83	20.02	48.38	28.85	29.03	3.51	3.56	2.18	3.44	0.57	7.87
Lipg	0.0	0.0	0.0	1.39	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.16	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
Lrrtm4	570.96	307.92	0.0	365.94	167.53	0.0	0.0	61.9	0.0	706.14	226.08	242.25	532.57	482.11	61.99	262.97	324.63	82.1	3.6	0.0	0.0	6.72	23.49	0.11
Macrod2	37.66	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18	1.62	4.84	2.67	1.0	2.25	0.0	31.09	0.0	6.21	0.0	0.15	0.0	29.19	0.0	0.0
Magt1	6.24	6.5	2.9	46.42	17.36	1.9	4.16	6.13	6.1	7.34	10.17	80.18	8.93	14.95	3.22	6.81	19.99	8.83	5.43	3.93	2.2	2.54	4.38	1.66
Mat2a	169.02	27.58	0.0	457.55	154.8	63.66	67.47	24.01	78.4	169.45	39.38	108.83	430.81	445.02	165.7	270.93	206.07	195.43	245.66	4.64	7.37	43.66	7.79	212.79
Mpp1	112.47	0.0	0.0	0.0	0.0	108.53	0.0	88.34	3.44	14.81	1.01	1.04	10.69	125.59	0.0	0.0	77.71	39.06	0.0	0.12	0.0	5.7	38.39	171.01
Mrpl36	157.62	363.19	0.91	145.31	136.73	402.14	334.6	211.88	0.49	207.84	227.1	255.53	151.18	37.8	110.22	503.22	204.56	220.25	0.66	0.33	1.02	83.28	51.53	201.12
Ncoa2	0.32	1.5	0.0	0.0	0.0	0.04	0.0	0.0	6.69	5.14	3.44	1.59	0.0	0.0	0.0	0.0	5.93	7.57	0.0	0.0	0.0	0.0	0.0	1.14
Neurod1	84.37	8.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.29	154.99	1.02	82.01	137.32	0.0	33.87	60.73	0.12	0.0	0.0	0.0	0.0	0.1	0.0
Npy1r	5.71	172.11	0.59	3.8	3.48	2.56	2.49	8.03	2.33	36.0	23.3	4.17	142.49	89.3	1.46	109.79	85.88	23.18	4.4	2.19	2.68	6.59	0.52	1.87
Nr1h5	0.24	2.61	0.65	0.0	1.56	0.0	0.0	0.0	0.21	1.15	2.79	0.76	0.0	0.93	0.32	0.48	2.0	0.22	2.38	0.0	0.33	0.11	0.73	0.49
Nsg1	397.47	308.4	0.0	366.62	0.94	1.86	60.76	65.67	9.93	63.5	100.12	50.86	347.0	546.71	73.23	165.85	171.42	42.23	280.73	78.43	219.33	49.32	41.99	160.71
Osbpl1a	1199.64	766.39	633.94	554.65	96.52	153.0	197.41	200.46	165.83	283.9	238.9	302.02	831.29	1277.26	203.76	1132.35	1020.44	164.55	329.64	58.02	1074.61	228.97	717.15	2.12
Pam	139.7	57.11	90.77	145.86	42.76	29.53	7.42	10.72	15.74	163.24	95.27	149.49	144.3	214.53	89.48	136.73	151.29	72.61	0.69	3.97	4.91	49.58	0.7	14.18
Pdcd2	0.0	0.0	0.0	0.0	41.46	0.0	0.0	0.0	0.0	11.21	0.27	0.0	0.0	57.86	0.0	0.0	95.92	4.13	0.0	0.0	0.0	0.28	0.0	0.0
Plcl2	7.2	2.65	89.06	9.07	0.29	0.0	0.0	2.24	0.0	2.54	25.03	20.95	17.6	28.48	0.21	24.38	31.43	10.9	0.0	0.07	0.0	0.45	60.27	96.96
Pvrl3	28.51	47.19	0.0	3.19	0.0	0.0	0.0	0.0	0.0	25.63	25.04	3.9	2.64	20.01	0.0	5.35	0.19	0.1	0.0	0.0	0.0	0.0	0.0	0.0
Rab3a	677.15	940.33	421.72	499.43	396.51	888.14	714.73	507.89	483.4	640.39	979.26	359.18	1250.37	790.48	151.79	1117.58	1512.97	228.27	261.59	460.28	339.16	283.72	451.1	316.99
Rab3c	0.96	37.78	19.43	30.36	42.45	34.91	0.12	17.08	0.58	109.55	39.36	58.07	8.46	4.2	2.83	114.01	87.94	37.71	18.79	7.78	8.71	7.03	13.42	52.59
Rasgrf2	39.5	216.42	0.0	26.46	0.0	0.0	0.0	0.0	0.07	18.32	45.01	4.43	89.82	37.09	0.0	60.57	80.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc30a3	0.19	104.06	0.0	45.44	0.0	0.0	0.0	0.0	0.0	15.52	98.65	64.89	26.1	84.97	0.0	54.57	119.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc39a13	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.72	3.43	0.0	0.55	58.7	0.0	46.75	54.58	0.92	24.95	0.0	0.0	0.0	0.0	0.0
Slc45a1	3.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.86	21.68	6.9	1.46	95.79	12.83	7.43	27.35	16.67	0.0	65.33	0.0	0.0	33.59	0.15
Snhg6	0.0	194.81	0.0	120.51	176.72	14.77	0.0	106.23	0.0	150.47	106.43	154.35	281.06	213.13	0.0	198.82	230.73	55.16	0.0	179.5	6.19	0.0	12.02	0.0
Sorcs3	0.13	9.79	0.83	31.53	0.0	0.0	0.0	0.0	0.0	23.23	2.34	0.45	0.0	154.88	0.0	1.22	10.94	7.85	0.0	0.0	0.0	0.0	0.0	0.0
Srp19	172.84	134.38	97.1	242.95	105.34	235.81	89.77	200.53	284.21	314.56	321.72	238.65	195.53	587.72	154.98	404.67	398.2	207.24	60.6	126.98	34.26	312.67	645.81	352.3
Srprb	94.89	5.48	0.53	0.25	0.13	0.11	0.0	74.99	0.0	16.25	20.85	0.88	127.51	0.2	116.36	79.07	31.99	37.93	0.28	0.19	0.29	0.0	0.24	0.3
Stard8	10.34	47.93	0.0	55.02	0.0	0.2	0.66	0.07	0.17	7.76	56.35	0.73	41.89	25.8	0.34	50.1	55.99	0.04	2.24	0.06	0.0	0.68	0.25	0.0
Tmem120a	0.0	0.0	0.0	86.62	0.0	20.33	0.0	0.0	62.99	30.1	86.96	1.32	260.82	113.34	0.68	171.77	95.3	4.31	76.68	0.0	0.0	0.0	0.0	0.0
Tmem160	0.0	0.0	0.0	0.98	5.67	0.0	0.0	0.0	0.0	8.68	8.88	5.81	0.0	13.27	0.0	0.0	0.0	4.63	0.0	0.0	0.0	0.0	1.24	0.0
Tmem47	0.18	13.98	0.0	109.98	0.0	0.0	0.0	0.0	0.0	64.03	154.44	138.44	92.49	124.15	3.48	82.29	7.87	5.59	0.0	0.09	0.0	0.0	0.0	0.0
Tssc4	153.38	0.0	0.0	45.27	0.0	0.0	0.0	133.04	0.0	9.79	0.51	0.35	77.64	55.73	0.0	109.19	123.56	6.29	0.0	0.0	0.0	61.94	0.18	0.0
Ubtd2	0.12	34.43	0.0	142.19	0.0	0.0	0.0	0.0	0.0	16.87	23.12	0.0	55.14	102.15	26.33	58.59	90.2	8.25	0.0	0.0	20.43	0.0	0.0	0.0
Uqcrc1	545.97	606.4	286.22	1115.15	182.66	142.65	196.27	464.9	541.36	396.75	568.34	305.88	553.93	423.69	441.9	172.66	793.17	483.83	78.25	0.52	5.66	0.37	0.0	472.82
Ythdf1	0.0	3.53	0.0	0.0	2.0	0.0	0.85	5.86	0.0	11.64	0.37	17.88	0.0	99.28	89.51	68.13	9.06	9.47	0.09	0.0	0.28	62.71	11.02	0.0
Zar1l	5.23	36.7	46.19	23.48	0.0	0.0	0.0	0.0	0.0	12.37	0.17	0.89	0.0	20.22	0.0	0.0	5.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfp704	20.16	0.09	0.0	10.87	1.03	0.02	1.28	0.22	1.71	3.82	0.74	1.62	0.0	28.43	17.11	0.45	0.46	3.86	0.07	0.02	0.14	9.43	0.13	0.0
Zfp821	0.37	0.0	0.0	53.6	0.0	0.0	5.4	0.0	0.0	14.71	4.07	0.37	3.41	18.28	0.0	72.53	90.13	9.74	133.41	0.0	0.0	0.0	0.0	0.0
l7Rn6	115.65	244.63	0.0	3.74	124.39	51.59	0.0	286.47	0.0	102.6	150.26	2.37	20.42	211.22	191.06	283.28	81.64	96.81	187.9	0.0	292.2	82.65	95.3	0.0
