	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_96	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Apon	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.06	0.06
Arnt2	73.16	112.34	90.78	270.23	120.55	11.07	74.77	15.55	25.74	0.17	0.0	38.15	66.91	14.29	0.0	4.49	0.0	15.51	1.46	0.25	0.05	7.71	0.0	9.62	5.29	35.5	18.61	90.27	73.24	3.81	0.0	101.83	11.77	161.69	19.69	19.83	188.64	150.74	163.97
B4galnt4	10.25	17.79	0.0	112.54	0.0	0.0	29.27	0.12	26.65	0.0	0.0	0.0	51.57	0.0	0.0	0.04	9.08	0.0	6.81	0.0	16.0	14.93	0.0	0.0	25.89	11.89	10.77	0.0	0.0	0.0	0.0	0.0	0.75	21.52	3.55	4.02	59.99	69.88	63.3
Baiap2	0.0	64.5	0.12	78.38	75.96	1.33	20.03	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.04	18.23	16.57	45.12	1.13	0.0	0.0	0.0	0.0	0.0	5.58	0.28	90.33	6.77	52.02	0.0	0.0	17.67	0.23	0.0	254.26	265.11	230.8	247.09	237.92
Bin3	0.0	0.0	0.0	115.87	87.18	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	72.6	0.0	0.06	63.17	58.88	0.0	0.0	0.0	0.0	0.0	3.32	0.0	19.73	0.0	0.0	0.0	0.26	0.0	59.35	0.0	5.78	12.01	13.53	12.61	11.18
C1qtnf7	0.0	0.0	0.0	94.12	105.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	1.26	1.46
Ccdc108	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.42	1.26	2.86	2.99	3.33
Cdh12	30.17	0.0	73.71	135.39	166.15	0.0	0.0	12.24	0.0	0.0	0.0	0.0	40.07	4.88	0.04	0.02	0.02	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.03	0.0	12.76	0.0	0.0	0.0	0.0	0.0	0.08	0.15	13.45	13.28	6.6	5.45	7.0
Cenpo	0.0	0.0	0.0	43.84	56.79	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	1.3	0.0	0.0	0.0	0.0	1.08	0.64	7.54	0.0	0.0	0.0	0.0	0.0	0.12	4.24	3.97	3.2	2.47	2.08
Ciita	0.18	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.48	0.46
Ckm	0.0	0.0	0.0	12.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	0.4	0.29
Cwc22	0.0	23.58	33.1	94.35	96.19	2.88	0.0	6.53	0.49	0.0	10.29	0.0	0.08	0.07	0.0	0.47	0.03	0.0	78.13	0.0	0.0	0.51	0.0	0.0	0.0	5.21	33.93	53.02	0.0	0.0	0.0	0.23	0.83	0.0	17.95	12.28	16.36	14.82	17.86
Dtx4	0.0	0.0	0.0	47.37	0.0	12.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.76	30.89	26.91	0.0	0.0	0.0	30.52	0.0	0.0	0.0	16.46	9.36	13.36	0.0	8.42	0.0	0.3	0.13	5.27	0.0	12.27	6.78	24.89	23.19	23.61
Eif3f	0.0	1.72	0.0	70.82	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	54.56	5.11	0.0	0.0	0.07	0.0	0.0	0.0	3.99	0.0	0.0	0.0	0.0	0.0	4.55	0.0	0.0	0.0	1.64	4.21	0.0	0.0	9.66	11.26	119.78	136.1	125.5
Enah	0.0	0.0	0.0	35.22	0.0	28.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.09	1.32	2.19	0.0	0.0	14.05	0.0	0.0	0.0	6.5	0.0	0.08	0.0	0.0	0.15	0.0	0.0	0.0	25.12	3.92	1.98	49.84	46.77	51.64
Ercc2	0.0	0.0	0.0	0.14	1.32	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.29	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.08	1.17	23.82	24.54	25.38
Etv5	0.0	2.75	0.68	95.23	13.23	0.0	0.0	0.0	3.33	17.17	0.0	0.0	68.13	0.0	0.0	1.94	0.03	0.0	0.0	0.0	1.83	1.1	0.0	2.06	32.65	23.83	84.73	10.6	6.43	1.12	0.0	3.86	34.56	0.0	78.11	93.64	79.74	73.83	71.38
Fam57b	21.06	7.65	0.0	36.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	1.84	4.32	0.0	0.0	0.56	0.13	0.0	8.3	0.49	13.09	0.0	5.84	0.0	8.29	0.0	16.16	0.0	8.48	6.22	60.61	64.37	64.1
Gbp6	0.0	0.0	0.06	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.95	1.05	2.09
Gfra4	0.36	0.0	0.0	28.8	0.0	0.0	0.0	1.3	24.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.44	0.0	0.0	0.0	1.48	0.0	0.0	0.0	0.0	8.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42	2.47	40.32	48.59	47.21
Gle1	0.1	0.0	0.0	175.65	156.49	10.52	15.65	0.0	0.0	6.01	13.09	0.0	0.0	6.93	9.12	43.9	0.16	0.0	0.0	59.63	75.84	0.0	1.05	0.26	28.6	4.97	21.52	0.0	45.64	0.0	0.0	0.0	58.65	61.55	42.7	28.08	39.85	40.93	38.61
Gm13251	0.0	0.0	0.15	13.82	0.12	0.18	0.0	0.0	0.22	0.0	0.0	2.38	0.0	0.0	0.0	18.01	0.0	1.8	0.56	0.29	0.26	1.41	1.78	0.0	0.05	0.55	1.05	0.0	0.94	0.0	0.18	0.0	0.47	0.0	3.76	0.79	2.06	2.71	2.99
Gm13298	0.0	0.0	0.0	99.72	4.82	1.61	0.0	1.5	0.0	0.0	0.0	0.0	0.0	1.66	0.0	64.06	0.1	0.97	0.0	27.62	0.0	0.0	16.74	0.0	0.26	25.64	9.09	2.29	40.72	3.37	2.71	0.94	1.34	0.32	5.67	9.1	17.51	16.53	12.37
Gm2002	0.0	0.0	0.05	0.09	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.1	0.0	0.0	0.03	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.08	1.5	0.06	0.0	0.0	0.06	0.0	1.32	0.0	1.27	1.89	1.73	1.86	1.4
Gm9899	0.0	0.0	0.0	53.59	46.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.02	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	2.3	0.74	0.0	0.0	0.0	0.0	0.08	0.0	0.0	3.88	4.49	11.38	10.75	9.92
Gpatch3	0.0	0.0	0.0	37.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.17	5.89	7.6	7.1
Gpr55	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	1.45	1.24	2.2
Grasp	0.0	0.0	0.0	12.65	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.28	10.75	0.12	0.08	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	2.04	56.53	56.36	55.65
Grm3	0.0	0.0	0.92	87.48	89.37	0.0	33.63	25.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.0	0.12	14.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.88	68.6	50.26	43.05	51.66
Hook2	0.12	30.69	0.0	38.27	42.66	2.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.24	13.9	0.0	0.0	0.0	22.24	1.72	0.0	4.51	0.0	3.13	0.0	2.67	0.0	0.0	1.03	0.0	17.97	0.0	0.0	0.46	1.99	14.98	15.85	14.02
Igfbp5	0.0	0.0	0.0	54.55	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	11.07	0.17	0.0	0.0	16.23	0.0	4.86	0.0	0.0	0.0	0.0	0.0	0.0	0.15	3.58	0.12	67.7	69.54	70.69
Il11ra2	0.0	0.0	0.05	0.09	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.1	0.0	0.0	0.03	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.08	1.5	0.06	0.0	0.0	0.06	0.0	1.32	0.0	1.27	1.89	1.73	1.86	1.4
Ints1	0.0	0.0	0.0	20.02	0.0	3.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36	0.0	9.53	0.0	0.45	8.17	0.0	0.35	0.0	0.62	2.32	10.12	0.0	2.55	0.02	0.0	0.0	0.0	0.0	0.0	0.0	1.74	2.12	40.11	41.85	42.62
Iscu	30.81	0.0	5.43	128.84	52.39	0.0	7.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.93	25.81	1.87	6.35	20.6	38.76	7.22	24.54	6.93	17.27	22.59	82.14	0.0	0.0	0.78	0.0	1.65	40.86	19.39	16.81	120.15	141.31	125.66
Itga10	0.0	0.0	0.0	2.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.14	2.43	1.96	1.63
Kcnk4	0.0	6.38	0.0	21.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.36	0.0	0.0	0.0	5.66	0.0	0.0	0.0	0.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.44	3.24	16.23	16.52	19.04
Kcnt1	0.92	0.0	0.0	57.87	38.84	0.18	1.74	0.0	0.13	0.0	0.0	3.76	2.32	0.0	0.0	0.45	1.92	0.88	0.0	0.33	0.0	0.0	24.71	0.09	0.0	0.43	8.53	32.87	0.68	2.35	0.0	0.0	18.81	0.0	4.45	9.38	77.78	78.9	85.59
Kdm6b	3.43	2.0	0.0	17.62	5.53	1.26	0.0	0.0	10.05	0.88	4.04	3.54	3.07	1.56	2.82	6.28	3.11	3.62	5.69	1.48	2.63	4.39	0.31	2.11	10.56	1.79	18.78	2.18	0.0	3.53	0.89	14.77	1.32	3.58	10.15	10.44	17.07	15.97	13.26
Lgals3bp	0.0	0.0	0.0	131.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.0	0.0	0.75	0.0	0.0	1.44	0.0	161.85	0.13	0.0	0.0	10.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.05	0.97	15.07	12.26	14.29
Limd2	0.1	0.24	0.0	37.83	0.0	0.0	0.0	0.0	27.1	0.0	0.36	0.0	0.0	0.04	0.0	0.72	0.03	0.69	0.0	0.0	8.66	15.56	1.19	0.0	0.59	0.0	1.45	0.0	0.35	0.0	0.67	0.15	0.0	0.0	5.76	10.22	39.83	44.35	41.74
Lipt1	0.0	0.0	0.0	88.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.5	29.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.34	5.9	6.86	6.46	6.82
Luc7l	80.78	48.1	89.7	187.22	256.79	40.79	6.36	54.78	43.21	17.85	86.89	26.04	35.13	83.66	10.6	0.16	56.7	10.88	74.1	33.67	41.19	33.33	135.68	0.0	22.2	28.3	32.56	82.9	20.12	63.53	1.1	37.38	66.85	46.81	41.59	33.49	74.84	72.22	72.25
Mdc1	0.47	1.1	0.79	18.76	0.1	0.34	0.18	0.45	1.15	3.24	1.83	1.0	0.86	0.47	1.0	0.67	0.72	0.67	0.52	3.03	0.68	0.44	0.99	0.55	0.57	0.7	1.56	17.17	3.57	2.38	0.58	1.18	1.39	1.18	1.29	1.49	8.22	9.1	8.61
Nckap5l	0.0	0.0	0.0	7.93	8.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.86	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	4.74	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.2	14.14	14.37
Nf2	0.07	34.81	17.6	52.96	0.0	0.03	0.0	0.0	0.04	0.37	0.09	0.23	12.67	0.0	0.03	28.83	0.14	15.34	0.0	0.07	0.0	0.0	0.05	0.0	0.02	0.1	4.71	0.0	0.0	0.08	0.98	0.18	1.65	0.0	1.46	5.37	61.3	58.03	60.84
Nqo1	0.0	0.0	0.0	103.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	3.18	4.63	5.33	5.24
Nup62-il4i1	0.0	0.0	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.52	0.0	1.46	1.83	1.14
Pecr	56.96	12.33	0.0	125.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	66.94	0.0	0.0	0.0	0.0	0.0	0.0	6.29	0.0	126.19	0.0	24.76	101.11	0.0	0.0	19.7	22.92	6.53	8.79	6.39
Pnpla3	0.25	0.74	0.3	60.72	52.28	28.5	0.0	0.4	29.68	0.21	0.28	0.0	1.56	16.17	1.96	29.61	0.19	0.49	0.25	0.51	0.21	0.41	0.22	0.29	0.27	0.09	7.07	5.77	0.24	0.94	26.41	31.5	0.0	25.8	1.91	4.3	9.57	9.56	10.58
Pofut1	0.0	0.72	2.16	28.05	0.15	0.0	19.01	0.0	0.49	1.75	0.82	0.15	0.9	1.52	0.8	0.09	0.22	0.29	0.84	0.03	0.1	0.42	0.16	0.52	0.43	0.12	2.58	0.09	0.12	1.7	0.55	0.83	0.0	0.0	0.53	0.67	12.9	12.57	13.66
Pomt2	0.06	0.14	0.0	30.69	0.51	4.54	0.24	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.02	0.31	0.12	0.16	0.38	0.05	0.0	0.0	0.74	0.16	0.22	0.25	6.34	0.1	0.03	0.84	0.0	0.08	0.46	0.26	0.64	1.57	14.27	14.89	16.93
Pou3f1	0.0	0.0	0.0	6.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	25.87	30.46	25.48
Prkcc	30.14	67.67	85.97	117.39	12.59	79.2	38.29	0.13	103.59	2.18	25.5	0.0	80.55	10.9	55.91	0.1	32.0	105.22	95.0	167.23	5.49	53.58	19.32	61.71	100.69	99.57	114.79	96.11	5.05	184.51	60.69	146.39	95.54	80.36	197.02	205.52	280.97	277.81	262.15
Pzp	0.0	0.15	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.02	0.02
Rab11fip5	0.0	0.0	23.65	85.53	3.93	42.12	28.35	0.0	0.0	0.0	1.95	0.0	0.0	25.4	44.06	0.0	1.32	6.37	29.26	15.57	0.82	0.54	66.47	8.47	0.0	43.28	1.38	0.0	0.07	4.6	0.0	0.0	19.17	30.07	5.84	6.22	47.04	50.24	49.26
Rap1gap2	0.0	3.82	0.0	30.62	17.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.47	0.0	0.0	0.1	2.77	0.0	0.0	14.33	12.96	0.0	0.0	0.0	0.0	3.08	9.78	0.0	34.48	0.0	0.0	0.0	18.97	0.0	24.82	16.53	119.99	111.59	120.64
Rfxap	18.8	3.9	0.12	107.58	33.59	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	48.35	0.0	0.0	0.0	0.74	0.0	0.0	0.58	41.59	0.0	0.0	0.4	4.34	9.95	0.0	0.0	0.0	0.0	0.0	0.0	3.47	2.42	27.62	31.63	26.29
Rprml	2.93	0.0	0.0	6.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.49	13.43	80.97	113.45	95.72
Sema4f	0.0	0.0	0.09	58.83	0.73	0.0	0.09	0.0	0.0	0.0	0.0	0.06	0.06	0.0	0.0	0.0	0.0	0.0	9.12	0.0	0.0	10.6	0.0	0.0	0.38	0.11	0.06	0.04	22.24	1.71	0.0	0.0	0.0	0.0	2.22	1.78	34.99	35.97	35.47
Sik3	16.82	0.17	5.69	25.57	2.35	0.0	1.19	0.0	0.0	38.72	20.83	0.04	0.41	6.19	1.35	0.0	7.71	0.13	19.06	0.0	0.09	0.31	0.0	5.59	7.51	3.52	11.48	5.09	8.81	0.0	3.16	0.92	4.84	7.64	5.16	3.55	53.53	56.24	58.89
Snora78	0.0	0.0	0.0	66.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.82	48.66	0.0	4.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62	0.76	0.84
Sst	54779.79	110572.87	47293.26	27080.23	31942.05	92299.24	48476.57	39954.99	72114.03	41248.39	0.0	0.0	79456.04	80147.45	53894.31	45687.49	43763.2	53884.47	40467.48	49702.56	51551.12	68952.67	55479.93	59257.22	56460.73	50608.74	0.0	40924.0	78404.02	70180.73	30651.64	34709.45	60686.4	43001.18	0.0	0.0	558.6	588.98	558.0
Stag3	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.85	1.08
Synb	0.1	0.0	0.0	0.32	0.0	0.05	0.13	0.0	0.0	0.0	0.0	0.11	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.14	0.09	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.32	0.27
Tap1	0.0	0.0	0.0	1.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	1.75	2.67
Tbc1d22b	17.74	0.1	0.0	63.27	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.03	9.75	8.43	0.0	0.61	0.08	0.0	0.05	12.33	0.0	0.0	4.65	0.0	0.0	0.15	0.0	0.0	0.14	0.12	0.68	2.66	35.54	36.1	35.89
Tjp1	0.0	8.59	0.0	56.16	36.53	1.3	0.0	0.0	7.76	0.57	0.0	0.0	2.44	6.9	0.38	0.0	1.26	0.23	3.77	2.12	0.24	1.18	0.0	0.0	3.14	2.66	9.87	1.43	0.0	5.72	0.0	0.73	1.94	0.0	5.01	3.44	44.75	39.86	45.19
