	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_68	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_96	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Aifm3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.38	0.0	0.0	0.0	0.0	0.0	46.67	5.05	4.97	70.87	73.98	75.26
Ash1l	8.56	8.59	0.02	0.68	0.01	15.1	59.47	13.56	11.53	3.21	0.0	0.66	20.45	13.6	18.62	70.59	7.7	11.49	23.16	28.11	8.05	15.75	11.58	28.59	18.55	18.8	45.87	38.07	47.3
B130034C11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.72	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.3	1.5	4.54	1.56	1.88	2.5
BC029722	2.68	0.0	25.63	17.09	0.06	0.0	2.12	5.8	0.38	0.65	0.0	0.0	9.15	5.69	19.56	2.56	0.0	1.88	0.0	0.37	25.42	20.18	6.14	22.72	5.19	6.87	81.51	86.83	77.47
Bahd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.04	1.82	0.0	0.0	16.97	1.0	0.93	29.7	27.75	26.96
Bop1	1.11	0.0	0.0	0.0	20.36	3.23	80.03	0.0	0.0	0.0	0.0	0.0	0.0	26.22	63.21	0.0	0.0	0.0	0.0	37.86	0.0	0.0	0.0	126.2	25.77	14.9	46.21	48.64	48.57
C030019I05Rik	0.0	1.78	0.0	79.29	0.0	0.0	0.0	0.0	68.83	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	146.17	14.82	2.16	6.12	4.57	6.59
C1ra	0.22	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	3.11	0.25	2.46	2.46	3.03
C1s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.13	0.13	1.36	1.22	1.54
Calhm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.17	0.85	5.51	5.79	3.3
Ccl27b	0.41	0.14	3.68	0.0	22.17	0.0	0.0	0.0	21.49	31.22	0.0	0.0	7.16	0.58	0.0	0.0	0.0	0.0	0.29	0.0	8.48	0.0	0.0	4.62	76.52	71.98	30.63	28.29	22.96
Ccne2	1.41	6.26	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.09	0.0	13.69	13.65	0.0	27.44	0.0	50.39	0.0	30.42	6.6	50.47	13.61	7.96	4.5	4.41	4.46
Cd97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	243.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.1	0.0	0.0	10.16	9.27	8.59
Celf6	4.3	41.94	0.24	15.61	76.31	0.0	0.79	0.69	0.0	24.58	0.36	0.0	0.61	1.57	0.1	17.29	0.09	0.16	0.0	23.91	35.59	22.67	4.26	0.49	0.9	0.89	16.97	19.67	17.27
Chd5	2.83	14.36	3.68	2.81	0.26	9.06	2.18	7.98	24.39	7.9	0.0	0.0	1.87	3.62	13.49	15.72	1.81	10.17	9.12	1.77	10.2	2.02	1.53	2.25	4.74	3.54	101.81	99.86	105.46
Copg2	38.11	85.41	0.0	5.6	18.94	0.0	0.0	0.0	6.53	132.35	0.0	0.0	62.91	40.84	13.81	103.69	0.0	2.43	0.0	0.0	115.51	59.37	76.5	129.14	30.8	27.93	67.62	63.7	64.81
Creb1	1.16	0.05	8.67	0.08	0.0	0.05	14.24	0.23	0.0	0.0	0.0	60.1	9.99	1.25	0.0	0.03	10.39	2.21	0.06	0.11	0.0	0.11	0.24	26.92	5.52	6.54	18.65	15.15	18.21
Crip3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.92	0.75	0.0	2.33	2.15	1.65
Dlgap3	2.06	0.0	0.0	1.25	0.55	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.31	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.12	0.04	0.0	3.42	0.36	0.0	226.76	237.6	239.55
Fam177a	2.32	8.8	9.52	0.66	2.26	0.32	32.11	3.6	2.13	6.68	1.72	0.0	22.21	2.3	5.51	4.19	9.6	1.07	11.48	12.89	17.02	0.85	6.97	31.99	14.19	19.02	17.56	16.4	17.92
Fech	39.77	77.89	6.36	0.72	1.8	0.0	0.54	1.72	5.68	1.23	0.14	0.0	0.0	63.7	27.59	0.29	0.0	0.0	0.35	0.0	31.6	0.18	0.15	0.0	15.22	15.68	50.55	48.03	50.37
Fndc3b	0.0	0.0	0.0	0.0	0.0	17.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.36	4.55	4.19	9.99	8.7	10.09
Gast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38	0.0	0.0	0.0	0.0	0.24
Gm10536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.09	0.02	0.07
Gm13306	0.41	0.14	3.68	0.0	22.17	0.0	0.0	0.0	21.49	31.22	0.0	0.0	7.16	0.58	0.0	0.0	0.0	0.0	0.29	0.0	8.48	0.0	0.0	4.62	76.52	71.98	30.63	28.29	22.96
Gm2506	0.41	0.14	3.68	0.0	22.17	0.0	0.0	0.0	21.49	31.22	0.0	0.0	7.16	0.58	0.0	0.0	0.0	0.0	0.29	0.0	8.48	0.0	0.0	4.62	76.52	71.98	30.63	28.29	22.96
Gm6537	89.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.21	1.4	0.79	1.87	2.32	2.13
Gm889	62.5	69.4	0.0	37.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.45	0.0	1.18	0.58	0.86	1.03
Gorasp1	0.09	0.32	0.0	0.0	0.28	0.0	12.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26	0.0	0.06	0.13	0.07	0.0	0.13	0.0	59.69	6.46	0.22	23.19	24.65	22.92
Gpd1l	1.37	10.72	0.0	0.15	0.0	2.62	0.0	0.0	0.0	0.0	0.12	0.0	3.43	0.14	15.27	7.41	1.57	0.0	0.0	3.18	7.08	9.79	0.0	22.64	12.04	20.7	85.24	87.97	81.22
Gpr52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.71	0.0	0.33	17.82	15.03	14.66
Gstm2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.04	0.0	0.0	3.15	3.16	3.12
Hmox1	4.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.26	57.62	0.0	196.54	0.67	2.91	5.5	4.89	5.34
Hps1	0.0	0.0	0.0	0.0	0.0	0.0	1.65	0.0	0.09	0.08	0.0	0.0	0.0	0.0	0.0	5.23	0.52	0.0	0.0	0.0	0.0	0.0	0.0	24.32	0.25	0.76	12.86	13.87	13.5
Hps4	0.0	2.94	0.0	0.0	0.0	0.0	0.14	0.0	0.0	18.59	0.0	0.0	0.68	0.22	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	58.57	1.57	2.07	16.87	16.53	16.53
Id4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6	0.0	0.0	2.81	0.0	35.01	0.0	0.0	78.2	80.22	74.97
Ift27	62.46	226.85	0.0	58.09	0.0	260.06	86.67	224.11	0.0	48.05	0.0	0.0	27.4	33.94	16.14	150.99	0.74	37.4	0.0	0.0	8.55	266.97	0.55	544.92	62.34	42.66	23.71	28.62	29.72
Irf2	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	16.57	6.39	2.85	0.0	3.89	5.25	2.84	11.83	0.0	19.63	0.0	3.25	4.59	0.0	4.38	57.42	11.88	14.3	24.63	20.55	23.24
Kcnk12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	11.08	14.75	13.8
Khdrbs3	68.23	56.37	4.97	39.05	25.69	9.16	74.42	0.0	5.29	115.4	0.0	0.0	0.26	0.5	1.05	41.75	1.54	0.0	3.01	4.21	0.62	70.32	0.0	133.13	143.81	159.28	170.44	167.93	173.76
Kif23	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.08	0.9	0.0	1.69	1.16	1.16
Kpna4	0.0	18.67	1.67	2.19	0.36	0.0	13.99	3.16	0.0	39.91	0.0	0.0	7.34	22.0	1.95	1.72	0.43	15.89	0.0	0.14	2.81	0.0	0.0	52.93	20.85	21.05	58.6	57.09	56.33
LOC100503496	0.0	0.0	0.0	14.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.14	0.0	0.0	9.66	0.0	16.8	0.0	30.01	0.0	0.0	3.1	2.41	3.07
Lcp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.96	0.0	0.09	6.81	7.46	7.37
Ldhal6b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.94	0.0	0.0	0.97	0.85	1.14
Leprotl1	0.12	106.68	134.85	77.4	39.43	0.0	27.56	0.0	0.0	0.0	0.0	0.0	62.28	49.46	0.87	90.77	32.23	0.0	0.0	0.0	47.84	0.35	1.25	24.76	51.05	47.07	72.1	74.01	65.1
Lingo4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	1.53	0.6	0.58	0.62
Lrrc34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.98	0.0	0.19	0.43	0.36	0.56
Meig1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.15	2.08	0.0	2.76	1.78	2.1
Mir692-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.1	0.0	0.0	1.35	0.0	1.4
Mmp14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.14	0.0	0.13	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	7.79	8.38	9.02
Moxd1	2.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.42	0.0	106.12	0.0	0.0	7.93	8.01	7.26
Mtap	37.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.45	0.1	0.0	34.43	11.79	0.0	0.0	8.34	0.0	60.34	6.47	6.93	8.65	9.09	8.97
Mtap4	75.64	208.05	87.16	236.3	73.66	37.46	164.35	148.39	216.85	158.79	0.0	226.01	105.47	93.13	166.66	176.75	82.11	133.79	55.59	81.05	267.68	297.56	188.13	206.78	90.57	91.75	263.45	247.12	257.35
Nmnat3	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.79	0.0	0.0	0.0	0.0	0.0	0.0	64.78	0.0	0.0	0.0	89.51	3.53	6.95	2.48	3.15	2.18
Nptx1	19.36	0.01	0.0	10.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.33	7.78	0.0	0.0	0.0	0.0	0.0	0.19	15.75	16.83	0.0	24.93	86.04	78.5	195.59	193.13	194.22
Otud7b	6.42	0.19	0.12	0.09	0.57	3.43	0.36	0.71	0.13	18.94	6.9	0.0	0.22	0.39	0.32	0.6	1.5	0.76	0.6	0.23	8.4	0.46	0.95	0.17	3.34	3.78	19.77	19.36	19.81
Pemt	54.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239.28	5.21	3.94	3.05	3.8	3.15
Phactr2	3.11	6.06	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.08	21.19	0.0	0.0	11.12	9.96	11.27
Phxr4	0.67	0.41	0.21	0.0	0.11	0.3	0.0	0.73	0.0	0.25	0.0	0.0	0.18	0.61	2.33	0.32	0.0	0.0	0.0	0.0	25.95	0.0	0.0	76.2	0.25	0.0	0.25	0.3	0.87
Pkig	54.8	13.86	97.5	0.0	0.0	0.0	52.8	0.0	1.94	112.21	0.0	0.0	36.76	65.83	0.6	0.0	0.0	39.29	0.0	0.0	0.0	6.46	0.0	54.29	75.1	89.94	120.31	127.96	123.3
Prokr2	0.0	7.6	0.06	0.0	0.1	0.0	0.18	0.0	0.0	0.0	0.24	0.0	0.0	49.91	0.0	0.0	0.0	0.0	0.0	48.05	42.21	0.35	0.0	130.74	0.0	0.0	1.52	1.67	1.73
Ptk2b	0.16	11.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.95	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	13.29	86.95	69.33	310.21	322.91	308.74
Rab31	0.0	26.51	0.07	0.0	10.77	11.56	0.47	0.0	0.0	0.0	0.0	0.0	68.71	0.0	0.0	21.56	37.15	0.0	0.0	0.0	0.0	44.81	0.0	210.52	21.58	42.16	50.83	51.4	56.07
Rangap1	16.33	56.32	59.76	57.64	62.47	39.7	67.27	7.36	111.08	76.16	0.45	0.0	48.03	63.92	64.06	70.29	19.91	9.57	3.42	78.35	179.72	102.03	61.18	60.88	53.09	52.42	179.52	193.72	182.24
Rian	102.24	61.85	14.95	163.67	69.04	20.33	94.83	80.89	59.93	133.95	0.0	0.0	32.31	54.76	47.52	19.14	108.21	62.49	17.78	35.95	97.59	112.71	112.76	108.93	79.97	67.76	439.96	415.61	429.09
Rnf103	0.0	0.0	0.0	5.64	0.0	0.0	91.23	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.56	0.15	0.0	56.1	0.0	0.0	46.31	0.0	0.0	8.3	8.38	42.32	41.97	39.05
Rps15a	13.9	20.66	35.59	9.29	21.63	38.01	12.38	1.17	0.05	5.96	0.0	93.41	14.68	18.08	21.02	30.71	18.21	22.15	24.3	43.01	15.39	51.94	0.14	68.72	21.34	15.94	51.8	52.3	52.1
Rtkn	8.63	0.0	89.06	0.0	31.61	42.08	66.06	122.36	0.0	0.0	0.0	0.0	9.94	5.54	0.0	60.45	0.0	0.0	0.0	0.0	37.75	51.5	0.0	270.96	24.27	17.97	50.12	53.99	53.19
Shc4	0.05	0.09	0.06	0.06	0.04	0.0	0.18	0.95	0.33	0.2	0.0	0.0	0.1	0.25	0.13	0.16	0.22	0.2	0.19	0.0	0.0	0.06	0.53	21.07	0.21	1.0	3.67	3.72	3.37
Sipa1l2	1.37	0.0	0.0	0.0	32.48	0.0	0.0	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	15.54	3.16	0.07	0.0	0.0	22.01	0.0	0.0	54.23	1.34	0.86	23.21	24.3	24.69
Spaca5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.33	0.0	0.0	0.0	0.0	0.17
Sst	54779.79	110572.87	47293.26	52293.57	92299.24	48476.57	72114.03	41248.39	79456.04	80147.45	0.0	0.0	56866.87	51085.86	51551.12	68952.67	54941.04	65451.11	55479.93	53524.63	63808.17	78404.02	70180.73	43001.18	0.0	0.0	558.6	588.98	558.0
Sult4a1	136.54	184.34	168.82	240.86	78.07	130.18	148.4	0.41	176.22	413.25	0.0	0.0	242.74	175.9	232.14	81.03	170.21	105.23	134.51	151.16	165.27	399.26	318.82	329.23	269.03	262.99	438.7	457.81	456.98
Synpo2l	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.14	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.04	0.05	0.0	0.0	18.57	0.09	0.07	0.3	0.18	0.36
Taf4b	0.0	0.0	0.0	13.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.38	0.4	0.0	2.8	2.73	2.81
Tha1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.9	1.32	0.76	4.91	5.14	3.96
Timm50	125.66	50.21	0.0	0.0	15.54	0.0	0.0	0.86	0.0	0.0	0.0	0.0	34.74	1.35	0.0	54.28	10.06	0.0	0.0	0.0	35.47	48.49	0.0	105.17	4.21	10.0	41.0	41.99	46.28
Tkt	77.68	190.05	66.42	64.41	105.79	134.42	91.09	0.0	75.74	87.56	0.0	0.0	61.01	37.67	63.14	2.18	107.62	43.52	0.0	63.29	49.79	49.52	0.0	287.57	42.68	44.9	87.09	95.71	91.9
Tpbg	22.88	4.24	0.07	50.48	0.0	0.0	0.0	5.31	0.0	0.0	0.0	0.0	8.96	4.13	0.08	0.0	0.0	0.0	0.0	4.55	3.36	17.44	4.12	40.24	24.11	19.93	11.88	12.76	11.36
Trp53rk	0.6	0.74	0.21	0.81	2.15	0.33	1.35	7.6	0.96	0.65	8.67	0.0	0.81	0.88	0.22	0.82	1.05	0.59	1.06	0.6	1.1	0.28	2.42	19.68	0.99	0.32	3.58	3.22	2.95
Tsen15	56.17	0.0	0.0	0.0	16.91	14.18	0.0	0.0	0.0	78.25	0.0	0.0	0.0	0.0	10.0	57.79	39.14	0.0	0.43	0.0	0.0	53.18	0.0	95.01	40.13	21.2	32.27	27.72	33.68
Tspan33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	1.01	0.0	2.47	0.11	0.0	9.84	0.0	0.23	0.0	73.5	4.43	1.8	24.71	24.7	24.78
Tulp3	0.09	0.32	0.07	0.2	0.08	0.0	0.12	0.0	0.14	0.33	0.13	0.0	1.22	0.74	0.81	0.51	0.5	0.5	0.14	0.38	8.75	0.18	0.17	8.41	3.45	2.46	14.82	15.52	13.9
Usp42	0.67	0.0	1.31	0.0	0.0	28.51	0.0	0.0	0.0	1.7	0.0	0.0	8.53	12.87	1.3	0.0	0.0	0.0	0.0	0.0	14.95	0.6	7.96	61.77	6.55	8.34	15.21	16.29	14.88
Wasf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.57	0.0	0.17	11.67	11.02	11.29
Wdr62	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.41	0.0	0.0	0.93	1.07	0.92
Zfp1	0.81	51.66	0.41	25.36	57.15	0.0	3.2	8.85	105.6	0.85	2.28	4.14	40.02	28.57	39.77	1.38	0.77	28.24	0.26	1.87	0.29	44.21	1.23	174.16	31.9	52.37	24.24	24.25	24.3
Zfp326	2.22	15.61	0.57	0.94	0.0	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.36	14.17	13.46	1.93	0.0	0.08	0.0	1.53	13.05	2.77	0.0	27.55	5.96	3.32	26.86	26.61	26.66
Zfp389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.89	0.0	15.51	0.0	0.0	1.0	0.0	115.52	0.0	0.0	0.98	0.92	1.01
Zfp664	32.29	0.0	0.0	0.0	16.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.98	0.0	37.4	0.0	3.56	0.0	17.68	0.0	0.0	0.0	102.13	4.94	9.47	74.37	72.05	69.74
Zfp689	0.4	0.44	0.28	0.37	0.0	0.0	1.09	1.83	0.45	40.65	0.22	0.0	0.21	24.52	0.53	0.82	0.08	0.12	0.19	0.11	0.31	0.17	1.61	47.55	5.74	5.18	4.97	5.35	4.93
c3_SSU-rRNA_Hsa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.47	0.0	0.0	0.0	0.29	0.0
