	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_13	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_22	Chat_tdTpositive_cell_5	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_9	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_38	Htr3a_tdTpositive_cell_39	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_73	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_1	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_60	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_46	Scnn1a.Tg3_tdTpositive_cell_103	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_36	Vip_tdTpositive_cell_70
Gm14434	0.37	39.83	0.0	48.94	1.01	0.0	38.86	0.0	12.63	11.32	0.28	15.9	5.49	0.13	11.55	2.02	0.0	19.2	0.0	28.18	56.93	0.0	97.85	27.27	0.19	9.16	11.59	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.83	0.0	22.08	0.11	3.76	0.0	2.33
Gm4724	0.37	39.83	0.0	48.94	1.01	0.0	38.86	0.0	12.63	11.32	0.28	15.9	5.49	0.13	11.55	2.02	0.0	19.2	0.0	28.18	56.93	0.0	97.85	27.27	0.19	9.16	11.59	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.83	0.0	22.08	0.11	3.76	0.0	2.33
Gm5177	34.96	36.93	29.96	18.75	33.26	30.24	25.96	0.6	33.42	27.08	33.31	30.01	33.63	29.11	37.36	34.33	33.25	19.33	22.67	16.39	47.05	33.91	22.88	37.19	37.57	45.57	38.31	40.21	0.65	0.11	9.15	0.0	31.84	6.84	16.79	15.89	14.78	15.38	36.71	31.31	32.09	16.69	16.0
Gnao1	155.98	140.37	104.75	49.04	232.27	376.14	231.3	0.0	81.16	355.48	134.33	193.42	189.76	46.1	360.56	19.84	26.72	55.63	29.09	10.46	217.65	86.86	166.71	299.63	197.74	198.3	569.21	226.17	0.0	0.0	0.0	7.63	331.36	97.93	0.0	0.68	24.56	130.24	220.98	237.11	83.73	105.25	11.84
Gng2	418.12	124.77	243.04	7.93	479.12	296.63	590.45	0.28	274.89	428.65	3.61	275.44	474.22	82.12	416.61	305.01	198.09	126.3	22.97	205.1	407.79	141.09	600.82	320.37	204.33	492.71	345.43	369.02	1.66	0.23	0.44	0.0	113.01	0.0	100.59	0.18	714.94	362.76	182.89	0.0	515.19	1.74	336.68
Prkra	363.92	0.0	0.0	0.0	126.45	0.0	108.86	0.0	96.4	2.22	0.0	118.2	202.01	0.0	335.38	0.0	0.0	115.28	0.0	0.0	182.13	0.0	174.96	0.0	159.07	48.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scd2	176.38	14.16	17.38	97.94	32.32	204.09	200.66	0.0	0.0	74.65	3.45	39.66	101.19	11.26	166.6	0.12	109.66	0.18	6.84	0.08	61.28	136.95	58.36	116.88	0.2	121.67	50.61	60.7	0.0	0.0	0.0	0.0	17.27	0.24	0.11	0.0	125.65	8.77	1.59	10.03	37.81	102.97	16.57
Shisa9	33.62	0.04	0.0	0.0	4.08	0.0	51.69	0.0	82.56	8.8	3.83	62.75	57.1	19.25	31.12	175.46	0.0	65.63	0.0	0.0	0.09	24.74	102.65	3.65	79.78	30.86	114.54	68.11	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	403.61	6.76	35.19	0.0	35.53	0.0	0.0
Snrnp40	312.21	4.09	3.35	0.0	0.0	0.0	176.49	0.0	155.21	0.0	115.4	56.76	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.12	0.0	199.96	75.35	132.66	14.51	78.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.31	12.03	0.0	0.0	97.43	0.0	0.0
Wars	0.24	482.81	0.0	0.07	136.41	0.0	158.76	0.0	153.87	187.98	182.33	42.14	414.03	0.0	192.2	96.13	15.02	95.53	124.36	0.16	170.21	0.0	504.35	459.27	0.0	86.44	96.27	293.47	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	172.34	180.88	231.44	0.0	3.47	0.0	482.85
Wdr35	148.23	0.04	0.97	0.09	6.97	0.0	181.67	0.0	0.0	30.58	46.2	48.13	37.21	0.0	223.14	3.5	164.53	0.0	0.0	0.0	10.73	2.26	0.0	0.0	60.82	80.93	58.43	13.36	0.0	0.0	0.0	0.0	125.57	0.0	0.0	0.0	231.24	0.0	0.33	0.0	89.99	0.0	0.0
