	Calb2_tdTpositive_cell_33	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Chrna2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_63	Htr3a_tdTpositive_cell_100	Htr3a_tdTpositive_cell_109	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_114	Nos1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_31	Rbp4_tdTpositive_cell_99	Rorb_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_11	Vip_tdTpositive_cell_20	CAV_LP_Ipsi_tdTpos_cell_11
9130221F21Rik	6.87	0.43	13.95	4.6	1.29	1.61	6.54	14.66	6.64	7.6	9.28	0.63	13.06	8.72	5.34	2.59	11.46	6.29	4.13	6.74	1.62	1.43	1.9	19.37	8.05	2.78
A430107P09Rik	76.72	23.73	34.88	32.82	14.58	23.33	54.24	83.74	39.5	69.84	72.37	10.06	61.27	31.99	48.61	25.32	50.03	44.19	23.77	38.32	20.38	45.68	13.45	57.78	81.29	65.9
A730017L22Rik	78.14	14.52	65.41	46.79	32.91	28.59	68.45	108.03	50.65	77.67	106.71	25.9	114.46	92.13	36.76	32.28	45.31	47.3	26.92	57.66	27.72	52.59	20.81	80.07	71.53	85.94
Aim2	13.66	1.35	7.17	5.46	5.12	2.99	7.19	22.86	10.01	9.72	6.09	2.01	15.46	4.62	2.53	4.37	12.1	89.41	3.33	5.83	3.86	12.06	1.86	16.08	9.82	10.7
Aldoa	11485.19	10293.64	13597.95	9857.88	9404.03	10922.55	10937.95	12694.2	9609.04	10127.43	12406.05	9528.25	12801.23	13515.12	9469.88	14715.13	13848.9	11924.07	12605.63	9702.02	8775.75	10151.86	7835.54	10945.65	11283.91	12521.72
Amy2a2	0.85	0.47	0.04	0.1	0.15	0.09	0.5	0.33	0.26	0.38	0.18	0.09	0.0	0.15	0.18	0.12	0.29	0.0	0.25	0.43	0.03	0.23	0.0	0.57	0.26	0.22
Amy2a3	0.85	0.47	0.04	0.1	0.15	0.09	0.5	0.33	0.26	0.38	0.18	0.09	0.0	0.15	0.18	0.12	0.29	0.0	0.25	0.43	0.03	0.23	0.0	0.57	0.26	0.22
Amy2a4	0.85	0.47	0.04	0.1	0.15	0.09	0.5	0.33	0.26	0.38	0.18	0.09	0.0	0.15	0.18	0.12	0.29	0.0	0.25	0.43	0.03	0.23	0.0	0.57	0.26	0.22
Bbox1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brip1	7.83	4.55	6.6	5.28	3.43	4.6	6.6	9.4	5.17	5.78	9.79	7.14	6.92	4.4	2.63	2.52	4.76	4.16	4.54	3.06	3.2	6.9	2.32	10.0	12.01	9.82
Btbd16	19.65	2.7	12.31	8.87	2.94	3.01	10.27	29.7	14.49	8.89	21.73	6.91	22.71	10.34	2.64	4.45	12.94	17.36	8.11	8.63	7.19	4.3	2.59	26.03	12.19	12.44
C920009B18Rik	5.96	0.23	1.4	1.35	0.0	0.09	1.07	2.03	0.47	1.53	1.12	0.0	1.15	1.53	0.2	0.35	1.83	3.06	0.24	0.29	0.07	0.68	0.0	3.15	2.0	1.56
Cbln3	1.39	1.14	0.94	1.03	0.46	1.4	0.86	1.66	0.91	1.07	1.67	0.45	0.69	0.86	0.13	0.33	0.89	0.82	0.54	1.08	0.42	0.0	0.0	0.88	1.32	0.28
Ccdc75	154.27	2.86	2.35	15.0	0.65	0.25	2.14	111.96	6.42	1.55	1.76	0.42	0.73	11.75	3.32	13.24	0.71	32.48	96.97	0.26	0.28	70.88	14.89	56.84	318.62	67.32
Ccdc82	134.53	93.41	150.72	108.63	29.86	109.66	121.89	245.7	127.77	99.53	162.69	46.51	157.29	129.79	51.78	50.09	78.96	155.98	48.85	108.58	88.98	118.53	61.86	221.41	267.72	77.69
Clec2h	0.5	1.21	0.26	0.36	0.33	0.43	0.0	0.37	0.18	0.16	0.4	0.0	0.87	1.51	0.0	0.35	0.0	0.0	0.32	0.0	1.18	1.12	0.45	0.66	0.82	5.17
Colec12	26.8	12.39	16.15	16.24	9.18	10.27	28.02	39.14	14.52	18.86	30.93	9.1	24.41	21.19	11.81	11.49	15.87	21.03	14.98	31.26	18.25	24.64	14.39	29.85	29.95	27.2
Ctcfl	5.15	1.49	4.01	4.33	1.59	1.33	4.52	5.4	3.34	3.3	4.63	1.35	2.78	3.3	1.95	1.4	3.92	0.91	0.62	2.96	1.96	2.68	0.51	5.48	3.87	3.22
Ctla2a	128.82	32.07	88.98	69.27	35.41	37.57	66.9	130.56	77.21	89.55	118.3	33.38	104.7	99.95	27.73	47.18	76.73	70.34	32.71	91.87	27.49	51.75	26.02	122.19	216.88	68.76
Cts8	1.39	0.36	0.56	1.62	0.43	0.68	0.87	2.24	0.39	0.68	0.91	0.14	1.73	1.18	0.17	1.08	0.94	0.33	0.73	0.17	1.01	0.0	0.14	2.03	0.36	0.31
Cxcr2	30.7	107.71	86.01	21.87	30.21	22.65	30.36	60.85	19.69	35.49	49.8	42.58	43.77	94.85	34.33	20.61	63.23	35.88	16.55	27.65	15.44	19.68	23.44	153.55	45.03	49.87
D630045M09Rik	3.7	2.98	6.12	1.05	0.71	3.35	1.76	7.51	1.6	2.41	6.6	1.44	4.02	3.11	2.31	4.94	2.17	1.28	7.23	5.26	0.0	3.68	0.89	2.58	2.35	4.6
E130008D07Rik	9.34	6.13	6.11	5.38	1.66	5.61	5.28	7.05	3.02	3.44	6.96	0.07	10.79	3.28	0.28	1.27	3.13	5.53	5.43	3.03	2.27	4.61	1.44	8.1	11.88	4.68
Eif2ak2	35.77	12.83	32.65	10.92	13.23	7.06	34.6	53.22	32.17	30.54	36.17	4.63	39.71	25.89	7.17	15.32	21.71	23.95	18.6	34.52	15.57	25.92	10.62	24.28	61.19	38.35
Ermap	3.23	0.18	2.2	0.92	0.51	1.0	1.34	2.22	1.15	3.05	2.55	0.5	3.25	0.99	1.68	1.38	2.54	1.64	0.98	0.84	2.14	2.36	0.3	7.24	4.15	6.13
Gm10389	32.57	24.01	59.23	18.62	78.4	18.28	21.63	45.52	20.78	37.78	54.13	61.49	39.8	44.44	14.47	24.98	28.39	23.96	13.54	28.67	11.93	21.94	8.25	41.13	35.95	116.98
Gm10789	1.9	0.38	2.15	2.73	0.61	0.17	1.91	4.11	1.09	1.93	3.13	0.07	3.77	2.33	0.64	1.44	2.6	1.13	2.97	0.97	1.53	1.61	0.86	2.53	1.18	2.19
Gm11128	5.08	1.52	7.11	3.36	2.48	0.63	3.02	7.17	4.63	3.45	6.34	3.59	2.25	0.75	2.16	4.02	5.3	2.86	1.53	6.4	3.11	2.93	1.29	2.4	8.75	2.56
Gm15880	0.11	0.47	0.19	0.52	0.1	0.35	0.32	0.33	0.05	0.85	0.37	0.0	0.0	0.3	0.0	0.87	0.26	1.15	0.0	0.22	0.0	0.21	0.0	0.16	0.26	1.56
Gm17821	233.53	62.19	180.87	133.47	69.14	68.49	201.92	285.29	134.97	189.66	290.76	54.5	310.14	180.27	66.93	111.71	123.67	136.69	102.3	161.51	57.5	136.32	47.91	245.88	320.35	195.07
Gm19619	9.95	1.61	10.05	2.2	2.75	2.86	8.82	13.26	8.1	9.25	6.57	1.61	10.1	7.43	2.87	5.14	12.89	6.85	1.55	4.16	0.61	3.34	0.22	16.13	17.3	6.55
Gm5607	10.27	2.97	7.37	3.93	3.01	3.58	4.45	12.38	6.13	8.01	7.87	1.04	6.51	4.3	2.74	5.12	5.24	6.31	5.99	4.27	2.59	8.16	1.23	7.72	14.46	5.19
Gm5934	3.05	3.54	1.1	3.96	0.0	0.78	0.45	1.94	1.36	1.12	0.63	0.13	0.66	0.0	0.31	0.1	0.83	0.43	0.0	0.7	0.09	0.17	0.0	0.88	4.34	1.54
Gm6300	83.89	31.83	64.2	52.02	17.29	22.26	65.28	116.7	37.22	70.91	97.8	23.27	109.64	54.85	23.97	27.78	37.5	41.51	27.13	63.57	18.55	46.16	16.17	62.33	73.93	75.26
Gm6307	5.31	1.4	2.99	1.31	0.21	0.86	1.37	1.79	1.17	1.21	2.77	1.17	2.49	1.32	1.87	2.96	5.02	2.01	1.28	2.04	0.31	0.0	1.44	3.24	4.32	2.84
Gm6313	18.3	8.97	19.64	7.69	8.45	3.24	18.15	32.21	8.42	16.2	15.19	0.69	18.38	18.96	7.15	4.49	13.82	15.21	3.69	12.45	14.24	9.54	9.15	20.14	12.03	14.57
Gm6602	24.23	1.75	7.38	6.08	2.02	3.82	10.32	23.53	11.83	14.35	21.68	1.66	15.16	8.94	4.56	8.25	17.21	11.93	7.37	11.05	4.28	13.68	3.18	11.56	34.17	20.71
Gm9159	29.26	18.96	22.83	23.41	5.64	6.67	32.7	65.81	31.58	19.96	35.54	9.76	27.78	18.42	4.46	14.63	31.46	24.31	5.45	24.52	8.62	13.73	8.06	53.53	163.53	22.04
Grk4	446.34	86.1	344.18	160.28	76.53	113.65	283.54	354.44	188.53	286.51	523.52	95.04	532.07	215.3	106.36	178.26	179.11	223.17	139.21	239.32	117.3	196.69	91.06	399.98	588.14	221.67
H2-Q4	119.47	14.8	64.56	55.82	20.49	38.68	83.0	123.66	102.76	76.38	107.93	13.95	125.19	99.84	37.55	52.69	91.46	80.8	53.09	94.79	11.15	55.01	11.18	134.27	109.29	105.88
Hmcn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hmmr	17.23	5.89	12.14	8.14	6.34	5.41	7.14	16.93	9.73	5.04	19.33	1.4	27.33	6.51	1.13	5.2	6.46	10.9	3.27	5.56	5.52	9.29	7.44	15.9	13.58	11.56
Il22ra1	1.04	0.0	0.48	0.17	0.07	0.29	0.48	0.99	0.39	0.88	0.07	0.0	0.45	0.37	0.0	0.6	0.38	0.79	0.08	1.05	0.0	0.07	0.0	0.45	0.1	0.66
Kcnq1ot1	66.41	25.0	58.45	24.59	11.9	21.12	42.0	66.75	32.48	50.53	66.89	12.22	72.73	40.06	14.61	22.81	26.54	39.84	18.91	38.49	17.39	28.65	15.42	58.66	72.27	36.33
Mir370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nuf2	3.79	0.0	2.06	0.3	1.49	2.56	1.28	3.26	0.93	1.67	1.99	0.29	3.66	1.34	8.97	0.88	1.65	2.67	1.19	0.88	1.64	1.1	0.0	2.68	1.34	3.9
Olfr613	87.44	7.76	97.41	37.01	28.03	24.95	71.98	96.19	67.27	63.57	78.61	22.59	106.51	67.23	16.47	37.52	72.32	53.98	32.03	76.24	18.49	42.49	18.7	95.98	102.8	78.16
Pan3	16.77	26.12	23.78	52.57	0.59	16.54	37.71	46.12	8.74	35.7	57.08	0.14	56.75	25.57	0.57	20.88	14.15	49.35	25.08	26.5	3.02	16.0	20.93	42.38	13.01	55.4
Pdzd8	5.68	47.84	45.13	0.0	2.35	98.26	18.76	63.52	20.35	15.27	16.7	31.94	16.17	34.76	0.41	17.51	27.69	73.55	17.13	17.47	15.47	15.59	15.35	66.19	49.56	33.22
Pi15	32.07	12.21	20.76	11.39	6.36	7.21	14.31	24.07	13.36	19.25	23.15	1.23	16.93	14.98	9.09	15.58	18.35	17.08	13.35	10.79	11.32	13.24	4.62	24.73	35.88	19.81
Psg23	7.78	1.47	5.58	8.9	3.18	3.71	10.43	12.05	10.43	9.22	6.09	0.0	4.23	2.88	1.48	2.84	13.55	3.16	3.78	8.3	8.34	3.75	2.26	20.4	14.33	11.68
Rdh1	39.76	6.66	31.31	19.57	6.01	10.41	15.55	49.9	24.98	32.98	35.99	8.94	40.0	20.68	12.95	27.36	25.93	26.41	10.19	22.35	15.5	26.76	5.42	43.14	56.75	32.52
Rfpl3s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rras	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skint4	8.22	0.5	7.04	4.88	5.04	2.5	7.82	16.31	8.88	5.39	9.57	0.84	9.3	4.54	1.47	2.75	4.31	3.29	2.68	5.84	1.85	6.03	1.62	8.09	13.3	7.87
Slc25a34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc6a18	4.44	1.57	2.99	2.21	2.37	4.4	2.51	3.99	4.22	3.69	4.43	0.43	5.9	3.58	2.16	2.54	2.28	1.65	1.47	5.65	0.33	2.69	3.12	4.63	4.5	3.92
Slfn9	13.95	14.61	18.48	6.51	3.88	8.78	10.27	24.37	9.9	14.37	14.51	2.7	16.52	4.57	7.27	8.86	8.59	8.63	10.07	14.14	6.48	9.41	2.29	10.52	17.66	13.1
Taf5l	55.02	0.0	0.0	0.0	0.0	0.0	0.0	3.01	0.0	0.0	60.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0
Tfcp2l1	0.28	0.89	0.15	0.53	0.26	0.25	0.45	0.51	1.15	0.25	0.27	0.0	0.62	0.2	0.17	0.19	0.56	0.28	0.1	0.35	0.38	0.34	0.11	0.77	0.87	0.43
Tnfrsf10b	30.74	3.2	17.55	11.61	10.32	8.52	16.3	59.47	17.65	25.38	32.49	9.59	39.02	22.93	8.11	19.4	26.16	21.95	14.32	19.77	2.52	18.63	7.36	33.71	24.9	31.7
Tyms	50.42	21.34	70.94	41.71	17.64	27.15	79.67	73.9	76.35	73.42	94.71	15.62	97.1	65.32	18.27	30.7	56.67	41.09	31.17	103.33	22.44	50.06	20.7	111.46	157.69	84.67
Vmn1r58	134.31	15.77	165.39	98.34	60.94	46.61	145.66	257.07	93.85	155.09	141.5	21.95	184.4	89.86	32.95	81.13	111.29	122.01	30.05	111.74	44.23	108.65	37.37	139.94	118.34	153.02
Xcr1	4.03	0.58	3.25	1.72	0.56	0.81	2.85	4.2	2.1	2.39	1.79	0.24	4.11	1.62	1.25	1.09	2.65	1.25	0.81	4.15	0.76	1.83	0.39	3.35	4.11	2.08
Zfp488	298.44	86.33	267.13	200.67	94.64	101.53	246.43	311.07	202.51	218.86	315.63	55.79	323.07	263.09	51.28	105.61	231.54	138.98	122.86	194.72	59.52	170.71	41.88	319.88	486.18	243.21
Zfp553	4.45	0.14	3.24	2.22	0.74	0.8	2.88	12.85	2.68	3.02	2.85	0.39	2.24	0.63	0.0	1.25	1.66	0.01	1.68	0.58	0.37	1.28	0.0	0.39	2.79	2.29
