	Ctgf_tdTpositive_cell_5	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTnegative_cell_5	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_41	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_23	Nos1_tdTpositive_cell_66	Nos1_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_33	Ntsr1_tdTnegative_cell_56	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_33	PvalbF.Gad2_tdTpositive_cell_35	PvalbF.Gad2_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_88	PvalbF.Gad2_tdTpositive_cell_90	Rbp4_tdTpositive_cell_174	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTnegative_cell_11	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_10
Kdr	3.52	0.0	0.0	0.08	0.0	0.0	0.0	341.95	338.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.67	0.0	0.0	0.0	9.98	0.0	0.0	0.0	0.0	0.19	0.0	0.0
Mcf2l	186.96	5.06	7.84	3.32	0.0	0.0	0.0	266.18	249.54	8.51	0.0	4.19	4.8	0.0	0.23	0.41	0.44	19.55	25.42	0.0	28.23	33.0	1.11	1.8	0.0	0.06	0.0	12.12	18.01
Mis12	648.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	933.14	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	12.58	24.1	75.95	24.48	0.06	0.19	0.0	0.1	0.0	48.84	28.57
Mrpl36	884.85	0.0	0.0	0.0	0.53	0.57	0.0	105.96	1109.59	188.81	0.73	254.99	0.0	0.0	2.77	4.88	113.43	32.56	116.9	25.34	135.96	88.9	5.01	30.36	6.91	0.99	0.0	181.21	258.52
Mtap4	1378.73	90.54	2.77	12.1	0.0	70.4	0.0	375.36	226.01	172.9	0.22	62.51	16.92	0.0	0.28	1.08	79.48	79.33	168.8	67.84	75.98	149.37	4.77	47.07	3.88	0.05	0.3	89.82	106.44
Mtch2	0.0	0.0	65.85	0.0	0.0	3.06	0.0	720.29	886.11	0.24	346.58	177.45	8.19	324.35	0.99	22.65	227.51	148.72	192.7	35.81	99.56	54.59	0.75	144.41	1.48	0.0	0.0	278.64	238.98
Pmpcb	0.0	0.21	0.0	0.0	0.0	718.1	0.0	1064.8	1564.42	0.0	0.1	82.36	32.37	597.81	0.0	0.67	90.66	159.73	131.14	129.95	146.78	44.65	25.62	0.16	0.76	0.18	0.0	159.24	84.29
Ppid	1341.7	0.0	0.24	0.0	0.0	0.86	0.0	0.0	1546.58	240.02	0.44	210.76	5.41	0.0	1.15	3.7	16.81	117.28	250.08	273.68	214.64	239.27	1.6	18.07	254.98	0.17	0.0	266.48	249.78
Psmb4	2616.91	0.0	0.0	0.0	0.0	0.5	0.0	67.48	1117.09	27.81	0.0	141.66	0.0	0.0	0.66	1.15	1.99	108.74	92.85	14.39	56.42	49.54	154.9	99.54	41.89	0.31	0.0	126.44	81.89
Ptpn12	2.85	0.0	0.25	1.07	0.0	0.0	0.0	543.54	860.52	0.0	0.0	5.6	0.14	0.0	0.19	0.66	17.92	49.09	16.09	0.0	1.45	21.2	4.09	0.0	42.77	0.0	0.0	11.5	5.6
Rbbp4	145.87	0.52	37.61	1.13	0.1	1.11	1.32	536.13	437.77	0.47	7.79	5.34	0.85	30.39	5.66	2.69	0.0	68.89	55.57	13.44	34.65	30.31	42.58	48.4	218.76	0.63	1.69	102.57	42.41
Rnps1	110.62	0.0	0.0	0.0	0.0	0.0	0.0	882.91	1423.96	16.18	0.0	18.58	2.15	0.0	1.12	3.95	73.63	159.35	114.03	1.11	128.19	136.53	56.36	23.84	53.81	27.44	26.83	137.93	105.48
Sav1	188.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	315.83	14.87	0.0	0.0	0.17	0.0	0.0	0.0	0.0	16.47	0.0	0.0	0.0	11.9	15.45	0.0	0.0	0.0	0.0	6.05	0.24
Serf2	399.43	1.85	0.0	400.74	0.0	372.65	0.0	0.0	393.19	189.07	8.49	90.63	159.45	40.31	78.05	1.73	232.05	67.22	130.14	148.78	61.89	156.85	133.6	125.19	251.33	105.78	97.71	100.39	122.77
Slc31a1	0.0	206.93	0.11	656.4	0.0	0.0	0.0	880.71	638.03	0.0	177.85	34.41	0.0	0.0	0.0	0.0	0.0	13.93	8.07	0.0	33.4	13.52	0.0	0.0	0.0	0.0	0.0	7.25	8.8
Snrpe	2068.59	0.0	0.0	0.96	0.0	0.0	0.0	959.7	1442.2	519.2	0.0	118.18	0.0	0.0	0.0	4.74	250.08	132.75	233.14	221.44	328.12	228.01	367.4	474.36	2.69	0.0	0.0	404.11	412.4
Srgap2	228.03	0.0	38.96	68.25	94.18	0.0	0.0	0.0	146.52	0.07	0.02	41.98	26.51	0.0	0.07	0.0	22.16	5.85	17.5	1.25	5.26	17.32	6.2	3.54	146.45	0.0	0.0	3.84	10.18
Srp9	354.48	0.0	0.0	0.0	0.0	0.0	0.0	1636.8	181.92	115.68	0.0	1.45	31.0	0.0	0.44	1.55	87.15	122.33	180.16	91.08	74.57	83.62	194.74	175.81	1.75	0.0	0.0	168.29	127.43
Strap	439.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	556.71	0.0	0.06	46.17	40.72	0.0	0.0	1.19	43.25	46.91	29.67	125.11	4.29	175.53	0.78	0.78	0.45	0.11	0.0	25.47	10.02
Sypl	0.09	0.0	0.0	301.64	0.0	0.0	0.0	915.85	512.99	1.59	0.0	0.0	0.0	0.09	0.52	1.36	0.39	15.97	36.61	0.0	9.8	108.13	0.39	14.63	0.0	0.0	0.23	22.08	11.54
Tbrg1	46.51	0.21	0.0	0.0	0.0	0.0	710.08	767.85	1027.02	153.35	9.21	13.15	0.14	144.0	1.55	1.77	6.21	30.63	114.97	81.77	90.2	47.69	0.44	0.17	0.77	0.19	0.0	243.36	250.62
Tceb3	0.0	21.13	0.0	222.55	0.0	0.0	0.22	565.6	656.64	1.62	0.07	0.0	2.32	0.0	0.39	0.0	0.0	0.0	51.53	0.0	59.52	19.58	0.74	0.06	491.25	0.0	0.0	30.96	29.48
Vps25	2584.93	0.32	0.0	0.0	0.0	0.0	0.0	0.36	1545.96	160.78	0.15	0.0	0.0	1.67	0.0	119.27	158.01	41.1	105.91	120.37	61.17	216.39	362.33	205.73	1.16	0.0	0.0	116.94	141.18
Wasf3	207.97	0.0	0.0	0.0	0.0	66.31	0.0	0.0	156.58	0.0	0.0	1.66	0.0	0.0	0.0	0.0	0.0	7.28	4.92	6.7	51.02	19.27	9.23	2.49	154.11	0.0	0.0	11.57	7.95
Wbp2	451.28	0.0	0.45	0.0	0.0	798.22	12.32	775.3	629.48	5.84	0.0	46.2	9.76	522.59	19.21	10.07	51.55	158.12	264.26	92.61	276.51	197.9	198.26	269.44	6.04	0.64	0.59	528.08	550.57
Xiap	548.71	0.1	0.06	0.06	0.0	0.0	0.0	0.0	404.38	0.09	0.05	0.0	26.52	0.0	0.0	0.0	44.34	31.56	10.27	14.68	0.0	32.56	0.52	44.35	0.25	0.04	0.0	21.5	8.97
Zcchc17	0.0	0.0	0.0	69.2	0.0	0.0	0.0	145.22	764.13	4.58	80.84	121.91	127.14	0.0	1.02	12.87	163.3	96.21	101.61	46.68	72.27	120.46	143.44	33.82	1.72	0.0	0.0	185.61	177.58
mt_GU332589	11899.79	28558.05	21230.38	14764.74	5325.98	10592.47	7778.38	10490.52	12014.73	22738.66	26493.16	13741.48	28909.02	9182.77	7231.4	12431.83	10398.78	31086.28	16090.8	21460.06	22390.28	20242.91	18187.79	19369.81	19212.31	1737.43	935.48	3249.97	3494.9
