	Calb2_tdTpositive_cell_58	Chrna2_tdTpositive_cell_43	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_9	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_1	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_9	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_13	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_55	PvalbD.Slc32a1_tdTpositive_cell_2	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_55	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	PvalbF.Gad2_tdTpositive_cell_89	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Sst_tdTpositive_cell_106
Nefh	0.0	0.41	0.0	0.0	79.5	8.52	0.0	26.77	1.47	25.17	40.51	33.18	89.63	80.6	18.8	124.68	147.49	75.57	42.54	0.1	46.87	97.76	27.34	73.02	114.82	28.17	51.63	84.01	51.9	0.78	94.02	62.19	100.1	103.28	2.62	116.26	0.0	98.2	51.25	0.0
Osbpl6	0.0	0.0	0.0	0.0	18.41	38.81	0.0	6.15	2.98	12.65	9.78	1.85	16.95	11.46	2.51	8.09	12.32	26.42	13.54	3.21	30.39	56.23	3.48	12.92	24.05	36.79	14.47	21.8	12.84	5.18	6.1	4.99	0.58	27.89	6.04	5.18	0.0	19.77	9.69	0.04
Phf3	0.0	0.36	0.0	0.0	0.0	26.67	0.0	1.3	0.17	0.36	26.73	0.49	3.4	9.57	0.0	1.97	9.44	0.49	0.11	0.77	19.75	8.06	0.0	0.0	39.78	8.01	0.0	13.16	0.0	0.0	3.45	0.1	13.15	2.21	11.33	2.44	0.0	0.0	0.0	0.0
Ppm1b	0.0	1.34	0.0	0.0	17.89	108.34	0.0	6.98	3.45	7.09	38.64	9.5	60.47	32.45	0.0	76.58	156.06	9.11	16.15	0.0	0.0	34.82	1.03	56.11	85.36	9.42	0.0	122.4	49.27	8.46	20.57	54.44	44.7	20.35	65.92	64.77	0.0	6.14	232.8	0.0
Pvalb	0.0	1440.49	0.0	0.0	2461.61	2914.72	0.0	2576.97	1831.08	2258.23	2637.39	3332.67	1590.34	1917.82	540.22	1444.32	2136.15	1759.25	1510.65	1166.7	2248.99	1915.25	1555.2	1457.87	1909.51	1806.53	1681.17	1693.91	1839.14	2567.22	1689.22	1830.01	1823.48	1749.01	1785.85	3516.69	0.0	2759.1	3357.43	755.81
Rnf145	0.0	0.0	0.0	0.0	0.73	102.04	0.0	0.0	0.0	13.77	26.34	24.86	31.93	30.33	0.0	16.44	46.29	13.16	10.87	0.0	28.95	42.01	1.4	2.08	49.66	22.97	10.59	0.0	36.6	0.0	20.47	4.12	26.95	0.88	0.4	0.11	0.0	0.0	2.02	0.0
Senp5	0.36	0.38	0.0	0.47	23.79	0.61	0.48	16.45	0.17	12.2	14.57	7.11	13.05	14.37	1.72	21.12	52.98	14.02	18.89	2.64	39.83	8.76	5.06	1.5	33.65	40.71	24.06	39.42	33.04	22.61	23.66	56.61	11.33	20.08	12.56	19.86	0.19	2.17	10.37	0.59
Sprr2a1	0.0	0.0	0.0	0.0	0.34	0.04	0.0	0.0	0.0	0.12	0.31	0.06	0.0	0.07	0.0	0.23	0.09	0.0	0.0	0.0	0.06	0.06	0.06	0.05	0.02	0.04	0.03	0.16	0.05	0.11	0.05	0.24	0.49	0.23	0.04	0.03	0.0	0.11	0.0	0.0
Sprr2a2	0.0	0.0	0.0	0.0	0.34	0.04	0.0	0.0	0.0	0.12	0.31	0.06	0.0	0.07	0.0	0.23	0.09	0.0	0.0	0.0	0.06	0.06	0.06	0.05	0.02	0.04	0.03	0.16	0.05	0.11	0.05	0.24	0.49	0.23	0.04	0.03	0.0	0.11	0.0	0.0
Steap2	0.44	0.07	0.94	0.98	2.88	14.12	0.06	0.11	0.25	10.09	24.6	16.6	5.68	21.87	0.26	13.23	33.14	0.31	0.21	5.02	1.3	11.8	0.15	3.24	2.02	15.32	6.79	22.86	20.93	0.12	6.78	28.77	52.14	12.0	0.14	17.44	0.0	15.61	0.69	0.0
Tmem41b	1.64	0.0	0.86	0.76	22.37	141.0	1.13	71.85	46.39	1.78	31.84	2.12	82.34	47.6	0.45	45.07	27.87	137.56	20.88	11.94	36.78	39.7	13.98	0.29	79.6	33.45	27.83	45.15	42.96	0.32	89.97	56.71	30.96	30.41	31.78	0.35	0.25	10.75	5.47	0.0
