	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_161	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Srsf6	0.0	0.0	0.0	78.5	82.94	77.17
Syvn1	0.0	0.0	0.61	39.85	39.11	39.72
Taf2	0.0	0.0	0.0	24.63	22.12	21.96
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Thap1	0.0	0.0	0.0	11.57	8.88	10.81
Tmem165	0.0	0.0	0.0	31.05	35.36	33.4
Tmem180	0.0	0.0	0.0	23.52	25.51	26.07
Tnr	0.0	0.0	0.0	44.38	32.54	51.92
Trpc3	0.0	0.0	0.0	13.26	12.51	12.86
Tsc2	0.0	0.06	0.38	54.95	54.1	55.36
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tulp3	0.0	0.0	0.18	14.82	15.52	13.9
Uqcrfs1	0.0	0.0	0.0	166.68	179.28	171.66
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vps36	7.81	0.0	51.75	27.49	23.23	24.25
Zfp142	0.15	0.0	0.05	15.05	14.47	13.87
Zfp507	0.0	0.0	0.0	11.96	10.86	12.34
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
