	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_56	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_4	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_65	Rbp4_tdTpositive_cell_71	Rbp4_tdTpositive_cell_96	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_103	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_170	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_172	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Scnn1a.Tg3_tdTnegative_cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Caskin1	0.74	0.0	0.03	0.0	0.0	0.0	0.0	0.0	5.94	0.0	0.0	0.07	0.0	0.0	0.1	0.0	10.86	8.75	0.0	0.0	0.0	0.0	9.31	0.0	0.0	0.0	0.26	0.0	0.0	0.87	0.0	0.05	17.72	0.0	0.0	16.02	0.0	0.0	0.91	3.01	1.54	2.5
Ccl27b	0.0	2.22	7.78	2.68	39.72	0.0	0.0	98.78	98.8	40.41	32.42	70.05	177.4	57.56	131.13	5.88	54.51	1.96	3.75	11.9	20.62	0.0	2.86	61.04	0.0	8.68	8.96	0.6	2.6	24.03	8.55	26.53	94.11	0.0	106.16	180.86	5.22	0.0	74.98	61.27	76.52	71.98
Cdk10	13.67	181.65	137.23	0.26	294.4	0.0	0.0	0.59	0.63	10.35	0.0	0.0	0.0	0.0	0.5	0.0	0.0	227.29	0.56	83.65	100.75	230.76	173.42	111.29	96.01	0.0	60.87	0.31	10.8	24.06	92.25	0.0	0.49	146.29	0.74	15.41	0.0	0.0	61.99	39.13	33.51	50.22
Celf5	127.11	17.81	31.82	29.7	95.86	0.27	0.0	26.41	0.79	21.04	8.33	15.6	4.54	23.51	49.41	37.01	2.04	9.43	0.72	34.45	26.6	43.83	8.11	36.36	0.87	0.27	16.51	12.84	21.44	20.34	9.79	2.5	13.71	2.57	45.38	26.14	16.57	0.0	23.22	60.86	52.96	57.82
Cisd1	38.84	290.03	302.04	121.69	246.95	0.0	0.0	229.11	171.35	353.52	0.43	250.23	338.31	141.09	610.18	564.1	400.78	350.2	582.7	481.81	371.56	543.63	449.33	523.9	655.15	437.73	464.72	571.42	560.27	788.43	285.67	568.34	335.29	54.16	577.8	413.51	706.96	0.0	492.71	96.66	532.08	544.38
Clasp1	88.0	41.75	53.13	12.9	0.38	0.4	0.0	28.58	14.25	0.14	0.21	0.37	82.34	16.42	28.94	0.39	12.9	11.08	0.36	17.03	7.93	42.82	71.17	18.43	98.28	51.6	10.79	9.49	0.36	18.8	0.26	21.15	143.39	99.23	15.22	51.92	57.54	0.0	30.96	21.7	16.24	20.5
Cops6	520.21	0.38	181.53	473.4	240.55	0.0	0.0	286.67	289.71	1.02	0.0	126.93	386.7	532.53	760.34	884.57	997.06	245.16	351.31	569.93	175.17	353.22	384.0	503.14	362.68	1397.92	235.64	567.65	422.35	385.55	407.38	488.07	247.22	227.26	449.99	20.57	448.58	0.0	492.27	480.05	437.83	434.63
Cpt1c	0.0	152.81	0.16	17.63	11.77	0.0	0.0	8.49	9.72	76.66	169.29	0.31	58.49	3.01	99.56	0.0	0.98	89.39	8.42	261.63	186.12	377.77	85.29	63.36	93.19	64.81	1.73	200.99	65.06	33.11	181.12	5.55	67.11	52.93	140.27	0.16	0.0	0.0	105.92	69.16	58.93	61.74
Cul5	125.69	59.2	125.17	230.21	128.8	0.0	0.0	124.77	302.79	125.1	93.35	119.99	108.93	205.18	103.16	46.31	259.34	167.41	6.28	207.96	67.4	21.75	144.91	103.28	174.57	62.99	160.92	520.24	122.55	253.86	173.21	133.36	44.24	122.52	242.35	42.98	14.04	0.0	113.19	241.24	124.01	117.15
Dffa	175.68	0.06	0.1	0.39	0.0	0.05	0.0	58.1	0.0	0.0	0.0	1.75	0.87	0.08	7.26	95.98	173.76	0.0	0.0	29.95	33.77	24.75	122.96	0.25	0.0	0.0	18.9	0.0	0.5	48.52	0.0	0.25	0.11	0.39	2.22	0.0	4.16	0.0	19.59	33.37	38.02	24.84
Dgkg	0.0	0.26	0.0	7.33	0.0	0.0	0.0	0.04	0.12	0.0	0.07	0.0	16.52	0.2	56.13	0.0	16.06	7.34	0.64	0.11	29.53	7.82	40.47	0.11	30.75	103.58	25.95	3.85	0.16	30.77	24.33	8.42	0.42	0.0	38.06	18.86	27.17	0.0	32.89	22.61	23.32	22.05
Dld	173.66	174.66	160.37	505.51	150.35	0.0	0.0	318.29	114.39	186.04	553.53	202.22	162.56	0.22	642.45	385.17	149.28	950.41	0.6	230.77	382.7	143.89	122.23	63.42	255.98	145.92	309.71	236.6	205.42	380.87	256.07	272.22	274.87	305.62	399.19	238.31	194.82	0.0	283.55	336.81	276.4	254.3
Dlst	0.28	0.07	0.0	1.04	0.0	0.0	0.0	151.68	0.06	0.0	0.29	0.0	58.31	23.09	0.06	79.63	0.14	0.25	0.0	1.59	91.33	171.41	100.55	2.3	47.74	173.6	3.11	14.77	0.11	68.08	47.06	127.86	0.0	0.0	0.0	1.42	16.55	0.0	84.75	62.95	67.39	62.98
Dnajc18	95.28	163.25	73.82	52.31	99.84	46.29	21.59	285.61	116.59	0.63	73.37	112.68	84.02	96.18	6.9	44.77	120.68	144.37	61.05	48.78	185.18	89.46	212.49	93.63	134.33	157.94	128.12	54.12	72.46	170.03	39.05	143.62	58.27	1.09	116.4	224.01	147.47	0.0	200.46	231.27	167.81	188.88
Dync1li2	13.44	21.75	0.19	62.82	1.52	0.0	0.0	186.72	0.73	0.0	3.55	110.6	55.76	96.76	23.36	22.31	210.01	48.28	22.7	56.49	70.22	6.9	114.17	0.06	177.46	75.83	112.44	26.36	11.66	121.34	67.53	8.37	78.72	167.63	55.04	5.05	37.26	0.0	44.79	66.5	44.62	44.35
Eif4b	23.31	129.46	13.28	0.0	1.13	0.18	0.0	103.64	110.34	4.47	127.16	72.64	4.4	5.83	0.37	108.3	75.13	0.36	0.0	121.68	120.14	91.32	81.89	110.3	0.0	49.18	1.52	6.04	63.16	59.41	42.62	63.98	21.49	0.0	6.57	24.77	58.52	0.0	32.25	36.46	38.69	47.55
Fam131a	157.99	15.1	241.06	263.35	259.84	0.0	0.0	89.01	61.86	3.92	420.77	28.66	138.17	83.01	0.77	190.15	129.0	2.14	2.75	83.57	234.0	268.19	219.22	10.03	85.59	109.74	42.1	49.38	118.17	141.57	68.7	171.56	28.44	428.79	134.8	22.21	189.54	18.31	160.67	131.91	175.71	155.73
Fbxl16	71.22	0.15	44.44	0.48	6.21	0.0	0.0	4.7	41.36	27.4	11.13	15.0	53.86	61.67	59.1	13.85	43.77	34.43	58.09	23.13	46.01	43.42	34.11	37.96	11.69	22.6	8.99	16.89	31.33	26.71	17.14	14.27	6.81	0.29	59.97	3.2	46.28	0.25	47.95	22.4	22.78	22.0
Fmn2	0.08	0.02	0.03	0.0	0.0	0.0	0.0	48.63	0.05	0.5	0.0	0.0	23.61	46.52	0.68	0.0	0.06	2.97	0.0	0.39	24.86	13.7	1.32	5.1	49.3	13.54	9.79	1.22	25.26	12.09	12.78	0.33	0.0	0.0	0.78	7.07	0.3	0.0	8.81	8.32	5.43	9.53
Gas6	0.0	0.0	0.88	12.68	0.42	0.0	0.0	50.18	0.45	0.0	0.0	0.0	23.24	0.0	21.07	0.0	57.53	0.53	0.0	0.0	0.0	0.0	40.96	0.0	31.23	0.0	0.0	60.44	29.79	0.0	5.71	0.0	0.0	0.0	0.66	0.22	12.02	0.0	7.88	8.52	12.09	6.17
Gm13306	0.0	2.22	7.78	2.68	39.72	0.0	0.0	98.78	98.8	40.41	32.42	70.05	177.4	57.56	131.13	5.88	54.51	1.96	3.75	11.9	20.62	0.0	2.86	61.04	0.0	8.68	8.96	0.6	2.6	24.03	8.55	26.53	94.11	0.0	106.16	180.86	5.22	0.0	74.98	61.27	76.52	71.98
Gm14431	0.0	0.15	0.9	0.41	0.32	0.0	0.0	2.68	0.0	0.55	0.95	1.39	0.95	2.54	0.0	0.0	1.31	0.0	2.14	0.38	46.38	2.62	13.46	0.2	2.83	0.32	25.0	0.16	3.52	7.06	7.93	0.16	0.0	0.0	0.21	0.17	0.28	0.07	0.51	0.99	0.9	1.65
Gm2506	0.0	2.22	7.78	2.68	39.72	0.0	0.0	98.78	98.8	40.41	32.42	70.05	177.4	57.56	131.13	5.88	54.51	1.96	3.75	11.9	20.62	0.0	2.86	61.04	0.0	8.68	8.96	0.6	2.6	24.03	8.55	26.53	94.11	0.0	106.16	180.86	5.22	0.0	74.98	61.27	76.52	71.98
Gm8898	0.0	0.15	0.9	0.41	0.32	0.0	0.0	2.68	0.0	0.55	0.95	1.39	0.95	2.54	0.0	0.0	1.31	0.0	2.14	0.38	46.38	2.62	13.46	0.2	2.83	0.32	25.0	0.16	3.52	7.06	7.93	0.16	0.0	0.0	0.21	0.17	0.28	0.07	0.51	0.99	0.9	1.65
Golga2	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	29.85	0.12	0.0	0.19	6.54	0.56	0.21	0.0	0.27	0.0	0.0	0.86	0.0	1.0	4.07	0.21	27.74	0.9	13.08	0.11	0.0	2.36	33.6	43.85	0.41	68.56	0.34	13.35	6.84	0.0	5.62	5.73	8.91	6.51
Hexim2	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	88.68	0.0	17.39	0.26	0.42	0.0	7.35	20.48	0.0	100.14	0.0	75.36	0.34	12.87	0.0	0.0	0.0	0.0	0.28	0.0	0.22	0.33	0.0	0.0	0.23	0.35	0.17	0.0	0.0	6.92	9.15	1.29
Ighmbp2	1.69	0.37	0.81	1.39	0.49	0.0	0.0	0.96	2.56	0.0	0.17	1.45	3.98	1.35	0.33	0.1	0.45	0.21	0.23	0.22	0.38	0.7	0.33	0.0	0.97	0.61	5.17	0.36	0.45	4.74	0.77	0.48	0.06	0.11	0.61	1.0	0.99	0.0	3.32	1.06	0.83	1.13
Ikbkb	0.0	0.0	0.0	1.14	113.27	0.0	0.0	1.2	0.0	6.61	0.0	1.42	21.89	54.64	12.78	0.0	0.0	0.0	0.0	34.73	0.58	111.11	0.0	0.0	1.43	0.0	0.0	0.0	3.99	0.23	0.94	1.2	0.0	0.0	0.82	0.25	0.07	0.0	10.62	18.53	16.91	7.9
Ip6k1	34.28	0.39	2.96	9.77	0.0	0.0	0.0	63.69	41.53	16.57	210.69	43.21	77.41	0.38	12.7	0.22	21.87	1.71	53.8	46.04	0.23	70.15	160.75	105.27	0.08	103.71	60.1	115.11	10.67	0.19	86.06	70.34	0.18	0.0	0.76	48.34	50.64	0.0	64.39	87.04	41.7	29.82
Isy1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.06	0.3	55.05	0.0	238.61	2.61	49.26	82.1	0.0	0.0	0.4	0.0	37.09	38.8	41.05	0.0	0.0	0.0	53.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	26.34	28.07	34.95	28.96
Kcnab2	0.64	16.08	0.63	10.55	0.0	0.0	0.0	1.83	9.41	0.3	1.1	7.38	40.37	1.15	87.23	0.64	52.91	2.67	0.99	23.84	9.55	70.29	18.17	73.02	66.21	0.47	20.69	0.97	18.93	53.45	2.95	4.97	0.95	5.29	5.07	0.31	15.27	0.0	25.17	31.15	32.49	24.29
Krt10	8.85	0.0	24.02	0.0	0.0	0.0	0.0	30.54	0.24	0.0	23.6	0.0	10.57	12.16	10.79	27.54	0.19	0.0	0.0	13.64	0.0	19.45	10.3	0.0	22.85	0.0	8.52	0.0	18.71	5.79	10.58	0.0	0.0	0.0	0.0	0.0	13.57	0.0	7.22	3.73	7.45	6.35
Lclat1	0.0	0.07	33.6	0.0	0.0	0.0	0.0	91.37	6.42	0.0	0.0	78.21	0.0	11.9	98.5	0.07	0.0	0.0	66.44	0.0	0.03	0.17	0.0	0.0	76.69	0.0	107.47	0.0	9.16	68.23	0.0	0.07	0.0	6.54	0.02	0.0	0.05	0.0	23.78	41.25	33.78	31.96
Mapre2	684.1	473.08	95.52	84.87	176.99	0.0	0.0	264.89	238.64	92.51	377.58	94.5	134.38	41.02	21.31	81.77	336.59	155.52	151.53	182.07	246.33	247.6	250.2	20.62	252.55	30.25	229.3	409.28	161.94	148.49	171.81	160.9	31.14	212.49	72.02	346.7	70.13	133.11	122.03	169.27	153.98	165.49
Mrp63	4.31	52.02	132.21	0.18	0.64	0.0	0.0	16.19	52.0	0.37	27.04	0.0	17.06	15.89	30.2	0.43	152.89	122.73	3.08	108.36	0.09	88.09	81.21	16.23	16.43	6.33	165.74	32.34	1.84	48.31	2.84	12.89	0.35	0.45	0.1	58.9	19.75	0.0	47.28	51.37	50.44	42.07
Mrpl12	0.0	418.54	118.26	108.08	0.0	0.0	0.0	182.55	0.18	0.0	150.74	120.9	9.53	141.48	72.94	119.63	0.0	0.0	95.04	232.78	0.0	238.3	217.63	66.46	112.47	155.74	122.54	12.04	55.45	214.99	158.61	0.34	116.83	268.35	200.78	0.0	10.13	0.0	122.67	50.84	83.52	101.45
Mrpl16	7.73	0.09	0.0	0.75	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.39	110.33	0.0	124.65	0.0	61.51	22.87	0.0	137.47	206.71	115.59	133.2	92.49	123.71	11.36	41.37	105.67	53.38	161.78	126.03	41.24	29.85	0.0	0.0	2.89	69.54	0.0	63.38	46.32	42.65	59.61
Nat10	0.0	0.05	0.0	0.0	0.0	0.0	73.53	0.0	0.04	0.0	0.0	0.0	0.89	0.0	54.42	0.0	0.0	11.59	21.4	0.81	0.0	0.03	15.15	0.0	4.7	0.0	17.71	0.0	0.0	50.7	39.35	0.0	0.0	0.0	4.43	0.0	0.0	0.0	15.38	3.15	3.02	4.74
Nat8l	48.57	16.12	14.06	13.97	0.0	0.0	0.0	42.4	28.75	43.54	30.27	44.35	48.81	37.0	40.26	30.65	51.38	1.26	82.99	16.49	72.71	36.8	42.53	14.73	39.47	31.74	18.43	7.39	0.0	15.51	9.47	3.85	13.09	0.0	0.02	88.75	22.25	0.0	19.0	8.08	11.51	12.78
Ndufaf2	339.4	0.64	185.3	32.38	85.31	0.0	0.0	25.46	144.45	170.75	45.43	186.71	66.59	131.95	105.69	576.28	24.63	174.46	32.1	10.87	259.99	201.42	49.28	84.71	154.99	479.81	73.38	98.1	88.35	0.0	62.38	191.75	13.08	0.0	85.35	155.78	208.61	1.2	122.88	159.84	134.22	140.94
Nefh	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99	3.05	0.0	0.39	56.49	0.0	0.0	0.04	61.88	0.0	0.0	0.0	0.0	0.0	22.7	0.0	0.0	6.84	0.0	24.36	0.0	0.0	0.0	0.0	0.0	4.7	1.34	4.28	4.06
Nln	0.0	0.0	0.0	0.97	0.0	0.0	0.0	0.0	58.86	0.0	0.0	0.11	0.0	0.0	0.04	0.0	0.0	2.91	0.0	0.0	91.93	40.12	0.0	43.36	8.15	0.0	0.99	0.0	0.32	0.0	4.12	0.0	0.0	5.98	0.03	17.03	0.0	0.0	3.39	6.98	4.98	4.84
Nol12	130.67	64.12	0.0	53.88	0.0	0.0	0.0	40.42	38.47	0.0	0.0	60.74	0.12	0.86	33.73	0.31	0.39	56.7	54.17	35.88	34.79	183.96	75.97	0.0	72.39	50.41	17.49	50.12	41.5	65.38	0.0	33.14	132.25	0.0	0.0	42.08	0.48	0.0	49.43	39.49	51.35	43.0
Ogfod1	0.15	30.25	0.17	74.81	0.84	0.08	0.0	0.07	126.99	3.42	28.81	7.38	35.26	88.69	6.96	0.0	2.55	0.0	37.91	38.63	27.61	83.27	30.75	14.95	2.96	29.19	20.32	25.33	16.14	5.08	18.11	5.38	89.33	3.71	100.9	1.56	29.6	0.0	26.13	31.55	30.19	28.01
Ormdl2	0.0	0.0	40.47	0.0	0.0	0.0	0.0	3.3	0.0	140.19	0.6	42.42	0.69	0.0	66.11	0.0	0.0	83.64	0.0	0.31	14.99	22.53	42.13	0.0	0.0	0.0	0.0	24.46	5.39	9.56	22.36	0.0	0.0	0.0	0.05	1.32	0.0	0.0	12.58	11.47	16.31	13.92
Pak7	27.69	125.34	0.57	18.15	2.28	0.0	0.0	9.39	124.79	525.07	0.25	101.39	36.41	174.05	34.03	3.48	90.12	15.95	15.94	63.86	5.12	52.1	53.72	18.4	59.81	41.23	82.12	113.96	48.32	58.86	13.7	0.0	62.92	137.91	7.64	2.94	15.21	0.0	51.3	61.36	53.08	39.5
Peg13	49.81	77.32	51.65	45.29	0.0	0.0	0.0	80.36	109.52	0.0	34.17	41.47	139.21	168.45	139.79	74.5	95.25	32.37	39.49	97.52	159.56	60.87	94.68	4.38	104.61	96.16	88.83	67.86	26.2	56.33	30.86	37.8	19.41	109.13	6.5	65.39	73.01	0.0	84.72	70.43	83.59	76.33
Pi4ka	148.75	22.4	55.08	6.94	18.58	0.11	0.0	98.73	112.17	0.17	17.25	34.23	92.26	55.83	40.85	4.18	40.64	69.74	38.83	45.4	53.26	62.28	83.67	35.2	120.27	13.48	41.78	9.57	44.44	83.59	39.31	71.76	12.43	32.61	41.29	12.91	19.85	0.0	49.01	42.74	36.37	41.41
Pja1	1086.83	230.81	374.7	437.72	655.25	0.0	0.0	408.03	112.23	384.41	360.48	608.96	318.12	322.86	466.53	570.37	864.77	403.29	95.06	250.03	346.5	158.66	451.7	531.71	339.19	618.78	424.33	672.2	402.98	657.75	293.45	598.08	192.92	226.1	635.48	407.13	231.76	0.36	408.23	404.84	407.12	416.02
Pkd1	2.55	0.01	0.0	7.29	0.08	0.0	0.0	23.82	0.04	0.0	0.0	0.98	0.68	0.27	0.0	0.27	0.24	0.0	0.0	25.39	0.01	31.6	28.85	1.87	5.05	0.0	0.73	0.35	18.93	0.69	0.0	0.06	0.0	0.0	48.55	0.03	0.28	0.0	6.6	2.63	1.67	1.44
Pold3	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	136.61	0.0	74.1	106.98	4.39	82.56	40.94	11.74	0.0	18.85	0.0	178.35	21.03	0.0	0.11	6.74	0.0	0.17	1.32	0.0	0.0	0.0	0.0	30.88	47.72	0.04	1.21	0.0	20.14	22.12	21.74	20.32
Prkcb	34.11	136.38	32.18	103.72	16.47	0.21	0.0	106.55	60.11	227.56	135.5	112.64	134.23	73.27	353.43	317.53	200.66	126.89	164.81	125.91	111.39	114.64	273.86	186.02	207.97	65.69	128.73	176.31	153.42	221.45	180.01	149.78	86.68	107.1	81.62	27.12	131.19	4.87	313.34	279.7	261.35	235.19
Prkcc	0.0	0.04	0.0	6.95	0.0	0.0	0.0	0.07	0.12	0.0	0.0	0.0	65.9	0.0	123.9	99.88	91.76	0.0	9.0	0.0	0.23	67.38	163.55	0.0	0.25	276.63	58.15	1.1	66.11	64.57	33.82	66.17	0.0	0.0	0.0	0.08	120.17	0.0	219.56	197.02	237.03	205.52
Prss35	0.0	1.27	0.77	5.46	0.0	0.0	0.0	2.93	1.79	0.0	1.25	2.62	11.19	1.42	0.19	0.0	0.61	1.7	0.29	0.25	0.95	7.51	4.41	0.0	2.4	2.42	3.17	0.0	2.98	7.56	4.24	10.39	0.12	0.0	12.82	0.56	0.53	1.62	11.55	22.0	18.4	12.59
Psd	23.62	26.59	11.91	43.98	9.21	0.0	0.0	18.33	26.49	13.09	14.51	64.17	13.39	17.9	33.29	15.08	18.68	14.11	20.86	21.03	26.17	42.74	31.05	13.64	22.01	8.31	22.84	1.14	14.12	16.39	29.69	26.6	49.07	16.9	24.64	27.83	24.79	0.0	14.59	13.22	15.78	16.36
Rabgef1	0.0	0.0	0.0	29.13	0.0	0.0	0.0	81.13	0.0	0.0	41.29	111.26	40.94	37.06	0.0	26.31	11.78	40.4	40.18	21.06	7.64	47.91	8.58	0.0	25.2	0.0	64.1	0.94	24.49	105.99	74.65	21.31	31.68	57.66	67.58	185.93	40.0	0.0	53.85	61.18	43.69	75.78
Rap2b	51.1	38.07	59.57	70.27	94.39	0.0	0.0	33.36	121.32	57.81	66.98	66.72	57.22	56.57	62.97	37.8	63.92	37.98	50.5	41.72	42.02	70.18	47.15	70.96	59.33	37.12	110.06	63.67	73.13	76.17	83.45	84.07	41.08	45.95	53.56	61.71	44.33	0.0	109.93	199.7	135.11	137.06
Rlf	0.0	0.02	0.0	0.37	2.63	0.0	0.0	0.0	4.76	0.0	0.0	0.0	3.33	0.0	32.2	0.0	0.06	0.41	0.0	22.4	0.0	42.97	3.69	2.36	0.0	2.95	0.0	0.0	1.93	0.0	11.29	0.09	13.2	0.0	2.99	0.47	4.74	0.0	3.97	2.77	1.34	2.76
Rnf170	193.48	18.49	0.0	19.91	0.0	0.0	0.0	2.2	0.04	0.0	0.0	0.22	2.81	76.4	0.04	0.0	47.38	92.57	60.05	52.8	10.51	57.42	53.92	27.71	60.71	222.6	27.46	1.9	0.0	91.86	0.11	6.35	68.23	165.39	2.96	38.68	0.0	0.0	43.99	22.94	26.29	23.53
