	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_7	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_20	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cacnb3	0.0	0.0	0.0	0.0	25.32	0.93	0.0	1.02	0.0	0.62	34.06	0.0	11.79	18.61	0.0	12.84	0.0	0.0	2.23	38.98	0.0	0.0	0.0	0.0	0.0	2.3	41.54	0.0	25.96	0.0	0.0	89.97	0.0	1.69	0.0	0.0	206.62	202.56	209.36
Cdc42ep3	0.0	0.0	0.0	0.0	13.98	96.09	7.35	1.57	8.38	34.52	9.78	6.08	4.45	4.42	0.36	13.31	21.3	8.73	23.08	59.65	0.0	36.93	5.52	6.6	7.98	58.35	0.0	38.64	9.28	0.0	10.35	68.66	0.0	29.48	3.25	16.94	21.38	23.09	19.0
Celsr2	0.0	0.0	0.0	0.0	1.38	0.0	13.52	5.4	4.88	5.04	11.86	3.69	18.19	0.96	4.36	3.14	1.94	0.07	0.0	29.8	0.07	0.4	12.72	12.95	9.75	1.6	16.96	5.85	12.58	0.5	7.54	27.89	5.9	7.24	10.73	2.89	73.45	73.3	82.99
Csmd1	0.0	0.0	0.0	0.0	0.9	0.0	4.61	4.61	0.11	0.74	6.63	0.27	0.49	0.1	0.31	8.59	1.92	2.12	0.06	7.3	0.1	0.0	4.53	0.0	0.33	5.48	4.23	4.65	8.63	0.0	1.52	16.77	2.52	2.38	5.22	0.03	21.52	19.01	22.85
Dusp8	0.0	0.0	0.19	0.0	30.83	42.12	21.13	9.4	39.54	60.85	49.52	10.72	27.44	43.66	0.0	19.09	32.97	108.0	36.96	19.04	39.01	48.11	43.41	22.49	30.67	0.0	215.16	80.94	30.41	78.52	23.72	101.43	29.82	39.68	117.31	0.0	83.13	88.44	79.27
Eef1a2	0.0	0.0	0.0	0.0	31.51	0.49	27.26	2.18	4.56	54.03	18.78	46.68	42.74	13.97	1.26	31.28	18.22	64.95	32.29	49.35	12.11	3.88	74.53	15.84	7.11	62.54	34.06	46.73	29.8	60.23	46.93	54.75	31.14	23.14	22.74	26.42	919.63	958.3	943.69
Ep300	0.16	21.07	0.05	0.0	0.07	0.0	2.64	0.0	8.9	11.7	0.0	1.25	4.22	0.0	0.0	0.0	7.17	0.34	0.0	1.8	23.39	0.0	14.93	7.83	0.34	0.0	10.76	0.39	2.39	0.24	1.08	30.17	0.0	8.05	7.31	0.7	26.42	24.38	26.16
Fam53c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	20.42	0.0	0.0	16.62	0.14	0.0	6.19	0.0	0.0	0.0	0.0	1.28	0.14	10.14	0.0	0.0	1.91	0.0	66.93	0.12	10.76	51.19	2.97	21.72	41.5	9.96	43.99	44.67	40.19
Gnaq	0.0	0.28	0.18	0.0	44.55	35.14	20.47	42.18	56.84	57.87	41.55	72.25	63.71	54.54	24.41	55.51	66.57	117.4	18.61	69.07	40.72	20.93	47.99	34.05	39.08	31.91	78.17	88.63	66.08	31.95	50.17	90.19	67.28	51.68	106.85	53.73	101.65	91.77	106.51
Hexim1	0.0	0.0	0.0	0.0	0.35	0.0	1.4	0.0	0.0	2.68	0.93	0.0	14.3	0.0	14.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.26	0.0	20.22	0.99	0.0	6.4	0.0	0.0	26.32	13.22	17.95	12.28	0.0	41.82	43.16	41.2
Kcnj9	0.0	0.0	0.0	0.0	18.24	0.0	53.01	20.8	35.86	43.43	13.36	52.48	28.03	42.63	1.17	3.7	30.07	81.81	0.0	64.1	1.36	0.32	8.51	28.33	50.29	37.49	6.16	21.14	0.95	0.0	3.08	45.29	24.64	38.93	35.46	66.25	121.29	116.59	115.73
Kif5a	0.0	0.0	0.0	0.0	79.53	38.98	95.69	74.35	99.87	101.65	97.06	52.82	142.82	62.67	77.68	37.88	87.32	120.98	79.05	187.99	97.46	72.84	149.08	70.34	83.79	152.8	103.14	132.44	125.43	203.28	134.79	156.18	67.01	88.2	97.49	74.58	1306.65	1262.44	1324.69
Laptm4a	0.0	0.0	0.0	0.0	50.42	28.59	43.81	47.26	48.66	52.26	54.67	27.63	116.68	37.84	0.0	33.94	35.59	7.66	80.62	172.25	0.0	40.26	51.5	80.76	25.08	27.8	58.06	10.61	24.48	36.34	47.52	187.28	68.12	60.04	87.83	128.91	193.36	200.91	180.4
Ldhb	7486.96	5404.32	5274.92	0.0	8798.32	10118.08	10894.4	8525.9	8217.62	8583.06	8517.89	9220.91	9343.6	8808.99	8620.64	8223.21	10165.1	9166.61	9602.81	7343.35	11261.44	8285.69	10004.69	9074.03	13571.31	12546.17	9106.97	9755.78	8013.75	11010.48	8275.76	6703.36	10182.84	9082.37	8111.86	11746.38	737.58	774.98	752.92
Lonrf2	0.0	0.0	0.18	0.0	11.21	8.74	7.64	26.97	14.45	20.11	40.03	29.73	17.03	61.69	12.86	21.87	37.99	18.35	29.43	93.56	23.41	14.45	51.04	20.35	58.29	14.42	25.86	8.75	0.12	54.19	36.57	88.03	49.39	57.19	28.27	30.09	88.16	86.96	85.86
Magee1	0.0	0.0	0.0	0.0	33.04	0.42	44.78	3.57	28.84	24.01	29.5	67.09	20.58	27.26	0.18	49.74	32.41	92.38	32.2	61.1	19.79	0.15	8.77	4.45	29.99	31.45	36.82	22.07	31.96	19.7	91.72	102.58	40.8	86.55	34.84	0.17	117.31	122.31	117.69
Mboat7	0.0	0.0	0.0	0.0	0.0	0.0	14.75	12.19	0.0	23.65	10.14	12.61	41.02	0.0	0.0	4.22	18.24	4.82	0.0	27.18	0.0	3.83	12.88	3.97	11.85	4.82	17.67	4.83	46.97	42.09	0.17	59.26	19.27	7.28	2.57	18.28	91.03	94.32	95.04
Mir3064	165.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.9	0.0	0.0	0.0	25.68	0.0	0.0	0.0	0.0	0.0	0.0	16.29	0.0	27.28	0.0	20.99	22.06	0.0	0.0	0.0	0.0	216.63	192.59	174.23
Nckipsd	0.0	0.0	0.0	0.0	29.09	5.72	0.0	0.0	31.29	0.0	20.35	0.0	0.0	6.37	0.0	37.12	0.22	0.0	0.0	52.02	0.0	47.95	0.21	21.9	14.4	29.0	50.19	0.0	16.94	3.19	16.23	43.11	0.94	0.0	0.25	6.03	60.26	64.42	62.51
Npy1r	3.59	5.77	2.91	0.0	3.65	0.0	2.11	3.16	2.33	2.13	2.1	4.85	1.9	0.96	3.0	1.61	4.13	4.46	1.9	4.7	2.23	2.84	4.27	5.13	1.7	2.67	2.31	4.02	3.48	2.4	3.72	7.49	1.91	2.43	2.17	2.68	27.4	26.53	27.79
Phyhipl	0.0	0.0	0.0	0.0	124.2	53.83	269.26	106.08	79.41	135.12	110.36	139.75	44.34	30.16	130.65	5.23	89.52	106.53	50.99	208.69	16.59	104.94	24.42	124.93	81.97	117.76	141.17	105.85	110.8	88.56	117.27	189.31	65.91	84.67	58.4	87.68	162.08	156.56	157.41
Plekha5	0.0	0.0	0.0	0.0	0.0	0.0	1.57	0.0	16.28	16.41	0.0	21.56	9.52	37.15	0.0	13.64	12.9	0.6	0.0	0.0	66.87	2.33	2.78	14.07	0.0	26.79	13.72	22.94	35.58	23.1	5.66	52.84	14.2	29.03	19.66	32.12	35.88	33.9	39.14
Plekha6	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.1	0.23	5.56	0.71	0.11	5.06	0.07	0.0	2.58	5.61	20.31	0.0	8.28	0.0	0.0	0.0	10.46	6.08	1.08	1.98	0.38	14.08	0.45	0.4	30.0	0.06	12.85	0.15	18.74	47.56	44.89	49.5
Plxna4	0.0	0.0	0.0	0.0	5.46	0.04	19.53	2.91	7.92	20.72	1.14	17.4	11.1	10.87	7.85	7.43	24.23	0.03	2.87	12.49	1.6	4.31	9.01	12.68	2.88	1.98	11.5	14.15	8.24	15.4	8.04	36.78	21.04	13.99	6.3	6.1	28.71	25.59	30.42
Pmpca	0.15	0.0	463.26	0.0	21.59	14.05	4.58	71.35	26.5	48.02	27.01	57.91	132.07	55.15	1.23	25.51	55.5	34.22	3.52	0.09	50.71	1.85	136.56	26.17	83.62	63.44	71.1	13.56	58.39	64.66	86.37	214.21	16.87	57.7	66.19	55.07	78.33	77.0	74.67
Prkcz	0.0	0.0	0.0	0.0	32.94	16.92	44.65	42.18	29.74	24.41	5.55	50.8	28.04	38.98	20.66	31.54	50.26	68.88	40.51	61.57	0.09	23.6	28.3	32.44	41.05	0.4	89.52	0.11	57.54	24.21	22.28	73.96	8.11	43.34	39.88	40.74	177.01	178.52	171.75
R3hdm1	0.0	0.0	73.87	0.0	57.73	33.22	6.69	22.07	79.87	34.75	45.01	50.75	26.81	42.79	28.08	8.08	15.64	19.53	9.82	63.76	6.68	32.48	9.48	12.22	13.9	40.54	28.84	28.69	44.33	37.98	53.45	162.04	6.14	52.81	17.12	44.15	181.8	152.46	190.21
Ralgapb	0.0	0.0	0.0	0.0	8.24	0.58	0.45	0.0	0.13	9.7	2.92	2.51	5.5	9.44	0.08	1.66	0.15	0.21	2.76	4.63	0.22	0.0	8.57	5.48	0.16	10.25	24.67	3.44	0.66	14.94	1.13	12.8	3.62	12.81	12.34	0.21	55.12	50.01	54.12
Secisbp2	0.0	0.0	0.0	0.0	6.71	0.0	0.0	0.0	0.0	0.0	0.0	9.48	0.0	0.0	0.0	0.95	16.92	56.33	0.0	0.0	0.0	14.24	0.0	3.43	0.1	15.68	9.12	9.55	1.5	13.3	0.0	37.43	0.0	0.86	0.0	0.0	13.44	14.92	15.37
Smyd2	0.0	0.0	0.0	0.0	0.0	0.0	1.51	32.6	33.78	28.44	18.5	19.5	10.99	20.52	1.22	0.0	5.34	20.01	0.0	30.05	0.24	1.0	6.8	18.1	21.62	39.01	0.0	0.0	30.4	31.38	23.08	71.63	40.02	1.89	102.39	31.85	72.73	77.71	73.05
Tnr	0.0	0.0	0.0	0.0	4.89	0.0	0.0	19.28	9.99	6.11	1.28	13.04	2.29	2.51	0.0	0.61	7.26	0.0	34.99	23.47	6.63	0.0	21.39	8.39	4.89	0.52	16.13	8.31	0.69	1.09	0.44	55.89	0.33	17.06	5.11	7.46	44.38	32.54	51.92
Tom1l2	0.0	0.0	0.0	0.0	40.98	8.74	14.37	36.83	67.39	52.34	45.61	42.43	32.24	24.7	1.96	76.38	57.71	11.48	31.08	54.84	35.49	26.78	74.31	37.13	16.91	28.83	83.01	35.71	3.88	7.25	16.39	191.92	49.11	48.14	26.47	40.38	168.3	164.9	170.24
Tomm70a	0.0	0.0	0.0	0.0	6.08	26.92	53.95	36.78	18.64	121.85	0.5	0.0	8.99	29.47	174.88	15.7	80.99	38.16	23.41	69.52	0.1	35.28	29.31	6.4	63.23	80.83	59.82	47.09	32.18	77.07	108.41	140.58	102.11	85.9	101.52	1.67	162.49	155.46	154.23
Trank1	0.0	0.05	0.0	0.0	7.21	0.02	19.45	15.59	6.22	7.08	0.71	2.81	2.59	1.04	0.06	7.19	3.89	9.89	0.47	44.26	12.56	4.66	3.93	8.23	1.2	11.31	5.57	13.4	0.32	0.2	1.8	25.62	17.08	16.45	4.49	2.55	140.49	127.25	159.33
Ubr3	0.0	0.07	0.0	0.0	25.85	2.05	3.27	14.27	12.12	15.64	4.73	53.68	49.36	4.95	25.81	24.98	31.45	7.25	20.01	18.86	0.14	15.8	11.39	18.08	24.79	21.16	16.19	18.55	60.13	31.97	22.96	39.08	27.59	41.51	26.33	11.72	89.6	83.88	88.36
Unc45a	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.21	30.95	1.78	3.11	5.31	0.0	8.2	2.74	1.86	1.19	0.0	0.0	0.0	56.12	5.78	4.41	17.69	0.17	0.0	18.07	2.79	3.24	0.33	2.06	68.85	0.0	0.0	8.08	0.42	26.91	25.32	22.3
Wbp1	0.0	0.0	0.0	0.0	9.51	0.0	0.0	0.0	0.0	0.0	46.76	36.75	0.0	0.0	0.0	0.0	0.0	0.0	2.34	106.86	0.0	0.0	0.0	29.37	0.0	63.44	3.2	13.98	0.0	10.93	0.0	93.65	0.0	32.11	0.0	0.16	32.71	38.27	34.9
Wdr36	0.0	0.0	0.0	0.0	6.66	12.93	42.83	14.61	0.37	0.0	0.0	0.54	52.72	7.08	0.0	0.34	23.66	2.34	0.42	5.56	2.08	60.71	1.3	22.58	43.94	35.23	5.35	3.31	1.52	110.05	44.72	56.65	0.0	0.08	18.2	1.36	27.26	23.75	24.17
Ythdf1	0.0	0.0	0.0	0.0	51.44	0.0	23.13	12.66	12.51	13.58	33.18	12.67	4.78	22.15	12.08	0.0	29.48	51.18	0.0	0.0	0.0	0.0	0.0	17.99	10.92	27.61	24.61	15.34	4.71	58.56	0.0	36.71	0.0	5.42	0.0	0.0	47.33	48.24	45.94
Zfp2	0.0	0.0	0.0	0.0	15.66	13.03	14.74	51.64	10.01	68.64	5.4	4.67	63.75	114.45	0.0	44.1	134.59	156.31	70.04	244.07	0.96	36.25	82.88	54.7	0.18	58.99	16.11	46.2	13.31	0.0	0.16	163.24	8.28	1.86	8.13	168.98	18.58	18.71	16.26
