	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_31	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_73	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_13	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_17	Nr5a1_tdTpositive_cell_24	Nr5a1_tdTpositive_cell_27	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_26	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_49	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_15	Slc17a6_tdTpositive_cell_18	Ntsr1_tdTpos_100cell_1	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Clcn7	64.56	0.0	16.02	0.0	0.0	0.0	0.0	0.0	46.77	0.0	0.0	0.0	137.56	0.0	0.0	0.1	147.14	8.76	0.0	0.03	40.08	0.03	43.31	86.17	1.01	0.0	0.0	143.8	98.1	0.53	0.0	0.0	0.0	72.89	12.1	120.82	0.0	6.71	36.73	37.43	39.43
Cntnap1	0.0	0.0	0.11	0.28	0.0	32.33	0.0	0.0	2.83	0.0	0.0	0.0	0.03	1.73	0.08	0.08	1.28	0.09	5.0	11.91	21.33	27.46	6.09	24.86	18.52	14.99	0.0	0.0	0.0	0.13	2.02	0.0	0.32	0.03	5.76	0.14	0.0	7.76	146.45	139.24	144.43
Coro2b	9.09	4.45	0.06	0.0	0.0	17.76	0.0	0.0	0.0	0.12	0.0	0.0	0.05	2.33	9.47	0.0	38.39	0.0	5.02	2.96	8.86	1.75	35.32	0.14	25.65	0.09	0.0	97.49	0.0	1.79	9.29	0.0	1.89	0.3	3.92	0.53	0.0	12.66	118.73	124.35	130.21
Cpped1	0.0	0.0	0.0	0.0	0.0	135.01	0.0	0.0	0.0	0.0	0.0	0.0	0.28	142.26	0.0	0.0	226.5	0.0	4.25	0.0	0.0	96.06	0.13	0.0	0.0	0.12	0.0	0.24	0.0	113.51	158.59	0.0	0.0	0.0	0.0	0.0	0.0	29.71	41.18	41.83	38.03
Crtc1	0.0	0.2	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	4.94	0.2	32.8	0.0	40.98	0.0	75.03	68.88	0.05	0.04	33.96	13.61	18.22	0.06	0.0	65.17	21.02	0.0	7.49	0.0	0.3	0.19	1.48	0.54	0.0	1.98	88.78	88.79	94.03
Dagla	0.13	0.0	23.71	0.46	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.94	0.0	13.42	0.0	0.0	0.58	0.82	7.08	0.04	0.89	0.0	4.66	0.0	0.0	0.0	0.0	19.82	0.0	35.08	3.44	0.2	0.68	0.0	2.57	63.23	62.82	67.85
Dnajc16	0.0	13.9	1.62	102.11	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.05	65.35	0.0	0.0	25.77	4.74	0.0	28.36	0.25	0.03	9.03	0.31	1.05	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.09	6.49	0.0	6.59	44.57	46.18	45.21
Dnmt1	0.0	8.46	1.57	1.0	105.76	0.54	0.0	0.0	0.0	0.0	0.0	0.0	52.74	0.07	0.0	0.22	44.12	0.09	13.63	0.66	12.91	0.94	0.93	0.03	0.41	0.0	0.76	67.55	0.0	0.54	1.43	0.73	45.38	0.65	0.52	0.0	1.26	4.62	29.29	31.37	29.43
Elp3	0.27	0.0	239.4	0.0	0.33	169.72	0.0	65.34	0.0	0.0	0.0	0.0	0.07	230.12	2.68	0.0	298.72	0.0	0.0	167.82	65.58	294.5	0.04	0.25	182.27	0.0	242.5	0.0	102.41	0.0	182.21	0.0	0.0	2.3	128.39	0.0	0.0	82.36	74.31	73.25	71.01
Fbxo8	0.0	0.0	0.14	0.0	27.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	30.8	0.0	0.11	95.07	0.0	29.57	0.03	0.86	29.74	2.15	18.82	78.78	0.0	10.59	4.02	0.0	72.43	87.72	0.0	0.0	0.0	0.13	0.0	0.0	19.44	13.94	14.42	15.26
Gga2	0.07	0.82	0.25	0.7	42.26	1.1	2.22	1.47	0.29	0.39	0.8	0.0	0.79	1.43	3.28	0.89	53.74	1.27	2.26	1.03	1.19	4.91	0.88	0.66	0.34	1.91	0.15	2.21	1.07	1.79	1.08	1.2	1.79	0.19	1.74	9.45	0.0	5.04	18.05	18.84	18.09
Gm2002	0.0	0.22	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.07	0.08	0.0	0.0	0.23	0.2	10.48	0.0	4.85	0.04	0.0	0.05	0.26	8.6	0.0	0.0	0.0	0.0	16.93	0.0	22.17	0.0	0.14	0.0	0.17	1.27	1.73	1.86	1.4
Gramd1b	0.0	0.0	59.23	0.0	0.17	0.0	0.0	2.11	17.67	0.0	0.0	0.0	8.35	19.14	0.16	4.78	114.04	0.0	105.01	10.26	40.88	22.12	21.37	30.14	21.2	105.59	0.0	162.57	4.11	0.0	4.19	0.0	0.3	1.55	12.63	81.18	0.0	13.67	89.22	80.69	89.47
Grip1	0.0	0.0	0.0	7.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.12	23.41	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.42	0.21	0.0	0.0	3.69	11.86	11.44	11.74
Hspa9	20.36	116.66	0.9	93.73	17.11	81.33	0.0	93.12	9.21	0.0	0.0	0.0	0.0	106.9	3.95	4.15	321.05	0.0	47.3	27.21	54.69	115.74	37.6	264.79	67.92	164.16	0.0	0.0	147.81	127.97	65.77	1.9	6.05	0.76	289.09	44.21	16.17	57.73	176.91	179.38	174.24
Il11ra2	0.0	0.22	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.07	0.08	0.0	0.0	0.23	0.2	10.48	0.0	4.85	0.04	0.0	0.05	0.26	8.6	0.0	0.0	0.0	0.0	16.93	0.0	22.17	0.0	0.14	0.0	0.17	1.27	1.73	1.86	1.4
Kcnj4	0.0	0.0	0.0	0.0	4.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	16.28	0.0	0.0	0.1	11.23	0.0	1.35	0.57	1.64	0.0	1.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	1.95	140.96	163.91	150.91
Kctd17	0.0	107.52	1.95	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.04	0.12	83.3	0.0	52.35	3.91	0.0	43.21	6.9	53.97	28.12	19.04	0.0	0.21	134.04	0.0	0.0	0.0	5.98	0.0	108.54	1.32	110.94	3.0	0.0	20.23	172.27	186.86	180.37
Llgl1	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.31	0.18	88.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.0	0.0	0.0	0.0	0.0	0.0	63.74	0.0	0.76	2.46	33.9	37.16	37.52
Lsamp	0.0	0.0	69.11	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	63.03	0.0	0.18	0.0	56.0	6.77	0.0	0.0	0.39	0.0	6.11	13.56	0.65	0.0	0.0	0.0	0.0	29.3	2.4	0.78	0.0	0.28	70.25	0.0	70.66	2.91	49.67	46.6	51.69
Neurl4	0.0	0.0	0.73	0.36	11.1	0.11	0.0	0.0	0.0	0.0	0.0	0.0	24.12	0.04	0.68	0.0	18.61	0.1	0.47	0.02	1.03	3.01	1.05	14.82	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	13.22	0.15	0.0	7.32	59.16	60.88	60.75
Nphp1	0.0	12.55	0.0	0.0	0.0	2.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.63	0.0	0.0	44.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.44	0.0	0.0	0.0	0.0	0.66	13.62	14.5	13.88
Oraov1	0.39	0.0	0.21	242.68	287.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.23	119.61	0.0	0.0	324.34	0.0	0.51	0.0	0.22	0.05	0.23	7.55	201.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.73	0.42	0.0	161.17	0.0	22.28	14.33	14.7	15.0
Osbpl8	1.81	1.4	2.64	2.58	1.92	5.47	0.86	1.24	0.76	2.49	0.89	0.0	77.7	89.34	1.76	48.59	54.79	2.11	2.52	0.8	1.16	33.52	25.44	105.3	4.24	24.43	0.0	41.98	1.15	2.0	59.66	1.84	60.59	9.18	10.25	34.62	31.55	14.5	55.34	47.72	52.54
Pigm	0.4	0.15	2.33	0.1	2.31	100.5	2.85	1.38	0.0	0.0	0.17	0.0	2.41	111.69	1.29	0.88	23.33	0.0	3.53	1.59	3.16	3.68	13.3	40.36	0.12	3.56	0.05	1.93	7.04	0.62	1.31	1.0	0.0	2.17	0.46	24.01	0.17	2.96	7.88	7.13	7.52
Pkia	2.9	87.96	6.65	40.37	7.94	5.24	0.0	0.0	4.14	0.0	0.0	0.0	59.83	172.15	3.86	168.55	368.3	0.0	0.0	251.11	4.34	0.75	418.32	2.9	7.55	179.94	0.0	2.45	0.26	0.0	242.89	33.32	172.57	196.11	0.06	0.21	107.45	43.18	143.55	141.29	132.93
Prdm16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.45	0.0	0.88	0.0	0.0	0.0	0.0	28.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.73	0.0	0.0	0.03	0.0	0.0	0.0	0.73	3.75	3.6	4.12
Rgs4	4301.63	4969.56	4793.66	5481.44	5464.61	5005.37	4252.35	2874.2	3996.83	2439.32	0.0	2.55	5873.8	5539.67	3885.16	4053.59	3925.76	2940.01	5390.4	5399.11	3467.12	5219.32	5037.98	5187.94	4470.78	6274.8	5381.62	5420.33	3013.54	3790.19	4227.76	5101.58	5598.27	3769.97	3843.25	4802.36	6781.39	551.79	495.03	470.64	483.11
Rgs7bp	3.07	42.92	21.63	45.73	23.99	27.17	1.82	1.82	20.25	1.75	3.83	0.0	33.09	2.79	19.88	39.48	108.92	19.95	56.5	41.15	98.22	1.47	24.24	67.69	36.73	8.43	13.17	71.55	56.02	6.88	4.49	2.02	26.66	60.91	44.43	46.95	2.5	38.42	124.57	101.66	124.47
Rnf112	6.45	0.0	2.42	0.38	0.0	49.91	0.0	0.0	0.0	0.0	0.0	0.0	70.33	21.24	68.05	0.13	15.06	0.0	0.0	63.97	96.63	75.89	1.32	94.4	2.78	108.4	1.48	14.39	0.0	0.24	2.83	0.0	0.0	0.64	134.91	60.75	0.0	16.86	274.94	298.54	287.09
Rnf145	0.0	0.0	0.0	84.77	0.66	0.13	0.0	0.0	0.0	0.0	0.0	23.02	0.05	0.04	0.0	0.0	120.61	0.0	0.0	0.06	4.03	87.78	0.03	0.78	0.0	0.0	0.0	0.0	0.0	1.0	33.54	0.0	0.0	0.08	135.92	0.36	0.0	18.87	79.17	79.19	74.61
Rnf187	0.0	13.8	23.02	0.39	14.8	105.75	56.15	0.31	33.2	211.11	0.0	0.0	61.35	45.47	0.0	40.54	160.92	0.0	45.06	6.85	22.01	2.21	0.06	53.27	79.76	164.08	112.94	8.09	0.0	82.91	0.0	9.53	23.65	82.66	114.44	4.49	0.69	31.77	373.18	417.68	414.67
Rsph3a	34.56	0.0	120.45	90.79	66.93	80.27	0.0	0.99	0.0	0.0	0.0	0.0	0.0	131.97	110.18	92.62	184.55	0.0	0.0	39.43	36.56	25.6	126.36	0.0	55.64	112.3	0.0	91.48	0.0	0.0	187.83	0.0	140.3	63.19	0.0	0.0	35.75	30.3	20.44	23.35	17.78
Rtl1	0.0	0.2	0.48	6.42	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	8.86	0.49	0.0	0.0	0.43	0.1	0.57	0.02	0.07	2.55	5.73	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.36	0.0	5.89	0.13	0.33	0.0	0.07	2.51	3.06	2.8
Slc7a10	0.0	0.0	0.0	3.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.44	0.0	0.0	0.0	2.63	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6	6.08	0.0	0.0	0.72	40.29	38.01	40.85
Smchd1	0.0	33.58	6.12	0.0	5.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.13	0.0	23.68	0.0	2.89	5.05	16.49	0.56	23.43	15.02	0.0	2.78	0.0	0.0	0.0	38.13	2.95	0.0	3.72	14.58	0.03	0.0	0.84	11.28	17.6	16.14	16.17
Snord22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.09	2.19	1.03	5.97
Strn4	3.26	0.0	8.92	0.11	0.0	93.23	0.0	0.5	0.0	0.0	0.0	0.0	17.15	46.29	53.44	16.13	133.85	2.57	1.11	8.66	74.37	0.93	0.03	88.68	0.0	135.49	31.4	57.62	0.0	79.03	47.72	0.0	69.47	101.71	36.77	65.62	0.19	16.14	158.54	169.33	162.89
Tgfbrap1	0.0	0.0	0.0	3.85	0.0	0.0	0.0	0.0	0.0	29.96	0.0	0.0	0.0	6.13	0.08	0.0	48.02	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	2.45	29.36	31.15	30.6
Tmem151b	83.1	0.0	0.1	0.08	0.0	0.27	0.07	0.0	0.0	0.0	0.0	0.0	0.13	0.62	0.1	0.0	29.36	0.31	0.1	0.12	0.11	0.61	0.09	26.7	0.5	0.13	0.0	0.76	0.0	1.91	0.0	0.0	0.18	21.98	48.01	0.0	0.0	105.25	73.63	72.91	73.42
Tmem194	0.0	0.0	0.02	0.06	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.15	0.0	0.0	0.13	0.0	0.0	0.17	0.13	0.0	0.06	0.09	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	1.2	3.2	2.72	3.53
Tmem43	0.0	0.0	0.25	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.0	0.0	130.12	0.0	0.0	9.98	108.43	136.6	0.04	0.12	0.0	0.0	0.12	0.0	0.0	7.08	0.0	0.0	0.0	111.57	153.91	0.27	0.0	52.5	29.55	29.82	26.9
Tph2	0.0	0.0	0.0	0.0	0.0	0.0	18.1	0.0	0.0	0.0	0.0	0.0	28.03	0.0	0.0	0.0	214.41	0.0	0.0	0.12	88.87	0.04	32.68	0.0	0.0	0.0	105.12	43.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	1.1	1.44
Usp34	2.44	2.23	66.49	22.06	2.81	127.63	0.39	0.32	11.19	0.0	0.0	0.0	5.29	40.28	17.18	2.61	34.5	0.16	3.76	71.82	49.1	18.62	15.14	38.03	9.48	21.9	0.0	4.63	12.06	0.0	71.98	6.21	7.4	10.82	19.51	26.93	15.9	28.69	40.78	33.54	41.98
Uxs1	1.87	0.0	2.88	94.6	9.63	0.93	3.01	0.0	0.0	0.0	0.0	0.0	151.63	0.0	0.36	0.0	302.07	0.0	52.74	19.0	5.95	3.27	1.28	69.87	6.19	127.56	0.0	0.0	217.83	0.0	13.69	64.96	0.0	0.44	236.42	0.0	137.44	22.55	68.12	70.59	70.13
Zfp51	0.0	0.0	0.08	265.6	3.8	0.0	0.0	0.69	0.0	0.17	0.0	0.0	0.0	0.0	229.32	0.0	450.79	1.61	1.65	280.74	169.81	0.0	0.08	0.07	2.58	1.06	0.0	0.0	0.0	4.24	0.0	0.0	0.0	211.01	243.45	0.9	0.0	28.59	3.78	2.27	2.49
c8_tRNA-Ala-GCA	34.42	0.0	202.95	0.0	0.0	0.0	27.34	0.0	73.92	0.0	0.0	0.0	0.0	0.0	68.71	18.48	71.1	0.0	81.74	0.0	30.55	0.0	13.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.22	0.0	0.0	39.88	19.03	24.91	37.5
