	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_5	Gad2_tdTpositive_cell_13	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
Fam73a	0.0	0.0	0.0	0.0	100.4	0.05	18.67	44.36	6.39	42.49	19.15	9.96	13.17	0.07	9.3	30.26	15.12	0.0	38.28	65.55	0.0	81.64	27.01	13.62	41.6	47.99	0.0
Fam96a	2.66	0.0	0.54	0.0	94.82	2.76	138.64	99.01	90.39	106.18	43.14	10.35	0.63	82.03	101.71	130.6	89.54	61.9	106.24	59.42	2.56	92.8	121.35	44.96	131.59	77.75	3.25
Gm14430	0.0	0.0	0.07	0.04	7.02	0.0	0.0	14.72	21.18	6.05	13.5	13.46	3.22	3.07	11.03	13.57	4.08	9.13	0.54	8.34	4.61	31.83	17.65	13.81	40.89	2.38	0.0
Gm14434	0.0	0.0	0.07	0.04	7.02	0.0	0.0	14.72	21.18	6.05	13.5	13.46	3.22	3.07	11.03	13.57	4.08	9.13	0.54	8.34	4.61	31.83	17.65	13.81	40.89	2.38	0.0
Gm4724	0.0	0.0	0.07	0.04	7.02	0.0	0.0	14.72	21.18	6.05	13.5	13.46	3.22	3.07	11.03	13.57	4.08	9.13	0.54	8.34	4.61	31.83	17.65	13.81	40.89	2.38	0.0
Kcna1	0.0	0.0	0.0	19.13	58.68	0.0	67.88	155.4	88.23	255.22	281.96	455.33	33.81	159.56	158.39	229.92	186.92	173.91	140.07	83.12	59.0	175.44	189.11	139.69	186.72	247.3	0.0
Krr1	2.52	22.97	9.93	0.0	109.23	10.51	0.24	1.13	30.29	21.52	36.49	18.01	22.47	112.54	24.53	18.7	15.39	44.43	15.46	8.8	2.38	9.02	27.26	34.6	59.07	82.67	7.6
Ldhb	7486.96	2593.67	3517.81	5855.34	8550.52	5876.73	10118.08	10894.4	8302.41	9220.91	9343.6	10165.1	9166.61	11261.44	10004.69	13571.31	12546.17	8904.1	11010.48	10182.84	6851.78	7551.43	7739.08	9082.37	7928.56	11746.38	5577.5
Leng8	8.1	0.0	0.0	0.0	11.47	0.11	0.0	0.29	2.79	1.69	2.64	1.14	0.0	1.74	1.13	1.57	0.0	0.24	0.0	4.65	0.38	3.92	5.36	2.28	9.8	10.63	0.0
Mrpl34	382.89	0.0	0.0	132.38	152.29	0.0	141.25	131.15	68.3	156.64	97.62	105.79	69.34	116.57	164.5	82.29	189.46	177.31	137.13	253.34	35.81	71.45	177.44	100.29	186.48	131.92	0.0
Mrpl50	0.0	0.0	0.0	667.62	124.29	0.27	163.48	3.2	205.78	109.67	94.01	37.6	87.88	218.9	248.25	94.53	65.28	16.87	87.77	74.09	180.87	201.2	362.89	131.24	311.96	224.35	0.0
Mrpl54	0.0	0.0	0.0	145.0	73.75	0.0	0.46	0.0	0.0	60.0	85.41	17.99	165.56	0.0	73.83	1.54	3.77	22.24	0.0	0.0	86.12	3.92	140.68	42.97	177.64	46.95	0.0
Nhsl2	0.04	0.0	0.0	0.0	1.33	0.12	0.0	0.33	1.4	6.46	0.18	5.87	24.29	2.11	2.7	0.11	2.8	0.03	0.41	0.22	0.56	2.77	6.45	2.22	11.31	0.25	0.05
Pak6	0.13	0.0	0.25	0.45	1.46	0.11	0.0	4.98	42.7	14.2	0.44	0.18	1.65	1.1	0.72	19.85	24.07	9.1	20.68	28.07	7.32	38.8	47.97	13.04	1.6	3.01	0.0
Pomgnt1	0.0	0.0	0.0	0.0	29.03	0.0	0.0	0.0	0.0	27.17	61.27	26.03	0.0	0.0	59.49	32.48	0.0	0.0	0.0	0.0	0.0	45.77	0.28	0.0	0.0	0.0	0.0
Prkca	0.0	0.0	0.0	0.0	0.56	0.0	9.24	6.25	12.83	14.05	4.73	18.28	0.09	4.31	35.67	6.48	2.79	10.5	1.15	1.71	1.29	21.72	42.87	19.98	18.55	0.0	0.0
Pvalb	0.0	0.0	0.0	211.09	2914.72	0.0	1319.97	2144.98	888.19	1590.34	1199.86	1316.24	1251.83	1740.57	1769.21	1408.27	1731.8	1237.21	1295.74	1914.29	1166.7	1223.54	1909.51	1681.17	2567.22	3516.69	0.0
Pwp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.47	120.21	1.84	0.42	39.32	0.0	42.26	0.0	79.17	0.0	47.17	0.0	20.87	0.0	0.0	78.01	4.85	82.09	25.07	0.0
Rapgef4	7.74	0.47	3.03	0.0	55.98	4.61	0.18	2.64	38.21	72.58	47.2	32.26	4.88	64.21	66.02	59.95	60.92	37.91	26.36	38.29	2.65	58.91	17.57	82.76	88.36	42.55	6.54
Rbfox1	0.0	0.0	0.0	63.53	147.61	0.13	125.14	91.05	76.61	254.3	171.68	73.23	121.31	100.93	141.49	54.96	122.22	116.76	66.71	74.89	111.45	189.29	208.61	96.1	122.34	190.51	0.0
Slc24a2	0.0	0.0	0.0	88.61	420.49	0.0	170.46	264.55	316.71	257.24	244.33	283.6	307.31	341.43	304.97	214.57	191.88	227.92	161.6	247.62	154.66	237.88	302.93	190.94	242.35	269.92	0.0
Snx27	0.0	0.0	2.9	0.0	52.98	0.0	2.68	59.71	80.41	40.92	7.04	75.49	28.91	15.5	73.99	18.72	19.38	42.17	30.89	6.07	4.09	6.79	60.94	12.13	56.8	13.69	22.7
Sorbs1	52.67	0.0	0.0	0.0	115.93	0.0	49.57	68.97	268.17	75.69	70.48	88.11	149.54	79.08	117.94	113.62	67.76	136.9	70.89	57.62	33.74	84.91	71.04	168.2	59.57	129.07	0.0
Supt5h	0.0	0.0	0.0	0.0	0.27	0.0	36.13	20.46	1.11	17.24	36.14	6.07	59.67	54.21	81.69	26.86	1.16	2.82	30.58	41.24	0.22	73.78	180.03	9.78	94.3	0.06	4.06
Trim33	0.0	0.0	0.0	0.0	34.28	0.0	0.0	7.39	2.91	9.22	1.33	13.35	0.52	0.29	8.37	0.03	3.5	10.33	17.91	0.66	0.0	0.77	33.01	11.68	34.66	23.05	0.0
Wdr13	0.0	0.0	1.2	0.44	0.0	0.0	5.55	0.68	91.46	28.83	11.06	31.7	1.83	63.61	0.73	24.95	30.98	2.46	0.0	26.17	0.0	5.84	9.44	1.4	44.17	0.05	0.0
Ylpm1	0.0	0.0	0.0	0.0	7.18	0.0	0.73	2.95	4.84	26.38	4.57	1.91	0.0	5.44	6.63	3.74	7.51	30.31	8.1	24.6	2.19	31.99	9.78	3.96	31.43	0.55	0.0
Zfp422	0.11	0.0	2.69	0.09	0.73	2.43	1.8	4.1	4.97	58.46	22.29	99.16	5.68	2.18	56.41	14.45	32.78	31.23	70.28	4.1	1.67	91.26	94.63	19.13	76.05	0.0	5.29
Zfp871	24.52	0.0	0.0	2.47	18.44	0.06	0.05	9.63	0.53	43.63	1.72	36.18	0.22	0.03	52.03	3.25	13.17	0.4	16.14	0.08	0.0	32.22	53.58	0.77	73.91	13.78	0.0
