	Calb2_tdTpositive_cell_27	Calb2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_72	Cux2_tdTpositive_cell_47	Cux2_tdTnegative_cell_16	Htr3a_tdTpositive_cell_95	Ndnf_tdTpositive_cell_2	Nos1_tdTpositive_cell_46	Nos1_tdTpositive_cell_49	Nos1_tdTpositive_cell_59	Nr5a1_tdTpositive_cell_31	Nr5a1_tdTpositive_cell_47	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_37	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_53	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_98	Rbp4_tdTpositive_cell_112	Rbp4_tdTpositive_cell_121	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_157	Rbp4_tdTpositive_cell_161	Rbp4_tdTpositive_cell_167	Rbp4_tdTpositive_cell_173	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_7	Rorb_tdTpositive_cell_13	Rorb_tdTpositive_cell_29	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_31	Rorb_tdTpositive_cell_46	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTpositive_cell_71	Scnn1a.Tg3_tdTpositive_cell_83	Scnn1a.Tg3_tdTpositive_cell_87	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_23	Slc17a6_tdTpositive_cell_39	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_43
Ccdc6	96.04	176.52	45.05	20.46	72.72	146.37	310.67	84.35	35.02	110.08	259.43	61.23	21.98	61.34	22.57	31.87	5.62	0.1	0.0	0.94	177.96	0.1	0.0	173.49	121.02	116.41	0.0	45.43	47.67	82.87	191.23	0.07	48.34	60.63	68.42	169.87	0.09	66.17	1.38	117.54	64.99	58.03	80.44	18.25	0.05	0.0	62.52	279.08	0.0	0.0	0.11	0.0	64.72	71.22	0.5	33.0	99.57	27.96	0.43	32.59	14.02	1.25	85.77
Ccl27b	0.0	6.45	19.36	4.38	0.0	9.53	670.98	0.69	24.48	22.24	0.25	136.5	328.63	352.63	116.18	318.99	85.18	0.0	0.0	0.0	190.26	0.0	0.0	0.0	1.96	63.9	0.0	149.26	30.1	8.22	200.54	279.74	145.89	364.23	18.03	4.35	0.0	0.0	352.09	43.11	48.18	105.31	147.96	145.58	0.0	103.54	42.53	31.23	0.0	0.0	0.0	0.0	144.42	30.14	325.47	100.7	319.12	80.83	235.31	83.58	97.07	149.77	95.77
Cdc40	0.0	0.0	0.0	99.63	44.88	11.1	0.0	0.0	1.5	25.05	78.35	77.8	97.29	0.0	65.45	17.12	45.59	0.0	0.0	1.03	5.64	24.65	0.0	0.6	0.0	60.4	12.45	26.17	155.26	1.04	0.0	0.55	17.89	0.34	43.58	19.74	0.0	0.0	50.74	16.34	2.02	43.61	99.22	16.11	0.0	479.69	176.23	41.93	0.0	0.0	0.0	0.0	0.0	0.0	13.93	0.0	52.02	0.0	0.28	0.35	28.16	66.16	109.54
Cdh12	0.0	60.78	7.35	80.92	63.0	89.43	0.0	0.13	7.02	2.73	85.99	8.45	15.52	18.62	0.0	0.02	18.02	0.0	0.0	0.0	0.1	0.0	0.0	104.66	80.73	63.09	5.18	14.68	31.55	69.96	0.13	0.0	0.06	0.07	57.55	0.06	0.0	0.0	42.39	0.15	34.77	26.85	148.22	9.7	0.0	120.96	90.68	87.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.2	0.1	0.0	0.0	0.0	0.04	0.0
Celf2	0.0	53.0	183.3	178.43	160.99	395.26	82.97	61.59	152.35	126.02	146.91	28.52	145.47	144.18	116.13	142.6	93.86	0.0	0.0	0.53	1.18	0.07	0.0	69.42	166.98	101.36	85.73	93.18	77.62	43.65	67.62	71.94	238.33	81.08	110.86	104.58	0.06	0.0	93.82	60.78	74.12	126.76	213.28	154.17	0.03	203.23	103.48	183.3	0.0	11.15	0.0	0.0	103.99	129.1	69.7	141.29	162.56	104.91	62.39	171.27	59.31	58.0	58.87
Cyfip2	59.13	1.61	61.45	142.44	326.37	0.0	114.11	180.47	116.24	75.77	124.94	236.94	81.34	174.09	45.95	112.11	137.99	0.0	0.0	1.17	200.99	0.04	0.0	181.3	259.09	144.67	130.9	271.75	228.61	204.49	204.94	70.03	88.71	1.4	62.31	246.73	0.0	0.0	628.8	533.59	301.05	378.4	200.0	113.71	0.0	218.4	260.09	331.09	0.0	0.0	0.0	0.0	172.12	1.52	45.51	21.87	97.01	95.48	86.1	73.18	62.48	131.03	232.91
Dgkh	0.0	96.13	0.0	0.0	41.82	0.0	156.09	19.29	0.0	27.49	56.24	0.0	23.65	13.16	0.0	0.0	0.0	0.0	0.0	0.15	39.53	0.0	0.0	111.85	0.0	0.0	79.41	41.38	51.28	0.0	0.0	70.24	1.16	94.97	10.63	127.33	0.0	0.0	135.2	1.61	112.26	80.6	96.77	0.68	0.08	3.6	0.0	119.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.25	0.96	0.0	0.0	102.46
Epha4	0.0	0.53	42.17	142.76	2.78	72.79	0.0	140.1	44.3	58.49	87.89	78.77	32.7	0.11	1.1	29.68	2.46	0.0	0.0	0.73	0.26	0.05	0.0	63.58	86.06	77.1	102.16	265.45	1.63	76.57	0.59	0.2	86.76	0.18	64.85	104.73	0.0	0.0	323.42	388.39	293.18	446.99	438.47	138.54	0.12	253.88	28.1	317.96	0.0	0.0	0.0	0.0	0.15	0.0	0.21	0.37	0.27	54.93	22.87	59.12	4.04	0.11	28.2
Fmr1	0.0	0.0	0.1	71.43	36.62	0.0	403.38	0.0	43.09	16.08	85.7	0.0	0.07	54.76	60.37	3.85	0.0	0.0	0.0	0.0	63.55	0.0	0.0	26.83	3.63	0.16	0.0	3.03	0.0	36.41	3.89	45.52	0.0	7.92	0.0	22.66	0.0	0.0	4.19	113.56	62.29	0.0	0.89	80.98	0.0	23.11	0.0	140.24	0.0	0.0	0.0	9.43	0.0	0.0	0.0	0.16	0.39	0.0	23.51	4.08	0.0	0.05	0.0
Gm13306	0.0	6.45	19.36	4.38	0.0	9.53	670.98	0.69	24.48	22.24	0.25	136.5	328.63	352.63	116.18	318.99	85.18	0.0	0.0	0.0	190.26	0.0	0.0	0.0	1.96	63.9	0.0	149.26	30.1	8.22	200.54	279.74	145.89	364.23	18.03	4.35	0.0	0.0	352.09	43.11	48.18	105.31	147.96	145.58	0.0	103.54	42.53	31.23	0.0	0.0	0.0	0.0	144.42	30.14	325.47	100.7	319.12	80.83	235.31	83.58	97.07	149.77	95.77
Gm2506	0.0	6.45	19.36	4.38	0.0	9.53	670.98	0.69	24.48	22.24	0.25	136.5	328.63	352.63	116.18	318.99	85.18	0.0	0.0	0.0	190.26	0.0	0.0	0.0	1.96	63.9	0.0	149.26	30.1	8.22	200.54	279.74	145.89	364.23	18.03	4.35	0.0	0.0	352.09	43.11	48.18	105.31	147.96	145.58	0.0	103.54	42.53	31.23	0.0	0.0	0.0	0.0	144.42	30.14	325.47	100.7	319.12	80.83	235.31	83.58	97.07	149.77	95.77
Grin1	0.0	0.45	1.92	20.13	7.77	0.13	88.25	0.0	11.33	7.15	3.46	11.28	0.16	13.37	12.17	7.13	22.13	0.0	0.0	0.36	9.79	0.0	0.0	9.67	20.8	23.69	1.79	56.39	27.4	119.72	0.7	52.23	9.79	9.94	73.81	8.31	0.0	0.0	41.22	68.26	21.72	95.83	90.64	13.53	0.0	69.01	19.56	28.35	0.0	0.0	0.0	0.0	18.21	11.0	0.17	4.14	0.71	0.0	1.05	82.28	0.15	0.12	0.24
Gucy1a2	0.85	1.76	2.96	9.95	1.2	10.94	2.33	0.66	4.83	13.26	28.46	52.68	10.69	1.06	11.06	0.14	4.09	0.25	0.4	0.25	39.13	0.16	0.41	58.47	27.5	0.73	14.44	7.18	4.93	2.06	0.27	1.25	0.76	0.81	0.85	26.27	0.13	0.23	32.99	34.45	13.94	12.72	19.15	7.46	0.53	34.02	9.94	66.19	0.3	0.18	0.0	0.12	0.7	0.17	0.64	3.79	19.06	6.89	9.08	0.37	0.02	0.03	0.32
Kalrn	0.26	3.04	23.6	51.36	126.48	12.15	0.52	56.42	27.9	35.82	36.84	25.21	73.9	39.91	44.24	4.54	6.55	0.1	0.04	0.17	62.79	0.05	0.63	66.6	66.75	45.14	68.12	129.19	23.57	14.05	27.03	2.95	24.02	40.04	74.43	34.62	0.3	0.17	95.19	93.86	118.62	225.27	68.36	16.57	0.21	142.75	67.43	77.03	0.04	0.09	0.08	0.29	34.43	16.98	18.18	34.18	3.95	2.74	14.16	32.49	3.83	28.1	69.46
Kcnma1	31.74	222.13	66.22	133.74	53.33	1.54	1.55	5.62	0.0	47.55	87.07	69.8	31.62	40.91	124.95	80.39	47.78	0.0	0.0	0.96	186.39	0.0	0.0	153.27	75.07	129.5	165.34	187.31	41.85	106.11	10.31	10.17	79.87	10.04	24.77	137.08	0.0	0.0	167.26	43.57	27.83	298.95	160.32	98.23	0.06	442.75	129.83	403.01	0.0	0.0	0.0	0.0	23.82	59.08	2.4	38.21	95.82	3.12	86.72	106.36	240.41	30.04	11.44
Kcnq1ot1	54.42	101.16	11.9	68.37	84.14	122.75	137.07	48.07	56.57	56.52	67.19	40.17	70.02	63.4	43.58	26.65	25.11	22.5	17.82	26.35	78.12	48.57	32.56	88.52	61.17	77.36	71.36	83.03	74.78	57.87	74.42	89.74	104.65	61.19	59.68	71.42	8.23	15.68	73.75	93.91	115.01	102.56	83.33	42.6	32.58	163.63	88.55	128.2	23.93	28.53	14.5	16.64	40.15	71.24	48.79	69.79	32.73	53.73	29.16	43.27	38.76	28.83	70.96
Lin7a	0.11	356.52	16.08	38.03	159.47	80.62	92.28	54.19	149.1	185.62	197.85	109.27	164.85	25.66	28.09	0.0	11.6	0.0	0.0	0.29	11.52	0.12	0.0	130.3	62.02	292.84	103.95	136.04	97.59	93.04	90.01	85.15	0.14	7.17	144.95	146.86	0.19	0.0	350.59	33.74	177.33	195.33	74.47	205.54	0.0	50.6	154.95	197.36	0.12	0.0	0.0	0.07	85.29	178.83	107.24	2.16	0.05	0.16	28.55	0.0	0.0	82.89	0.07
Lmtk2	0.0	54.98	16.19	1.75	134.47	0.0	0.0	20.87	0.0	12.67	30.59	0.14	9.05	0.04	37.02	3.21	2.94	0.07	0.0	0.15	1.74	0.0	0.05	51.32	22.46	16.4	0.16	59.02	0.0	0.49	0.0	0.32	45.47	6.68	17.59	3.8	0.0	0.08	60.59	81.77	24.06	109.82	89.84	48.18	0.08	113.72	18.02	64.82	0.0	0.29	0.0	0.0	6.35	6.75	0.07	0.04	15.89	27.11	44.16	3.84	0.04	0.0	6.35
Mal2	140.76	83.89	0.91	377.78	164.87	313.96	65.34	167.72	142.11	83.59	35.67	99.07	123.74	97.48	81.1	60.02	0.13	0.0	0.2	1.88	28.83	0.0	0.0	87.24	184.51	102.97	186.0	197.17	62.54	216.45	72.64	433.56	0.37	186.11	267.22	0.21	0.0	0.0	71.52	136.08	439.74	308.16	209.16	120.42	0.0	470.68	14.27	338.34	0.0	0.0	0.0	0.0	72.02	1.35	114.85	41.58	0.0	0.0	45.14	21.55	8.98	0.35	83.07
Mical2	0.0	248.65	26.48	182.15	12.37	90.2	0.0	15.91	49.0	28.51	18.39	215.93	122.84	2.38	39.6	21.09	3.04	0.08	0.0	0.47	53.52	0.0	0.0	2.65	26.52	35.0	0.04	144.59	108.75	55.73	1.2	11.34	10.63	43.46	22.67	150.06	0.0	0.0	59.85	20.54	220.08	274.66	172.15	30.59	0.04	144.21	29.31	198.45	0.0	0.0	0.0	0.0	98.26	5.53	8.31	109.82	8.09	8.42	38.21	49.69	0.13	59.37	90.23
Negr1	0.0	109.36	93.94	33.97	163.84	234.74	25.02	97.81	27.49	102.58	143.46	172.5	58.75	74.29	38.9	53.66	14.11	0.0	0.0	1.15	195.77	0.0	0.0	141.84	68.19	93.43	0.0	165.98	9.64	0.1	258.79	34.47	12.54	242.89	47.98	79.81	0.0	0.0	242.21	69.9	171.65	255.35	134.92	31.53	0.0	644.12	48.47	234.09	0.0	0.0	0.0	0.0	92.71	82.26	6.49	0.83	104.64	6.46	8.12	41.47	30.86	20.94	21.56
Nell2	0.0	357.73	31.82	12.45	469.58	212.67	322.64	272.37	125.65	0.0	35.63	87.37	256.85	134.27	46.35	166.85	37.66	0.0	0.0	2.23	394.71	0.0	0.0	395.98	105.24	204.86	367.22	213.44	1.34	0.0	3.66	143.75	145.95	94.13	71.83	16.7	0.0	0.0	759.43	14.03	319.01	173.89	21.22	84.66	0.08	104.64	0.0	119.49	0.0	0.0	0.0	0.0	0.12	135.61	139.33	191.87	76.1	37.72	95.28	3.68	23.92	114.77	0.0
Pclo	25.72	2.39	6.32	49.44	9.81	32.52	7.21	37.62	28.55	21.73	26.98	61.38	25.94	15.44	56.32	10.62	23.22	0.03	0.0	5.59	29.96	0.04	0.3	96.39	49.98	9.33	64.31	77.55	54.17	0.13	37.09	79.72	59.31	56.39	42.57	34.57	0.02	0.0	47.41	34.06	87.73	54.18	94.11	42.82	0.0	28.32	33.29	101.7	0.0	0.39	0.03	0.0	42.65	24.69	44.99	4.74	23.99	15.07	10.0	10.94	21.08	16.79	51.66
Peg13	0.0	179.41	83.91	84.27	49.25	0.0	35.4	12.73	99.94	74.82	25.08	54.13	103.87	68.36	55.86	20.17	74.43	0.0	0.0	0.0	105.37	0.0	0.0	111.41	32.37	48.51	15.64	92.04	122.71	20.76	51.6	46.92	70.7	88.11	60.97	29.46	0.0	0.0	193.85	102.23	98.55	153.17	149.01	11.37	0.06	168.41	115.69	222.68	0.0	0.0	0.0	7.52	9.09	140.43	82.89	45.16	0.83	16.47	10.73	0.06	15.88	74.53	50.14
Phyhip	0.0	0.21	125.45	117.01	23.53	18.22	49.71	187.93	104.61	75.44	147.29	96.18	246.88	0.0	128.08	84.42	138.84	0.0	0.0	0.0	0.78	0.1	0.0	319.28	23.81	208.96	47.49	208.89	165.67	47.89	4.31	2.15	198.21	0.41	123.59	35.45	0.0	0.0	95.79	112.82	208.35	245.04	246.54	68.94	0.0	239.74	125.91	288.38	0.0	0.0	0.0	0.0	0.28	0.0	287.23	140.33	97.02	36.28	0.09	93.74	63.64	13.51	99.17
Plcxd2	0.0	19.3	0.0	38.75	141.24	0.0	11.52	0.0	0.0	22.91	12.29	79.15	25.09	345.92	0.0	10.31	0.0	0.0	0.0	0.0	113.7	0.0	0.0	141.63	30.34	58.92	46.66	76.13	67.38	49.79	66.77	204.02	36.85	116.81	10.43	13.54	0.0	0.0	165.62	397.84	36.09	93.64	230.8	71.63	0.0	141.69	61.63	60.35	0.0	0.0	0.0	0.0	192.58	124.27	158.64	0.0	0.0	0.08	1.26	0.08	0.04	0.0	45.02
Ppp1cb	353.59	166.42	28.86	341.37	168.38	311.53	67.77	122.33	641.42	328.09	172.4	291.44	21.51	76.59	192.98	44.66	143.33	267.92	53.5	2.01	379.72	6.69	4.88	174.54	262.39	102.37	167.31	238.01	158.81	234.57	174.17	379.41	316.85	336.79	334.23	720.39	529.25	1.54	632.28	637.43	406.59	273.45	118.42	208.16	0.07	280.55	214.49	414.52	0.0	116.66	18.14	3.33	222.07	159.34	207.87	89.36	166.27	182.29	114.65	187.74	190.49	166.95	58.15
Psg28	14.79	7.65	1.92	19.1	16.76	14.38	30.49	7.81	14.05	10.27	15.96	6.27	12.1	8.86	7.32	9.24	4.28	4.63	0.57	4.49	13.61	2.96	13.92	25.36	12.09	16.57	12.61	19.67	12.8	10.72	24.08	21.67	20.18	11.2	14.88	24.28	6.76	0.65	24.03	27.69	22.64	23.43	21.92	10.86	3.32	33.23	15.25	28.91	4.59	4.73	1.53	2.45	3.82	10.79	7.84	19.32	7.29	9.75	10.36	9.05	7.13	3.45	7.18
Satb2	0.0	74.59	3.28	11.37	8.28	111.45	3.77	64.59	5.46	42.44	9.25	138.4	46.92	2.04	36.89	13.19	29.49	0.0	0.0	0.22	137.25	0.09	0.07	100.25	15.34	133.25	139.21	33.23	105.35	90.2	0.28	6.66	10.63	97.63	44.61	68.13	0.0	0.0	199.15	168.9	96.36	33.02	129.17	38.47	0.0	127.39	60.42	103.86	0.12	0.0	0.0	0.0	0.0	4.08	0.0	24.07	43.44	0.11	0.0	0.06	10.99	0.0	0.0
Slc17a7	0.0	20.14	22.17	84.53	0.28	73.8	50.48	13.86	22.97	36.57	33.85	42.97	0.83	4.64	44.84	13.93	16.52	0.0	0.0	0.0	67.49	0.0	0.0	54.86	38.32	22.31	122.54	51.72	41.71	37.19	9.45	1.28	36.06	8.03	37.4	63.41	0.0	0.0	118.28	66.21	64.9	89.72	69.25	27.44	0.0	40.49	30.28	70.61	0.0	0.0	0.0	0.0	36.45	13.53	75.95	37.68	20.09	17.85	5.06	27.5	31.85	9.22	45.26
Sncb	0.0	54.53	110.48	367.19	321.67	120.61	64.98	56.82	153.38	174.41	86.42	240.08	262.56	63.33	47.5	64.35	198.87	0.0	0.0	3.0	252.34	0.0	0.0	136.35	146.45	342.3	14.88	159.55	109.45	222.07	265.32	119.55	133.21	198.78	164.58	175.4	0.0	0.0	370.74	183.77	177.27	202.92	245.72	226.73	0.0	275.88	233.62	179.1	0.0	0.0	0.0	0.0	158.12	170.04	117.52	159.26	26.65	36.25	15.73	12.74	12.36	31.6	114.99
Snord116	5.85	0.0	7.4	4.85	4.43	0.0	0.0	0.0	17.67	3.47	5.42	0.0	5.3	6.48	7.05	0.0	9.54	0.0	0.0	0.0	14.79	0.0	0.0	9.5	7.97	0.0	0.0	10.33	0.0	0.0	0.0	3.43	0.0	6.89	0.0	10.1	0.0	0.0	0.0	30.49	24.21	26.55	8.45	6.89	0.0	0.0	9.56	21.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.41	0.0	5.24	4.47	2.75	0.0	0.0	10.67
Snord116l1	5.85	0.0	7.4	4.85	4.43	0.0	0.0	0.0	17.67	3.47	5.42	0.0	5.3	6.48	7.05	0.0	9.54	0.0	0.0	0.0	14.79	0.0	0.0	9.5	7.97	0.0	0.0	10.33	0.0	0.0	0.0	3.43	0.0	6.89	0.0	10.1	0.0	0.0	0.0	30.49	24.21	26.55	8.45	6.89	0.0	0.0	9.56	21.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.41	0.0	5.24	4.47	2.75	0.0	0.0	10.67
Snord116l2	5.85	0.0	7.4	4.85	4.43	0.0	0.0	0.0	17.67	3.47	5.42	0.0	5.3	6.48	7.05	0.0	9.54	0.0	0.0	0.0	14.79	0.0	0.0	9.5	7.97	0.0	0.0	10.33	0.0	0.0	0.0	3.43	0.0	6.89	0.0	10.1	0.0	0.0	0.0	30.49	24.21	26.55	8.45	6.89	0.0	0.0	9.56	21.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.41	0.0	5.24	4.47	2.75	0.0	0.0	10.67
