	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_36	Chrna2_tdTpositive_cell_42	Chrna2_tdTpositive_cell_53	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Ntsr1_tdTnegative_cell_54	Rbp4_tdTpositive_cell_190	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_60	Sst_tdTpositive_cell_88	Sst_tdTpositive_cell_89	Sst_tdTpositive_cell_92	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nov	0.0	0.62	20.01	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.09	0.36	0.0	0.0	0.0	0.48	0.08	0.0	0.75	0.0	0.22	0.0	5.99	4.13	124.61	128.44	115.44
Nudt16	0.0	0.0	133.14	0.0	0.0	0.0	0.0	0.0	61.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.87	0.0	3.15	0.0	0.0	0.0	6.96	7.46	14.52	14.96	18.64
Odf2	11.52	0.0	4.0	31.23	60.51	104.71	10.17	63.37	16.26	64.72	59.69	0.0	0.42	46.61	0.0	7.13	0.11	13.46	7.55	0.14	5.52	30.43	34.47	38.68	70.41	66.17	69.7
Ogfrl1	0.0	7.32	49.39	3.4	32.33	0.0	9.3	13.25	30.74	24.67	6.19	1.49	24.61	58.81	43.61	3.6	1.16	60.31	0.0	0.23	0.11	25.46	60.56	47.44	78.83	72.63	76.41
P2rx6	0.0	0.0	3.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.67	1.85	6.16	5.54	5.79
Pbk	0.0	0.0	2.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.68	0.44
Pcolce2	10.84	0.0	60.78	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.12	1.5	3.62	4.88	5.88
Pdk2	72.92	149.29	0.3	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	112.59	0.0	0.0	2.29	0.69	3.31	14.56	38.75	0.0	0.23	0.0	22.03	23.89	84.61	89.08	86.53
Phyhd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75	0.0	0.0	0.0	0.0	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	8.57	4.32	19.85	19.64	21.62
Pla2g16	0.0	0.29	23.14	0.0	0.35	0.0	0.14	0.0	0.0	0.0	0.0	0.13	0.08	0.15	0.0	0.03	0.04	0.3	0.0	0.0	0.0	0.25	0.0	2.26	20.85	20.87	21.9
Plec	6.43	0.0	39.19	26.06	19.11	22.01	0.02	6.34	22.38	5.49	10.42	11.21	3.57	0.54	25.89	5.27	18.4	5.35	14.29	0.33	22.15	18.32	13.6	16.62	46.49	48.19	52.96
Pno1	0.0	0.0	295.34	15.95	83.77	0.0	3.4	66.7	15.04	33.3	0.0	0.0	0.18	91.45	0.0	0.38	0.0	0.0	0.0	0.0	68.72	37.91	17.01	25.01	32.34	32.81	29.37
Ppp6r3	3.19	8.93	104.0	5.9	0.0	0.21	26.92	48.99	0.1	35.78	0.0	0.0	0.12	7.96	27.08	0.89	17.75	65.38	0.26	0.0	1.62	0.0	9.38	9.58	48.95	48.36	48.93
Prkce	13.59	58.67	62.73	4.21	25.5	0.0	0.08	5.16	32.39	46.45	9.5	94.8	28.63	23.44	31.8	32.92	31.76	100.23	24.67	76.17	0.08	22.17	90.9	95.23	203.76	201.38	207.81
Prkd2	0.0	0.0	5.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.12	3.78	4.48	2.31
Rilpl2	66.99	0.0	99.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	25.32	0.0	0.0	0.0	0.45	0.0	0.0	8.69	4.52	18.86	18.37	14.3
Rpl11	346.57	515.24	800.04	937.71	264.8	32.42	301.15	221.63	507.16	556.53	361.53	431.97	464.57	369.91	487.7	228.39	492.06	98.93	169.3	199.48	453.08	325.17	360.46	377.79	471.96	529.87	479.27
Sema4c	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.98	12.29	11.33
Slc24a4	0.0	0.0	59.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.33	30.3	34.96
Snora65	63.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	11.14	0.0	18.02	14.72	16.13
Sst	110572.87	33532.27	21759.65	92299.24	72114.03	41248.39	79456.04	80147.45	68952.67	63593.53	65451.11	55479.93	54018.45	59257.22	50608.74	16296.14	78404.02	70180.73	18337.4	8766.8	6162.67	60686.4	0.0	0.0	558.6	588.98	558.0
Tbkbp1	0.22	1.12	29.16	32.85	0.12	2.06	0.0	0.4	0.15	0.0	0.0	0.0	0.33	0.33	0.0	0.0	0.31	0.0	0.0	0.99	0.0	0.28	0.0	0.1	34.8	38.98	38.2
Tesk2	0.0	0.0	62.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	1.47	3.73	4.14	5.18
Traip	0.0	0.0	47.36	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	10.94	0.0	0.0	0.0	0.0	0.0	11.1	4.89	20.4	14.43	14.86
Trim61	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.04	0.0
Ttc9b	0.0	0.0	35.91	0.0	0.0	0.0	0.0	0.0	0.29	0.0	2.72	0.0	1.61	0.0	0.0	22.92	0.69	0.0	0.0	0.0	0.0	0.0	73.63	77.52	202.19	231.72	229.7
Ttpal	0.0	0.0	65.51	0.0	1.81	0.0	0.0	0.0	0.0	9.2	0.0	0.0	0.0	0.0	0.0	0.55	0.07	85.09	0.0	0.0	0.12	0.0	12.99	7.47	48.18	48.03	44.14
Ubxn6	0.0	0.0	54.71	0.0	27.28	0.0	0.0	12.32	41.29	0.0	0.0	0.0	0.0	0.0	35.86	54.74	0.0	80.99	0.0	0.0	0.0	0.28	5.74	13.23	96.98	109.7	101.44
Yif1b	0.0	0.0	377.49	205.62	0.0	0.0	0.0	21.83	130.17	26.99	0.0	119.72	83.58	0.0	0.0	62.86	134.72	0.0	0.57	125.06	0.0	0.0	52.84	76.85	45.71	53.67	49.4
Zfp251	0.0	0.18	40.08	0.0	0.0	0.0	78.67	0.0	0.0	34.18	0.0	0.0	0.0	0.0	36.05	0.0	0.0	0.0	0.0	0.0	42.63	37.48	5.67	2.66	33.1	36.63	33.01
Zfp622	0.91	5.37	0.0	5.7	2.94	0.0	18.57	0.08	0.0	2.07	2.59	3.81	2.87	2.73	23.16	24.28	0.0	0.0	0.0	0.0	7.35	0.0	7.18	5.7	29.77	31.42	29.21
Zfp703	0.0	0.0	35.22	0.0	0.0	38.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.35	0.0	0.0	2.6	2.18	30.6	32.52	34.56
c14_tRNA-Thr-ACA	0.0	0.0	37.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0
mt_AK141881	0.0	0.0	10.89	0.0	0.0	0.0	0.0	0.0	2.94	0.0	4.91	0.0	0.0	2.94	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	3.43	0.0	0.0	21.9	18.44
