	Calb2_tdTpositive_cell_1	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_19	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_113	Htr3a_tdTpositive_cell_123	Nos1_tdTpositive_cell_26	Nos1_tdTpositive_cell_34	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_59	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_4	Rbp4_tdTpositive_cell_41	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_135	Rorb_tdTpositive_cell_43	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_3	Slc17a6_tdTpositive_cell_24	Slc17a6_tdTpositive_cell_40	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_17	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Astn2	5.92	0.0	0.14	0.4	12.84	0.64	0.21	4.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.12	0.16	0.0	0.0	0.26	1.91	0.0	0.0	0.09	0.0	0.47	0.0	0.24	0.0	0.0	0.5	0.53	2.55	0.43	0.3	0.28	1.65	1.3	0.16	0.25	1.77	0.59	0.37	0.07	0.0	0.06	0.0	0.05	0.0	0.0	0.0	0.1	0.0	24.18	24.75	22.11
Atg16l2	2.62	0.0	0.36	64.07	5.63	50.78	0.0	46.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75	94.57	0.0	0.0	0.0	0.0	0.0	0.0	1.84	36.15	0.0	14.76	2.17	0.0	0.0	15.51	3.66	0.78	7.62	6.59	5.86	6.53	12.83	1.72	3.95	16.78	11.36	8.88	1.77	0.0	0.0	16.95	0.0	0.0	1.51	0.71	0.22	41.5	15.41	14.57	14.59
Birc3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.93	6.86	0.0	0.0	7.98	0.0	0.0	0.0	0.64	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	1.77	2.39
C130026I21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.35	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.06	0.0
C78339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.94	0.0	0.0	0.0	0.0	0.0	0.0	6.45	7.78	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.18	1.9	2.87	1.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.37	52.67	56.22
Ccdc57	0.0	0.0	0.0	0.0	0.0	0.0	1.63	36.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.32	9.04	0.0	0.6	1.15	0.0	0.0	0.51	1.16	2.1	1.62	1.12	9.39	0.0	0.0	19.02	0.0	0.0	0.0	0.0	0.0	0.0	7.35	8.83	8.33
Cep152	0.0	18.04	0.0	0.0	0.0	0.0	0.0	20.86	0.0	0.98	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	2.26	0.63	0.0	0.31	1.42	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	1.84	2.26
Cmya5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52	0.0	0.0	0.0	4.73	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.56	0.83	0.92	11.53	0.0	1.33	5.35	7.63	0.77	1.47	0.32	2.31	2.41	4.57	0.41	5.39	5.27	3.62	12.38	0.0	1.84	0.0	0.0	0.0	0.0	0.03	25.99	0.0	2.38	2.25	2.65
Ctbs	0.0	0.0	0.0	0.0	0.0	0.0	0.0	138.99	0.0	0.0	0.0	0.0	0.0	12.4	0.0	0.06	0.0	0.1	60.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.72	0.0	0.0	4.77	0.0	0.0	0.0	0.0	0.0	0.1	0.19	0.0	3.29	4.98	2.51	0.0	0.33	0.0	0.0	0.0	0.0	0.0	75.93	0.09	0.0	6.85	7.2	8.9
Dbt	0.05	0.8	0.24	0.38	12.66	0.45	0.3	48.25	0.46	2.27	0.58	0.34	0.11	0.0	0.0	0.0	0.0	0.27	0.52	0.11	0.21	0.0	0.0	0.0	0.1	0.53	0.17	0.48	0.0	58.16	0.03	0.29	7.87	3.04	12.86	1.34	2.09	6.34	15.99	4.52	0.3	0.0	5.32	1.15	5.99	1.09	0.09	28.55	0.08	0.13	0.34	1.6	0.06	0.07	0.3	14.19	13.45	14.06
Dcc	6.31	0.44	0.73	0.12	0.1	0.04	1.49	10.79	0.12	0.04	0.05	0.0	0.03	5.94	0.06	0.06	0.06	0.03	4.09	0.07	0.09	1.37	0.04	0.0	0.0	0.04	0.03	0.08	0.12	0.16	0.06	0.08	0.61	0.48	0.6	2.44	0.29	4.66	3.99	5.63	1.6	1.1	2.56	1.64	1.99	0.06	0.0	0.11	0.02	0.12	0.03	17.53	0.06	0.02	0.13	10.36	8.6	9.7
Dhx58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.82	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	0.0	8.11	0.0	0.97	0.0	0.0	0.62	0.43	0.72	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	1.52	1.51	1.52
Dock1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.83	1.11	0.46	0.0	1.04	0.0	0.0	1.75	0.0	0.26	0.1	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.99	11.25	11.82
Dok2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	1.04	0.72
Dzip1l	0.0	0.0	0.2	2.12	0.96	0.0	1.65	24.61	0.77	0.0	0.13	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.04	0.0	9.78	0.13	0.0	0.08	0.0	0.0	0.1	0.16	0.0	0.0	1.23	14.28	3.99	4.91	8.0	0.09	5.09	0.51	1.83	3.38	0.1	4.6	2.62	4.92	0.0	0.0	0.04	0.0	0.0	0.09	0.0	0.0	0.03	29.52	17.46	16.25	15.07
Eif5	0.15	30.94	0.0	33.86	31.74	37.48	33.46	188.97	36.47	0.0	72.13	1.07	386.0	80.99	1.88	1.55	17.42	29.78	91.93	24.05	9.63	18.05	3.0	0.0	12.88	7.51	38.23	0.0	32.02	153.32	0.0	0.12	47.47	31.7	21.03	21.5	25.35	37.46	62.43	23.65	51.66	34.64	66.31	38.52	47.93	160.51	27.61	0.0	43.54	0.0	103.43	0.0	0.08	12.47	2.72	140.35	143.5	145.74
Exd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.68	0.61
Fam151b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0	0.0	0.22	1.02	0.0	1.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.19	8.52	8.88
Fkbp15	3.39	0.12	0.0	0.86	0.0	0.0	32.05	28.93	0.23	0.0	0.0	6.91	0.0	0.0	0.0	4.32	0.0	0.0	10.4	0.0	0.15	0.0	3.96	0.0	0.0	0.72	0.0	0.0	1.42	0.0	2.14	0.0	7.7	4.74	7.26	4.07	2.7	0.41	10.81	1.47	9.87	0.0	1.43	3.46	3.73	7.23	10.46	1.52	0.0	0.0	0.0	0.0	0.0	0.0	0.06	23.24	23.08	24.79
Fmn1	0.05	11.85	1.3	19.32	0.87	17.63	0.16	1.87	0.0	0.11	0.02	0.0	0.0	0.08	0.3	0.0	0.04	0.0	0.03	0.15	0.0	0.22	0.11	0.0	0.05	4.21	0.02	7.21	0.0	0.14	0.04	0.22	2.42	5.54	1.48	0.84	2.98	3.59	5.13	1.94	1.48	2.24	1.86	1.29	3.04	0.05	0.0	0.0	0.23	5.9	0.0	0.03	12.58	0.76	8.06	5.95	5.89	6.37
Fmnl3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.18	8.12	9.88
Gdap10	0.67	2.22	21.22	13.7	0.53	2.31	0.44	56.13	0.49	0.91	0.24	0.42	0.25	0.67	0.34	0.0	0.2	0.2	0.34	0.0	0.36	0.0	1.72	0.0	0.11	1.3	0.1	0.26	0.73	55.75	0.74	0.0	1.79	0.26	2.16	1.86	10.09	10.97	5.54	1.21	2.12	0.48	1.64	2.62	1.11	0.25	0.31	0.53	0.1	0.0	0.64	0.0	0.11	0.0	0.26	2.91	2.62	3.27
Gm10433	2.54	3.16	12.63	4.12	2.84	1.53	5.43	25.82	5.46	1.22	0.04	1.87	0.0	1.1	1.74	0.38	0.69	0.15	2.19	2.65	1.42	4.06	7.44	0.33	1.24	12.33	0.83	8.84	5.6	0.92	0.26	8.43	14.53	3.56	3.32	4.19	2.31	6.5	5.25	3.7	2.99	1.51	3.67	3.44	3.46	4.51	1.75	0.79	2.04	3.51	0.54	1.48	0.65	0.46	2.75	2.36	1.43	2.13
Gm17296	0.0	0.0	0.0	0.0	0.0	0.0	0.26	20.71	0.0	0.0	0.0	0.0	0.0	0.0	2.83	5.62	0.0	0.05	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	20.54	0.0	18.5	0.0	0.0	0.14	0.0	0.0	0.0	0.07	1.17	3.54	0.5	0.97	0.35	0.53	0.2	0.34	0.51	0.0	0.62	0.0	0.0	0.0	0.0	1.13	0.0	0.0	5.14	3.96	4.5
Gm2002	0.0	0.0	0.0	3.95	0.07	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.2	0.15	0.43	0.11	5.79	0.0	21.65	0.0	0.08	0.07	0.12	0.0	0.0	0.34	0.0	0.27	0.0	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	2.41	0.06	0.13	27.58	0.0	0.0	0.0	0.36	0.28	0.2	1.73	1.86	1.4
Gm5803	0.15	0.0	0.66	0.0	0.0	0.0	0.58	7.38	0.61	0.0	0.0	0.0	0.0	0.0	0.0	28.64	0.0	0.53	1.03	0.45	0.11	0.51	0.93	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.36	3.31	0.41	0.19	6.23	0.0	3.02	6.23	0.0	0.0	4.42	0.0	0.0	0.0	0.0	0.0	0.65	0.45	0.0	0.0	0.0	0.0	0.7	0.39	0.65
Gsn	0.0	0.0	0.0	0.0	0.0	0.0	24.57	73.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	11.34	33.5	27.53	6.87	11.91	14.97	15.55	10.96	11.78	23.97	11.22	10.05	22.56	0.0	9.94	49.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.68	71.27	66.21
Hdac5	0.0	0.14	0.0	0.0	0.0	0.0	0.68	28.66	0.0	0.0	0.0	0.0	0.09	0.17	2.16	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.02	4.69	6.66	10.77	5.22	2.59	1.65	0.34	2.97	0.83	1.17	1.8	1.27	0.08	0.0	0.15	0.0	56.38	0.0	0.12	0.88	0.0	0.0	101.76	107.17	98.05
Hexdc	0.0	1.22	0.0	0.0	10.08	1.89	86.75	122.11	0.0	16.11	0.0	0.0	0.0	86.79	0.0	0.66	0.0	114.69	20.57	106.97	0.0	0.0	0.0	0.0	0.0	28.5	0.0	11.32	53.46	0.0	0.0	0.0	3.66	8.64	6.87	18.85	9.21	12.47	13.55	5.96	5.62	12.56	2.3	9.52	13.04	2.98	1.05	45.53	0.0	0.91	0.0	0.0	0.0	0.0	9.09	33.12	36.68	37.09
Hgsnat	0.11	0.0	24.83	34.51	46.38	0.0	0.0	76.1	0.0	0.0	0.0	0.0	0.0	41.75	32.51	23.99	0.0	0.0	20.16	40.45	0.0	2.45	3.15	0.0	0.0	0.0	2.28	0.0	12.56	0.0	0.19	0.0	4.24	5.35	14.25	13.1	7.95	5.83	18.24	1.64	5.99	9.37	11.25	14.39	16.99	38.44	0.33	24.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.84	52.82	50.58
Hira	0.0	0.0	0.0	0.0	0.0	0.0	0.07	50.79	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	16.63	0.0	4.17	0.0	0.0	0.0	0.33	0.0	0.0	0.09	0.0	2.56	0.45	0.0	0.23	2.43	0.29	0.69	6.94	2.36	4.27	0.73	3.4	2.85	3.13	1.35	1.37	0.0	0.0	7.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.31	33.37	34.42
Hsd17b2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.22	0.32
Ifrd2	20.31	0.0	0.0	0.0	0.0	0.0	0.0	40.35	0.0	11.93	0.0	0.0	0.0	0.0	0.17	0.0	5.23	0.0	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.02	10.4	5.86	0.0	1.07	4.53	0.0	3.39	0.1	6.23	3.68	6.54	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.15	0.12	0.0	8.27	8.54	8.12
Ift57	0.0	32.76	16.35	20.67	11.5	7.48	33.32	92.36	0.0	0.0	0.0	0.0	0.0	4.25	0.0	27.37	0.06	3.82	9.58	1.53	0.0	0.0	8.4	0.0	0.0	0.0	0.0	17.08	20.13	10.6	39.58	0.0	20.72	11.58	19.66	13.95	24.38	18.57	18.44	13.78	25.11	24.94	24.36	18.73	20.81	122.68	0.0	16.16	0.0	0.09	2.45	0.69	19.78	7.86	6.1	40.44	36.93	39.25
Il11ra2	0.0	0.0	0.0	3.95	0.07	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.2	0.15	0.43	0.11	5.79	0.0	21.65	0.0	0.08	0.07	0.12	0.0	0.0	0.34	0.0	0.27	0.0	0.0	0.61	0.21	1.13	2.82	5.81	2.35	3.62	0.0	0.41	0.96	1.27	4.28	1.89	2.41	0.06	0.13	27.58	0.0	0.0	0.0	0.36	0.28	0.2	1.73	1.86	1.4
Il1f9	21.54	0.0	0.0	2.23	0.81	0.0	10.71	7.41	5.66	0.26	0.0	1.5	0.32	0.0	5.0	0.31	0.0	0.0	0.91	1.92	5.77	1.96	17.33	0.0	0.56	0.22	0.23	5.42	0.0	1.12	3.85	0.9	2.0	0.43	3.58	2.44	1.88	3.2	2.21	5.78	4.31	0.93	2.48	3.84	3.52	9.45	0.2	1.98	0.0	2.47	0.0	0.54	1.73	0.0	0.16	4.24	4.04	4.25
Isg20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.54	1.41
Itga9	0.0	0.0	0.0	0.0	0.0	0.0	0.06	37.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.97	3.89	3.97
Lins	0.15	1.49	0.18	0.41	0.19	0.49	8.93	45.17	0.07	0.17	0.1	0.0	0.75	0.12	0.1	0.19	0.04	0.21	23.54	0.15	0.06	0.0	2.01	0.0	0.12	0.14	0.07	0.22	0.84	0.9	0.26	0.13	4.65	0.79	0.31	3.02	4.02	2.32	0.92	6.24	1.75	2.96	4.93	3.7	5.8	1.03	1.09	3.11	0.93	0.07	0.3	0.08	0.0	0.05	0.47	5.41	5.27	5.47
