	Calb2_tdTpositive_cell_27	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_40	Ndnf_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rorb_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_23	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_2
Ccdc65	0.0	0.0	25.73	0.0	0.0	0.0	212.9	0.0	0.0	238.62	140.79	0.0	0.0	0.0	9.12
Cckbr	0.0	0.0	597.82	0.14	0.0	0.0	0.0	0.0	110.86	0.0	0.11	0.0	54.16	121.86	53.68
Ccl21b	0.0	0.0	165.9	0.0	0.0	0.0	0.0	35.1	0.0	0.0	128.63	0.0	0.38	0.0	17.98
Ccl9	1.54	0.0	1.71	2.19	0.65	1.89	1.59	1.61	1.45	2.73	1.5	0.19	0.78	0.35	2.2
Cd274	548.35	0.28	148.35	0.75	1.21	0.0	1.24	1.38	27.91	0.4	0.44	0.33	0.74	0.21	1.69
Cd68	0.0	0.0	102.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.74
Cd74	0.0	0.0	44.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.13
Cds1	0.0	0.05	122.07	18.0	0.0	0.0	13.3	5.8	40.3	0.0	113.96	7.47	56.93	0.08	82.7
Crispld2	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2
Dagla	0.0	2.48	57.98	1.06	0.0	0.0	0.0	0.0	0.14	0.0	11.68	0.0	3.41	0.0	62.82
Elovl2	0.0	0.0	89.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.02
Epb4.9	1.3	10.6	305.29	56.93	72.79	0.45	1.76	47.89	149.72	3.31	58.44	0.53	49.8	0.17	211.43
Ept1	75.39	53.89	85.74	108.66	25.56	0.06	0.0	0.17	0.0	22.47	6.92	6.1	49.41	12.64	31.17
Etf1	0.0	29.61	105.25	0.0	0.09	0.0	0.0	0.0	17.31	0.0	0.08	0.0	57.55	22.11	59.44
Exph5	0.0	0.0	65.49	15.54	0.0	0.0	0.0	0.0	9.74	0.0	14.73	0.02	0.0	0.0	6.68
Fen1	0.0	0.0	181.97	58.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.05
Galnt1	0.0	0.0	99.02	0.18	0.72	0.1	0.0	4.49	54.13	0.0	0.0	0.0	45.15	0.0	37.35
Gfra2	0.73	9.33	337.78	63.98	6.08	0.11	1.18	3.0	230.03	2.52	1.36	18.59	31.73	0.28	49.17
Gm14430	0.45	8.59	24.38	0.0	11.42	0.04	0.01	0.0	13.09	0.0	2.35	13.98	0.21	0.0	5.07
Gm14434	0.45	8.59	24.38	0.0	11.42	0.04	0.01	0.0	13.09	0.0	2.35	13.98	0.21	0.0	5.07
Gm16596	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.92
Gm20063	0.0	159.96	245.71	55.99	0.0	0.0	0.0	0.36	0.26	0.0	0.0	0.0	0.0	0.0	6.97
Gm4312	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm4724	0.45	8.59	24.38	0.0	11.42	0.04	0.01	0.0	13.09	0.0	2.35	13.98	0.21	0.0	5.07
Gnal	29.63	0.0	91.55	40.38	3.35	0.32	0.64	0.39	0.24	29.31	10.87	0.28	10.34	2.23	118.26
Gnpat	0.0	0.0	121.38	6.89	108.22	0.0	0.0	0.0	111.95	58.08	106.91	0.0	0.0	0.71	49.78
Gpr68	0.22	3.23	183.13	2.0	1.37	4.0	3.06	0.0	1.98	4.3	0.2	1.92	0.23	0.1	9.8
H2-Ke6	0.0	0.0	25.61	0.0	0.0	0.0	0.0	0.0	132.09	0.0	0.0	0.0	24.64	0.0	38.73
Hbs1l	0.0	52.47	462.9	60.44	92.87	0.0	3.63	0.0	66.29	177.3	0.0	0.09	165.89	13.0	47.96
Hccs	0.0	0.0	156.88	0.0	12.7	0.0	82.26	14.3	108.08	0.32	0.0	0.0	0.0	0.0	25.53
Heatr6	0.0	0.0	25.19	2.74	5.37	0.0	0.0	1.41	0.07	0.83	4.12	0.86	0.0	0.75	10.73
Hn1l	0.0	0.0	32.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.13	0.0	5.25
Homer2	2.72	0.0	35.82	3.87	0.0	0.0	0.05	0.05	0.18	0.0	0.0	0.0	0.0	0.1	19.26
Hoxd4	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Htr3b	0.0	0.09	1.01	0.0	0.0	0.0	0.3	0.12	0.24	0.0	0.0	0.0	0.0	0.0	0.0
Il16	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72
Il23r	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kcnh1	0.0	16.75	85.19	9.57	19.0	0.0	22.67	0.0	32.21	10.19	1.07	12.3	0.0	0.38	42.25
Kcnj12	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.02
Kremen2	0.65	0.66	7.17	0.96	0.7	0.0	0.54	1.68	1.14	0.0	0.35	0.24	3.31	0.0	2.05
Lag3	1.61	0.23	1.54	0.39	0.34	0.0	0.38	0.68	1.16	0.0	0.0	0.0	0.3	0.31	7.49
Lekr1	0.0	5.45	41.95	29.62	0.0	0.0	0.0	0.0	0.5	0.0	0.0	2.55	0.0	0.0	4.36
Lgals3bp	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	12.26
Macf1	2.27	8.01	68.77	10.49	5.93	0.0	34.32	1.96	10.52	0.0	2.76	16.83	2.96	5.38	68.26
Map3k14	0.0	0.0	84.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.21	0.0	0.0	0.0	3.77
Mecp2	0.0	4.89	46.3	12.94	18.53	0.0	39.96	0.07	19.09	18.95	1.24	0.02	0.0	7.84	42.92
Miat	0.0	11.83	75.09	26.0	18.15	0.0	39.12	23.82	40.95	0.09	0.03	39.01	2.85	7.9	185.46
Mid1	0.0	0.0	12.57	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	22.49
Mir1195	0.0	0.0	20.07	0.0	0.0	0.0	0.0	10.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Morc3	136.48	0.05	60.89	1.18	73.03	0.0	0.09	0.0	0.0	0.0	0.0	6.57	0.0	1.08	15.67
Mprip	1.55	25.68	137.78	23.07	28.17	0.0	1.78	41.9	2.76	2.3	30.66	2.11	1.14	0.74	75.36
Mrpl39	0.75	2.1	138.5	65.26	4.89	0.0	4.26	125.21	252.94	143.53	1.69	0.84	1.09	38.7	27.03
Negr1	0.0	93.94	174.98	97.81	74.29	0.0	34.47	242.89	134.92	82.26	104.64	8.12	41.47	30.86	133.65
Nhej1	0.0	0.0	204.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.65
Nhsl2	0.12	0.39	35.76	0.52	12.63	0.0	1.01	21.43	0.13	0.19	8.93	4.53	11.69	0.06	16.0
Nsmce4a	0.0	0.0	52.55	0.0	0.25	0.0	0.0	0.0	229.96	0.0	142.46	5.31	12.0	0.0	41.45
Olfr536	0.91	0.23	1.64	0.41	0.2	0.1	0.52	0.11	1.21	0.7	0.08	0.05	0.18	0.1	0.08
Onecut2	0.0	0.02	1.0	0.03	0.06	0.0	0.02	0.09	0.1	0.0	0.04	0.02	0.0	0.0	1.47
Pde8b	0.0	0.0	184.38	10.28	16.56	0.0	129.06	1.13	63.45	8.39	0.0	13.32	1.35	11.85	55.22
Pgm3	0.0	0.0	61.93	0.0	0.0	0.0	0.0	0.0	0.09	0.0	22.67	0.0	0.0	18.58	7.73
Pim2	0.0	38.09	250.7	0.0	18.34	0.0	0.18	0.0	6.95	0.0	0.14	52.95	0.0	0.0	49.37
Pip5kl1	0.0	0.0	156.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.47
Pla2r1	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.05	0.02	0.0	0.0	0.0	0.0	0.0	0.31
Porcn	0.0	0.0	401.22	0.39	1.71	0.21	78.61	7.86	21.39	0.0	0.0	3.65	0.0	0.0	72.89
Ppp2r2c	0.0	21.36	199.56	26.15	2.59	0.0	96.37	3.76	252.05	0.0	16.04	1.18	5.4	64.86	420.01
Prtg	0.0	0.0	0.04	0.03	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	1.12
Ptdss2	0.0	25.25	124.65	0.0	0.0	0.0	1.56	0.0	0.0	43.54	0.0	0.0	114.38	76.16	48.57
Ptgdr	1.81	0.0	1.08	0.33	0.0	0.0	0.0	0.0	0.04	0.23	0.0	0.08	0.18	0.1	1.05
Rab11a	0.0	19.96	237.02	0.15	59.87	0.0	6.15	10.21	89.83	0.0	0.12	1.74	59.9	41.13	119.73
Rassf3	0.0	0.0	39.38	9.81	7.54	0.0	0.0	0.0	18.17	2.84	0.0	0.56	31.81	0.0	37.41
Rgl1	0.0	0.0	128.71	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	15.7	58.64
Rps19-ps3	0.0	0.0	1.22	21.37	0.0	0.0	0.0	18.16	0.0	0.0	0.0	0.0	0.0	0.0	2.71
Satb2	0.0	3.28	258.55	64.59	2.04	0.07	6.66	97.63	129.17	4.08	43.44	0.0	0.06	10.99	28.28
Sept3	0.0	27.63	154.61	48.03	162.71	0.0	135.68	202.39	87.33	33.35	27.19	162.8	85.08	72.26	257.5
Sept5	0.0	51.45	233.43	121.27	80.65	0.0	88.1	2.67	36.88	0.0	110.87	20.72	2.07	0.0	844.16
Sirt1	0.0	0.0	59.5	0.0	0.0	0.0	0.0	0.0	51.42	0.0	0.0	0.0	0.0	0.46	11.08
Slc25a22	0.0	36.17	243.92	238.42	0.41	0.0	1.92	4.95	92.06	0.0	26.29	0.38	47.88	41.19	224.4
Snrpa	0.0	15.07	161.27	61.84	5.02	0.0	229.97	0.0	229.2	132.18	0.0	56.35	0.0	0.24	75.46
Sos1	0.0	0.0	56.68	11.41	38.52	0.0	8.57	1.22	11.13	3.31	25.25	11.45	0.9	1.11	19.6
Spag1	0.0	0.0	12.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.19
St7l	0.0	3.44	67.11	0.35	3.03	0.0	0.71	0.05	2.89	4.0	0.05	0.67	0.22	0.11	10.64
Stmn1	10414.48	10587.49	5929.77	10862.63	12096.72	10015.46	13005.25	11961.92	10665.83	10788.95	10789.21	12161.23	10051.01	11287.74	1277.94
Sult1a1	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	138.48	0.0	0.0	0.0	0.0	0.0	8.94
Tef	0.0	92.92	362.74	2.8	0.0	0.0	91.76	3.44	172.39	0.0	83.09	31.87	69.41	6.62	246.71
Trappc10	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	56.97
Ubr7	0.0	1.94	129.74	0.0	0.54	0.0	14.49	4.68	110.97	4.84	0.0	42.89	0.0	0.0	37.28
Ufm1	0.0	24.61	63.32	49.63	64.2	0.0	7.92	39.76	20.08	0.0	29.45	17.42	7.17	0.06	31.35
Ufsp1	0.0	0.0	234.39	0.0	0.0	0.0	0.0	0.0	150.94	0.0	57.59	0.0	0.0	0.0	16.25
Unc5a	0.0	0.95	85.47	2.4	2.54	0.0	0.28	0.0	37.64	0.0	0.0	0.0	0.0	0.0	71.14
Usp21	0.0	0.0	100.78	0.0	0.16	0.0	0.0	0.0	0.31	0.0	74.47	0.0	0.14	29.72	43.74
Usp44	0.0	0.06	0.12	0.0	0.0	0.0	0.13	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0
Vac14	0.0	0.56	15.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.36
Vangl1	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17
Vgf	0.0	3.32	26.33	13.09	8.94	0.0	0.0	0.0	27.66	0.59	0.0	5.38	7.67	4.23	211.88
Vmn1r115	0.0	0.0	1.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zdhhc24	0.0	0.0	229.81	0.0	5.21	0.0	0.0	0.0	0.03	0.14	0.0	0.0	0.0	0.0	24.85
Zfp324	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	6.19
Zfp383	58.53	0.0	162.13	0.0	0.0	0.0	0.0	87.6	0.0	0.0	0.0	0.0	0.0	33.72	11.75
Zfp526	0.0	0.0	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	6.28
c10_5S	0.0	0.0	203.75	0.0	347.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.35
c10_LSU-rRNA_Hsa	0.0	0.55	50.24	0.0	0.0	0.0	1.02	1.5	3.09	2.52	0.0	0.0	1.34	0.0	24.45
c17_Rn45s	7.69	1.31	56.16	6.02	4.71	2.15	2.95	7.04	39.56	6.58	5.3	1.54	8.53	0.07	12.51
