	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_69	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Anks1b	49.16	46.78	0.11	0.0	0.0	0.0	3.39	18.11	67.95	45.29	0.0	0.0	0.0	0.0	19.37	1.27	19.95	20.5	29.04	22.38	0.08	43.12	12.27	20.34	4.26	28.57	11.61	14.46	21.84	11.25	27.94	38.23	6.14	14.08	30.89	29.5	0.06	22.78	57.45	3.64	12.27	0.07	20.37	12.47	38.92	7.5	12.29	55.26	39.65	38.4	136.15	132.0	139.16
Ap3d1	17.84	88.07	0.11	0.0	0.0	0.0	13.45	73.41	139.21	75.5	0.0	0.3	0.0	0.0	1.26	6.3	5.6	0.77	6.16	30.21	9.28	0.91	32.58	8.66	40.97	27.58	11.3	5.21	1.08	28.88	16.72	0.15	24.51	53.26	58.98	0.78	75.26	38.0	26.32	2.02	18.74	48.18	10.93	76.0	64.91	10.44	1.93	16.96	27.36	26.69	101.09	98.7	99.17
Arl5a	90.35	91.66	0.0	0.0	0.0	0.0	1.04	38.82	318.2	28.49	0.0	0.0	0.0	1.43	24.58	58.1	98.58	41.83	38.68	4.53	28.53	122.99	76.89	80.46	3.25	0.0	0.75	42.7	37.74	44.8	28.45	0.04	69.44	32.08	27.45	27.91	43.75	22.91	52.14	20.73	97.15	0.13	40.49	78.7	27.73	73.08	85.09	41.37	31.21	20.18	52.34	51.26	51.17
Atad2b	0.39	0.25	0.0	0.0	0.0	0.0	0.07	0.15	31.29	1.23	0.0	0.0	0.0	0.0	0.0	1.52	0.01	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.64	0.39	0.0	0.0	1.2	0.0	0.1	0.0	1.01	7.26	0.42	3.09	0.0	0.11	0.0	0.61	0.0	0.12	0.0	1.13	1.41	0.54	1.14	8.16	6.96	8.2
Atf1	0.4	0.3	0.51	0.0	0.0	0.15	0.08	0.22	169.74	0.2	1.04	0.0	0.98	0.0	0.0	0.0	0.01	0.08	0.08	0.06	0.2	39.46	0.45	0.19	0.37	0.57	0.32	0.0	0.12	0.0	0.0	0.1	0.13	13.93	0.0	0.1	2.54	0.02	19.45	0.0	93.93	0.15	0.63	29.27	0.45	0.13	0.0	2.04	1.68	9.06	11.96	12.33	11.11
Atl2	12.7	14.78	0.3	0.0	0.0	0.42	29.94	27.51	182.64	0.0	0.47	0.14	0.0	0.0	31.4	10.54	45.36	0.11	82.33	0.93	4.78	35.92	4.07	26.73	5.24	19.71	0.35	2.77	0.14	20.27	0.31	0.41	0.55	0.0	14.2	0.0	35.65	16.1	63.02	79.27	0.27	34.63	32.27	23.6	21.29	0.75	36.47	18.29	18.07	24.47	46.07	45.3	42.17
Atp6v0d1	208.16	208.74	489.92	0.0	0.0	0.0	269.44	343.6	512.1	185.82	208.26	0.0	0.0	0.0	123.13	282.29	338.09	340.27	300.58	238.47	170.56	263.63	301.84	168.29	181.94	176.12	326.63	313.06	119.35	121.86	132.18	247.25	263.66	112.22	200.77	79.62	102.7	94.52	278.52	92.09	146.23	144.53	234.21	378.95	197.65	197.15	172.79	391.55	318.7	340.51	278.14	295.04	283.7
BC005537	30.48	34.39	0.0	0.0	0.0	0.0	0.0	12.62	178.04	17.39	0.0	0.0	0.0	0.0	0.0	15.81	47.7	19.13	15.12	16.95	0.0	0.0	0.0	0.64	5.35	0.66	0.19	2.41	0.0	15.91	0.0	0.0	0.0	64.91	1.64	50.13	0.0	2.52	26.63	40.04	17.07	9.54	19.24	41.13	0.08	5.01	10.88	39.16	20.38	19.22	152.76	160.06	152.41
Baz1a	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.08	0.03	0.04	0.0	0.0	0.0	0.0	0.04	0.03	1.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.0	1.69	1.33	1.95
Bbx	18.0	0.0	0.0	0.18	0.0	0.85	2.93	9.23	45.85	4.81	0.0	0.0	0.0	0.0	0.38	0.01	6.7	0.62	6.94	6.69	1.27	0.0	0.03	7.53	9.75	4.16	20.37	32.63	1.56	5.88	0.91	0.53	13.33	3.69	0.06	0.79	1.63	3.59	2.78	0.07	12.61	0.07	5.79	9.92	0.02	0.07	12.52	9.05	4.1	4.74	10.14	8.8	11.16
Bsn	8.58	18.95	0.0	0.0	0.0	0.0	13.97	1.98	49.46	18.05	0.07	0.0	0.05	0.0	11.49	1.09	13.84	12.33	9.31	8.79	6.13	19.05	0.27	3.05	11.22	0.39	3.98	14.46	8.35	16.27	0.04	31.92	11.66	16.26	0.65	2.82	7.5	0.65	18.84	0.76	1.16	16.69	0.05	15.94	5.01	4.71	0.01	18.36	12.76	16.94	89.93	87.69	106.31
Cacnb4	56.54	107.03	0.0	0.0	0.0	0.0	89.27	94.43	239.71	188.98	0.0	0.0	0.0	0.0	82.21	79.1	3.48	43.41	24.43	27.86	53.29	77.74	30.62	65.81	76.75	43.59	34.65	40.84	34.53	27.2	61.06	7.39	44.92	47.51	91.57	51.49	40.1	59.97	68.38	18.34	31.74	70.91	81.23	57.11	98.14	68.29	88.23	173.49	130.71	111.42	106.94	89.5	107.65
Camk2b	48.2	7.72	0.0	0.0	0.0	0.0	18.69	169.23	88.5	80.67	0.0	0.0	0.0	0.0	61.25	11.14	13.63	5.33	38.25	18.98	17.41	40.11	2.33	25.39	7.63	5.29	25.65	43.27	14.51	1.02	7.47	5.6	7.22	44.37	9.8	35.99	25.41	1.92	71.21	3.38	9.98	3.3	31.18	50.98	35.41	41.81	8.19	80.23	73.92	114.56	532.26	557.69	545.35
Cdk5r1	4.46	0.0	0.0	0.0	0.0	0.0	2.93	8.88	83.54	19.83	0.0	0.0	0.0	0.0	11.08	4.67	14.83	9.35	0.02	4.86	7.82	23.51	13.0	2.04	12.17	2.77	0.78	20.36	6.2	7.71	1.9	4.01	6.55	1.45	2.74	2.1	3.91	4.5	48.43	9.42	19.43	5.26	1.34	6.9	19.77	3.65	16.49	27.79	23.43	22.85	215.41	232.31	213.19
Celf2	40.12	26.02	0.07	0.0	0.0	0.0	74.32	56.78	66.24	90.62	0.0	0.0	0.0	0.0	0.57	81.02	67.64	87.34	22.85	59.43	47.55	20.35	31.06	26.99	51.04	30.73	5.95	47.02	11.08	24.13	51.8	57.82	77.0	48.51	73.85	18.89	73.44	35.93	138.49	19.63	23.11	14.25	60.62	31.38	35.35	13.39	65.56	105.26	107.65	80.34	156.21	143.45	158.65
Celf5	1.12	10.21	0.0	0.0	0.08	0.0	12.31	14.52	26.1	13.53	0.0	0.0	0.0	0.0	0.59	2.85	0.08	18.01	2.48	0.84	4.36	6.0	2.56	1.51	4.76	0.0	9.43	6.74	11.88	13.49	6.27	14.01	4.61	7.42	17.19	10.53	4.47	2.79	24.53	11.41	17.07	11.75	10.54	12.63	3.91	5.35	1.2	18.37	60.86	57.82	163.01	160.05	172.09
Cenpv	30.16	17.82	0.0	0.0	0.0	0.0	2.26	0.0	111.15	3.53	0.0	0.0	0.0	0.0	0.0	1.51	45.19	0.17	39.91	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0	32.85	0.0	5.05	28.49	2.36	0.0	20.7	0.0	0.0	0.0	0.0	19.46	0.0	1.15	0.0	5.58	0.0	0.19	0.3	0.0	3.69	6.89	7.66	25.68	29.71	32.05
Chd6	10.34	16.1	6.1	0.0	0.0	3.38	4.32	34.72	145.57	43.98	0.0	0.0	166.19	0.0	3.95	1.29	35.95	0.92	20.75	15.59	5.15	20.22	7.05	15.58	7.92	21.35	13.03	0.0	5.84	8.57	14.91	39.87	4.28	2.45	9.91	5.99	1.02	2.37	9.21	29.27	1.0	8.57	6.38	1.61	21.03	11.14	1.63	18.92	11.27	8.29	29.24	26.83	30.08
Chic2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.78	0.0	0.0	0.0	12.21	0.0	0.0	0.0	0.0	3.72	1.94	1.29	15.44	17.01	14.17
Chrna4	0.0	0.0	0.0	0.0	0.0	0.0	38.09	51.66	161.95	72.24	0.0	0.0	0.0	0.0	0.04	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.83	17.47	14.98	23.26	21.43	25.01
Chrnb2	15.77	0.13	0.0	0.0	0.0	0.0	0.0	0.0	50.34	0.0	0.0	0.0	0.0	0.0	21.43	0.65	4.72	5.17	21.11	0.04	0.89	14.64	14.99	0.0	16.76	0.26	2.33	5.75	0.0	0.18	13.88	0.0	0.0	11.5	11.54	0.11	0.8	0.18	1.48	4.21	0.04	0.31	0.0	11.12	0.0	1.45	1.29	3.44	3.51	2.11	26.52	28.27	28.28
Cul3	36.13	60.66	0.0	0.0	0.0	0.0	0.0	0.0	173.84	44.61	0.0	0.34	72.09	179.16	0.0	28.22	152.26	3.61	27.63	14.65	26.69	5.61	53.43	4.39	48.34	0.2	76.96	3.38	8.64	66.33	55.12	46.72	21.11	17.62	36.59	16.17	23.95	0.09	60.69	70.97	4.55	0.12	114.31	1.76	0.07	1.83	52.78	16.46	29.86	26.18	99.11	90.28	95.25
Cux2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35	0.3	0.0	0.0	0.0	2.72	0.0	0.49	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.2	17.73	0.0	0.0	0.0	0.02	0.0	0.0	0.0	36.41	37.48	43.23
Cyp46a1	14.6	0.33	0.0	0.0	0.0	0.0	48.66	23.46	308.67	60.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.92	0.0	0.0	0.0	0.13	0.0	16.7	19.65	0.0	0.0	0.0	6.5	0.0	0.0	0.0	12.78	0.0	0.0	30.55	18.64	39.61	0.0	14.13	0.16	0.0	0.0	0.0	24.83	0.0	0.48	7.66	3.46	251.55	268.78	265.67
D3Bwg0562e	82.61	86.4	0.35	0.15	0.14	0.98	59.13	23.97	390.32	42.02	0.42	0.18	0.02	0.0	14.01	1.8	3.97	24.65	23.16	8.86	29.05	31.78	47.62	33.55	34.86	29.19	87.62	48.36	7.09	1.58	4.62	7.95	9.09	0.66	4.55	23.03	31.46	19.18	84.8	28.49	25.38	39.4	16.06	63.13	23.66	11.96	49.29	130.01	225.04	145.44	121.62	116.8	128.52
D3Ertd254e	13.14	27.03	2.23	2.2	5.04	0.97	39.8	27.9	76.92	3.79	1.96	5.19	8.56	0.0	20.15	19.22	1.18	1.68	1.13	19.85	7.84	33.15	59.77	16.13	1.84	2.07	21.35	21.27	10.13	23.32	3.41	2.22	1.31	0.93	1.78	1.32	39.71	2.08	14.16	1.89	0.96	1.54	1.5	19.44	5.03	23.11	2.79	19.59	23.59	12.21	11.94	10.08	12.08
D430019H16Rik	2.52	0.09	0.0	0.0	0.0	0.0	0.1	0.11	51.44	0.11	0.2	0.0	0.07	0.0	0.06	2.96	0.08	0.0	0.04	0.07	10.04	3.32	8.19	8.6	10.16	12.04	0.25	0.1	0.0	5.1	0.0	13.54	0.17	9.44	0.05	0.23	0.13	0.1	4.01	13.67	0.0	0.0	2.1	1.04	0.03	0.06	1.63	0.13	3.12	2.97	71.29	69.28	70.17
Dclk1	82.45	63.68	0.0	0.0	0.0	0.0	24.32	90.08	400.29	426.05	0.0	0.0	0.0	0.0	43.0	88.44	72.51	138.79	14.22	68.43	73.95	44.76	121.6	84.21	74.07	45.01	88.36	92.3	21.0	125.15	83.25	51.39	66.36	83.18	120.74	19.14	85.02	71.84	185.15	44.06	115.1	135.37	33.08	34.37	78.41	64.95	53.69	318.17	248.84	215.96	367.79	342.85	374.41
Dctn2	113.49	40.95	0.0	0.0	0.0	0.0	0.69	208.68	338.47	80.26	0.0	12.06	0.0	63.13	386.41	69.97	0.13	98.75	67.39	149.22	62.18	92.99	178.36	168.23	76.27	187.13	53.46	39.63	122.34	111.08	67.18	86.54	64.43	83.36	100.85	13.84	118.17	68.87	100.12	121.57	10.84	149.42	151.11	160.29	81.13	94.23	211.58	156.61	52.65	113.29	264.51	285.25	270.01
Dedd	52.18	72.59	87.58	0.0	0.0	0.0	34.46	47.75	226.97	64.72	0.0	0.0	0.0	5.56	39.06	78.39	0.0	34.81	37.54	32.85	1.32	53.05	44.52	39.42	42.0	21.15	0.64	42.26	25.04	61.9	28.27	13.68	34.53	25.27	27.75	27.63	10.54	46.94	47.28	6.9	0.63	8.63	0.0	26.44	83.25	4.17	12.85	50.1	53.19	68.48	26.77	25.16	27.53
Dgcr6	10.41	52.21	0.0	0.0	0.0	0.0	51.42	56.49	96.7	18.41	0.0	0.0	0.0	0.0	0.0	40.11	36.16	0.0	0.0	0.9	15.49	15.37	38.74	40.48	33.73	13.04	26.88	0.24	10.5	31.79	0.0	0.0	0.0	23.74	0.0	0.0	0.0	4.82	54.9	0.23	31.06	0.0	5.96	25.33	9.8	1.48	32.64	36.47	1.94	12.98	58.72	63.7	59.46
Dgkq	28.49	30.13	0.0	0.0	0.0	0.0	0.0	23.92	84.0	0.0	0.0	0.0	0.0	0.0	28.82	8.88	0.0	0.1	31.23	0.11	0.0	0.0	21.06	44.14	0.0	0.0	0.59	0.0	0.0	0.0	0.0	0.0	36.69	14.97	0.0	0.0	0.34	3.33	9.11	48.39	46.22	0.0	0.0	16.08	0.35	0.0	0.85	5.23	3.96	0.47	25.39	25.0	26.91
Dhrs11	23.44	0.0	0.0	0.0	0.0	0.0	1.22	0.0	52.6	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.0	5.91	5.83	6.1
Dnalc1	0.78	0.12	1.23	0.0	0.41	0.64	0.03	27.7	91.73	16.45	0.38	0.0	0.0	0.0	2.13	1.44	2.51	22.2	1.67	0.48	0.12	1.66	9.25	21.53	0.11	0.92	1.36	24.6	0.1	0.09	11.8	0.05	0.09	8.53	0.34	0.05	0.38	13.65	10.25	0.05	16.52	1.01	0.18	11.25	6.48	1.84	9.59	27.36	11.19	11.16	67.35	64.52	65.11
Dnm1	22.71	32.91	0.0	0.0	0.0	0.0	4.35	140.37	162.17	32.14	0.0	0.0	0.0	0.0	13.97	18.81	0.03	0.57	32.34	29.95	22.74	15.88	2.61	8.72	2.08	36.06	21.22	22.97	0.76	16.44	28.7	0.37	5.09	16.71	9.78	1.46	0.72	20.33	36.26	44.55	0.3	18.09	8.02	9.23	44.14	31.16	47.77	41.49	23.9	27.18	785.48	840.55	821.55
Dock3	6.03	15.26	0.0	0.0	0.0	0.0	1.52	19.96	35.5	11.66	0.0	0.0	0.0	0.0	6.92	15.2	9.05	0.31	11.04	0.54	20.73	0.03	9.71	10.87	4.41	0.73	3.59	17.67	1.09	3.39	0.26	5.78	0.17	0.78	8.7	0.22	1.67	1.53	21.91	11.37	1.34	37.26	7.66	15.09	23.16	0.23	1.4	22.56	17.56	16.2	112.39	109.71	116.14
Dock9	39.14	0.17	0.76	0.0	2.08	0.0	48.32	14.6	97.52	30.39	0.0	0.3	1.25	0.0	3.26	0.07	29.64	0.04	0.22	16.12	7.14	19.98	0.04	31.37	1.49	9.04	0.0	16.77	2.42	0.18	46.51	3.89	21.21	28.86	1.13	0.0	4.52	19.72	9.0	0.33	0.41	0.09	22.46	5.14	0.0	1.43	15.62	5.98	5.44	9.3	61.91	59.75	65.63
Dph3	3.26	12.0	0.0	0.0	0.0	0.0	0.0	3.71	202.54	0.15	0.0	0.24	0.0	0.0	9.48	32.33	0.29	0.55	46.83	8.67	47.25	35.04	5.29	1.24	0.0	1.91	3.88	109.34	28.83	37.29	30.94	5.96	61.66	2.05	0.0	43.8	28.94	32.01	17.15	0.0	19.76	0.0	11.03	0.0	11.28	6.41	0.0	30.75	34.94	32.06	22.37	24.26	23.25
Dvl2	5.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47	0.0	0.0	1.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	1.06	17.26	18.66	16.97
E130102H24Rik	0.0	1.94	0.0	0.0	0.0	0.67	0.0	42.25	239.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.28	32.19	47.41	0.0	53.15	7.81	0.0	21.57	18.76	0.0	29.47	0.0	0.0	0.0	0.0	0.0	0.0	23.6	0.0	0.0	0.0	48.77	0.0	14.28	47.84	35.7	0.0	26.59	12.5	32.44	34.22	30.93	19.7	15.88	14.8	16.68
Etv5	0.0	2.14	0.0	0.0	0.0	33.05	0.0	146.58	192.32	6.81	0.0	0.0	0.0	0.0	2.43	0.23	0.0	0.09	0.03	0.0	0.69	31.36	0.0	0.0	0.0	1.83	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.06	0.0	84.73	0.0	0.06	5.88	0.0	0.0	0.0	1.66	1.57	57.34	78.11	93.64	79.74	73.83	71.38
Fam108c	32.48	0.0	0.0	8.11	0.0	0.0	1.1	0.85	130.94	0.0	0.0	0.0	0.0	0.0	0.15	1.07	0.0	0.9	0.28	0.9	23.6	1.11	0.37	2.36	1.14	0.51	0.0	1.44	0.43	0.21	0.77	3.7	0.23	0.0	0.0	0.66	0.0	0.78	13.48	1.41	0.0	0.0	0.13	0.4	0.52	0.0	40.3	13.52	5.89	9.67	33.39	32.28	32.54
Fam160b1	0.0	3.37	0.0	0.0	0.0	0.0	0.0	12.1	67.59	37.14	0.0	423.53	0.07	0.0	0.2	5.36	0.0	18.53	0.02	0.72	0.19	0.0	0.0	0.0	0.33	0.0	0.87	0.0	0.85	13.86	0.0	0.0	0.0	14.55	0.0	0.0	0.0	0.0	12.51	0.0	0.72	0.0	0.0	0.0	1.41	0.0	0.0	19.22	5.82	6.47	22.3	22.03	20.01
Fam177a	6.75	0.66	5.1	2.63	0.52	0.11	5.1	16.25	31.83	10.18	0.15	3.42	0.0	0.0	0.75	4.6	0.97	5.07	14.74	10.07	22.21	2.3	7.08	10.01	12.78	5.51	4.19	4.03	5.27	9.6	1.07	11.48	12.89	15.79	11.15	2.03	3.87	12.08	16.78	18.26	23.92	11.71	8.08	15.19	9.76	6.64	1.29	9.26	13.41	19.02	17.56	16.4	17.92
