	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Nkx6-3	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Odz4	0.0	0.0	2.21	1.32	30.76	27.31	33.46
Olfr875	0.0	0.0	0.0	0.0	0.1	0.09	0.0
Oxct1	0.46	0.0	128.9	157.41	237.85	234.89	230.25
Pcdh7	0.0	0.0	37.52	28.8	50.86	49.1	53.42
Pde1b	0.0	0.0	3.13	3.29	245.53	258.71	247.87
Pitpna	0.0	0.0	47.65	48.5	225.42	225.66	222.62
Plcl2	0.0	0.0	10.9	16.09	48.89	47.95	46.14
Plxna2	0.0	0.0	20.64	19.94	47.46	43.4	46.56
Pou6f1	0.0	0.0	5.82	2.18	75.93	74.16	76.43
Ppp1r1a	0.0	0.0	9.49	16.76	123.86	128.2	126.28
Ppp2r2c	0.0	0.0	58.28	60.51	446.28	420.01	458.99
Ppp2r2d	0.0	0.0	70.46	37.31	66.87	66.28	62.18
Prr12	0.0	0.0	0.3	0.55	24.08	25.31	25.2
Rbfox2	0.0	0.0	19.98	19.67	114.48	109.59	110.57
Rnf11	0.0	0.0	42.05	36.19	267.55	268.6	261.45
Rnf165	0.0	0.0	2.59	2.55	24.71	25.79	25.0
Rnf208	0.0	0.0	19.93	31.19	124.6	138.39	125.1
Rnf39	0.0	0.0	0.42	2.69	10.29	10.12	8.63
Rnft2	0.0	0.0	5.52	5.89	58.46	59.35	61.39
Rtf1	0.0	0.43	9.18	9.93	51.07	46.92	51.09
Sardh	0.0	0.0	0.0	0.68	6.95	6.49	7.48
Sel1l3	0.0	0.0	38.15	24.27	45.77	42.88	44.99
Serpina3a	0.0	0.0	0.0	0.0	0.55	0.24	0.78
Slc39a3	0.0	0.0	1.03	2.79	60.42	61.8	64.04
Slc6a8	0.0	0.0	7.35	9.4	61.85	65.48	65.64
Smarca4	0.0	0.0	8.7	7.65	63.89	65.92	68.05
Smg1	12.67	0.0	7.91	8.29	45.02	36.92	47.73
Smoc2	0.0	0.0	0.42	0.0	10.03	10.37	10.17
Smyd2	0.0	0.0	2.45	7.03	72.73	77.71	73.05
Snord110	0.0	0.0	0.0	0.0	0.0	4.17	4.57
Sox7	0.26	0.11	0.0	0.31	1.89	1.94	1.97
Srgap3	0.0	0.0	0.96	0.89	121.23	113.19	124.22
Srm	0.0	0.0	9.66	21.68	77.35	82.32	75.39
Tanc2	0.61	0.08	42.05	30.95	57.39	54.13	60.94
Tcf19	0.0	0.0	1.46	7.72	8.99	7.87	6.86
Tfip11	0.0	0.0	16.98	11.73	35.65	37.75	36.35
Tle1	0.0	0.0	0.14	0.0	21.48	23.56	22.5
Tlk1	0.0	0.09	71.32	34.56	73.53	68.48	65.5
Tmem93	0.0	0.0	5.87	6.04	47.16	53.14	47.95
Trak1	0.0	5.88	8.77	6.27	90.13	90.67	87.04
Tsc2	0.0	0.0	11.75	9.59	54.95	54.1	55.36
Ube2j1	0.0	0.0	20.23	24.73	79.49	82.59	77.99
Ubr4	0.0	0.0	6.85	4.99	45.95	42.73	49.32
Usp13	0.0	0.0	2.78	3.82	16.56	14.56	16.81
Usp47	0.0	0.0	17.95	21.39	50.06	49.08	47.58
Vmn1r45	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Vmn2r118	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Wac	0.0	0.0	38.88	30.4	58.03	57.36	55.33
Wbscr17	0.0	0.0	0.56	1.48	37.98	45.03	41.83
Whsc1	0.0	0.0	10.66	10.64	47.83	41.47	47.63
Wsb2	0.0	0.0	50.33	39.77	294.59	283.93	280.67
Zbtb7a	0.0	0.11	13.46	16.34	55.37	53.85	57.0
Zc3h18	0.0	0.0	2.15	1.67	30.0	31.22	31.72
Zfp827	0.1	0.0	2.48	2.34	19.14	18.31	19.24
mt_AK131586	6370.03	4908.34	0.01	0.0	25813.35	24091.17	24561.45
