	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_17	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_119	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_71	Nos1_tdTpositive_cell_65	Pvalb_tdTpositive_cell_23	Scnn1a.Tg3_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_33	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_29
Arhgap23	0.03	0.0	2.62	29.05	29.06	0.0	0.02	0.0	0.0	1.17	0.73	0.0	4.02	0.0	0.0
Cadps2	6.98	0.0	263.96	51.02	233.92	0.5	0.0	0.0	0.0	83.3	0.0	0.68	0.0	333.89	0.0
Cd226	0.0	0.0	2.98	0.0	1.6	0.0	1.5	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0
Cdadc1	1.93	185.5	246.29	49.52	272.47	33.56	70.35	0.0	71.28	144.71	109.86	246.89	88.35	89.96	107.26
Chst11	0.0	0.0	0.0	0.0	129.19	0.0	44.34	0.0	67.1	49.42	0.0	0.0	0.0	0.0	0.0
Ckap5	22.93	56.09	113.9	46.22	190.18	5.1	75.29	0.0	24.81	50.24	26.22	4.71	81.74	15.68	236.24
Cobl	0.0	0.0	89.2	0.0	78.88	0.0	49.65	0.0	0.0	25.35	0.62	62.03	3.51	0.0	0.0
Cpne8	146.26	6.78	419.07	128.62	362.18	72.88	265.3	1.57	20.77	106.87	162.14	160.75	99.15	111.08	90.65
Cry2	7.07	4.49	147.01	0.13	62.71	0.33	43.21	0.0	13.98	34.11	32.63	116.39	31.93	1.93	0.0
Edem1	37.9	0.0	80.55	0.0	47.55	0.0	0.02	0.0	0.0	27.75	0.0	0.0	32.28	0.0	0.0
Eef1b2	268.72	272.57	408.8	105.29	439.45	177.22	242.76	0.0	110.67	191.47	46.71	93.15	117.82	130.83	313.49
Eif2d	5.05	211.31	449.77	25.64	366.29	0.0	0.78	0.0	0.0	0.0	0.0	186.83	141.01	3.64	0.0
Epdr1	11.9	0.0	0.0	0.0	182.42	0.0	9.9	0.0	6.1	0.0	2.21	0.0	44.69	108.5	0.16
Ept1	0.02	195.29	180.93	128.58	109.63	0.0	41.24	0.0	78.46	42.98	91.95	82.62	36.3	0.0	178.98
Fam110b	0.0	1.98	163.11	154.98	159.78	0.0	19.84	0.0	0.0	0.0	1.26	0.32	25.75	0.0	0.19
Fam120c	0.02	118.27	60.85	0.0	57.96	13.82	0.47	0.0	0.0	14.37	0.13	11.14	0.19	23.12	0.0
Fut8	27.09	49.37	369.24	70.84	302.76	69.5	61.34	0.0	25.69	27.83	46.37	43.19	42.76	64.44	4.68
Gcn1l1	3.6	0.0	58.58	0.0	99.55	9.74	13.58	0.0	0.0	0.11	2.77	0.0	2.9	36.67	0.0
Gt(ROSA)26Sor	229.33	473.79	539.75	434.37	316.82	114.45	100.66	0.0	290.88	179.09	161.26	50.58	0.0	0.0	0.0
Gtf2h3	6.09	5.54	129.75	0.0	122.5	12.3	0.04	0.0	7.74	49.66	1.13	4.45	7.21	0.0	0.0
Hipk1	0.45	317.86	195.37	102.32	14.96	8.82	25.19	0.0	121.83	67.29	51.25	130.36	26.06	97.2	0.0
Hspa8	22360.42	24473.49	20649.84	26297.86	16603.64	19684.06	22558.28	10244.61	23643.2	20228.05	20908.03	22280.51	21156.27	21948.63	20378.92
Ippk	0.0	0.0	0.0	0.0	150.54	0.0	13.89	0.0	6.81	0.35	0.0	2.29	71.01	0.0	0.0
Kcnc3	0.06	1.05	20.32	10.95	18.23	0.0	0.0	0.0	0.0	0.13	0.29	0.06	0.0	0.0	0.0
Kcnh1	0.0	0.0	113.32	7.47	104.36	93.71	0.02	0.0	0.0	0.34	0.28	66.25	49.84	8.02	0.0
Khdrbs3	148.53	3.39	508.22	10.7	511.26	144.36	208.65	0.0	1.41	258.18	72.0	221.2	281.15	127.46	6.64
Lnp	53.91	56.28	109.41	0.06	97.76	64.99	87.9	0.0	18.55	58.83	61.15	39.68	188.59	75.77	0.0
Lrrc49	117.35	1.02	311.34	0.0	221.56	8.13	24.0	0.0	7.27	61.89	0.54	59.2	45.8	65.48	43.42
Lsg1	87.18	0.0	220.25	0.0	0.0	0.0	57.72	0.0	86.05	68.96	0.65	156.25	0.0	0.0	0.0
Map3k7	0.0	1.28	82.38	0.0	59.68	0.0	0.0	0.0	0.08	0.03	12.53	0.0	36.77	0.0	0.07
Mphosph8	120.61	39.55	275.77	46.13	156.66	45.99	85.68	0.0	47.99	107.24	44.69	123.49	34.85	14.5	0.0
Mrps9	0.11	0.0	348.37	0.0	161.25	8.44	13.15	0.0	0.0	63.43	49.62	159.79	73.28	0.0	0.0
Olfr56	0.0	0.0	0.3	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Opa1	0.03	9.67	81.63	0.0	65.37	0.0	33.04	0.0	25.51	36.38	45.6	10.73	44.51	10.46	0.0
Ormdl3	0.0	39.45	64.6	0.0	118.05	0.39	62.63	0.0	0.88	0.16	73.46	0.0	75.04	0.0	124.25
Oxct1	396.82	49.76	264.8	0.15	422.11	158.77	116.11	0.0	75.7	95.2	79.17	140.2	216.2	26.74	6.15
Pik3cd	0.0	0.0	0.0	0.0	119.15	0.0	0.01	0.0	1.79	0.0	0.0	0.0	0.0	0.0	0.0
Plcb1	0.49	0.0	98.52	0.09	165.62	3.69	65.01	0.0	0.13	27.75	0.21	63.81	33.02	41.01	0.05
Ppm1h	700.12	497.44	922.67	434.1	764.98	223.47	485.59	0.0	314.99	248.44	250.35	248.97	518.92	273.9	315.85
Ppp4r2	0.0	0.0	144.94	0.0	148.37	0.0	15.41	0.0	0.0	0.0	24.72	0.09	48.22	0.0	0.0
Rab5a	0.0	0.0	181.54	0.0	156.37	0.0	0.09	0.0	83.1	52.48	24.19	0.0	0.0	0.0	0.0
Rad52	0.0	0.0	226.32	198.48	155.16	0.0	0.03	0.0	81.91	0.0	0.0	0.0	0.0	168.93	2.59
Rbmxl1	144.84	0.0	189.51	0.0	155.36	0.0	154.69	0.0	0.0	37.7	157.83	118.34	13.38	305.55	1.37
Rnf6	162.38	18.75	446.21	0.0	304.25	194.28	95.27	0.0	16.17	105.63	121.59	411.8	130.06	22.05	0.0
Rpl18a	512.35	813.13	813.16	684.37	588.03	243.99	335.5	171.43	345.12	705.77	214.32	312.02	406.77	769.65	641.46
Rpl37a	188.11	222.8	376.79	237.86	406.46	378.2	411.9	0.0	275.36	377.45	268.71	453.44	524.59	795.66	371.86
Rps6ka3	174.73	196.49	130.56	0.0	105.76	0.0	0.39	0.0	0.0	12.95	0.0	0.7	0.0	0.0	0.0
Scamp1	3.75	48.27	426.19	175.61	281.44	25.6	134.58	0.1	458.62	219.1	157.61	270.15	481.5	57.8	311.91
Six4	0.21	0.0	0.87	0.0	64.62	0.07	0.24	0.0	0.14	0.09	0.15	0.44	0.13	0.36	0.07
Slc35a5	120.89	0.0	138.25	0.0	303.04	0.0	47.51	196.04	63.72	1.72	54.82	7.36	6.98	0.0	1.43
Slc35e1	0.66	2.44	45.15	1.45	68.53	3.37	19.21	0.05	4.98	1.87	1.76	3.55	3.62	1.32	0.87
Slc4a10	88.86	93.02	476.76	79.84	305.13	61.18	209.03	0.0	93.3	164.28	59.25	180.95	96.95	29.86	0.0
Slc7a1	43.9	0.0	34.06	66.78	14.8	0.0	0.01	0.0	16.24	1.15	2.75	5.9	0.0	21.99	0.0
Slit3	0.0	0.0	0.0	0.0	57.29	0.0	0.01	0.0	0.26	0.0	0.0	0.0	0.88	0.0	0.0
Ssu72	110.04	0.0	467.39	112.65	410.12	154.98	164.79	0.0	414.18	106.33	114.52	198.32	154.09	332.24	198.24
Thyn1	0.39	0.0	203.15	0.0	364.97	0.0	129.9	0.0	90.21	111.22	106.88	0.0	69.14	186.74	0.0
Tmppe	0.63	0.98	1.32	1.48	37.56	2.44	0.81	0.0	0.81	0.81	6.75	1.15	1.87	1.52	1.29
Trit1	0.07	0.0	150.28	4.18	155.78	150.32	0.05	0.0	0.0	49.48	0.0	116.96	62.13	0.0	0.0
Tspyl1	769.3	1030.03	769.82	553.79	923.87	669.44	624.24	0.0	337.97	646.4	436.74	284.52	547.02	349.84	760.57
Ubqln1	141.75	0.0	74.67	0.0	116.18	51.21	51.01	0.0	75.2	16.33	35.49	35.49	0.0	116.46	2.4
Yipf5	105.37	0.0	245.01	0.0	508.78	148.03	184.02	0.0	272.45	116.16	118.3	270.6	60.79	12.26	244.92
Zbtb16	97.32	109.47	66.4	121.99	75.66	0.0	1.28	0.0	21.85	23.37	54.78	44.22	0.0	161.98	0.0
