	Calb2_tdTpositive_cell_5	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_9	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_1	Nkx2.1_tdTpositive_cell_3	Nkx2.1_tdTpositive_cell_5	Nos1_tdTpositive_cell_7	Pvalb_tdTpositive_cell_10	Pvalb_tdTpositive_cell_11	Pvalb_tdTpositive_cell_23	Pvalb_tdTpositive_cell_48	Pvalb_tdTpositive_cell_54	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_31	PvalbD.Slc32a1_tdTpositive_cell_38	Sst_tdTpositive_cell_23	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_53
Kbtbd10	4.18	0.66	5.0	5.02	2.29	2.96	2.14	2.23	7.74	1.52	3.04	3.22	4.39	3.13	4.55	2.5	4.07	5.46	5.72	2.64	27.55
Ldlrad2	6.41	0.0	8.29	8.98	8.29	0.0	2.13	3.22	9.64	2.92	5.38	5.35	8.59	4.41	8.39	8.31	3.58	5.07	4.39	0.87	5.86
Lrrc28	0.0	0.0	60.81	93.23	59.35	0.0	0.0	0.0	0.0	19.09	0.0	87.69	0.17	46.0	0.33	0.0	0.0	0.0	0.12	0.0	21.24
Lrrn4cl	5.38	1.77	11.57	8.96	7.38	0.0	4.97	4.36	66.9	3.65	3.75	4.84	9.42	3.85	10.4	11.73	4.92	84.91	9.89	0.48	9.18
Map2k4	0.13	0.0	124.81	0.0	45.97	0.0	0.0	5.76	107.56	7.84	0.2	1.33	0.67	0.0	0.08	0.0	0.0	91.37	0.27	0.0	0.13
Mecr	165.37	0.0	106.93	0.0	0.0	0.0	0.0	0.0	0.0	45.81	90.35	0.0	4.62	0.41	0.0	0.0	89.44	221.24	0.0	0.0	0.0
Mettl6	0.08	0.0	61.61	26.81	7.19	0.0	9.85	0.0	68.26	32.45	0.0	0.0	0.26	0.0	9.08	0.0	66.09	167.37	0.0	0.0	0.17
Mrpl17	0.08	0.0	0.05	0.0	8.09	0.0	0.0	34.93	19.25	9.58	38.98	48.32	0.07	42.18	34.14	16.34	0.0	21.71	11.73	0.0	36.11
Mtap1a	0.02	0.15	1.49	16.16	19.11	0.0	0.04	0.04	18.46	15.26	24.59	0.07	1.5	25.04	0.05	30.89	0.93	49.48	0.49	0.0	24.86
Mtmr2	21.39	0.0	40.89	24.88	27.82	44.69	31.57	17.48	14.42	5.26	71.24	38.4	49.78	37.92	39.96	6.16	38.88	107.68	22.67	7.56	28.73
Naip2	3.69	0.21	2.07	0.16	0.86	0.0	0.78	1.48	2.92	1.0	1.38	1.06	1.81	2.05	1.63	4.75	2.05	5.54	1.04	0.98	2.46
Nbn	33.95	0.0	0.0	93.46	39.21	0.0	11.63	0.0	77.93	0.0	2.44	33.78	0.0	83.72	6.86	35.38	0.0	60.65	0.0	0.0	0.0
Nkx2-9	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	0.0	0.44	0.0	0.0	0.0
Nob1	0.1	0.0	168.68	61.51	68.93	0.0	113.98	0.0	87.09	43.76	82.99	0.0	58.82	47.73	114.54	124.41	0.0	185.99	0.0	0.0	0.2
Nop2	0.0	0.0	143.38	85.44	0.08	0.0	0.0	0.0	116.61	76.1	139.81	60.0	69.44	0.0	0.0	0.0	0.2	155.72	0.13	0.0	0.0
Nufip2	84.11	53.63	148.19	233.13	117.7	0.71	169.18	61.93	73.48	38.97	73.68	150.98	144.41	78.34	137.87	139.66	162.39	151.08	49.42	1.78	160.17
Osbpl8	7.58	0.0	149.3	0.8	27.46	0.0	32.12	1.33	11.28	1.07	6.61	10.84	13.09	61.37	32.6	76.77	38.79	121.45	0.78	3.26	10.96
Pfkfb2	1.32	0.0	61.64	104.76	16.67	76.91	92.47	90.28	85.74	19.0	44.45	53.27	27.47	113.22	9.69	127.55	106.55	169.86	45.73	0.13	39.12
Plcl2	0.0	0.0	0.0	14.13	20.73	0.0	28.66	0.0	0.0	25.7	0.0	0.0	0.12	30.33	0.0	39.65	0.0	52.11	0.0	0.0	0.0
Prelid1	0.3	0.0	0.0	199.61	88.27	0.0	0.0	0.41	346.47	250.91	17.96	17.97	126.73	191.41	260.33	22.64	0.0	538.15	117.24	0.0	0.31
Prkag1	3.85	0.0	0.0	497.55	8.13	0.0	287.55	15.73	508.97	145.3	251.16	85.1	26.0	383.57	704.29	598.43	430.45	425.62	129.55	0.0	158.14
Pus7	0.34	0.0	1.6	0.4	0.57	0.0	0.0	0.27	48.99	0.0	0.24	0.25	0.15	0.35	0.28	0.9	0.16	9.45	0.31	0.0	0.71
Rnft2	0.0	0.0	0.0	0.0	35.31	0.0	0.0	0.0	0.46	0.04	0.0	0.0	6.62	0.0	0.0	66.53	0.0	43.79	0.08	0.0	0.0
Rpl27a	68.75	0.0	32.19	97.63	94.81	0.0	48.32	74.95	198.23	54.91	28.23	196.41	127.72	104.95	91.57	66.43	323.83	407.8	135.67	0.0	228.52
Scg2	7058.23	0.0	6756.41	6748.89	4679.73	0.0	3919.67	4445.61	5224.44	6152.45	6371.6	4687.95	4551.6	5164.71	5235.75	648.99	10219.12	2767.8	5629.99	1492.82	5731.37
Sf3b1	0.87	0.0	71.47	143.36	87.13	0.0	112.7	26.84	103.59	56.88	71.4	55.71	64.07	124.41	128.99	19.63	53.56	172.05	25.22	0.0	134.15
Sgsm1	2.36	0.83	51.68	1.53	13.47	0.0	1.37	5.4	41.22	6.22	4.13	9.61	25.24	2.18	2.92	161.58	7.37	86.61	2.62	0.62	14.15
Shoc2	0.0	51.73	54.01	180.48	68.6	0.0	0.0	0.0	126.23	88.08	3.5	41.3	97.45	4.87	64.58	0.36	36.21	41.81	85.48	0.0	33.23
Sprr2a1	0.0	0.0	0.0	0.56	0.62	0.0	0.0	0.0	0.34	0.71	0.0	0.0	0.0	0.41	0.38	0.77	0.0	0.81	0.65	0.0	0.02
Sprr2a2	0.0	0.0	0.0	0.56	0.62	0.0	0.0	0.0	0.34	0.71	0.0	0.0	0.0	0.41	0.38	0.77	0.0	0.81	0.65	0.0	0.02
Stk10	0.23	0.0	0.1	0.08	0.09	0.0	0.0	0.0	0.09	0.1	0.0	0.0	0.51	0.32	0.14	0.0	0.0	0.0	0.0	0.0	0.13
Stmn4	0.4	0.0	122.91	0.0	44.51	0.0	72.65	183.71	48.43	12.06	82.66	137.92	1.25	138.48	0.0	321.91	151.73	236.57	83.84	0.0	0.0
Stoml1	160.55	0.0	0.0	0.89	0.11	0.0	0.0	0.0	0.25	0.12	2.3	78.9	1.77	0.0	32.41	0.0	0.0	5.13	12.5	0.0	141.15
Strn3	87.36	0.0	0.0	72.51	42.84	0.0	0.0	17.74	113.1	29.01	83.55	47.69	51.71	52.59	102.5	70.42	56.88	0.76	96.48	0.1	19.32
Tbc1d23	4.74	0.0	0.0	11.75	89.02	0.0	0.0	1.19	9.24	40.03	1.44	0.0	66.62	29.8	57.13	0.0	106.39	7.4	1.56	0.0	0.13
Tigd3	0.61	0.0	0.48	0.0	0.63	0.0	0.32	0.0	2.89	0.5	0.33	0.0	5.28	3.53	0.56	1.06	0.0	0.26	0.6	0.0	5.17
Tmcc1	0.0	16.04	0.0	1.6	0.0	1.3	12.0	9.82	11.89	0.0	0.0	0.0	0.09	24.24	21.41	62.57	68.03	34.09	0.0	0.0	0.06
Tmem203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.05	0.0	21.9	0.0	0.0	0.0
Tmem25	0.07	0.0	188.4	90.95	0.0	0.0	135.78	251.24	208.92	47.51	0.0	94.05	80.56	125.14	0.26	147.43	130.4	229.59	66.41	0.0	157.2
Tmem38b	0.0	0.0	0.0	0.0	36.91	0.0	0.0	0.15	0.0	20.14	0.0	0.57	0.0	0.0	0.0	70.8	0.18	48.92	0.24	0.0	0.06
Tmem43	0.0	0.0	0.0	134.63	103.05	0.0	103.7	0.0	3.9	35.95	0.0	0.0	10.17	75.19	0.0	140.84	0.0	142.88	42.14	0.0	0.0
Unc79	0.0	0.0	0.35	4.15	0.0	0.0	0.0	13.73	0.0	0.19	4.29	0.27	0.56	0.0	0.03	25.17	0.0	40.02	0.3	0.0	1.72
Usp45	0.26	0.0	0.21	0.18	0.41	0.0	0.11	0.11	2.94	1.59	0.16	0.0	27.56	54.51	23.43	0.39	0.19	25.99	0.24	0.0	0.68
Vps37b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.59	0.0	0.0	1.8
Was	6.27	0.0	12.28	3.08	7.57	0.0	1.56	2.62	3.94	5.55	3.43	4.48	3.41	2.29	6.39	15.26	9.24	8.66	4.47	0.0	8.26
Xrcc2	0.82	0.0	0.44	1.07	71.13	0.0	0.18	0.0	0.53	9.61	0.49	0.52	0.45	55.9	1.04	1.18	0.54	1.76	0.42	0.0	0.79
Yrdc	0.0	0.0	0.0	7.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	10.73	0.0	4.53	0.0	0.0	0.0
Zfp704	0.5	0.0	12.02	1.88	0.04	0.0	0.1	0.36	0.59	0.07	17.27	0.29	0.59	14.55	0.78	0.42	0.29	40.38	0.1	5.19	0.77
Zfp825	147.69	0.0	28.01	62.58	60.43	0.0	0.0	3.64	115.99	8.58	37.75	22.74	14.47	20.58	0.43	2.22	1.49	74.07	19.46	6.25	250.79
