	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_44	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_12	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_8	Nr5a1_tdTpositive_cell_23	Nr5a1_tdTpositive_cell_25	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_27	Nr5a1_tdTpositive_cell_28	Nr5a1_tdTpositive_cell_32	Nr5a1_tdTpositive_cell_42	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_6	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_45	Scnn1a.Tg3_tdTpositive_cell_47	Scnn1a.Tg3_tdTpositive_cell_91	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_16	Slc17a6_tdTpositive_cell_18
Mphosph8	112.33	164.32	0.06	23.25	61.18	0.0	0.0	86.1	29.38	25.16	31.67	76.09	185.68	51.63	9.51	41.47	11.78	31.28	17.94	116.01	12.66	0.42	95.17	10.46	44.74	51.15	0.0	38.08	125.49	187.51	0.0	0.0	79.26
Mtmr6	286.45	117.59	13.04	91.27	417.4	0.0	0.0	7.21	176.1	157.26	96.24	733.58	213.77	13.45	84.27	1.15	113.03	99.85	152.98	165.16	12.53	141.64	6.1	131.93	13.01	11.59	0.0	0.0	341.67	129.51	8.39	0.0	1.9
Nit1	114.83	93.43	29.32	0.0	48.57	0.0	0.0	0.14	133.58	0.3	0.15	166.71	1.69	224.89	0.0	19.29	180.47	0.0	0.09	162.89	7.68	71.58	30.04	189.62	0.14	0.0	0.0	0.0	338.31	0.0	0.0	0.0	0.0
Nup85	9.08	0.13	175.09	0.0	7.2	0.0	0.0	80.62	4.91	0.0	0.09	0.09	21.33	87.47	0.0	0.0	0.0	0.0	141.73	0.2	0.0	0.0	116.55	12.89	15.1	145.91	0.0	148.45	378.29	170.19	0.0	0.0	0.0
Phc3	8.7	4.05	6.95	0.13	0.9	0.0	0.04	0.02	7.01	0.33	0.07	4.62	3.72	0.42	0.17	0.36	0.2	0.04	0.06	0.14	0.07	0.75	0.06	7.69	0.06	3.35	0.0	1.79	15.86	33.91	0.0	0.05	0.27
Polr2b	0.48	75.9	123.85	44.98	0.15	0.0	0.0	1.86	5.85	6.93	4.34	267.41	21.18	0.0	104.9	0.0	225.8	10.98	95.11	1.4	118.28	26.83	9.24	56.41	0.18	0.0	261.34	10.14	208.86	0.45	0.0	0.0	198.07
Rab5c	84.66	0.36	97.94	0.0	0.0	0.0	0.0	0.0	0.85	0.97	0.0	0.0	10.02	2.53	0.56	0.0	0.0	2.37	0.66	0.0	0.0	0.15	0.23	0.0	0.0	1.28	0.0	0.37	103.78	0.0	0.0	0.0	0.0
Rgs4	2604.26	3554.62	4793.66	3740.02	2647.51	0.0	0.16	5873.8	4839.36	4315.87	5539.67	4276.53	3090.96	3800.78	4595.67	5390.4	2870.31	4377.15	4185.44	5399.11	5219.32	5037.98	5187.94	4921.82	4036.2	6274.8	5381.62	4012.11	1937.79	5598.27	0.0	0.0	6781.39
Rnf146	154.37	0.13	71.04	1.74	197.76	0.0	0.0	0.13	91.27	82.45	5.3	69.25	36.94	101.27	0.0	0.0	68.64	72.18	231.92	122.69	151.18	7.86	0.34	2.62	127.58	62.55	0.0	0.0	158.17	115.99	0.0	0.0	0.0
Slc12a6	51.04	89.83	18.57	46.83	66.26	0.0	0.39	1.39	88.25	0.08	48.89	61.83	85.73	46.16	0.0	1.65	7.75	27.24	1.44	2.04	0.09	7.34	0.77	2.78	38.63	0.0	0.62	3.89	96.89	11.49	0.11	62.0	0.11
Sos2	7.32	0.02	0.0	0.0	0.02	0.0	0.0	0.0	0.03	0.0	0.04	48.18	35.42	0.0	0.0	0.0	0.0	0.0	0.01	0.04	47.61	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
Tmem44	40.97	41.52	58.66	1.47	288.95	0.12	0.0	0.21	34.79	1.68	0.0	37.98	1.6	0.11	13.92	0.13	1.79	6.81	28.21	29.55	1.61	1.11	45.92	15.29	12.71	0.78	0.0	0.0	38.12	0.8	0.0	0.0	0.62
Tmsb15b1	0.0	3.4	0.0	2.46	208.49	0.0	0.0	2.98	127.82	20.98	0.0	149.45	17.08	0.0	0.0	4.16	0.0	0.0	0.0	99.3	0.0	141.01	0.0	0.0	0.0	31.62	0.0	0.0	141.41	0.0	0.0	0.0	0.0
Usp34	30.81	29.53	66.49	30.89	47.33	7.44	0.0	5.29	3.62	3.5	40.28	113.31	76.08	29.29	4.48	3.76	25.73	25.63	13.25	71.82	18.62	15.14	38.03	11.59	47.23	21.9	0.0	10.92	39.91	7.4	0.02	0.0	15.9
Uspl1	0.0	89.15	197.44	1.87	13.18	0.0	0.0	0.12	99.18	157.11	0.12	148.91	0.0	67.93	88.39	116.35	25.32	8.83	25.17	0.0	92.74	4.71	8.46	129.86	0.0	49.26	27.09	3.0	256.29	11.08	0.0	0.0	0.0
Vps37a	19.54	62.35	0.34	44.32	204.54	0.0	0.07	11.99	58.7	105.11	1.86	135.17	113.0	41.69	40.3	3.29	31.49	8.3	0.11	0.48	51.59	11.53	15.25	17.74	44.58	1.42	0.22	87.38	134.21	95.02	0.18	0.0	30.47
Wdr11	0.0	0.0	0.02	0.0	3.74	0.0	0.0	37.33	59.19	2.04	0.0	0.0	85.11	0.0	0.0	0.0	46.32	4.39	38.84	0.09	15.37	1.17	49.59	0.0	0.0	0.14	0.0	0.0	106.27	0.0	0.0	0.0	0.0
Zscan21	80.15	0.0	0.0	102.35	228.85	0.0	0.0	0.0	44.92	0.0	0.0	128.43	0.33	164.75	0.0	0.0	0.0	0.0	0.0	159.29	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	172.12	0.0	0.0	0.0	208.4
c11_LSU-rRNA_Hsa	19.56	52.23	36.81	43.1	89.24	1.4	2.33	16.83	69.69	40.61	22.63	54.37	50.03	37.98	3.82	23.24	23.68	24.64	53.62	143.01	22.66	15.85	145.79	69.29	34.14	52.57	30.75	9.45	111.97	36.02	7.88	5.57	9.22
