	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_9	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Pvalb_tdTpositive_cell_81	Rbp4_tdTpositive_cell_182	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_25	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Gm14434	0.0	0.0	0.0	0.04	0.0	0.23	1.12	0.0	0.21	0.03	0.0	0.0	0.69	0.0	0.0	0.0	0.09	0.0	0.0	6.07	7.0	6.89	5.17	1.83	4.14	5.97	4.22
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	93.01	0.0	0.0	0.0	0.0	0.0	54.65	0.0	0.0	0.0	0.0	0.0	0.0	114.56	132.22	74.98	103.08	54.7	61.27	76.52	71.98
Gm3317	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.05	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.15	2.59	0.89	0.15	2.65	0.88	0.92
Gm3494	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.05	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.15	2.59	0.89	0.15	2.65	0.88	0.92
Gm4724	0.0	0.0	0.0	0.04	0.0	0.23	1.12	0.0	0.21	0.03	0.0	0.0	0.69	0.0	0.0	0.0	0.09	0.0	0.0	6.07	7.0	6.89	5.17	1.83	4.14	5.97	4.22
Gm88	0.0	0.0	0.0	0.0	0.0	0.0	25.91	0.0	0.0	0.0	0.0	0.0	4.64	0.0	0.0	0.0	0.0	0.0	0.0	5.55	0.25	0.66	0.64	0.19	0.66	2.29	1.28
Grin2b	0.29	0.0	0.0	0.72	0.54	10.65	39.86	0.09	0.26	0.03	0.23	0.0	152.03	0.0	0.26	0.0	0.0	0.12	0.0	277.15	331.36	279.61	307.95	232.73	321.05	333.11	317.59
Hdgfrp2	0.0	0.0	0.0	9.91	0.0	0.0	97.04	0.0	39.8	0.0	0.0	0.0	63.42	0.0	0.0	0.0	0.0	1.88	0.0	6.39	7.16	9.77	20.49	7.83	4.93	11.37	12.71
Lsm1	0.0	0.0	0.0	0.0	0.0	0.0	1.43	0.0	0.0	0.0	0.0	0.0	17.67	0.0	0.0	0.0	0.0	0.0	0.0	31.97	34.29	33.67	16.35	9.22	2.79	14.34	12.4
Myt1l	0.09	0.0	0.0	0.14	0.0	19.67	62.53	0.0	0.03	0.0	0.12	0.0	62.3	0.0	0.0	0.0	0.0	0.0	0.0	92.07	124.8	108.64	105.73	94.88	99.27	74.38	56.32
Ncan	0.14	0.69	0.07	0.5	0.08	0.23	23.69	0.2	0.48	0.14	0.2	0.0	42.79	0.0	0.22	0.0	0.35	0.06	0.1	139.98	121.23	148.5	143.81	97.97	269.87	196.5	197.17
Nol10	1.99	2.4	0.24	1.58	2.4	0.74	2.47	0.43	0.81	0.4	0.64	0.67	7.8	0.51	2.2	0.0	0.26	0.42	0.0	14.23	48.34	44.04	33.53	18.18	34.04	26.63	28.8
Ptgds	37456.41	28637.16	26584.93	48907.82	54843.26	47452.67	0.0	56522.07	60719.49	31434.39	32699.18	40932.13	0.0	47873.29	36019.29	40457.23	55284.07	39774.1	53160.05	1189.21	0.0	0.0	0.0	0.0	0.0	0.9	295.67
Rab3a	0.0	0.0	17.21	3.83	0.42	0.0	979.26	0.17	0.67	0.0	0.0	0.0	1231.69	0.0	0.0	0.0	0.0	0.0	0.0	335.82	413.22	221.17	308.16	293.77	228.27	324.07	329.4
Rab8b	2.49	0.78	0.11	0.54	2.51	0.3	76.0	0.6	0.26	0.17	0.0	0.16	2.76	0.17	0.65	0.15	0.1	0.0	0.0	16.06	19.79	23.27	14.34	11.76	32.33	17.06	14.18
Scn2a1	0.0	0.0	0.0	0.28	0.0	0.62	16.37	0.11	0.14	0.03	0.12	0.0	142.11	0.0	0.02	0.0	0.0	0.0	0.0	121.38	143.36	130.65	128.09	106.97	142.15	100.15	95.93
Sprr2a1	0.07	0.0	0.0	0.0	0.0	0.28	0.73	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.35	0.08	0.28	0.07	0.08	0.05	0.1
Sprr2a2	0.07	0.0	0.0	0.0	0.0	0.28	0.73	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.35	0.08	0.28	0.07	0.08	0.05	0.1
Trhde	0.0	0.0	0.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	52.08	0.0	0.0	0.0	0.0	0.0	0.0	15.77	13.93	19.48	9.42	13.82	34.9	15.34	17.4
mt_AK136262	0.0	0.0	0.0	0.0	0.17	0.0	0.03	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	9.86	4.83	210.2	12.15	165.57	8.22	0.19	1.6
mt_AK142003	0.0	0.0	0.0	0.0	0.17	0.0	0.03	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	9.86	4.83	210.2	12.15	165.57	8.22	0.19	1.6
mt_AK166798	0.0	0.0	0.0	0.0	0.17	0.0	0.03	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	9.86	4.83	210.2	12.15	165.57	8.22	0.19	1.6
mt_AK166978	0.0	0.0	0.0	0.0	0.17	0.0	0.03	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	9.86	4.83	210.2	12.15	165.57	8.22	0.19	1.6
