	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_1	Htr3a_tdTpositive_cell_18	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_36	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_47	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Scnn1a.Tg3_tdTnegative_cell_12	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_101	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cit	0.0	0.2	2.63	0.0	0.84	0.0	6.69	3.29	15.4	1.54	1.95	1.61	2.24	0.0	1.62	2.43	3.71	6.83	1.31	0.0	0.0	2.85	8.16	0.0	0.0	0.37	0.79	0.03	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.04	0.0	0.0	0.0	28.5	5.25	0.0	3.4	4.85	0.92	0.0	0.0	3.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3	0.0	0.0	3.96	0.0	1.61	0.63	0.0	9.95	1.98	0.04	1.38	126.29	2.05	2.12	2.98	37.49	36.91	41.69
Fam107a	0.0	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.16	22.15	0.0	0.0	0.0	0.0	0.0	7.14	0.0	0.04	0.05	0.04	0.11	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.03	0.16	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.14	0.07	0.0	0.0	0.01	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	2.37	0.11	1.1	240.76	243.26	245.84
Fam81a	0.0	0.17	1.52	0.23	0.0	0.0	258.48	287.77	241.81	196.33	257.54	169.27	141.91	0.68	538.87	226.03	160.63	202.98	130.75	0.16	0.0	223.48	170.25	0.0	0.06	0.38	0.34	130.26	0.58	0.46	0.32	0.32	0.0	36.42	73.96	0.13	0.14	0.21	0.0	0.02	0.09	204.75	217.12	14.72	140.6	340.54	4.36	8.57	0.0	136.78	0.0	0.0	0.0	42.95	0.0	10.18	12.4	0.0	17.71	532.18	0.28	116.86	130.12	0.03	0.45	44.01	0.0	35.05	0.0	21.4	0.15	283.41	1003.42	689.32	735.46	152.09	141.34	148.58
Fbxl6	0.0	0.0	0.0	0.0	8.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.41	0.0	0.0	0.0	0.0	54.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.05	0.0	0.0	0.0	0.0	0.0	0.43	30.59	20.52	0.0	0.0	0.0	0.0	0.0	0.0	9.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	6.43	0.0	0.0	0.0	0.0	0.35	0.0	0.0	50.99	0.0	0.0	20.47	0.0	4.76	4.68	4.72	32.27	35.56	34.69
Fgf9	0.15	2.3	0.27	0.29	0.37	1.7	101.36	6.23	110.04	14.74	42.74	67.12	11.11	1.18	78.91	52.87	102.45	301.12	1.12	0.0	0.0	50.01	164.61	0.0	2.48	0.6	4.34	0.17	0.24	0.28	0.75	8.16	0.29	0.66	0.2	0.47	0.58	0.36	0.0	0.28	31.89	82.34	59.03	19.29	34.09	29.39	4.17	0.21	0.05	22.65	0.37	0.22	21.89	0.43	0.47	22.46	0.33	0.72	0.11	13.16	0.0	0.27	46.97	0.06	0.67	11.25	3.83	0.41	0.2	0.0	0.13	93.87	21.09	9.74	12.99	9.2	9.9	9.8
Fmr1	0.0	17.67	0.0	0.0	0.0	0.0	1.25	12.12	0.19	16.89	0.0	20.39	54.5	0.0	0.0	0.0	28.08	83.41	0.0	0.0	0.0	27.32	13.06	0.0	0.0	26.29	20.63	0.0	17.05	0.12	0.05	2.86	12.79	29.12	0.0	0.0	10.33	0.0	0.34	0.51	4.49	30.64	0.0	0.0	0.0	2.68	19.48	0.65	0.0	4.61	0.0	0.0	0.0	9.91	0.0	0.0	0.0	22.54	0.06	23.62	0.0	0.0	0.0	16.48	0.03	0.0	0.0	0.0	0.0	0.0	32.6	8.78	34.01	21.29	22.11	49.7	42.8	49.45
Gabra1	0.15	0.0	46.97	0.96	0.0	0.0	339.54	631.46	388.87	767.92	425.25	634.72	663.5	0.94	392.4	509.91	755.75	557.91	481.17	0.0	0.0	403.23	625.18	0.0	0.08	0.18	0.28	77.76	0.24	0.16	0.25	0.37	0.0	0.3	0.0	0.09	0.0	0.0	0.0	0.07	57.29	648.41	478.11	0.0	303.34	513.62	0.0	0.86	3.88	347.36	0.0	10.13	0.0	0.2	0.07	0.13	0.04	0.0	0.06	251.8	0.0	0.0	41.85	9.0	178.42	0.0	0.05	129.68	0.0	0.07	0.13	392.28	251.98	214.6	210.67	255.65	237.2	255.05
Gabrb2	12.23	11.81	116.52	41.38	7.18	0.0	621.36	647.37	367.51	784.75	543.33	764.64	659.29	0.26	427.34	345.69	623.84	437.22	316.7	0.0	0.0	366.04	426.46	0.0	0.07	24.16	0.13	15.4	0.15	34.86	22.41	0.33	0.0	8.42	16.89	21.95	11.06	0.0	5.01	27.63	24.17	618.55	404.95	0.0	362.25	629.82	0.08	24.49	0.11	439.7	28.74	9.88	0.03	0.04	0.0	0.0	0.0	0.0	14.66	173.78	0.0	0.04	55.57	8.4	168.64	0.0	0.0	84.71	16.9	5.95	8.5	241.85	394.32	308.05	311.54	112.15	88.74	113.37
Itpr1	0.0	0.0	11.68	0.15	0.0	0.0	50.35	0.28	61.99	98.57	13.8	26.61	24.7	0.0	33.0	7.41	47.88	67.85	19.08	0.0	0.0	30.02	2.25	0.0	0.0	0.04	0.02	0.02	0.03	0.01	0.03	0.01	0.0	0.0	0.05	0.0	0.04	0.03	0.0	0.08	0.0	8.58	0.18	0.0	0.23	36.51	0.0	0.0	0.0	64.42	0.0	0.25	0.0	0.03	0.0	0.0	0.02	0.02	4.08	22.39	0.0	0.11	0.03	0.0	21.36	0.0	0.26	10.14	1.68	0.0	0.0	0.0	64.04	43.81	49.96	211.99	196.39	212.52
Kcnn2	16.07	0.0	0.0	0.0	0.0	0.0	117.16	93.4	94.0	178.94	48.65	90.12	286.57	125.77	58.88	10.45	146.29	248.09	0.0	0.0	0.0	35.24	172.76	0.0	0.0	0.0	0.0	0.0	0.08	0.07	0.05	0.0	0.0	17.04	0.68	0.0	0.0	0.0	0.0	0.0	0.0	80.57	101.21	0.0	19.29	25.23	1.43	0.0	0.0	69.11	0.0	0.13	33.07	0.14	0.0	0.0	4.53	0.0	35.48	71.12	0.0	1.41	0.0	86.4	31.75	0.0	16.11	66.75	0.0	2.09	1.87	132.92	11.23	15.48	15.14	42.19	43.41	41.94
Khsrp	6.2	4.93	13.7	20.24	14.21	0.0	26.69	13.09	20.4	23.03	10.01	13.23	37.3	1.22	6.88	19.76	24.45	34.5	14.92	26.02	0.0	13.92	35.46	0.0	8.23	5.29	6.07	13.31	19.92	12.42	14.88	14.44	6.71	9.39	7.73	7.61	12.88	7.64	9.09	7.53	7.04	14.8	16.61	13.51	11.8	12.86	10.1	5.06	8.06	12.75	27.06	10.21	6.11	7.41	3.56	12.84	4.61	8.47	9.31	49.2	33.03	12.66	18.49	8.69	11.0	13.27	9.78	24.11	8.58	7.92	8.32	22.82	24.61	24.19	26.56	57.01	58.93	59.96
Krr1	1.23	25.41	0.28	28.24	22.6	11.33	5.6	103.27	3.34	49.18	83.73	3.33	100.11	12.05	53.86	5.72	37.48	108.74	34.01	1.22	2.06	40.83	2.96	0.0	21.81	21.97	1.16	5.91	31.01	2.41	26.63	1.5	19.82	2.08	22.33	6.91	21.66	2.0	0.84	3.04	27.91	3.74	2.45	29.58	2.67	53.84	21.0	2.97	1.63	2.67	4.47	42.73	28.46	40.59	25.96	0.98	26.42	24.68	2.3	15.98	7.6	2.09	3.99	13.18	19.54	53.31	25.19	3.83	10.84	33.18	50.47	4.78	48.39	37.77	33.45	21.55	20.76	20.4
Lancl2	39.53	59.75	8.8	0.0	34.77	0.0	108.83	156.99	27.31	135.3	74.25	6.71	172.84	0.0	0.06	78.56	1.1	181.98	13.88	0.0	0.0	69.52	0.0	0.0	55.12	40.62	0.02	0.16	0.77	0.0	0.17	0.0	0.0	0.0	51.87	36.29	26.77	32.94	2.11	2.52	21.22	28.64	92.98	61.48	0.0	0.37	4.21	121.48	1.86	0.0	6.02	59.05	0.06	28.42	1.08	32.67	0.13	67.5	29.59	50.0	0.0	23.14	25.72	0.0	64.01	0.64	35.35	40.35	1.67	0.17	45.52	0.0	71.23	46.89	44.48	77.76	75.63	63.63
Maneal	61.04	17.57	0.0	0.0	72.92	0.0	134.1	0.0	3.24	30.06	0.0	9.26	186.34	0.36	0.08	0.16	16.8	203.38	0.0	0.0	0.0	0.0	82.58	0.0	4.46	0.0	41.97	0.04	19.83	0.05	0.0	38.3	0.0	0.0	0.0	37.06	0.0	28.99	0.0	25.59	1.37	0.11	0.09	51.58	0.0	20.71	42.72	0.0	0.0	85.69	0.09	38.88	0.76	0.0	56.26	0.0	41.85	7.92	30.77	31.05	0.0	0.0	0.0	45.9	37.08	37.55	0.0	95.81	0.0	1.11	57.16	0.0	10.5	21.08	23.69	49.82	52.61	50.28
Megf9	0.0	0.22	0.0	0.0	0.0	0.0	10.44	0.0	0.0	0.0	39.82	0.0	51.18	0.0	0.07	0.0	69.55	77.11	5.8	0.0	0.0	0.0	0.0	0.0	15.74	8.49	0.0	31.74	0.0	0.0	11.88	0.0	0.0	61.91	0.0	0.0	0.0	3.44	0.0	0.0	0.0	4.12	0.59	0.0	10.1	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.19	0.93	0.0	0.0	7.45	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.03	0.0	10.98	1.12	3.39	69.98	62.26	73.19
Nanp	108.45	117.93	0.0	378.01	130.74	0.0	0.09	371.08	60.23	147.38	0.48	77.54	517.36	278.43	0.0	345.64	28.43	414.98	0.0	0.0	0.0	138.93	117.02	0.0	130.0	101.14	125.04	75.49	120.47	92.33	0.23	101.49	65.59	70.24	37.67	0.0	0.0	163.3	35.52	0.0	144.5	280.32	245.3	0.0	351.57	178.15	0.0	56.69	190.12	110.87	339.7	0.0	41.46	0.0	0.0	0.0	37.26	0.35	0.0	150.39	0.0	36.62	107.36	117.8	65.71	135.95	42.21	170.47	39.69	0.0	121.97	0.0	96.05	152.66	130.57	26.7	32.41	27.82
Necab1	0.62	1.37	0.0	0.27	0.32	2.95	14.91	234.78	38.77	169.52	466.97	139.77	347.6	2.75	370.88	229.79	1.6	217.88	0.85	0.0	0.55	52.12	46.15	0.0	0.41	0.41	0.88	1.89	0.67	0.52	0.89	0.76	0.57	0.33	0.19	0.43	0.53	0.09	0.54	0.62	0.57	75.1	41.59	0.75	4.27	26.19	0.84	0.23	0.21	124.3	0.59	0.58	0.63	0.0	0.42	0.32	0.76	1.09	0.53	27.52	0.44	0.17	0.98	0.29	0.68	0.95	0.64	4.05	0.18	0.06	0.32	1.46	128.72	71.96	79.88	77.53	66.55	73.48
Npy	138375.8	173305.25	1.6	1.46	115124.65	0.0	43922.94	108594.8	96206.73	42632.64	68542.73	67463.47	65548.38	14635.6	57444.26	77711.12	125016.83	59230.28	34339.27	0.0	0.0	80627.8	63494.68	0.0	132042.44	105008.15	149629.49	134232.96	130357.56	105498.11	116117.28	120987.76	122165.94	132052.33	122154.33	122963.43	126501.28	117863.77	102118.34	130527.91	173863.58	101365.79	73168.9	126989.03	45711.04	80801.23	166048.87	115420.41	191162.16	108906.97	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	110523.31	101137.64	151963.58	985.16	0.0	145032.54	13964.96	180453.32	48343.46	128781.07	137945.15	70964.58	95298.15	137580.94	120620.2	68416.93	0.6	0.0	0.7	214.21	196.57	200.76
Ogfrl1	0.0	8.08	0.0	0.0	0.05	0.0	162.8	40.27	151.05	180.51	71.52	397.24	287.65	0.0	181.24	131.73	68.67	35.06	13.25	0.0	0.0	66.62	120.66	0.0	7.67	6.15	26.73	84.65	0.03	0.05	0.02	18.55	0.0	25.74	0.11	0.0	0.91	0.86	0.79	28.08	30.74	93.11	105.53	0.66	23.81	41.69	24.67	0.34	6.19	76.73	1.49	0.21	0.04	24.61	4.0	58.81	0.06	0.0	0.0	26.87	0.0	0.53	7.68	0.0	0.1	1.26	5.33	0.0	9.84	0.06	0.09	10.84	76.19	60.56	47.44	78.83	72.63	76.41
Pcbp4	0.0	7.78	0.0	0.0	0.66	0.0	0.0	0.0	4.05	0.25	0.0	24.12	0.0	0.0	0.0	0.0	0.0	82.38	0.0	0.0	0.0	0.0	2.03	0.0	0.0	0.0	0.31	1.47	0.0	6.09	0.0	2.63	0.72	0.0	0.0	4.22	20.42	1.34	0.0	0.83	0.98	0.0	0.26	0.14	2.61	0.54	0.16	0.0	6.65	0.56	2.09	0.0	1.03	0.14	0.14	0.0	13.6	0.0	1.83	0.9	0.0	3.82	0.0	0.45	31.58	1.31	0.0	8.76	21.4	2.55	0.4	0.0	0.3	1.53	0.17	124.72	143.46	138.57
Phactr1	46.38	50.38	36.61	0.09	23.31	0.0	326.3	79.13	129.81	123.39	151.67	187.05	156.15	0.74	164.16	379.05	128.39	159.75	44.82	0.0	0.0	169.03	115.3	0.0	34.44	16.83	0.22	0.0	1.64	9.0	0.5	0.13	0.06	36.54	0.57	13.29	25.52	21.69	0.0	46.8	0.13	126.04	162.08	51.38	168.12	127.46	74.37	61.89	40.02	64.32	7.4	14.31	32.48	38.17	0.08	40.06	31.24	15.85	5.18	79.77	0.18	20.93	16.54	4.7	15.26	8.18	14.51	45.62	0.0	8.2	47.48	4.8	194.11	159.98	162.52	250.29	240.7	240.9
Pik3r2	23.64	0.0	0.0	0.0	0.0	0.0	1.44	0.0	3.91	0.0	0.2	0.18	0.0	0.0	4.5	0.0	33.37	29.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.32	0.0	0.0	18.29	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.09	0.0	1.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.65	0.35	0.05	0.0	0.0	7.93	13.34	0.0	0.11	0.0	0.07	0.0	9.14	0.0	0.0	0.0	0.03	0.0	3.2	2.5	5.04	97.28	109.77	104.18
Purb	26.72	24.41	30.91	12.95	29.82	0.0	160.97	46.33	206.62	211.5	183.45	172.1	211.34	32.65	40.39	101.53	85.87	230.6	17.96	0.0	90.12	76.86	1.29	296.99	51.24	17.58	18.77	32.48	49.28	31.91	72.59	15.37	12.33	69.02	18.74	45.83	46.19	28.77	24.83	26.62	83.13	107.66	108.27	7.81	64.31	97.69	2.59	14.85	1.09	77.27	5.22	34.13	40.04	37.15	10.56	23.22	40.07	31.08	39.38	42.27	0.0	24.41	80.82	23.81	66.73	15.32	45.41	44.16	1.05	19.34	11.09	19.89	92.94	56.89	59.75	202.04	181.97	195.46
Rassf2	0.0	0.36	0.0	0.0	0.0	261.87	1.81	5.53	39.0	85.72	9.84	10.24	101.75	0.21	1.59	3.91	6.69	50.5	0.07	0.11	0.42	6.09	40.73	0.0	0.15	0.0	0.22	0.09	0.03	1.37	0.15	0.05	0.34	0.07	0.14	0.07	0.13	0.06	0.16	0.0	0.06	5.95	6.26	0.21	60.0	5.93	0.13	0.0	0.0	47.11	0.09	0.25	0.08	0.12	0.24	0.25	0.06	0.15	4.01	1.38	3.83	0.06	0.07	0.33	0.61	0.24	0.13	0.24	0.1	0.0	0.0	0.65	6.44	6.69	4.76	29.35	29.69	31.74
Rfc1	6.59	4.46	1.85	0.0	14.56	0.0	83.9	7.83	0.0	6.88	32.34	0.0	64.5	0.0	0.26	9.9	3.7	47.42	24.85	0.0	10.34	3.52	13.44	0.0	5.63	19.57	0.91	0.03	25.47	0.0	0.21	6.81	19.27	0.0	4.22	0.41	0.0	9.19	1.04	43.41	10.9	10.42	24.61	37.27	0.0	20.68	36.67	15.45	3.09	18.1	3.61	40.72	12.57	0.0	1.59	2.07	0.03	0.05	2.98	12.93	0.0	0.12	15.75	28.15	0.57	0.18	9.19	29.88	0.4	38.13	13.76	75.82	16.78	20.3	12.54	19.97	19.96	23.17
