	Chrna2_tdTpositive_cell_15	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_40	Chrna2_tdTpositive_cell_52	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_56	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_2	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Ndnf_tdTnegative_cell_1	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_4	Sst_tdTpositive_cell_27	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_92
Cdv3	32.76	7.1	12.05	1.91	34.47	17.1	0.24	82.49	0.0	0.0	0.0	0.0	105.31	7.53	1.91	0.0	1.59	84.57	20.76	73.8	53.16	36.77	117.57	90.93	2.43	35.87	0.08	37.09	85.12	36.58	0.51	0.0	214.5	9.57	15.11
Cisd1	201.44	351.35	151.44	828.03	123.9	91.44	0.0	0.0	0.0	0.0	0.0	0.0	669.77	238.35	484.34	0.0	503.17	435.93	371.8	279.99	491.91	354.31	449.41	513.3	352.72	119.41	537.26	399.52	180.96	424.03	566.88	0.0	603.3	390.74	359.25
Dcun1d4	0.98	34.1	0.12	36.69	10.92	5.97	0.0	34.89	0.0	0.0	0.0	0.0	90.7	1.74	68.38	0.0	0.89	1.68	38.0	72.08	68.96	23.82	32.99	0.08	74.53	21.92	0.62	0.0	31.29	0.0	33.23	0.0	214.29	45.63	139.17
Dhx40	1.41	0.1	0.07	0.22	0.0	0.04	0.0	0.0	0.0	0.1	0.0	0.0	0.0	38.7	57.56	0.33	0.0	0.08	11.43	0.52	0.82	0.17	34.54	3.96	0.12	17.22	2.67	0.17	44.8	75.16	2.12	0.0	115.22	39.12	0.0
Efha2	316.97	371.21	228.4	484.53	122.38	123.26	87.24	168.7	597.65	0.0	0.0	0.0	470.19	378.88	270.7	0.0	244.99	175.52	165.58	170.3	252.1	248.69	287.32	137.23	166.96	371.54	187.95	300.99	193.85	236.79	315.75	0.0	578.49	558.67	364.26
Fam54b	108.06	36.71	110.3	204.55	35.96	0.0	29.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.17	177.97	25.54	129.87	32.14	47.86	70.1	137.33	108.23	21.96	103.83	61.28	52.26	3.5	42.39	147.4	0.13	0.0	317.86	0.0	142.46
Fem1b	7.82	22.58	16.72	63.89	10.51	6.74	0.06	2.97	0.0	0.0	0.0	0.0	120.71	57.03	47.11	0.0	9.28	29.34	7.09	55.41	23.74	18.22	76.65	0.74	19.08	10.59	9.35	5.62	1.48	35.47	32.37	0.0	66.58	39.92	71.45
Hars	225.64	508.09	106.66	817.26	496.27	325.19	318.55	329.35	0.0	12.73	0.17	0.0	380.55	12.45	359.31	0.31	204.12	210.79	182.2	284.45	316.02	214.12	324.33	144.87	67.22	135.37	383.07	72.94	196.86	305.6	176.23	0.0	428.24	238.07	472.05
Kcnc2	60.7	201.22	85.46	245.54	32.3	45.67	31.05	31.14	0.0	0.0	0.0	0.0	151.56	360.3	177.38	0.0	109.1	71.6	100.15	66.5	99.69	85.21	66.42	106.58	33.8	78.23	55.49	132.76	70.55	117.91	111.61	0.0	259.65	180.86	226.23
Matr3	341.85	272.08	103.95	380.03	270.22	96.53	132.44	156.39	0.0	0.0	0.07	6.37	667.2	510.91	313.46	156.71	315.18	505.16	330.57	311.92	363.03	695.02	203.11	292.35	366.97	273.43	251.51	284.04	284.24	377.65	238.67	0.08	647.93	427.55	396.92
Mid2	7.88	0.0	0.0	16.74	0.0	8.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	24.76	0.09	0.0	22.28	0.22	0.0	6.47	4.33	0.0	16.48	0.0	0.0	12.26	7.83	0.0	172.58	31.33	0.23
Mrps22	0.0	0.0	0.0	89.28	8.63	0.0	23.27	0.0	0.0	0.0	0.0	0.0	3.14	0.0	93.82	0.0	123.1	56.31	0.0	70.83	28.06	69.33	0.0	0.0	0.0	0.0	2.58	51.56	45.97	0.0	0.0	0.0	150.53	58.14	47.7
Ndufa10	75.14	104.92	77.46	472.57	13.93	63.33	28.16	22.69	0.0	0.0	0.28	0.0	230.68	176.06	395.35	0.0	211.4	241.61	380.69	247.18	207.14	250.83	256.91	201.95	126.49	47.95	54.11	183.99	169.27	93.76	170.01	0.0	520.55	546.68	101.36
Nxph1	139.18	158.62	138.99	555.48	51.21	129.43	118.28	84.63	0.0	0.0	0.0	0.0	550.23	139.45	304.25	0.0	193.07	349.4	428.71	238.09	376.22	164.51	204.9	227.96	151.88	198.67	249.58	334.99	153.91	268.86	227.69	0.0	571.19	218.97	340.56
Opcml	103.03	60.79	92.87	110.95	42.35	37.81	0.13	0.0	0.0	0.0	0.06	0.0	55.0	84.98	70.01	0.12	172.85	157.23	61.78	87.44	103.73	136.69	170.26	50.38	182.18	136.02	154.17	101.23	107.62	138.57	153.92	0.0	138.04	85.55	46.73
Paip1	64.84	225.62	26.42	193.1	92.69	67.67	60.6	34.04	32.68	0.0	0.15	25.71	293.35	119.85	301.26	5.06	180.3	181.63	78.35	153.19	110.75	108.98	83.58	89.84	150.84	104.7	98.98	215.12	112.89	82.69	109.21	0.0	363.2	375.8	242.74
Pdha1	286.93	155.13	117.72	362.67	215.78	153.2	93.29	31.7	0.0	0.0	0.12	0.21	443.42	333.64	443.97	0.0	375.69	186.09	320.69	332.31	454.11	394.19	287.56	311.97	141.97	225.31	114.82	220.94	410.86	251.53	345.09	0.0	434.46	278.52	475.72
Prss30	2.53	0.55	0.17	3.33	0.16	1.54	0.0	0.0	0.0	0.0	0.0	0.0	8.02	0.0	0.0	0.0	0.0	6.0	0.19	1.69	0.84	1.01	0.18	0.22	0.0	0.3	0.0	0.38	1.87	1.13	0.0	0.0	0.0	0.0	0.65
Qdpr	0.0	112.02	0.0	146.63	74.96	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	30.26	125.66	0.0	141.82	145.97	35.52	85.66	15.92	120.35	30.06	65.98	23.55	39.58	148.82	24.05	2.07	95.75	254.23	0.28	508.86	131.35	24.6
Rhbdd2	75.09	5.0	1.06	4.3	0.15	0.53	0.0	2.12	0.0	0.52	0.0	0.55	74.69	4.15	6.46	1.82	43.74	77.98	74.08	98.19	46.26	41.23	71.84	61.8	0.19	7.74	9.65	24.82	20.19	39.26	2.37	0.56	180.22	9.14	2.18
Rnf146	61.17	120.78	61.94	41.37	28.47	12.96	83.92	12.41	0.0	0.0	0.0	0.0	27.47	0.0	76.87	0.0	79.08	81.28	20.08	0.29	19.87	46.74	21.05	8.96	34.17	0.0	33.66	41.67	74.25	21.47	69.67	0.0	159.86	86.16	25.44
Scn2b	643.88	668.61	595.06	891.84	452.98	319.88	168.79	331.18	1.05	3.35	0.35	0.93	1117.1	349.88	847.17	0.93	445.31	728.59	762.72	548.15	613.57	751.96	497.87	507.09	922.54	489.16	679.34	574.58	691.4	523.62	470.57	0.85	1096.2	674.64	927.47
Slc25a12	88.0	169.28	0.26	304.98	52.4	27.71	74.25	48.81	0.0	0.82	0.11	0.0	236.68	180.46	130.46	2.5	78.98	134.22	94.21	80.64	155.81	156.7	113.3	115.92	0.08	153.29	96.52	221.24	179.74	134.58	129.71	0.0	342.92	233.09	110.85
Slc38a1	81.33	80.67	34.83	52.04	12.74	37.02	43.27	7.49	0.0	0.0	0.05	0.0	104.33	78.2	48.98	0.0	72.78	76.47	24.3	56.12	19.45	73.85	74.18	12.04	6.97	30.82	33.53	40.71	71.66	36.71	42.17	0.0	28.48	54.89	63.63
Snord116	5.36	6.43	2.21	14.18	0.0	5.29	10.41	6.24	0.0	0.0	0.0	0.0	7.69	2.39	0.0	0.0	4.45	14.05	2.5	3.68	2.82	11.3	7.38	6.1	0.0	4.03	2.54	9.96	4.31	2.13	2.3	0.0	5.36	2.64	8.48
Snord116l1	5.36	6.43	2.21	14.18	0.0	5.29	10.41	6.24	0.0	0.0	0.0	0.0	7.69	2.39	0.0	0.0	4.45	14.05	2.5	3.68	2.82	11.3	7.38	6.1	0.0	4.03	2.54	9.96	4.31	2.13	2.3	0.0	5.36	2.64	8.48
Snord116l2	5.36	6.43	2.21	14.18	0.0	5.29	10.41	6.24	0.0	0.0	0.0	0.0	7.69	2.39	0.0	0.0	4.45	14.05	2.5	3.68	2.82	11.3	7.38	6.1	0.0	4.03	2.54	9.96	4.31	2.13	2.3	0.0	5.36	2.64	8.48
Sst	54779.79	110572.87	47293.26	7499.29	33998.26	92299.24	48476.57	25347.61	0.0	0.0	0.0	0.0	72114.03	79456.04	80147.45	2.22	56866.87	51085.86	57147.69	53884.47	50199.22	49702.56	68952.67	63593.53	54941.04	65451.11	54018.45	59257.22	56460.73	63808.17	57846.93	0.0	8446.37	78404.02	60686.4
Strbp	32.94	19.79	60.1	178.45	14.15	23.08	13.95	26.5	0.1	0.32	0.22	0.67	159.92	135.58	142.54	0.27	29.52	62.06	67.87	76.77	88.4	73.19	42.23	28.34	37.57	19.54	33.68	110.31	64.97	25.57	70.52	0.19	203.38	45.65	186.84
Tpm3	201.53	185.27	72.1	222.51	55.69	80.39	18.34	45.54	0.0	0.0	0.0	0.0	19.13	27.2	54.94	0.0	44.36	35.02	55.86	112.13	87.72	56.63	73.68	125.35	84.49	4.71	34.5	80.14	148.79	113.19	27.97	58.83	191.16	169.82	6.87
Tppp	76.7	76.21	68.1	190.45	14.88	46.61	80.77	0.11	0.0	0.0	0.0	0.0	112.55	73.83	153.36	0.0	16.89	105.15	93.71	78.71	128.17	106.73	56.16	43.55	40.25	69.79	15.08	110.18	91.82	49.5	30.5	0.07	155.28	48.82	89.69
Vps35	245.94	77.84	77.54	258.85	83.9	75.47	45.01	6.72	0.0	0.0	16.38	84.78	334.78	181.55	116.71	186.38	518.24	388.67	298.53	387.88	326.84	228.15	133.43	182.1	239.63	134.23	336.18	337.97	211.14	472.95	296.41	531.83	643.61	391.77	251.59
Zfp120	29.02	0.52	21.9	138.86	3.08	0.13	0.0	0.35	0.0	0.0	0.0	0.7	1.07	60.33	63.61	0.0	31.38	39.83	0.21	0.71	52.87	22.83	3.52	2.13	4.69	0.0	32.72	0.49	3.42	0.0	0.0	0.0	169.52	0.94	10.22
