	Gad2_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_18	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Hhla1	0.0	0.0	0.0	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07
Igfbp1	0.0	0.0	0.0	0.07	0.07
Il17c	0.0	0.0	0.0	0.16	0.16
Il18rap	0.0	0.0	0.0	0.04	0.04
Ing2	0.0	0.0	0.0	25.32	21.64
Iqcd	0.0	0.0	0.0	2.09	2.09
Irgq	0.0	0.28	0.0	67.22	66.39
Itga9	0.0	0.0	0.0	3.97	3.97
Kctd19	0.0	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.0	0.04	0.04
Kera	0.0	0.0	0.0	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05
Lect2	0.0	0.0	0.0	0.12	0.12
Ltf	0.0	0.0	0.0	0.04	0.04
Mamstr	0.0	0.0	0.0	1.82	1.82
Map3k9	0.0	0.0	0.0	31.85	33.42
Mctp2	0.0	0.0	0.0	0.73	0.73
Mep1a	0.0	0.0	0.0	0.03	0.03
Mpz	0.0	0.0	0.0	0.1	0.1
Muc4	0.0	0.0	0.0	0.02	0.02
Myog	0.0	0.0	0.0	0.07	0.07
Myom2	0.0	0.0	0.0	0.08	0.08
Naip6	0.0	0.0	0.0	0.38	0.38
Ncr1	0.0	0.0	0.0	0.07	0.07
Nkx6-1	0.0	0.0	0.0	0.17	0.17
Nkx6-3	0.0	0.0	0.0	0.04	0.09
Nlrp12	0.0	0.0	0.0	0.07	0.07
Nox4	0.0	0.0	0.0	0.06	0.06
Nr0b1	0.0	0.0	0.0	0.06	0.06
Olfr1419	0.0	0.0	0.0	0.1	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.11
Ormdl3	0.0	0.0	0.0	55.18	54.34
Otop3	0.0	0.0	0.0	0.04	0.04
Otx2os1	0.0	0.0	0.0	0.14	0.14
Oxgr1	0.0	0.0	0.0	0.24	0.24
Pabpc4l	0.0	0.0	0.0	0.17	0.17
Pate4	0.0	0.0	0.0	0.1	0.1
Prps1l1	0.0	0.0	0.0	0.06	0.06
Ptx4	0.0	0.0	0.0	0.07	0.07
Qrfp	0.0	0.0	0.0	0.14	0.14
Rab44	0.0	0.0	0.0	0.12	0.12
Raet1d	0.0	0.0	0.0	0.16	0.16
Rnase13	0.0	0.0	0.0	0.17	0.17
Rnf133	0.0	0.0	0.0	0.08	0.08
Rnf182	0.0	0.0	0.0	8.68	8.96
Rtp1	0.0	0.0	0.0	0.16	0.16
Slc10a5	0.0	0.0	0.0	0.08	0.08
Slc10a6	0.0	0.0	0.0	0.05	0.05
Slc22a14	0.0	0.0	0.0	0.05	0.05
Slc34a1	0.0	0.0	0.0	0.1	0.1
Slc34a2	0.0	0.0	0.0	0.05	0.05
Slc34a3	0.0	0.0	0.0	0.05	0.05
Slc4a1	0.0	0.0	0.0	0.02	0.02
Slco6c1	0.0	0.0	0.0	0.04	0.04
Slfnl1	0.0	0.0	0.0	0.06	0.06
Smok3a	0.0	0.0	0.0	0.11	0.11
Sox9	0.0	0.0	0.0	14.41	17.45
Speer6-ps1	0.0	0.0	0.0	0.21	0.21
Stx11	0.0	0.0	0.0	0.14	0.14
Tac4	0.0	0.0	0.0	0.08	0.08
Tas1r2	0.0	0.0	0.0	0.03	0.03
Tas2r137	0.0	0.0	0.0	0.1	0.1
Tcstv1	0.0	0.0	0.0	0.12	0.12
Tg	0.0	0.0	0.0	0.08	0.08
Thnsl2	0.0	0.0	0.0	2.99	2.99
Tktl1	0.0	0.0	0.0	0.08	0.08
Trim56	0.0	0.16	0.15	3.55	4.14
Trim75	0.0	0.0	0.0	0.2	0.2
Tssk3	0.0	0.0	0.0	0.2	0.2
Ttc39d	0.0	0.0	0.0	0.05	0.05
Tuba3a	0.0	0.0	0.0	0.2	0.2
Tubb1	0.0	0.0	0.0	0.07	0.07
Txndc2	0.0	0.0	0.0	0.12	0.12
Ush1c	0.0	0.0	0.0	0.1	0.1
Usp26	0.0	0.0	0.0	0.02	0.02
Vax2os2	0.0	0.0	0.0	0.07	0.07
Vgll2	0.0	0.0	0.0	0.07	0.07
Vmn1r210	0.0	0.0	0.0	0.11	0.11
Vmn2r11	0.0	0.0	0.0	0.04	0.04
Vmn2r118	0.0	0.0	0.0	0.04	0.09
Vrk2	0.0	0.0	0.0	2.24	2.24
Wdr38	0.0	0.0	0.0	0.17	0.17
Whrn	0.0	0.0	0.0	25.21	30.17
Zfp185	0.0	0.0	0.0	0.89	0.89
Zfp750	0.0	0.0	0.0	0.03	0.03
Zfp957	0.0	0.0	0.0	0.07	0.07
Zp3r	0.0	0.0	0.0	0.05	0.05
Zscan10	0.0	0.0	0.0	0.04	0.04
mt_AK131586	0.0	0.0	0.0	25813.35	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	18655.33
