	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_35	Gad2_tdTpositive_cell_22	Htr3a_tdTpositive_cell_48	Ntsr1_tdTnegative_cell_32	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_86	Scnn1a.Tg2_tdTnegative_cell_17	Sst_tdTpositive_cell_19	Sst_tdTpositive_cell_83	Sst_tdTpositive_cell_88	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_48	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_51	Vip_tdTpositive_cell_52	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Gm14431	0.21	0.0	5.77	0.0	0.0	1.4	9.59	0.09	0.0	5.83	4.7	0.0	6.73	0.84	0.0	1.14	2.97	0.99	0.9	1.65	1.51	0.0	0.0	0.37	3.49
Gm8898	0.21	0.0	5.77	0.0	0.0	1.4	9.59	0.09	0.0	5.83	4.7	0.0	6.73	0.84	0.0	1.14	2.97	0.99	0.9	1.65	1.51	0.0	0.0	0.37	3.49
Gnas	537.6	561.31	1013.69	23.67	227.95	843.53	725.49	0.34	106.58	608.36	54.97	14.59	913.58	542.81	255.96	277.46	401.5	558.71	615.46	622.11	615.54	830.2	146.64	419.93	211.98
Got1	706.2	977.21	658.04	759.78	0.59	1698.34	1587.67	538.41	0.15	990.63	1101.0	0.0	551.9	27.45	626.16	216.58	355.01	820.54	1008.91	998.05	992.56	443.47	416.46	376.52	321.17
Got2	42.33	0.31	42.55	0.0	73.77	209.52	148.99	0.0	0.13	31.36	0.24	0.0	2.22	0.0	0.0	4.53	0.24	33.07	53.9	48.45	0.0	3.87	0.0	75.09	8.42
Haghl	150.44	139.9	32.05	245.1	0.0	230.01	470.59	0.0	0.0	0.26	108.91	0.0	203.02	126.79	187.96	122.83	168.54	52.15	67.12	90.88	141.71	99.54	0.0	0.0	0.0
Hapln4	0.0	0.0	0.0	0.0	0.0	15.38	65.44	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.08	5.39	5.17	4.83	0.0	0.0	0.0	0.0	0.0
Hspa12a	0.0	0.0	0.0	0.0	0.07	67.88	13.99	0.0	0.0	2.83	0.0	0.06	0.0	0.0	0.0	21.12	0.0	16.82	15.49	13.6	0.0	0.0	0.08	73.19	45.31
Idh3a	219.17	490.43	792.36	218.15	1.67	1266.42	1219.9	0.24	239.13	424.68	515.81	1232.41	491.69	449.94	832.36	343.36	367.65	993.34	865.62	814.67	648.5	585.91	726.94	473.78	632.05
Idh3b	459.86	241.19	645.82	96.98	1.34	889.9	846.85	0.19	144.42	685.96	1695.45	753.68	316.1	289.54	88.82	497.99	231.13	539.87	506.99	519.08	257.43	850.27	359.34	160.43	444.87
Idh3g	444.89	706.19	254.44	0.0	287.88	508.97	727.27	0.22	0.0	1003.66	977.92	0.0	323.28	0.92	0.37	540.81	3.4	329.73	454.49	384.17	0.66	52.84	1.02	104.05	969.23
Immt	55.4	0.0	239.76	0.0	9.17	297.35	288.64	0.0	93.4	77.4	74.84	0.0	4.43	187.19	38.23	0.18	187.87	205.92	211.51	221.46	21.55	21.86	69.98	11.29	75.78
Ina	0.0	0.0	5.36	0.0	0.36	87.96	27.71	0.0	0.0	9.03	25.98	287.19	0.0	22.49	0.0	0.2	64.67	65.81	77.89	77.22	102.18	248.6	5.51	24.64	29.57
Iqgap2	0.0	0.0	0.0	0.0	0.0	8.62	38.46	0.0	0.0	0.33	0.09	0.0	0.0	0.0	0.0	0.0	0.0	14.92	13.09	13.18	4.91	0.0	4.0	0.16	2.67
Iqsec1	9.57	12.97	13.2	22.39	0.41	52.94	57.21	6.82	13.45	57.39	26.2	9.6	88.95	22.22	1.27	13.21	8.48	27.46	24.12	32.51	5.05	19.32	16.01	0.8	0.68
Itfg1	0.0	0.22	73.46	0.0	143.6	75.24	69.72	0.0	10.83	16.7	157.38	0.0	0.05	0.0	0.29	0.0	19.8	48.62	57.62	52.16	2.45	0.08	32.67	47.92	12.98
Kcna2	0.06	0.36	12.68	0.71	42.05	93.67	32.18	0.03	42.88	0.3	22.73	28.5	0.1	0.51	0.45	21.58	45.84	9.1	6.28	9.09	9.9	0.07	47.89	1.85	18.9
Kcnab2	20.22	1.96	0.31	0.0	0.0	50.84	43.18	0.0	0.09	48.12	7.3	0.0	0.0	0.0	0.0	0.0	2.63	31.15	32.49	24.29	37.04	0.39	85.45	0.08	15.16
Kcnab3	0.0	0.0	2.29	0.0	0.32	122.48	30.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	2.71	1.77	5.9	0.0	0.0	0.0	0.0	23.4
Kif5a	159.59	2.83	42.38	0.0	0.06	158.96	232.27	0.0	0.05	121.23	26.64	0.23	16.44	2.58	0.38	8.0	0.17	66.11	47.85	53.83	22.56	0.0	58.08	0.38	0.26
Luzp1	0.0	0.0	0.15	2.34	0.05	27.62	30.2	0.0	0.0	1.85	0.07	0.0	0.0	0.0	0.0	0.06	0.07	6.88	5.82	8.23	27.09	12.7	0.0	1.31	0.31
Lynx1	0.0	0.92	16.66	0.0	0.1	114.95	167.0	0.0	0.08	0.08	0.55	0.0	0.0	0.0	0.0	0.0	0.14	35.16	58.04	47.66	34.09	80.87	0.0	66.79	29.51
Lypla1	58.52	147.91	58.01	0.55	1.73	190.02	197.19	0.42	0.13	36.2	184.1	0.0	18.45	0.05	0.54	10.96	0.0	81.33	81.38	65.58	65.44	0.0	0.52	0.25	8.61
Mapk10	57.38	13.64	229.86	105.38	0.36	209.91	149.36	0.2	0.22	125.84	213.28	0.15	222.4	7.25	64.57	119.41	55.41	229.55	227.3	238.81	178.58	113.36	76.64	52.12	130.64
Mpi	0.0	0.0	87.42	0.0	0.0	263.91	518.42	1.15	0.0	192.74	0.64	0.0	355.93	0.0	0.0	203.65	0.32	82.69	91.58	82.42	0.0	12.38	313.76	0.0	0.0
Mtfp1	50.79	206.33	326.66	282.05	0.59	385.92	485.22	0.0	0.0	191.36	484.14	0.0	4.43	0.0	281.94	0.0	8.19	70.74	87.84	103.89	470.66	2.9	347.47	2.22	303.22
Myl3	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nat8l	11.14	0.0	0.03	81.84	0.12	61.45	62.04	0.0	0.0	19.11	5.33	0.0	0.8	6.44	26.75	69.35	11.71	8.08	11.51	12.78	1.35	0.34	0.0	1.06	25.02
Ndrg4	538.18	570.14	1131.28	571.77	2.19	2725.0	2467.85	416.14	0.21	335.25	1381.66	938.68	649.28	1092.64	738.78	944.4	974.78	553.04	831.45	846.97	245.8	740.87	888.8	855.31	660.87
Ndst3	0.08	0.0	11.03	0.11	0.0	12.08	0.13	0.18	0.05	0.0	39.54	0.0	0.19	0.15	0.0	0.2	0.0	16.83	6.09	10.04	7.59	0.09	0.0	0.11	0.05
Ndufaf4	159.54	114.73	24.6	0.12	0.0	64.62	43.48	0.0	16.65	0.79	0.0	0.0	4.21	27.89	65.52	0.0	100.08	48.36	44.58	48.12	0.0	0.54	0.0	0.0	38.27
Ndufs1	172.09	269.52	81.6	407.99	139.92	449.03	181.47	684.74	442.09	316.68	190.9	0.14	315.73	162.24	309.43	230.53	48.06	289.42	253.46	282.35	30.73	353.84	177.87	224.75	247.34
Ndufs3	22.88	213.98	231.15	0.47	1.34	519.17	420.49	62.09	144.33	158.69	151.16	0.0	430.83	227.91	5.37	0.51	2.45	203.12	240.89	193.41	1.02	152.88	322.49	1.01	133.81
Nme7	125.08	101.57	160.05	182.64	1.97	453.39	325.67	1.23	4.27	171.17	68.92	69.57	54.21	62.74	63.52	114.79	58.29	128.84	149.13	141.89	85.02	211.1	180.78	212.4	251.89
Pacsin2	0.0	0.4	0.0	0.0	0.0	152.43	188.77	0.08	0.0	0.09	0.3	0.0	0.0	142.08	0.0	123.25	0.15	3.09	2.44	3.22	0.0	0.0	0.0	0.0	0.0
Pdhb	844.88	324.79	789.34	752.55	0.28	1195.02	651.27	0.39	205.42	341.88	639.75	557.83	157.0	0.82	661.98	395.11	641.19	393.47	453.14	426.07	216.35	714.75	309.57	528.13	187.12
Pgk1	632.33	950.94	1876.23	683.98	321.76	1412.6	1190.11	1.76	384.44	945.35	365.89	386.14	952.78	759.96	207.19	670.75	1558.91	1159.6	1203.45	1212.78	1381.36	661.27	943.95	451.3	1387.29
Pnpo	0.0	0.0	93.83	0.0	0.2	558.84	77.77	0.14	0.31	0.95	428.24	0.0	266.74	0.2	233.94	0.23	0.27	94.05	113.07	108.45	0.0	83.54	28.54	157.08	169.8
Ppp2ca	169.0	298.46	63.5	0.0	0.42	242.54	324.45	0.15	0.66	0.34	29.98	0.2	199.74	0.21	0.0	0.0	72.84	74.2	67.47	64.27	83.12	4.58	69.98	162.97	40.81
Psme3	0.0	0.0	0.07	0.0	0.0	38.52	56.0	0.0	0.12	13.76	0.0	0.0	0.0	80.16	0.0	0.18	0.0	11.4	15.91	13.4	0.0	27.45	0.0	1.51	0.0
Rmnd5a	0.0	0.0	0.0	2.71	0.0	58.78	10.19	0.05	0.0	39.62	0.09	0.06	0.0	0.0	0.0	15.64	1.74	17.31	13.96	13.0	123.71	92.19	47.83	14.57	68.65
Scn8a	15.67	5.38	5.49	40.22	0.11	97.47	63.65	0.0	67.83	0.57	0.1	0.0	15.83	36.16	34.61	3.1	0.54	30.62	35.53	33.92	13.84	11.38	28.83	47.96	16.25
Sdr39u1	143.75	148.04	133.64	0.0	0.0	317.93	200.21	0.0	0.26	228.71	193.43	0.0	270.37	0.0	146.74	0.39	165.69	151.46	173.42	185.47	361.16	42.86	117.26	424.24	170.92
Serp2	0.0	0.0	30.0	0.0	0.0	26.26	62.56	0.0	0.0	112.87	2.29	0.0	0.0	0.55	0.0	0.0	4.59	15.71	23.11	18.26	0.0	10.58	0.0	0.0	0.0
Slc25a11	12.45	0.0	72.85	0.84	0.0	265.0	173.53	0.0	141.21	141.01	2.42	0.0	7.24	0.0	1.05	0.58	197.71	124.09	150.0	121.64	19.14	0.0	158.04	80.09	243.29
Ssx2ip	0.0	0.0	0.0	0.0	0.0	43.07	1.81	0.0	0.09	94.81	0.48	0.0	0.3	0.0	12.49	125.36	0.0	28.24	25.81	18.41	13.84	0.0	0.0	1.24	32.56
St8sia1	0.07	0.24	1.19	15.68	0.07	8.73	1.94	0.31	0.22	0.03	0.36	0.0	32.13	13.91	0.22	0.39	0.43	1.34	2.14	1.72	0.03	0.16	0.15	1.03	0.16
Stmn3	563.92	728.21	1221.75	722.34	2.19	1695.54	1575.36	0.78	1.72	786.11	1679.65	1105.98	348.18	5.77	974.53	1068.18	470.27	657.5	755.96	896.57	921.6	478.96	499.05	289.96	95.73
Sv2a	69.4	280.95	120.25	2.88	12.91	169.01	176.8	0.0	55.5	117.71	368.48	1.61	72.33	118.68	0.12	90.47	0.42	56.97	62.06	60.51	0.22	35.09	0.0	66.93	76.79
Tagap1	375.78	0.0	357.18	277.52	0.17	206.74	380.84	0.0	0.27	85.84	180.34	0.0	151.38	0.0	0.21	1.12	0.24	498.58	369.19	369.9	138.56	5.17	0.37	8.54	9.3
Tmem25	157.9	0.0	167.62	97.05	0.0	122.4	355.04	103.38	0.0	2.47	0.7	0.0	0.07	97.98	0.21	0.39	0.0	52.12	53.42	56.84	21.83	0.12	0.0	2.85	0.0
Tmem30a	87.39	101.92	55.17	0.0	25.05	164.02	74.53	131.42	8.8	0.09	224.64	0.0	40.07	0.0	0.26	129.2	3.0	89.12	73.97	74.16	106.96	4.92	214.33	85.92	10.25
Tmem65	253.91	0.0	41.13	0.0	0.0	35.7	130.41	0.0	0.17	1.4	66.89	0.0	0.05	247.97	0.4	0.0	29.73	7.65	7.72	10.72	32.85	0.08	0.12	37.67	0.06
Tpi1	1817.15	667.56	987.37	1356.54	0.76	1367.14	1122.08	0.36	17.58	1278.02	1324.28	849.3	158.26	646.43	1014.38	1410.41	888.33	1088.31	1418.34	1355.25	1023.14	1174.31	1008.22	1388.02	1038.44
Ttll7	37.39	0.0	3.37	11.27	12.57	67.85	71.93	0.0	52.06	0.05	2.51	0.0	0.15	0.0	13.11	0.15	8.27	19.41	13.84	19.26	7.4	43.72	0.57	7.07	36.26
Ubb	32253.84	31101.69	31186.09	33033.08	29549.68	13109.64	18669.14	25061.72	27320.03	30412.88	32576.6	34072.44	35368.68	33803.89	38561.98	34059.86	33756.05	28133.08	27147.21	27451.26	31907.29	31090.16	35026.92	33691.16	30646.34
Uqcrc1	47.43	663.83	788.47	0.0	0.98	1156.25	1090.67	0.35	194.82	0.79	77.66	540.82	314.46	375.4	292.71	2.82	849.88	483.83	675.25	623.15	78.25	0.52	5.66	0.37	0.0
Vdac1	802.14	554.1	878.91	49.13	0.92	617.44	608.71	0.0	159.65	709.26	308.55	34.55	232.66	337.33	130.41	929.59	623.43	450.84	580.76	526.51	797.38	478.86	47.43	336.07	179.33
