	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_43	Cux2_tdTnegative_cell_7	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_27	Ntsr1_tdTnegative_cell_30	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_29	Pvalb_tdTpositive_cell_30	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_75	Pvalb_tdTpositive_cell_78	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_12	Tac2_tdTpositive_cell_8
Lpgat1	0.0	56.49	0.0	0.04	0.0	78.93	69.74	0.0	0.0	0.25	43.0	69.75	54.43	67.09	86.15	97.93	30.84	35.53	71.93	89.12	87.39	70.56	96.43	9.88	153.02	55.66	83.4	66.68	47.72	63.35	5.82	75.5	42.34	87.84	97.92	43.5	77.25	64.29	26.85	33.64	96.05	145.26	102.45	65.64	107.75	59.82	90.19	131.37	120.03	0.27	0.11	0.1	60.63
Lynx1	0.0	120.74	0.0	0.0	0.0	19.69	31.97	0.0	0.0	2.1	70.47	35.04	62.83	75.41	68.36	124.59	37.39	38.25	44.28	145.97	44.34	47.15	8.21	55.88	78.67	14.93	26.67	7.87	49.4	60.67	12.71	52.23	50.62	127.61	63.06	75.27	91.7	72.52	12.11	50.35	69.5	26.03	131.26	111.63	53.19	0.93	71.33	66.57	70.91	0.18	0.0	0.0	5.47
Myh10	0.0	0.14	0.07	0.0	0.0	26.54	37.09	0.0	0.0	0.38	13.94	33.03	9.57	14.58	45.97	65.21	41.37	27.71	31.89	20.25	33.7	34.09	25.6	50.28	34.42	37.05	26.89	27.72	8.64	9.26	8.17	7.31	39.97	41.49	24.09	18.48	30.23	23.55	35.91	22.3	61.85	33.08	17.83	37.37	18.25	119.63	26.02	61.0	10.43	0.0	0.05	0.0	14.99
Ndufaf4	5.45	18.38	0.0	0.0	0.0	92.46	71.65	0.0	0.0	7.53	66.8	68.93	58.46	88.7	86.93	222.77	63.4	68.08	17.96	110.69	53.34	106.0	116.6	11.13	137.99	49.64	71.2	35.35	62.15	24.19	39.56	72.03	40.78	77.18	78.52	119.48	58.67	89.01	55.95	59.11	164.07	86.85	98.56	148.6	78.32	56.92	121.46	70.5	152.25	7.67	0.0	0.0	70.45
Nefh	0.0	0.41	0.0	0.0	0.0	25.17	33.18	0.0	0.0	0.0	65.6	8.49	90.01	65.07	48.3	68.88	82.42	68.27	89.63	70.19	75.69	67.46	22.14	92.34	90.31	0.39	32.52	16.51	36.46	34.28	1.2	44.52	9.76	145.17	233.76	107.74	99.21	88.26	28.61	9.81	107.74	61.11	104.22	133.09	114.82	44.79	51.63	103.28	116.26	0.0	0.0	0.0	16.25
Nefm	0.0	0.17	0.17	0.0	0.0	15.34	21.98	0.0	0.0	0.18	7.57	3.53	8.26	45.34	10.48	3.35	8.07	0.0	46.99	28.2	66.45	51.89	17.58	20.84	80.96	21.19	38.78	0.92	1.88	1.3	10.77	23.95	7.34	48.18	111.19	43.83	0.12	45.67	17.47	17.32	34.6	42.94	20.32	5.3	29.85	9.04	49.83	34.5	13.45	0.05	0.0	0.0	0.6
Nme7	2.1	221.87	3.88	72.18	67.13	375.64	335.17	5.12	70.65	92.19	425.8	304.58	483.63	434.55	542.4	439.43	494.46	435.3	387.87	373.04	363.27	438.6	287.46	356.13	491.66	260.66	361.79	147.94	253.13	255.33	250.79	353.0	298.04	296.5	330.2	254.43	383.5	408.23	323.75	368.55	356.48	378.42	419.34	333.46	404.84	468.5	379.11	340.3	325.86	13.03	25.2	0.26	245.23
Pfdn2	6.57	315.32	0.0	0.0	13.37	251.02	262.09	3.73	0.0	25.53	89.96	249.6	33.15	165.65	238.86	158.08	104.89	73.52	194.88	136.64	57.13	93.56	177.65	184.45	105.78	236.95	74.73	61.41	125.39	152.43	112.78	151.16	151.16	191.08	98.15	227.25	165.62	175.18	165.33	114.61	181.82	146.69	177.6	125.38	89.32	68.2	115.31	170.61	153.33	1.54	0.0	0.0	60.63
Pik3c2b	0.05	0.53	0.23	0.36	0.0	12.76	11.71	7.21	1.12	0.83	10.56	0.27	14.06	8.26	13.08	28.99	16.5	16.54	25.25	15.81	26.0	21.35	22.95	19.47	12.74	13.9	18.13	7.43	8.14	8.29	10.94	14.14	4.93	16.1	9.17	24.88	5.27	34.31	9.62	4.18	21.57	27.51	24.93	15.43	30.43	13.21	15.53	8.76	16.88	0.12	0.59	0.3	3.03
Ppp2r5e	0.0	0.11	0.0	0.0	0.0	72.93	44.32	0.0	0.0	0.0	11.84	12.56	29.63	17.93	64.59	48.33	45.56	7.36	2.93	33.86	1.46	57.77	20.97	21.75	16.72	44.81	1.79	0.0	26.93	1.08	1.75	22.76	0.0	25.63	44.58	45.52	13.58	31.31	4.4	14.03	20.3	58.0	47.49	28.2	29.79	1.52	41.65	45.55	1.48	0.0	0.0	0.0	36.41
Rars	0.0	0.13	0.0	0.0	0.0	202.36	94.26	0.0	0.0	0.56	74.12	61.81	58.89	90.72	113.82	325.78	86.16	261.87	113.52	63.02	121.57	173.61	251.21	113.14	38.32	1.82	100.03	0.0	95.08	97.08	88.67	113.9	145.12	105.67	45.52	147.14	192.18	208.69	76.27	123.32	127.94	131.89	96.92	211.39	42.24	0.79	116.95	39.13	155.88	0.25	0.0	0.0	40.96
Rc3h2	0.0	11.6	0.0	0.0	0.04	20.05	17.43	0.0	0.1	0.13	27.34	0.38	14.83	8.63	6.6	8.16	9.02	10.6	20.66	20.86	5.63	24.6	11.89	54.39	46.89	13.56	1.76	6.1	14.1	0.12	1.19	32.02	3.34	4.16	6.11	24.96	3.83	9.23	10.1	0.57	24.32	19.09	39.63	6.91	17.48	3.06	22.81	17.22	7.18	0.12	0.05	0.0	2.54
Slc35c2	0.0	0.0	0.0	0.0	0.0	32.03	52.32	0.0	0.0	0.0	0.0	17.86	0.0	49.86	32.52	40.64	29.52	12.46	0.0	40.67	28.22	33.42	2.4	3.84	29.22	99.46	88.81	0.0	0.0	63.03	81.83	36.59	63.38	18.76	59.09	100.16	0.76	0.0	1.63	0.0	10.99	50.32	51.61	0.0	128.29	22.61	41.51	88.37	92.84	0.1	0.21	0.0	0.0
Snord116	0.0	0.0	0.0	0.0	0.0	5.24	7.69	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	5.15	0.0	7.55	0.0	10.13	0.0	6.06	11.66	5.44	0.0	21.33	8.33	3.39	3.73	4.84	5.49	5.67	4.54	13.15	7.64	3.68	3.4	0.0	3.94	3.61	16.41	9.68	4.39	0.0	0.0	9.15	13.5	12.73	1.69	0.0	0.0	0.0	0.0
Snord116l1	0.0	0.0	0.0	0.0	0.0	5.24	7.69	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	5.15	0.0	7.55	0.0	10.13	0.0	6.06	11.66	5.44	0.0	21.33	8.33	3.39	3.73	4.84	5.49	5.67	4.54	13.15	7.64	3.68	3.4	0.0	3.94	3.61	16.41	9.68	4.39	0.0	0.0	9.15	13.5	12.73	1.69	0.0	0.0	0.0	0.0
Snord116l2	0.0	0.0	0.0	0.0	0.0	5.24	7.69	0.0	0.0	0.0	0.0	0.0	8.69	9.26	13.81	5.15	0.0	7.55	0.0	10.13	0.0	6.06	11.66	5.44	0.0	21.33	8.33	3.39	3.73	4.84	5.49	5.67	4.54	13.15	7.64	3.68	3.4	0.0	3.94	3.61	16.41	9.68	4.39	0.0	0.0	9.15	13.5	12.73	1.69	0.0	0.0	0.0	0.0
Syn1	0.0	0.17	0.0	0.0	0.0	36.03	54.88	0.0	0.0	0.19	20.69	30.76	19.81	20.9	47.08	0.36	0.68	5.48	8.19	31.81	16.23	20.71	0.0	18.73	8.36	23.98	32.12	3.59	16.32	7.27	0.0	41.23	24.26	21.11	59.67	20.15	10.82	32.73	17.35	17.76	27.08	2.2	43.7	21.99	15.57	3.68	30.77	7.53	3.73	0.0	0.0	0.0	0.51
Tnfrsf12a	0.0	163.35	0.0	0.0	0.0	129.35	190.81	0.0	0.0	0.0	182.16	0.3	253.53	236.24	641.17	141.52	153.56	538.86	244.37	32.26	163.14	539.87	616.87	414.14	946.55	844.51	310.37	77.61	198.73	66.4	75.32	0.0	0.0	407.6	297.97	287.06	54.94	347.44	146.88	118.84	150.45	281.76	461.64	215.76	208.1	64.02	371.26	108.03	67.72	0.0	0.0	0.0	0.0
Zfp385b	0.0	0.1	0.0	0.0	0.0	65.02	69.16	0.0	0.0	0.0	46.41	57.98	42.0	73.19	166.81	43.33	55.19	85.34	53.19	48.29	48.64	93.64	9.58	39.11	85.96	84.82	113.55	39.73	32.95	52.31	50.28	36.93	67.5	52.26	28.25	45.07	40.62	73.5	43.0	51.49	50.85	44.97	90.96	75.53	172.56	28.45	126.27	47.33	5.96	0.2	0.0	0.0	67.54
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	0.2	17.46	0.04	0.0	0.08	0.17	0.18	0.02	0.15	7.2	0.21	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	0.19	0.11	0.04	0.18	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	0.2	17.46	0.04	0.0	0.08	0.17	0.18	0.02	0.15	7.2	0.21	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	0.19	0.11	0.04	0.18	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK157367	12.66	287.05	16.67	16.12	0.0	583.8	755.41	16.66	13.48	10.64	705.51	284.61	33.06	377.26	741.96	592.75	21.11	40.13	799.46	26.95	21.21	644.77	51.03	31.28	46.21	28.18	477.12	11.77	28.05	14.7	28.13	326.66	33.51	40.58	24.11	411.33	403.52	935.12	26.72	16.2	908.11	1053.7	1342.34	38.99	372.67	347.43	17.26	347.32	27.52	190.11	40.23	0.0	35.69
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	0.2	17.46	0.04	0.0	0.08	0.17	0.18	0.02	0.15	7.2	0.21	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	0.19	0.11	0.04	0.18	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.01	0.05	0.04	0.1	0.2	0.2	17.46	0.04	0.0	0.08	0.17	0.18	0.02	0.15	7.2	0.21	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.15	7.33	0.0	0.19	0.11	0.04	0.18	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
