	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_23	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_51	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_39	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_40	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_7	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_40	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_97	Sst_tdTpositive_cell_24
Pde4d	68.78	2.08	64.23	35.03	41.65	0.0	11.5	46.36	57.08	32.12	24.64	79.53	90.1	60.43	18.1	96.27	8.21	52.61	11.23	0.55	63.63	68.99	8.49	2.65	110.48	0.52	86.09	17.92	69.05	73.4	10.8	0.0
Peg13	49.81	1.76	193.6	77.32	51.65	171.5	0.0	103.92	80.36	260.76	34.17	41.47	212.15	232.24	74.5	95.25	29.69	32.37	76.79	96.16	30.86	19.41	193.85	109.13	153.17	6.5	65.39	207.53	208.95	264.8	57.64	44.18
Pi15	24.33	36.04	24.75	23.69	19.02	39.5	42.04	25.16	26.89	40.85	19.09	11.69	39.32	20.7	7.71	7.91	10.71	16.19	10.7	31.77	25.57	16.51	35.22	26.87	36.43	25.09	33.59	53.15	52.3	40.09	13.86	12.06
Prmt8	0.0	0.27	172.63	6.7	0.18	62.23	47.1	27.93	0.16	3.19	0.16	0.0	27.11	0.07	0.0	208.48	8.74	0.0	0.13	0.0	1.04	74.73	2.28	48.05	468.05	0.09	140.02	478.21	0.0	32.07	75.21	0.0
Purb	102.71	118.53	50.63	131.91	95.95	125.98	220.32	69.04	24.15	24.79	121.75	63.22	56.55	48.33	131.48	10.86	32.16	56.63	26.18	37.34	58.34	51.75	119.85	120.0	254.22	19.96	65.05	217.21	147.37	68.32	102.46	52.1
Rab6b	0.0	163.29	104.34	270.95	84.49	230.86	157.82	149.56	48.07	191.07	354.07	177.35	470.26	226.71	82.14	218.46	193.23	357.8	183.54	241.42	139.04	6.7	299.95	94.25	472.42	127.22	85.78	685.81	348.07	282.13	150.87	35.16
Snap25	26182.83	20388.22	19986.44	24880.43	23752.44	21540.55	25194.29	22198.58	24000.2	22188.29	24648.02	22891.51	15042.34	21459.53	21261.82	23051.34	17533.7	22470.57	16874.9	22845.02	22039.64	21226.95	13432.23	25542.47	12234.01	21954.45	22725.47	16427.6	21394.04	19363.42	20516.03	19121.69
Snap91	0.0	129.98	93.77	115.25	13.16	59.79	0.0	47.85	18.6	0.17	153.88	32.77	133.45	9.03	10.11	3.84	0.15	33.54	115.09	0.52	70.67	80.11	135.51	88.79	175.01	0.65	166.17	149.49	77.55	0.0	5.09	8.09
Spnb1	0.0	0.0	0.04	1.77	0.02	1.77	0.0	0.0	41.19	0.0	25.2	0.0	1.19	10.51	0.0	0.0	0.0	0.0	0.0	0.0	11.11	0.0	20.03	0.0	1.32	0.0	0.08	33.18	0.0	45.28	0.08	2.56
Spock1	125.19	51.03	15.03	131.35	131.64	68.25	42.81	150.3	186.24	143.25	71.75	38.75	178.04	181.36	124.43	64.97	25.46	137.95	47.44	63.11	106.2	209.69	276.87	169.78	195.68	142.65	41.11	142.84	41.88	115.23	122.99	110.81
Sprr2a1	0.0	0.0	0.04	0.04	0.14	0.28	0.15	0.15	0.21	0.0	0.06	0.0	0.23	0.16	0.0	0.11	0.0	0.29	0.04	0.14	0.41	0.03	0.78	0.0	0.9	0.28	1.15	0.29	0.0	1.21	0.02	0.08
Sprr2a2	0.0	0.0	0.04	0.04	0.14	0.28	0.15	0.15	0.21	0.0	0.06	0.0	0.23	0.16	0.0	0.11	0.0	0.29	0.04	0.14	0.41	0.03	0.78	0.0	0.9	0.28	1.15	0.29	0.0	1.21	0.02	0.08
Stxbp1	396.76	196.27	330.62	444.22	525.33	260.73	750.62	352.69	117.54	225.36	214.07	138.72	611.59	396.94	86.5	241.12	149.85	291.51	182.62	563.0	354.54	304.79	616.79	164.82	436.12	344.25	311.11	619.9	100.73	451.98	306.48	185.9
Syn2	0.23	168.82	66.6	105.75	46.99	56.88	15.67	199.35	94.22	62.01	0.1	125.04	348.65	34.34	102.03	122.28	18.68	8.39	247.52	57.02	53.33	43.09	358.72	77.94	339.65	24.64	71.61	196.55	0.0	89.62	2.66	135.62
Syngr1	43.38	66.37	106.04	43.17	117.04	1.72	37.74	121.42	141.4	43.54	15.55	28.57	49.26	96.94	39.89	44.59	67.04	157.73	55.15	97.4	29.45	29.46	159.34	8.53	239.75	4.1	2.6	87.33	12.12	41.85	17.93	83.78
Syp	1005.44	53.7	139.7	136.87	407.93	390.24	970.85	158.5	319.73	171.28	280.09	163.51	700.42	404.69	135.48	204.74	365.72	361.08	136.05	318.73	298.52	187.67	1012.6	198.21	470.71	289.31	170.5	901.02	739.11	409.06	147.6	286.75
Syt1	895.01	365.85	368.67	279.11	589.44	705.24	474.48	739.79	562.75	249.44	683.11	342.9	917.91	744.27	358.16	435.35	466.5	621.87	354.83	749.68	444.74	404.25	857.23	494.93	1326.74	562.99	492.64	835.65	605.06	693.68	659.91	419.11
Tm9sf3	0.0	65.53	0.03	6.39	0.07	32.05	0.0	19.21	56.86	0.0	0.06	0.0	200.51	9.87	0.05	46.24	0.0	8.68	11.27	0.18	43.22	16.97	81.76	0.0	57.94	62.69	28.54	52.52	0.0	81.07	0.2	69.39
Upf2	90.9	0.0	3.68	0.0	4.82	3.95	0.0	0.11	76.91	0.0	29.89	0.0	69.94	11.62	2.45	0.3	27.39	2.12	14.74	14.96	2.02	0.0	21.29	49.14	135.3	3.78	4.55	2.67	20.12	0.0	2.2	0.65
Zfp71-rs1	62.71	93.85	88.99	255.87	49.69	83.32	100.74	67.35	115.21	76.55	78.91	27.9	106.12	83.97	27.5	36.64	48.02	66.01	43.83	108.08	77.64	55.62	116.19	103.5	137.32	73.54	73.48	160.43	111.81	167.55	20.09	62.39
