	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rorb_tdTpositive_cell_19	Scnn1a.Tg2_tdTpositive_cell_20	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
Commd6	1257.96	0.8	0.0	0.0	0.0	0.08	0.0	0.0	0.0	3.15	62.86	34.05	53.11	181.95	283.71	124.43	198.27	129.42	208.43	0.0	3.33	0.0	0.0	204.09	0.9	0.0	49.15	52.26
Ctcf	290.62	0.09	0.14	25.74	0.0	0.12	64.37	0.0	0.0	53.56	43.73	0.24	0.0	10.64	13.98	0.0	0.0	42.16	20.85	0.0	0.0	0.0	0.0	3.81	0.0	0.0	50.21	48.44
D17H6S56E-3	5.81	0.0	0.2	0.07	0.32	0.01	0.0	0.0	0.0	0.3	0.94	0.0	0.24	0.09	2.13	1.15	2.25	0.39	0.23	0.07	1.68	4.3	0.0	0.15	1.06	0.32	0.78	0.72
Ddx11	6.62	0.0	0.13	0.19	0.0	0.0	0.46	0.0	0.0	1.3	0.26	0.47	0.31	0.75	0.78	1.45	0.69	0.68	0.63	0.11	1.58	4.09	0.0	1.17	1.74	4.74	1.53	1.0
Dnajc6	97.01	0.0	0.0	92.95	0.0	0.0	0.0	0.0	0.0	4.42	75.29	19.39	27.99	71.03	21.6	102.94	70.74	227.07	33.01	0.06	0.0	0.15	0.0	77.0	36.01	0.0	167.5	165.18
Eif2s1	818.57	0.27	0.17	0.36	1.13	0.36	0.12	0.43	0.0	131.97	116.4	49.89	106.09	214.05	368.31	56.54	160.57	94.09	324.46	1.03	0.46	2.34	0.0	78.88	0.94	0.0	29.43	27.89
Emp3	2429.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05	3.53
Etv3	43.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.18	0.0	0.0	0.0	10.63	0.0	0.0	19.37	0.06	0.0	0.0	0.0	1.28	0.1	0.0	19.55	18.4
Fbxo46	200.18	0.0	0.0	25.23	0.0	0.0	9.85	0.0	0.0	0.44	1.82	10.31	21.03	14.46	0.0	0.0	13.15	26.02	26.12	0.0	0.25	0.0	0.0	17.85	1.26	0.0	6.99	8.5
Fh1	1469.83	0.0	0.0	182.7	0.0	0.0	0.0	0.0	0.0	246.53	43.22	179.87	101.72	199.87	198.39	1.01	0.0	148.06	137.65	0.18	0.45	0.48	8.86	78.66	8.05	0.0	102.58	108.07
Gm10825	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.06	0.0	0.25	0.12
Gm561	922.56	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	164.07	123.53	35.45	158.73	276.71	135.11	208.84	149.06	360.45	158.75	50.89	5.31	0.0	0.0	185.36	70.19	2.54	36.44	46.5
Gnpnat1	892.19	0.0	0.0	132.99	0.0	0.0	0.0	0.0	0.0	0.0	51.48	0.0	0.0	22.47	24.0	8.03	0.0	35.73	0.0	0.0	0.0	0.0	0.0	36.46	296.73	0.0	13.51	13.03
Hist1h4h	8.73	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	0.0	0.0	1.01	1.88	1.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	2.16	3.55
Hmgb1-rs17	31.25	12.93	0.75	1.25	3.23	1.35	0.28	2.59	0.0	0.94	1.48	5.0	2.66	8.87	3.06	6.32	5.77	4.35	3.45	2.52	4.5	0.61	3.16	2.32	5.58	0.8	1.32	1.07
Hrc	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.14	0.05	0.0	0.67	0.0	0.28	0.1	0.0	0.67	0.38
Il6ra	62.64	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	2.77	2.94
Invs	10.77	0.0	0.0	0.63	2.68	0.0	0.0	1.34	0.0	1.82	3.14	0.5	0.3	18.48	0.15	4.02	1.71	6.42	0.18	0.0	1.83	1.02	0.28	1.08	0.22	0.17	7.81	7.46
Klhdc2	195.7	0.0	0.54	131.73	0.0	0.24	0.0	0.0	0.0	0.67	47.03	0.42	119.32	65.49	23.98	11.73	85.59	143.95	24.82	0.0	1.94	0.0	0.0	18.41	146.55	0.0	165.5	178.24
Klhl13	1278.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.09	0.0	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	32.86	35.9
Lgals1	2520.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.3	21.03
Lnp	202.21	0.0	0.0	7.64	0.08	0.0	0.0	0.0	0.0	19.0	111.53	38.29	32.58	227.71	60.54	96.43	61.38	57.27	63.41	0.4	0.17	0.17	9.38	53.19	12.19	0.0	31.71	27.56
Med13l	35.2	0.0	0.0	47.51	0.0	0.0	0.0	0.0	0.0	12.36	59.12	5.99	29.54	19.0	24.22	22.78	4.58	27.85	29.09	0.06	0.23	0.0	2.12	9.06	12.86	0.0	34.62	32.78
Mir690	26828.41	14983.6	16968.11	25738.25	18365.55	8538.99	19376.41	15562.4	5227.12	30464.78	30528.33	39867.27	42000.18	28765.87	28695.45	37370.15	37614.4	24336.09	32522.04	22371.82	44948.68	42282.55	27759.51	48007.3	23496.94	26521.64	1.35	1.29
Mmd	681.05	0.0	0.0	203.38	0.0	0.0	0.0	0.0	0.0	27.35	3.17	10.26	40.54	115.32	44.56	70.45	10.75	349.49	100.83	0.11	0.0	0.0	0.0	118.42	14.42	0.0	250.17	246.63
Mtap7d1	24.36	5.49	0.0	5.51	0.0	0.0	0.0	0.0	0.0	2.04	24.11	1.32	25.19	36.66	23.96	4.08	29.37	5.59	4.58	0.09	0.23	0.49	0.0	15.19	163.84	0.0	184.55	212.08
Npas2	35.61	0.0	0.0	12.04	0.0	0.0	0.0	0.0	0.0	0.31	2.65	14.19	11.44	19.54	44.52	11.95	22.84	10.29	4.9	0.0	0.0	0.0	0.0	5.01	15.86	0.0	24.96	26.62
Oip5	4.84	0.0	1.17	0.38	3.48	0.65	0.0	1.04	0.0	0.0	2.38	2.2	0.45	4.24	1.13	2.52	0.82	0.37	0.64	1.5	3.25	1.68	0.0	0.64	2.89	0.8	1.4	1.74
Pcf11	340.06	0.0	0.0	3.29	0.0	0.0	0.0	0.0	0.0	33.33	8.63	9.37	4.96	32.18	19.19	37.98	4.99	0.19	13.94	84.81	0.12	112.19	0.0	11.97	54.11	0.0	16.32	16.59
Pigb	94.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	113.48	0.0	0.0	0.38	2.29	0.27	32.81	0.0	0.0	0.0	0.0	0.0	0.0	10.57	8.7
Psmb7	1422.39	0.0	0.0	258.79	0.0	0.0	0.0	0.0	0.0	271.21	420.86	303.91	284.35	622.98	639.99	166.22	302.65	236.52	640.24	547.51	14.87	4.14	0.0	202.38	133.86	0.0	228.72	232.57
Rarres2	1037.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.29	12.9
Rbm42	209.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.4	0.0	0.0	10.37	53.06	0.0	20.67	0.48	0.0	22.82	6.83	0.0	0.0	0.0	0.0	34.2	14.88	0.0	60.46	68.37
Rnf139	395.2	0.0	0.0	31.84	0.17	2.7	1.13	0.04	54.83	0.59	11.14	12.89	0.92	5.27	45.65	28.07	60.4	1.32	3.26	0.41	1.36	225.76	8.21	0.46	71.44	59.04	20.14	18.71
Sec61b	633.94	0.0	0.0	0.0	0.0	294.49	0.0	0.0	0.0	207.56	53.88	300.12	194.74	0.78	129.81	76.91	0.0	1.1	147.69	0.58	0.0	0.0	0.0	6.87	0.0	0.0	42.52	43.26
Serpinb6a	1789.3	0.0	0.0	149.13	0.0	0.0	0.0	51.13	0.0	293.36	0.0	0.67	114.3	104.81	22.0	125.87	51.58	9.49	84.3	0.0	716.2	0.55	0.0	0.0	0.0	0.0	38.9	41.07
Serpinf1	2002.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.69	14.03
Slc39a14	228.67	0.0	0.22	3.4	0.0	0.15	0.14	0.1	0.0	0.52	0.0	0.13	0.14	1.25	1.72	27.09	0.84	1.12	9.0	0.0	1.4	0.21	5.92	0.08	0.77	0.99	18.79	17.75
Smad1	24.04	0.0	0.0	0.0	0.0	0.0	0.0	4.81	0.0	0.0	3.54	9.56	1.34	16.38	21.63	0.0	0.46	0.0	0.55	6.88	0.0	0.0	9.81	0.65	0.0	4.11	19.57	20.17
Snx6	1241.61	0.0	156.07	20.76	549.69	0.0	0.0	0.0	0.0	0.7	104.48	68.27	44.53	154.56	0.23	0.0	84.24	39.98	215.07	0.0	189.05	0.83	0.0	158.24	0.0	0.56	47.13	44.15
Srsf1	626.05	0.0	0.0	2.42	5.08	0.0	0.0	0.0	0.0	57.5	31.5	17.67	22.09	0.08	9.84	3.65	17.57	27.58	0.79	0.12	1.71	0.15	0.0	11.3	11.83	0.0	87.9	85.06
Tatdn3	445.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47	2.16	63.02	0.0	0.0	0.74	0.0	0.0	36.91	0.0	0.0	264.89	0.0	89.52	0.0	0.0	24.96	24.09
Tm9sf4	165.63	0.0	0.27	10.36	0.0	0.0	0.0	0.0	0.0	40.65	74.45	6.96	15.12	0.44	81.54	1.24	6.93	18.99	17.52	10.79	0.19	0.39	3.64	49.0	8.23	0.0	64.29	63.69
Tmbim1	315.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.95	1.01	0.0	0.0	0.22	0.0	26.9	28.9
Tmem2	54.99	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	14.33	0.3	7.5	8.53	6.79	2.41	16.3	1.16	1.38	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	7.03	7.19
Tor1aip1	137.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.35	4.52	6.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	4.6	0.0	22.99	21.69
Trnt1	973.16	0.0	0.23	2.84	0.0	0.0	0.0	0.0	0.0	1.43	143.05	94.83	81.76	4.1	30.64	38.59	95.37	3.51	97.1	0.0	38.18	0.41	0.0	129.84	178.98	0.93	32.79	32.51
Txnl4a	1144.31	0.98	24.46	128.89	16.36	36.03	2.36	4.91	0.0	70.98	195.5	132.71	332.94	189.76	113.44	27.53	327.77	57.21	88.25	10.84	36.81	10.77	10.58	136.97	19.81	8.22	124.54	137.43
Unc93b1	68.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	1.48	0.39	0.0	0.0	0.0	0.0	12.75	14.15
Zfp295	221.41	0.0	0.0	102.81	0.0	0.0	3.17	0.0	0.0	67.06	24.47	7.66	43.77	58.62	37.54	77.6	27.79	46.02	68.15	2.06	0.0	21.92	0.0	55.21	3.1	0.0	9.87	9.76
Zfp37	977.88	0.35	20.44	4.05	0.97	0.0	0.39	1.45	0.0	115.31	46.78	31.47	54.87	88.16	9.79	36.89	7.69	8.37	21.83	1.91	142.77	23.13	8.28	65.28	121.99	6.94	10.32	9.62
Zyg11b	41.73	0.95	6.35	10.27	0.76	1.91	4.27	14.9	0.0	4.0	30.53	18.83	35.76	27.25	10.26	30.46	15.43	15.46	16.64	4.73	41.15	5.27	2.97	7.35	18.0	12.64	75.5	71.7
