	Gad2_tdTpositive_cell_31	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_81	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Ntsr1_tdTpos_100cell_2	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Cntn4	443.68	0.19	0.0	0.0	0.0	0.24	0.08	0.0	0.0	0.0	382.03	0.0	0.0	0.0	0.0	33.67	24.57	21.82	22.59
D7Ertd443e	152.76	0.0	0.0	0.0	0.0	208.08	0.0	0.36	0.0	0.0	217.56	0.0	0.0	0.0	0.0	0.0	3.02	2.46	3.37
Ddb1	149.87	186.07	0.29	0.0	1.66	298.8	0.17	0.1	42.97	409.72	505.72	311.44	0.0	0.0	0.0	64.58	150.4	153.45	150.5
Fam190a	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	6.08	5.45	5.1	6.09
Fndc7	0.0	0.19	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.29	0.21	0.29
Gclm	48.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.85	0.0	0.0	0.0	0.0	1.67	39.26	42.49	40.25
Gm5108	10.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.68	0.0	0.0	0.0	0.0	2.78	5.31	3.56	5.9
Gm5506	461.6	155.83	221.59	0.7	419.62	19.67	44.5	2.38	121.04	83.37	810.65	27.29	95.95	0.52	171.34	1100.05	322.2	399.3	384.86
Gm561	219.67	0.0	273.06	0.0	271.82	486.52	1.15	0.0	254.48	0.0	562.04	37.09	0.0	0.0	0.0	108.97	36.44	46.5	41.19
Gse1	50.23	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.8	0.98	7.85	0.0	9.95	2.35	24.05	28.04	26.12
Isca1	565.66	1.04	97.8	0.0	3.66	0.0	0.12	5.45	340.99	0.0	954.51	0.0	20.21	0.0	493.67	315.05	235.3	247.29	218.13
Mllt3	35.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	29.5	0.0	0.17	0.0	0.0	5.21	13.89	12.56	13.12
Ncaph2	112.47	0.3	0.0	29.74	0.0	186.6	20.29	0.91	0.19	0.0	167.4	0.0	0.0	0.0	0.0	37.47	74.69	76.35	72.7
Ndnl2	14.5	0.0	0.44	0.0	0.0	0.0	0.0	0.32	0.0	0.0	25.52	0.0	0.0	0.0	0.0	5.56	37.88	42.12	41.26
Ndufa11	126.08	0.19	73.18	0.0	124.17	115.35	0.09	0.0	0.0	80.62	147.15	0.0	3.46	0.89	68.77	184.47	34.2	37.82	36.8
Oscar	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.38	2.62	2.42	2.93
Pdgfa	62.59	58.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.57	14.53	0.0	0.0	0.0	8.07	44.95	52.18	46.09
Pex10	14.03	0.0	0.0	0.0	0.0	0.44	0.15	0.0	0.0	0.0	14.49	0.0	0.0	1.82	0.0	3.6	13.24	15.52	14.23
Pik3r1	8.94	215.45	0.0	0.0	0.06	0.0	0.1	0.18	0.0	0.0	136.3	5.89	0.17	0.06	0.0	54.18	61.64	57.5	64.01
Plekha1	117.14	274.91	17.52	76.94	348.79	289.33	16.47	0.13	29.09	5.47	993.26	0.0	18.56	6.2	31.55	47.38	75.15	80.27	81.24
Polr2l	144.35	1.86	3.9	1.74	1.73	53.22	17.34	2.2	1.41	65.13	554.86	2.6	5.9	1.81	4.82	105.39	26.32	28.15	24.66
Ptgds	2169.68	48907.82	54843.26	26720.82	47452.67	56522.07	60719.49	32699.18	40932.13	47873.29	36019.29	315.36	55284.07	39774.1	53160.05	0.9	1497.69	1644.65	1231.28
Pum2	74.24	0.0	3.65	0.06	0.0	0.08	0.08	0.07	0.0	0.0	263.04	0.0	17.9	0.0	0.48	28.51	94.04	86.54	93.06
Pxmp2	70.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	353.25	0.0	0.0	0.0	0.0	0.0	5.06	5.23	6.04
Rc3h2	4.47	0.0	0.07	0.0	0.11	2.93	0.03	0.05	0.0	0.0	99.45	0.0	0.0	0.0	0.0	12.66	22.94	22.03	22.2
Scamp1	323.07	15.06	0.0	0.0	0.0	12.19	0.13	0.36	0.0	0.0	455.43	142.25	10.24	0.0	0.0	172.43	186.31	183.9	173.43
Trabd	74.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.44	0.0	0.0	0.0	0.0	1.59	16.49	16.63	16.77
Ube2q2	136.43	0.0	0.41	0.0	6.02	76.29	0.08	0.0	0.0	0.18	390.34	0.0	0.52	0.0	0.0	24.65	56.69	58.05	56.02
Zfp148	32.76	0.05	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.39	55.64	0.0	0.05	0.0	0.0	13.3	32.48	30.04	32.73
Zfp871	25.95	0.34	0.0	0.0	0.16	0.09	0.9	0.16	0.0	0.05	102.99	0.0	0.0	0.0	0.03	18.19	39.08	32.97	39.89
Zmiz2	32.7	0.25	77.6	0.0	0.0	0.06	0.06	0.0	0.0	0.0	188.51	0.0	0.0	0.0	0.0	14.6	156.03	166.78	166.76
