	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_73	Nr5a1_tdTpositive_cell_13	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_16	Nr5a1_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_67	Scnn1a.Tg3_tdTpositive_cell_69	Scnn1a.Tg3_tdTpositive_cell_72	Scnn1a.Tg3_tdTpositive_cell_75	Scnn1a.Tg3_tdTpositive_cell_85	Scnn1a.Tg3_tdTpositive_cell_88	Scnn1a.Tg3_tdTpositive_cell_89	Scnn1a.Tg3_tdTpositive_cell_99	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Ddx6	0.13	0.1	0.0	7.51	0.07	1.69	9.11	0.0	4.39	122.53	0.0	0.0	0.7	0.0	0.0	66.16	84.34	83.49	81.63
Drosha	0.0	0.8	0.0	0.0	0.0	5.42	0.0	7.12	1.42	56.87	23.32	0.0	0.0	0.0	104.6	87.79	72.26	69.27	68.76
E130309F12Rik	0.0	0.0	0.0	0.0	0.0	107.67	0.0	0.0	0.0	194.28	0.0	0.0	4.49	0.0	90.15	94.68	13.88	13.61	12.57
Ecm2	0.0	0.4	0.0	1.13	0.46	0.45	0.78	0.66	2.69	2.49	0.37	0.41	0.61	0.44	0.8	0.71	4.56	4.02	5.06
Ehd4	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	10.78	11.61	10.71
Emx2os	0.61	0.58	0.51	0.54	0.35	1.22	0.71	1.03	1.11	1.93	0.57	0.73	0.97	1.28	0.82	1.15	2.09	1.82	2.23
Farp1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.12	0.0	0.0	0.0	0.0	0.39	5.1	44.06	41.79	50.7
Gm15706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	0.0	1.45	11.92	10.58	13.62
Hyal1	2.12	0.89	0.68	0.56	1.22	1.66	2.08	0.88	0.87	4.95	0.0	0.86	0.98	1.74	3.02	1.14	4.13	4.13	4.53
Igf2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.18	0.0	0.0	0.0	0.0	0.0	0.0	36.6	41.72	35.05
Iqsec3	0.11	0.26	0.0	0.08	0.23	0.91	2.41	0.14	0.36	102.71	0.39	0.11	70.88	0.34	223.5	12.55	70.94	67.99	77.47
Lamc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	276.59	0.0	0.0	6.52	0.0	82.21	0.04	10.35	10.13	9.64
Mex3a	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	68.89	0.0	0.0	0.0	0.0	0.0	23.33	2.15	2.48	2.14
Mr1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.38	0.0	3.74	2.89	4.06
Nhlh2	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.3	0.11	0.22	0.0	0.0	0.0	0.0	0.0	0.27	0.41	0.65	0.57
Noc3l	0.27	0.46	0.0	0.0	0.0	0.0	1.91	2.5	0.61	4.88	0.0	0.37	0.0	0.0	1.2	2.82	11.39	10.6	10.11
Pde4a	0.18	1.48	19.25	0.11	12.31	0.0	13.13	0.0	31.53	144.3	4.49	8.11	13.99	0.0	2.87	64.61	70.0	69.52	69.31
Pdia3	90.55	25.23	18.85	93.68	68.46	8.35	96.42	0.0	54.64	160.44	4.37	0.28	0.4	31.39	0.0	0.43	154.5	153.1	147.09
Rab5a	12.03	110.2	1.62	128.88	0.0	0.21	0.43	48.93	0.17	178.79	0.31	0.0	63.32	72.68	0.0	42.35	136.28	136.51	137.41
Rlim	0.0	34.44	0.0	0.0	0.0	42.95	46.98	73.88	0.0	171.31	0.0	0.2	0.0	15.39	31.46	104.73	21.51	20.23	20.18
Rnf168	8.73	12.22	9.55	8.27	9.55	6.67	10.9	9.57	10.63	66.61	7.9	7.13	12.08	10.69	48.71	34.69	25.77	25.2	23.82
Rtl1	0.0	0.12	0.0	0.0	0.0	0.0	0.1	0.0	0.15	0.53	0.0	0.0	0.2	0.0	0.36	0.13	2.51	3.06	2.8
Slc5a6	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	254.44	0.0	0.0	8.22	0.0	11.34	188.0	16.74	17.63	16.22
Sncb	135.04	142.18	178.87	55.3	244.56	119.34	131.17	233.09	218.27	401.89	157.41	163.42	143.35	273.57	475.72	253.87	500.1	550.38	513.95
Stard7	0.0	0.0	0.0	0.0	74.51	9.09	151.05	0.0	0.0	198.27	0.0	0.0	0.68	0.0	0.0	162.23	89.19	86.61	83.84
Tcte2	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.17	2.06	2.81	2.27
Tmem117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.21	0.0	0.0	0.0	0.0	0.0	10.22	6.1	6.48	5.27
Ucp2	0.0	0.15	0.31	0.0	0.0	0.0	0.0	0.0	0.09	0.56	0.0	0.18	0.32	0.0	0.0	0.0	6.99	8.02	6.4
Usp44	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.31	0.0	0.07	0.0	0.14
Vipr2	0.0	0.18	0.0	0.0	0.0	0.46	0.15	0.47	0.18	0.48	0.0	0.0	0.0	0.0	0.57	0.2	0.57	1.39	1.32
Wdr70	0.0	0.0	0.62	2.52	0.0	1.76	0.0	5.44	0.71	219.27	0.0	0.0	0.0	3.06	0.0	349.49	10.89	11.87	11.61
c11_LSU-rRNA_Hsa	5.73	28.85	8.94	14.61	31.1	62.84	34.88	2.25	5.94	206.79	8.42	3.44	17.34	30.93	129.67	49.28	250.71	241.69	283.2
c18_tRNA-Ala-GCY_	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.44	0.0	0.0	0.0	0.0	43.25	81.68	12.88	24.82	35.18
c4_5S	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.9	0.0	0.0	0.0	0.0	43.97	47.75	44.3	16.82	37.79
mt_AK131586	0.04	0.0	3.92	0.0	0.0	0.0	0.0	0.03	0.06	0.0	0.0	0.0	0.0	0.52	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	0.0	9.22	0.0	0.0	0.0	0.0	0.0	0.0	9.91	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
