	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_45	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_27	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_51	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Tac2_tdTpositive_cell_8
Gria4	0.0	0.0	0.0	0.12	0.0	124.08	0.0	70.77	6.52	67.66	82.71	112.18	66.14	72.45	37.95	126.14	23.76	185.79	82.74	115.56	69.4	70.41	72.86	327.66	128.21	252.56	57.15	76.26	16.83	117.77	68.15	116.13	122.42	122.02	31.75	100.41	141.0	119.69	23.47	78.8	0.0	0.0	128.29
Grpel1	0.0	288.09	0.0	0.0	0.0	82.24	0.0	127.79	203.37	173.26	78.43	79.69	99.06	118.59	80.22	164.25	42.09	127.29	105.38	134.72	57.07	78.79	168.28	173.65	25.92	116.75	124.17	62.28	130.76	43.81	158.81	81.54	180.61	59.23	115.37	137.9	145.1	115.68	83.3	121.72	0.0	0.0	32.38
Gtf2ird2	0.0	0.13	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	25.17	0.0	18.37	17.46	0.15	0.0	0.0	0.0	0.0	44.49	0.0	0.0	16.21	23.68	0.0	0.0	0.0	39.4	21.6	0.26	0.0	0.0	2.18	0.0	0.0	0.17	0.0	0.0	0.0
Ift46	0.0	4.16	6.07	1.11	5.53	1.15	543.75	103.47	80.7	41.5	30.46	39.84	46.16	4.01	95.79	1.63	25.76	1.48	21.57	3.73	2.28	33.27	59.5	240.27	1.78	71.33	38.14	33.85	72.58	40.62	112.34	37.35	24.49	30.07	3.34	1.18	54.84	53.44	31.54	47.62	0.84	1.34	1.86
Ldhb	2593.67	5274.92	2376.05	5876.73	5600.23	8752.31	2911.44	8750.45	10894.4	8525.9	8892.3	7234.97	8217.62	8583.06	8517.89	9220.91	9343.6	6570.82	8808.99	5554.49	8574.79	10165.1	9166.61	5915.04	11261.44	8285.69	9074.03	13571.31	12546.17	9106.97	9755.78	8904.1	8390.99	7659.83	11010.48	8275.76	6703.36	7724.63	10182.84	11746.38	5577.5	2070.08	7324.1
Ltn1	0.0	0.0	0.0	0.04	0.0	1.98	0.0	16.08	2.13	10.57	0.59	0.31	0.49	5.94	1.13	13.19	6.5	7.08	29.98	0.8	13.18	7.97	34.32	31.8	0.0	13.2	8.01	7.77	7.23	6.02	6.72	20.98	12.59	5.3	30.19	4.23	0.12	21.62	0.86	4.07	0.0	0.08	0.0
Luc7l	0.0	159.43	0.39	0.07	0.09	35.64	0.0	32.91	0.0	30.16	58.13	45.36	48.21	34.06	15.56	38.36	47.78	105.62	54.89	56.52	42.82	78.44	70.48	164.78	115.39	0.42	63.06	39.09	83.41	8.88	79.23	37.46	60.04	27.33	1.09	24.49	77.57	61.45	16.69	72.95	0.15	0.14	32.05
Map3k9	0.0	0.04	0.0	0.0	0.0	5.56	0.0	9.55	2.13	0.0	4.43	0.17	5.76	7.4	5.12	6.03	6.56	0.0	6.62	1.49	5.43	0.84	15.01	25.04	3.11	3.02	3.11	0.0	6.02	4.9	2.34	18.0	7.31	2.48	0.05	22.01	16.4	0.0	0.04	11.94	0.0	0.0	0.0
Med27	0.0	0.0	0.0	0.0	0.0	0.35	0.0	175.85	0.0	42.67	0.0	0.51	0.0	5.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.41	0.0	0.0	16.69	45.85	57.19	19.35	1.09	53.23	58.08	0.0	139.31	73.73	66.57	38.18	60.26	33.36	23.27	0.0	0.0
Mrpl47	0.0	0.0	0.0	0.0	23.22	102.35	0.0	47.18	51.69	118.93	114.73	91.62	0.0	3.0	43.59	0.0	51.57	50.85	132.2	39.32	76.13	52.27	107.6	239.78	93.69	28.45	107.88	10.35	7.36	14.85	61.18	159.5	40.2	0.0	99.77	188.38	311.04	0.0	271.56	81.43	0.0	0.0	35.55
Mrpl49	0.0	0.0	0.0	0.0	0.0	160.34	0.0	152.93	100.05	140.31	123.21	82.12	105.74	44.01	131.62	112.02	108.2	20.74	124.61	65.81	98.02	50.4	301.3	397.73	5.47	19.18	121.13	50.16	69.66	132.37	67.02	74.04	46.37	99.0	0.0	154.67	120.4	204.65	187.87	182.01	0.0	0.0	155.05
Mycn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.25	0.0	50.02	21.33	15.54	0.0	46.57	16.42	1.56	16.82	0.0	0.0	74.47	0.0	37.92	27.85	0.0	0.0	13.72	0.0	0.0	0.0	0.0	0.0	8.34	0.0	0.0	22.48	0.0	0.0	0.0	0.0
Nagk	0.0	0.0	0.0	0.21	0.0	91.96	0.47	128.83	25.92	133.45	45.62	184.27	176.41	130.48	108.12	1.22	39.07	129.52	0.0	80.35	72.64	112.96	100.32	218.95	149.51	0.41	20.91	50.16	182.86	159.08	198.31	21.53	82.4	37.81	60.56	4.84	118.99	37.5	106.37	45.62	0.0	0.0	53.5
Ncoa6	0.0	0.0	0.0	0.0	0.0	7.06	0.0	0.0	0.0	2.5	11.59	0.0	0.0	0.0	6.0	17.93	0.47	15.45	15.25	0.0	8.67	4.31	29.48	36.81	0.38	0.0	2.98	3.19	0.0	0.0	2.88	29.66	13.56	0.0	3.03	0.0	21.66	0.0	6.34	0.0	0.0	0.0	1.74
Nxph2	0.0	0.0	0.0	0.0	0.0	3.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	123.04	0.0	41.44	0.0	4.64	0.0	0.0	26.88	0.0	0.0	0.0	0.0	22.96	0.0	0.0	0.0	46.66	0.0	0.0	0.0
Orai2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.87	0.0	0.16	0.0	0.0	0.0	0.0	1.04	0.0	0.0	0.0	46.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.28	0.0	0.05	0.0	0.19	1.93
Pear1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pla2g15	0.0	0.0	0.0	0.0	0.17	27.28	0.0	0.0	0.0	0.0	0.0	36.51	20.94	0.0	16.44	33.0	0.6	41.05	14.61	0.0	1.55	0.0	0.0	83.59	0.0	54.23	0.0	0.0	0.0	0.0	0.0	0.0	79.77	0.0	0.0	0.0	1.87	0.0	0.0	0.0	0.0	0.0	1.8
Prmt5	0.13	0.67	0.91	1.1	0.0	39.89	0.23	40.66	50.52	35.7	46.3	103.74	130.06	127.91	4.58	0.0	30.84	23.05	23.62	135.03	12.3	120.06	117.51	211.89	71.87	0.0	127.05	30.68	71.82	47.74	30.95	63.32	11.3	30.43	25.16	44.27	102.03	105.58	34.07	90.79	1.01	0.0	151.81
Prmt8	0.0	0.0	0.0	0.0	0.18	41.3	0.0	99.62	121.11	16.99	101.68	116.18	4.64	95.37	92.01	15.61	0.0	0.0	211.5	11.69	65.63	63.95	0.32	83.2	0.0	174.41	120.92	134.23	29.15	147.01	13.26	42.47	155.75	80.32	14.58	21.64	18.57	44.43	128.43	140.58	0.0	0.0	0.0
Prpf6	0.0	0.0	0.0	0.0	0.0	1.51	0.0	73.02	0.0	81.71	0.75	4.16	52.13	22.81	6.85	43.86	40.93	10.08	35.76	63.16	2.73	69.13	99.01	78.56	0.49	90.68	27.79	53.98	150.23	98.96	10.24	36.67	108.33	0.6	43.33	27.95	57.28	20.84	14.76	78.76	0.0	0.0	11.35
Prpf8	0.0	0.06	0.0	0.0	0.0	9.57	0.0	15.43	21.62	9.13	25.81	17.13	25.94	0.99	0.0	0.0	17.53	30.69	2.34	9.91	11.19	11.9	29.3	152.81	58.75	35.07	11.31	3.41	2.59	12.55	17.17	15.47	17.49	0.72	4.84	9.83	6.93	11.94	4.53	9.6	0.0	0.0	21.89
Psmb5	128.9	0.0	764.49	0.0	0.0	257.92	0.0	300.3	167.34	94.44	140.81	426.44	189.42	98.04	473.19	296.94	367.29	601.37	105.52	191.29	294.83	282.74	276.76	550.66	757.16	73.44	537.12	364.49	379.83	170.81	335.32	52.59	453.72	259.01	77.19	1035.06	343.66	262.48	318.65	236.04	0.0	0.0	168.21
Rab14	0.0	0.0	0.0	0.09	0.0	84.33	5.23	63.09	97.48	56.25	39.66	72.25	161.59	106.3	15.23	57.04	59.37	70.78	330.86	41.06	17.61	96.36	275.25	410.52	51.17	34.05	126.87	57.03	91.13	71.69	61.28	250.66	77.48	62.19	72.65	52.32	61.54	115.15	169.83	204.79	0.0	0.39	111.7
Rad50	0.0	0.0	0.0	0.0	0.0	3.06	0.0	0.0	0.0	4.26	1.04	29.17	0.0	0.0	10.01	6.68	0.1	16.6	10.81	0.0	10.1	0.0	0.0	44.05	0.64	14.45	0.0	0.0	4.55	7.34	3.43	7.09	20.88	0.0	0.0	12.84	0.39	0.0	0.0	0.0	0.13	0.0	4.62
Rai12	0.0	0.0	0.0	0.0	0.0	148.56	0.0	487.16	97.13	421.3	288.42	151.95	85.77	187.89	382.52	63.48	227.63	298.18	163.54	321.78	347.82	212.81	114.05	651.25	143.08	126.8	427.89	78.98	373.18	67.56	64.63	162.3	70.53	283.5	266.32	32.8	0.0	108.91	148.35	104.0	0.0	0.0	161.92
Rbbp7	0.0	0.0	0.0	0.0	0.0	37.27	0.0	20.06	1.06	82.38	17.31	169.37	53.95	126.45	99.58	117.02	34.78	88.85	18.82	140.29	43.32	67.73	91.74	361.04	0.0	3.54	35.09	32.3	5.06	4.14	148.61	2.02	50.52	1.88	89.17	78.42	86.25	0.0	44.68	78.96	0.0	0.0	14.0
Rpl39	0.0	115.77	0.0	0.0	84.48	211.2	0.0	203.98	179.9	262.9	306.39	292.82	201.33	191.04	161.4	396.54	197.89	271.7	300.8	397.27	321.57	222.65	478.61	477.91	300.35	324.78	285.32	270.94	254.01	110.03	198.79	334.28	187.6	111.08	341.24	688.22	108.81	277.51	531.24	190.64	0.0	1.75	104.12
Rps26	0.0	843.97	0.0	0.0	349.57	316.79	0.0	370.44	254.72	352.14	284.85	355.21	222.92	339.91	315.58	261.96	257.72	306.78	198.87	415.55	165.62	128.89	353.25	317.55	135.43	231.78	235.31	256.14	115.36	238.79	127.35	463.05	246.04	254.96	207.88	453.66	562.0	270.25	254.83	291.21	0.0	0.0	263.64
Rsl1d1	47.33	847.3	2.24	585.02	4.63	142.66	0.0	122.86	63.81	166.73	160.83	199.36	166.46	153.96	90.13	118.55	242.81	292.56	91.36	43.83	181.26	108.45	342.98	292.76	0.0	107.79	70.34	77.25	164.52	158.47	135.2	208.95	105.23	84.48	163.76	40.69	212.29	25.36	185.71	258.85	0.0	0.0	147.5
Sf3b3	0.0	0.0	0.0	0.06	0.0	3.29	0.0	17.96	0.0	12.6	13.51	16.75	24.77	2.3	0.0	43.58	0.13	0.0	0.0	12.71	0.14	0.0	107.36	102.05	27.62	35.68	0.0	39.63	1.04	6.92	0.0	0.0	57.9	40.33	30.5	7.88	0.23	46.7	0.0	26.58	0.0	0.0	32.32
Sfswap	0.0	0.0	0.41	0.0	0.0	3.16	0.0	0.0	0.0	0.0	0.0	2.39	8.71	3.51	12.08	0.0	18.0	10.37	9.33	20.77	2.16	0.2	13.96	36.67	0.0	0.63	9.92	1.09	1.73	1.58	0.79	0.0	1.8	16.52	30.42	4.16	25.46	0.0	8.18	0.0	0.0	0.0	0.0
Slc12a5	0.0	0.0	0.0	0.0	0.0	50.45	0.0	5.06	49.51	22.18	52.74	14.49	23.25	76.02	31.16	33.18	16.23	14.75	15.23	31.92	4.81	33.88	42.91	45.43	7.6	21.05	22.53	41.02	14.95	9.16	12.58	16.67	31.76	11.46	16.82	45.05	68.18	9.69	31.69	23.71	0.0	0.0	29.4
Slc25a33	0.0	0.0	0.0	0.0	0.0	28.43	0.0	0.0	0.77	3.67	45.17	3.28	4.1	15.66	11.97	4.68	30.66	26.56	21.82	0.0	0.0	19.56	0.0	82.01	0.0	0.0	32.32	35.43	0.0	0.0	0.0	48.64	0.64	46.29	18.86	82.78	33.18	0.0	17.75	3.35	0.0	0.0	0.0
Slc7a5	0.0	0.0	0.0	0.0	0.0	1.78	0.0	1.2	0.14	1.35	39.07	40.25	2.93	21.43	36.55	30.21	0.0	52.2	20.82	25.2	18.45	0.0	2.84	82.75	14.89	5.66	0.0	2.44	26.13	0.0	0.0	0.12	30.68	0.0	0.0	3.68	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Snrpe	0.0	0.0	0.0	0.0	581.5	432.02	0.0	197.45	438.14	215.18	327.53	98.94	175.56	310.83	119.15	198.89	112.71	218.39	220.61	427.99	258.48	249.95	132.21	531.15	147.8	208.74	208.0	348.21	343.93	113.06	253.18	238.73	312.13	197.34	117.7	285.99	538.64	127.74	398.83	246.98	0.0	0.0	189.79
Stau2	0.0	0.0	0.0	0.0	0.0	119.03	0.0	152.15	38.48	131.36	75.09	72.69	126.36	98.89	105.51	20.61	53.52	166.11	133.85	63.23	42.44	146.04	43.61	147.33	26.0	81.56	109.47	24.01	18.06	78.36	86.62	4.21	59.3	20.24	0.0	76.64	30.75	134.44	32.77	55.33	0.0	0.0	80.18
Stk4	0.0	86.29	0.0	0.0	0.0	2.01	0.0	11.23	20.15	20.77	10.73	0.0	11.33	21.41	17.21	0.0	0.1	45.74	4.06	16.31	0.0	10.03	34.73	50.39	10.74	37.92	0.0	0.0	0.78	15.51	6.65	24.31	2.07	0.43	3.19	0.0	36.31	0.0	7.07	8.78	0.0	0.0	0.0
Taf1	0.04	84.62	0.87	0.17	0.06	2.4	0.26	38.41	13.39	28.24	0.3	13.57	13.2	0.51	3.86	6.9	12.3	11.78	31.47	9.77	9.62	21.39	35.26	60.82	18.03	23.44	9.5	0.44	12.88	2.12	2.48	0.75	8.59	9.06	4.03	16.36	8.16	22.8	11.03	8.83	1.2	0.34	13.45
Tomm40l	0.0	0.0	0.0	2.85	0.0	33.37	0.21	83.17	21.56	68.4	51.9	23.77	91.49	52.6	80.64	69.17	21.34	44.32	48.71	87.92	70.92	41.25	277.02	122.07	71.9	0.36	55.51	23.27	33.53	72.49	82.21	112.31	39.35	0.0	5.72	68.73	46.16	0.0	25.5	33.46	0.0	0.0	5.67
Ubap2	0.0	0.0	0.0	0.0	0.0	10.95	0.0	15.6	8.9	1.47	6.12	14.67	5.07	0.0	0.0	5.38	7.64	10.21	3.57	43.26	3.26	1.47	4.03	37.42	9.4	9.91	9.74	0.06	3.15	3.15	0.0	0.0	0.0	11.4	7.23	19.76	6.77	3.59	5.64	2.47	0.0	0.0	0.0
Wdr74	0.0	734.26	0.0	380.57	0.0	50.5	0.0	29.33	143.22	119.76	191.33	152.55	101.42	36.2	191.7	168.75	65.82	347.71	105.6	431.69	111.23	90.35	21.08	393.01	123.49	0.0	80.61	146.14	57.19	79.63	221.59	0.0	69.01	326.36	226.5	154.77	139.84	147.15	88.35	149.96	0.0	0.0	0.0
Zer1	0.0	0.0	0.0	0.27	0.0	0.1	2.06	30.04	3.59	15.96	26.68	15.36	13.99	2.42	8.46	4.97	15.11	7.9	13.5	16.4	32.27	0.0	1.31	68.36	0.0	37.56	20.6	22.87	17.51	15.96	17.19	0.0	6.0	21.1	21.16	0.42	0.24	16.64	14.99	0.09	0.0	0.0	2.36
Zfp385b	0.0	0.0	0.0	0.0	0.0	69.16	0.0	46.41	42.0	73.19	166.81	125.95	55.19	85.34	75.2	53.19	48.29	94.95	48.64	72.76	39.11	85.96	84.82	198.25	39.73	52.31	52.26	28.25	45.07	40.62	43.0	39.94	51.49	50.85	44.97	90.96	81.1	28.56	75.53	5.96	0.0	0.0	67.54
c3_LSU-rRNA_Hsa	29.45	99.26	5.67	8.71	6.16	41.09	318.58	31.07	65.78	95.46	103.08	53.65	27.76	42.96	22.75	25.77	56.01	35.54	57.55	68.36	33.35	73.8	71.68	161.83	80.6	103.55	124.07	59.45	91.65	75.43	35.4	84.95	50.98	79.43	31.44	258.43	71.48	93.88	50.08	57.12	74.25	27.1	11.56
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.04	0.1	0.2	16.89	17.46	0.04	0.05	0.0	0.08	20.35	0.17	2.37	0.15	7.2	0.21	51.25	0.0	0.0	0.0	0.0	0.15	0.15	0.0	8.08	0.19	0.11	0.04	0.18	0.0	0.2	0.06	0.0	0.0	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.04	0.1	0.2	16.89	17.46	0.04	0.05	0.0	0.08	20.35	0.17	2.37	0.15	7.2	0.21	51.25	0.0	0.0	0.0	0.0	0.15	0.15	0.0	8.08	0.19	0.11	0.04	0.18	0.0	0.2	0.06	0.0	0.0	0.0	0.0
