	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_24	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_68	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_72	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_4	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Celsr2	0.0	0.0	0.0	0.0	0.0	0.0	9.43	0.0	13.52	18.19	1.94	3.21	0.0	1.53	0.07	12.72	12.95	9.75	1.6	16.96	5.85	0.5	5.9	0.0	18.96	11.17	11.72	7.24	10.8	32.35	6.21	0.58	9.71	7.99	14.68	10.73	2.89	0.0	73.45	73.3	82.99
Coro1b	404.99	0.0	0.0	0.0	106.51	0.0	46.19	49.52	0.52	98.43	57.99	0.33	75.89	0.0	0.0	120.06	90.13	24.51	15.0	81.89	0.0	62.65	23.27	0.29	14.07	105.33	203.63	101.09	45.85	68.82	60.9	10.09	17.86	1.65	69.69	14.88	61.68	0.21	77.83	81.06	79.24
Crocc	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97	0.0	0.0	0.0	0.0	0.35	3.53	0.23	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	3.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	38.22	41.61	42.48
Ctbp1	0.0	0.0	0.0	0.0	0.83	0.23	9.75	0.0	0.0	0.0	5.13	0.0	0.2	10.36	0.56	43.76	37.33	0.0	1.08	0.51	0.19	0.0	18.43	36.51	12.29	2.29	51.35	0.33	59.48	14.78	0.0	0.0	0.0	0.99	4.78	0.15	16.49	0.0	170.89	189.26	178.52
Dcun1d4	0.0	1.92	0.0	0.0	0.16	2.04	4.57	14.75	26.46	2.28	28.38	0.0	1.59	0.0	31.48	105.34	33.19	4.8	9.59	8.69	0.0	1.96	3.35	13.35	50.37	96.05	106.11	70.89	0.0	2.16	0.48	0.0	0.09	0.09	62.43	72.15	17.92	0.0	79.78	77.04	73.03
Fam108b	0.0	46.23	0.0	0.0	3.05	0.0	0.0	0.0	22.06	0.0	3.68	0.0	3.53	0.0	0.0	0.0	24.32	33.53	0.0	0.0	25.91	0.44	12.99	0.0	0.0	23.68	12.9	32.67	1.45	6.28	0.0	0.0	0.0	24.88	4.99	0.0	4.8	0.0	38.13	32.38	33.01
Fastk	0.0	0.0	0.0	0.54	0.0	0.0	30.18	0.0	39.37	12.22	8.56	3.0	29.72	150.42	0.0	41.3	36.13	7.48	0.0	140.08	39.93	0.0	41.69	7.28	0.0	94.12	94.21	31.03	68.68	12.44	1.07	5.84	0.0	0.0	6.96	14.91	229.87	0.0	89.23	98.2	94.35
Fbxo9	0.0	0.0	0.0	0.27	2.59	0.15	16.35	29.08	89.76	5.96	67.03	0.0	124.7	2.71	1.02	15.0	16.1	66.68	1.96	4.52	0.48	46.5	6.45	71.05	20.9	53.4	91.36	56.43	38.19	50.86	93.69	2.02	0.0	65.43	88.35	10.08	63.31	0.0	115.71	125.15	111.58
Fgd3	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	30.91	3.9	0.0	2.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	3.73	16.22	0.0	5.42	6.06	6.28
Flot1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	69.8	0.0	0.0	0.0	148.26	22.18	34.52	0.0	25.76	100.17	123.93	25.0	0.0	0.0	0.0	20.3	0.0	91.54	11.66	0.0	76.08	0.0	4.89	0.0	0.0	0.0	8.65	55.59	0.0	137.1	148.3	139.89
Fzd7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.08	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.04	0.0	4.15	4.44	3.78
Gm13306	0.0	0.54	0.0	0.0	2.09	0.0	1.67	0.0	6.15	1.08	0.0	24.17	0.0	0.0	3.31	0.76	0.0	0.0	2.62	1.92	4.77	8.14	0.0	0.0	0.0	0.26	0.99	2.37	2.94	0.0	0.0	0.0	4.94	0.74	2.17	0.0	9.34	0.0	30.63	28.29	22.96
Gm2506	0.0	0.54	0.0	0.0	2.09	0.0	1.67	0.0	6.15	1.08	0.0	24.17	0.0	0.0	3.31	0.76	0.0	0.0	2.62	1.92	4.77	8.14	0.0	0.0	0.0	0.26	0.99	2.37	2.94	0.0	0.0	0.0	4.94	0.74	2.17	0.0	9.34	0.0	30.63	28.29	22.96
Gm5766	1.4	0.25	0.0	0.25	5.73	0.28	0.0	0.25	0.71	0.28	6.21	0.62	0.0	0.36	0.05	1.57	1.84	0.0	0.66	1.53	6.9	1.11	2.1	0.58	0.28	0.44	3.06	2.38	1.21	1.64	0.4	0.42	0.41	0.88	0.0	0.0	3.35	0.98	0.54	0.48	0.56
Gm8179	0.0	0.16	0.0	0.08	0.2	0.28	0.73	0.0	0.3	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.41	0.37	0.0	0.0	3.72	4.83	0.29	0.0	0.58	0.0	9.09	0.0	0.25	0.25	0.0	0.55	0.0	0.24	1.37	1.4	0.74	1.2	0.49	0.31	0.35
Golga3	0.0	0.0	0.0	0.0	0.06	0.0	10.18	0.0	0.79	8.14	2.8	0.0	0.28	0.51	3.83	6.75	4.41	1.6	26.3	2.0	0.9	33.39	4.0	1.42	1.41	2.37	49.83	8.54	35.94	3.13	0.08	9.09	1.73	1.63	1.71	0.0	0.04	0.0	30.4	28.12	31.03
Gpank1	0.0	0.0	0.0	0.0	0.0	0.0	16.47	0.0	0.0	39.35	0.0	0.0	0.0	0.0	0.0	59.07	0.0	2.18	9.94	41.77	59.84	37.69	4.97	108.26	9.72	0.0	190.9	23.31	0.0	7.19	0.0	22.17	0.0	3.85	0.0	3.32	0.0	0.0	19.75	20.01	17.17
Gpr75	0.0	0.0	0.0	0.0	0.0	0.0	15.19	0.0	24.99	39.88	12.65	0.21	0.0	0.0	0.0	41.22	0.73	0.0	0.7	0.0	0.3	0.0	0.31	0.0	22.72	102.0	53.43	40.75	0.12	0.0	2.5	55.5	0.5	0.0	0.12	39.32	21.27	0.0	9.55	9.19	9.72
Grin2a	0.0	0.0	0.0	0.0	0.0	0.0	25.16	0.0	10.19	11.1	0.71	0.0	0.0	0.0	0.0	115.66	11.63	0.0	1.26	0.0	19.91	0.0	16.18	1.28	1.01	6.55	34.52	14.61	4.52	0.09	0.09	17.08	0.0	1.82	34.57	0.0	17.02	0.0	34.45	27.49	46.14
Hdac6	0.0	0.06	0.0	0.0	0.0	0.0	20.99	0.0	0.35	23.48	0.79	0.0	0.0	0.0	0.0	20.91	6.81	0.0	33.31	0.73	51.67	20.41	0.22	0.39	5.37	37.1	65.67	10.62	0.29	24.75	0.19	0.0	17.7	0.0	0.35	13.6	3.37	0.0	34.89	32.62	36.09
Il1rn	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.6	0.0	0.16	0.0	0.18	0.0	0.0	0.0	0.0	0.16	0.18	0.21	0.0	0.17	0.0	0.0	0.14	0.0	0.0	0.0	0.06	0.0	0.04	0.08	0.04
Ipcef1	0.4	0.58	0.0	0.0	0.13	0.44	0.0	0.0	0.14	0.33	0.12	0.0	0.0	0.0	0.08	0.61	0.0	0.0	0.0	0.12	0.27	0.29	0.0	0.28	0.0	0.35	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.22	0.0	0.0	48.31	43.08	50.27
Iqsec1	4.36	25.72	0.0	6.57	23.8	0.0	35.37	21.9	31.69	74.97	60.17	19.0	79.73	21.9	15.68	40.42	53.41	16.92	22.9	32.35	37.69	35.22	28.41	57.02	43.48	54.72	60.12	76.49	48.8	42.23	45.0	43.55	31.45	43.02	107.86	52.99	54.94	0.08	113.55	116.97	123.22
Keap1	0.0	0.0	0.0	1.85	0.0	0.0	16.72	0.0	0.0	0.0	8.22	21.5	0.0	0.0	3.78	10.29	0.0	0.0	7.37	4.74	0.0	0.0	0.0	0.0	12.91	0.0	32.71	26.11	28.57	0.0	0.61	0.0	0.35	0.0	15.85	5.92	0.92	0.0	46.23	54.83	51.32
Klc1	0.0	1.03	0.0	0.0	30.56	0.0	34.46	20.66	78.73	42.52	50.54	1.28	70.37	16.73	24.31	66.15	18.67	18.56	6.71	16.41	12.66	15.98	21.27	65.49	140.87	148.49	74.2	62.4	15.15	43.37	58.99	29.47	2.38	51.46	65.55	61.87	34.74	0.0	706.38	755.05	722.85
Klf7	0.0	0.0	0.0	0.0	0.0	0.0	1.61	61.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.87	0.0	21.51	7.0	46.24	0.0	0.0	26.33	0.0	105.54	0.0	0.0	0.61	0.0	5.85	0.0	0.0	0.0	33.48	0.0	0.0	18.66	16.09	20.34
Larp7	0.0	0.0	0.0	0.0	0.0	0.0	0.4	24.57	50.33	40.16	6.47	0.29	22.84	0.5	25.64	26.79	7.46	26.23	1.94	4.62	2.27	1.28	33.22	0.0	0.44	10.43	71.54	22.36	83.8	4.15	15.49	0.0	0.17	0.72	26.3	32.46	15.59	8.29	19.09	18.51	17.02
Ldhb	7486.96	8970.97	5274.92	4046.54	8550.52	5876.73	8752.31	10118.08	10894.4	9343.6	10165.1	7814.88	9602.81	8469.38	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	9755.78	11010.48	10182.84	7551.43	7750.55	7124.4	7185.39	9082.37	7928.56	7199.93	7910.47	6628.6	7322.67	8351.44	7830.1	8111.86	11746.38	3251.53	737.58	774.98	752.92
Lrrc10b	0.0	0.0	0.0	0.0	0.33	0.14	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.18	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.0	0.17	0.0	48.67	53.01	45.61
Mdm2	0.0	0.0	0.0	0.6	0.0	0.47	0.02	0.0	8.35	0.18	51.21	17.04	32.47	0.0	0.0	39.4	4.95	0.09	0.1	22.34	13.07	6.94	0.0	44.11	3.07	41.14	0.0	41.22	35.01	44.5	1.77	0.0	0.0	0.4	23.43	41.56	0.11	0.25	35.46	36.94	33.29
Mettl11a	0.0	302.81	0.0	0.0	0.0	0.0	42.5	55.5	72.22	209.91	88.96	1.02	180.81	0.0	81.83	24.36	181.75	0.23	0.0	101.82	0.0	116.99	106.43	3.58	156.03	119.55	338.49	165.88	0.0	65.09	60.7	0.0	0.0	98.35	0.0	79.49	120.82	0.0	31.18	34.27	35.59
Mlec	0.0	32.63	56.41	0.15	3.75	0.0	0.0	26.33	9.29	30.63	2.91	0.0	1.07	3.66	31.02	0.0	11.82	4.15	3.73	23.34	8.18	3.94	6.38	10.93	19.72	0.0	17.78	10.88	7.86	5.1	0.0	0.0	0.0	9.71	4.52	4.8	0.59	0.0	61.3	56.55	58.8
Ndel1	0.0	0.1	0.0	0.0	0.0	0.0	57.63	1.06	40.74	1.38	51.48	15.18	4.47	3.28	49.95	103.08	9.7	9.43	40.19	13.82	13.48	20.13	54.6	5.17	0.0	77.64	77.92	4.88	3.15	17.7	3.79	0.0	11.18	118.94	32.42	39.33	44.39	0.0	92.33	93.85	89.91
Ngly1	0.0	0.0	0.0	0.0	0.0	0.0	6.64	0.0	0.0	24.66	0.0	0.0	0.32	0.0	0.26	132.18	16.74	1.24	0.0	0.52	30.73	52.36	0.0	19.53	0.0	8.33	114.94	0.0	79.07	0.0	24.21	0.0	0.0	0.26	49.53	0.85	0.0	0.0	23.18	21.8	20.76
Nrip1	0.0	0.0	0.0	0.0	0.0	0.0	26.08	0.0	0.0	0.0	0.0	0.0	22.89	0.0	0.0	0.0	1.88	0.0	3.58	0.0	0.0	28.46	0.0	0.93	0.0	6.36	12.17	0.0	0.0	3.65	9.78	0.0	0.0	4.21	0.0	11.58	1.58	0.0	14.19	14.02	14.58
Osbp	0.0	0.64	0.0	0.0	0.0	0.0	3.08	0.0	0.0	0.0	0.42	0.0	0.1	0.0	0.0	29.32	18.39	7.45	8.39	6.8	0.0	0.0	17.48	0.0	1.49	8.69	25.7	9.24	0.0	0.0	0.08	0.0	9.89	11.9	6.66	17.45	1.98	0.0	42.36	42.74	41.4
Oxnad1	0.0	0.0	0.0	0.0	0.0	0.0	3.48	81.22	6.77	6.1	43.12	0.0	34.27	33.35	0.0	107.48	42.26	0.0	19.35	35.97	0.0	0.0	36.19	0.0	0.0	0.0	98.61	0.73	0.0	0.0	30.93	0.0	0.0	0.0	11.5	3.44	48.79	0.0	15.52	17.25	14.74
Pcyox1	0.0	0.0	0.0	0.11	0.07	0.0	20.01	0.81	65.53	10.66	19.82	6.03	27.57	7.57	8.81	63.38	7.11	8.03	34.57	24.97	37.37	1.45	0.84	5.64	42.93	33.16	46.43	3.35	4.21	7.35	0.05	6.54	0.08	57.63	9.62	8.83	0.0	0.0	73.62	75.03	72.14
Phlpp1	0.0	0.0	0.0	0.0	0.31	7.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.91	43.32	0.0	0.0	0.0	0.0	2.77	0.0	1.1	0.0	0.0	0.91	17.21	0.0	0.06	0.0	0.0	2.72	0.0	0.06	0.12	0.57	0.0	0.0	46.57	46.47	51.56
Plekhm1	0.0	0.0	0.0	0.0	9.52	0.0	0.32	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	29.21	0.55	7.88	0.0	11.86	1.68	0.0	0.09	0.0	1.42	0.0	32.26	2.61	0.0	0.0	0.0	0.16	20.79	0.0	38.63	0.0	15.26	0.0	16.0	15.96	15.1
Prkca	0.0	0.0	0.0	0.0	0.56	0.0	2.07	9.24	6.25	4.73	18.28	0.07	7.45	0.04	4.31	35.67	15.41	6.48	2.79	12.79	0.0	1.15	1.71	21.72	21.33	26.58	33.95	19.98	18.55	15.41	3.4	18.16	0.0	19.45	32.02	3.03	0.0	0.0	74.19	69.97	81.49
Ptges2	0.0	0.0	0.0	0.0	0.0	0.0	44.21	0.0	13.33	0.0	18.12	0.0	11.61	0.0	0.0	0.0	14.41	0.0	0.0	0.0	5.85	1.11	0.0	21.09	0.0	5.97	60.27	34.18	41.8	29.78	0.0	9.51	0.0	9.16	0.75	0.0	1.21	0.0	36.65	38.21	38.88
Ralgapb	0.0	0.0	0.0	0.0	0.63	0.0	9.69	0.58	0.45	5.5	0.15	3.93	2.76	0.0	0.22	8.57	5.48	0.16	10.25	24.67	3.44	14.94	3.62	16.3	13.88	21.67	9.34	12.81	1.24	6.13	28.25	2.22	0.17	0.09	5.85	12.34	0.21	0.0	55.12	50.01	54.12
Rmi1	1.04	0.0	0.52	0.0	0.21	0.0	0.58	0.28	0.66	0.6	0.9	0.84	0.0	0.2	0.93	27.52	0.2	4.79	0.23	0.0	0.54	0.75	0.25	1.03	0.61	17.21	0.21	3.13	33.47	0.22	0.65	0.34	4.32	0.44	20.38	0.42	0.79	0.0	12.7	10.42	11.6
Safb	0.44	0.08	0.0	0.0	0.19	0.0	0.56	0.0	2.25	0.0	0.0	0.0	0.0	0.44	0.0	2.6	3.36	0.26	0.13	0.85	11.98	0.68	15.99	36.52	0.0	0.23	16.36	18.61	0.45	7.66	0.37	0.13	0.0	0.0	0.68	0.77	0.67	0.0	97.55	103.32	94.51
Serbp1	2.8	3.84	0.0	9.97	88.75	7.51	10.23	20.78	32.04	7.93	47.55	56.44	41.23	6.25	19.85	28.14	11.53	29.21	22.42	21.37	20.27	41.03	44.81	41.98	21.46	46.13	116.63	48.54	85.86	19.77	5.39	43.8	33.43	37.39	41.61	91.15	4.04	0.0	81.23	79.09	77.25
Sergef	15.93	0.0	0.0	0.34	0.0	0.0	153.96	0.17	64.04	0.0	0.0	0.0	40.01	0.0	0.0	108.21	96.32	6.98	0.0	0.0	0.91	15.05	12.03	47.74	48.33	0.0	71.64	0.0	97.71	79.29	40.96	69.13	1.53	28.64	26.8	23.38	69.45	0.0	28.32	29.19	27.61
Serp2	0.0	0.0	0.0	0.0	71.7	0.0	40.05	52.19	53.56	14.28	76.78	0.0	47.4	2.86	0.43	70.32	42.39	104.59	67.52	55.45	125.62	87.74	28.14	0.73	55.22	39.01	213.26	75.77	72.76	0.0	30.65	0.0	63.83	61.27	134.85	49.47	41.07	0.0	141.78	155.98	144.95
Sgtb	0.0	0.0	0.0	0.0	10.57	0.0	11.01	0.0	52.83	14.04	70.58	0.0	4.24	5.73	7.44	48.23	39.13	24.04	21.05	37.53	80.03	12.56	71.0	39.2	37.63	26.41	51.78	8.69	12.28	13.44	9.34	7.84	4.33	91.45	33.5	41.5	98.88	0.0	141.85	138.92	138.37
Slc25a22	0.0	2.7	0.0	0.0	1.36	0.0	9.4	23.31	17.1	0.64	37.03	0.0	119.61	0.0	0.59	61.94	100.43	41.31	28.76	65.86	48.99	24.19	31.99	48.8	41.66	54.51	19.68	24.78	11.53	87.09	1.07	8.37	1.15	0.74	118.47	43.7	25.05	0.0	216.4	224.4	229.63
Slc30a3	0.0	11.97	0.0	0.0	145.99	0.0	6.97	0.0	44.76	43.48	30.41	0.31	0.23	0.71	18.4	26.59	37.1	40.66	122.46	11.51	154.19	107.5	52.57	0.0	0.0	53.48	167.77	0.0	0.0	64.86	18.99	1.03	0.92	8.36	71.0	0.0	54.75	0.0	113.33	121.58	126.32
Slc30a7	142.66	0.0	0.0	5.86	0.0	0.0	0.18	0.46	6.21	0.0	0.0	1.64	0.0	20.49	24.1	19.88	6.87	0.52	0.0	3.67	0.05	6.01	0.0	17.15	0.0	30.02	5.46	0.0	0.0	24.61	0.89	0.0	0.16	0.62	0.04	6.78	0.02	0.0	8.31	7.21	7.28
Slc39a7	193.55	0.0	0.0	0.0	5.45	0.0	36.64	0.0	0.91	37.82	8.99	0.0	72.91	0.0	0.0	116.53	21.58	20.16	0.2	60.11	2.49	0.26	39.04	5.57	22.11	45.17	105.07	64.57	0.93	55.6	0.0	1.95	0.0	9.73	48.96	3.03	53.83	0.0	82.77	89.91	87.1
Stard7	0.0	0.0	0.0	0.16	0.0	0.0	0.8	0.0	28.72	49.08	0.0	0.0	49.88	24.1	14.43	85.7	0.0	28.7	0.0	0.0	3.76	19.5	18.64	2.37	0.0	0.0	155.35	17.46	1.75	79.33	0.0	0.0	90.89	49.44	79.52	9.81	0.0	0.0	89.19	86.61	83.84
Sult4a1	0.0	289.6	0.0	0.0	159.82	0.12	222.64	200.06	102.7	308.35	218.92	206.02	512.77	326.91	186.27	427.28	280.84	253.91	309.8	481.97	505.57	290.62	254.1	282.75	316.51	347.18	488.51	324.02	128.66	292.13	529.67	213.87	3.08	213.61	251.7	371.57	319.59	0.0	438.7	457.81	456.98
Tmem151b	0.0	32.29	0.0	0.43	0.0	0.18	44.88	26.77	38.56	27.81	83.01	0.33	26.41	59.32	21.6	160.08	27.22	27.15	39.63	106.26	4.72	69.37	27.57	60.63	0.25	49.39	51.99	3.95	30.14	77.96	52.54	1.58	88.01	68.22	41.61	80.78	76.89	0.0	73.63	72.91	73.42
Tmem9	0.33	20.84	0.0	0.0	233.22	743.06	94.56	222.79	63.68	17.05	87.0	58.83	0.32	4.42	196.18	97.54	149.75	13.96	31.07	50.72	61.4	157.7	60.27	58.47	2.24	164.62	247.5	246.98	65.19	210.0	93.86	9.71	17.12	152.62	113.55	242.24	165.27	0.0	67.22	75.25	69.64
Tom1l2	0.0	13.36	0.0	0.0	3.9	0.0	22.2	8.74	14.37	32.24	57.71	4.0	31.08	34.86	35.49	74.31	37.13	16.91	28.83	83.01	35.71	7.25	49.11	11.38	16.73	32.86	37.44	48.14	5.52	51.95	15.43	14.68	31.12	28.42	63.4	26.47	40.38	0.0	168.3	164.9	170.24
Tpra1	0.0	60.42	0.0	7.17	0.52	5.37	5.79	0.0	0.0	49.18	2.87	0.34	129.2	18.48	0.21	169.11	35.57	55.73	0.0	108.25	142.94	97.15	0.5	24.32	38.15	105.61	183.84	38.54	22.46	63.03	94.49	54.7	23.47	63.82	32.04	129.2	3.33	0.0	25.2	31.67	28.43
Trhr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9	0.0	0.0	21.0	0.0	0.0	37.26	0.0	5.09	1.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.38	0.0	0.0	5.38	4.43	7.17
