	Calb2_tdTpositive_cell_27	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_19	Ctgf_tdTpositive_cell_20	Cux2_tdTnegative_cell_4	Htr3a_tdTpositive_cell_34	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_111	Nos1_tdTpositive_cell_56	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_76	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_24	Sst_tdTpositive_cell_18	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32
Cyb561	0.0	417.46	198.65	281.62	0.0	0.0	217.44	87.37	0.0	0.0	0.67	0.11	51.36	74.47	0.78	200.33	117.43	1.75	0.0	316.29	157.83	0.0	0.0	25.22	0.0	94.08	72.78	352.33	236.62	560.44	0.57	15.73	42.24	0.18	87.58	76.36	119.53
D430041D05Rik	1.61	10.64	13.78	25.4	0.0	0.0	16.06	8.5	0.0	0.0	2.34	33.83	0.05	23.98	3.77	4.0	20.54	27.79	0.0	4.02	43.76	0.0	24.36	0.0	0.25	6.55	8.38	23.98	7.47	0.4	0.03	5.59	10.72	0.04	0.0	0.23	40.72
E130303B06Rik	0.0	2.08	0.0	53.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.35	0.0	109.42	0.0	94.83	0.0	0.0	0.0	77.9	0.0	0.0	81.58	0.0	0.0	8.08	9.68	0.0	0.23	69.34	0.0	15.84	0.0	0.0	10.99	0.0	0.0
Fam120b	0.0	10.37	33.26	13.87	0.0	0.0	50.04	25.03	40.63	0.06	0.0	30.03	0.18	31.02	5.73	16.76	15.63	73.31	0.26	21.43	82.37	0.0	75.38	24.15	0.16	21.62	37.69	30.8	21.15	43.63	4.16	40.59	17.93	0.1	1.09	0.0	26.02
Fam131a	0.0	153.46	104.84	266.17	0.0	0.0	172.32	180.8	0.0	0.16	190.15	319.29	132.48	181.91	226.54	543.4	199.92	219.83	0.0	299.91	333.78	0.0	203.15	17.81	290.82	128.27	231.84	534.01	346.78	297.88	53.02	102.47	130.76	171.39	115.52	66.41	290.94
Far2	0.0	0.0	29.45	35.94	0.0	0.0	60.5	153.02	0.0	0.0	0.0	0.0	8.84	33.91	67.94	36.57	3.53	11.43	0.0	45.34	156.89	0.0	63.86	9.0	0.0	34.95	42.0	79.7	117.3	101.27	0.0	26.01	32.99	0.0	0.0	0.0	81.16
Fyttd1	0.0	38.47	51.37	65.93	0.0	0.1	172.5	74.53	69.03	5.98	82.69	4.9	49.89	1.52	59.42	54.25	16.52	96.55	0.0	92.18	130.61	0.0	74.31	27.97	0.0	49.18	34.9	52.86	87.93	73.44	2.94	35.88	44.54	0.0	50.68	20.53	101.05
Gabrb3	0.0	35.73	43.36	45.48	0.0	0.16	68.72	125.23	0.0	0.12	7.45	75.12	15.39	30.28	50.62	34.47	98.27	14.69	0.0	139.18	180.09	0.23	76.33	25.77	0.16	55.97	32.6	2.24	31.37	97.9	0.98	17.9	100.44	115.28	24.67	12.1	164.66
Gm13306	0.0	0.59	119.29	39.7	0.0	5.27	71.72	14.78	0.29	0.0	5.88	310.16	318.99	272.53	188.03	85.18	178.93	211.15	0.0	125.6	118.89	0.0	150.83	4.89	0.0	54.7	75.81	138.81	91.35	100.7	80.83	235.31	83.58	176.84	97.07	149.77	258.72
Gm14431	0.75	0.7	0.68	1.13	0.0	0.0	1.23	0.99	0.17	0.0	0.0	1.02	0.06	0.48	0.0	2.71	0.0	5.09	0.19	1.97	0.96	0.0	1.11	0.89	0.7	0.71	0.72	2.13	4.76	0.91	0.0	0.0	3.76	0.0	0.37	3.49	0.5
Gm2506	0.0	0.59	119.29	39.7	0.0	5.27	71.72	14.78	0.29	0.0	5.88	310.16	318.99	272.53	188.03	85.18	178.93	211.15	0.0	125.6	118.89	0.0	150.83	4.89	0.0	54.7	75.81	138.81	91.35	100.7	80.83	235.31	83.58	176.84	97.07	149.77	258.72
Gm8898	0.75	0.7	0.68	1.13	0.0	0.0	1.23	0.99	0.17	0.0	0.0	1.02	0.06	0.48	0.0	2.71	0.0	5.09	0.19	1.97	0.96	0.0	1.11	0.89	0.7	0.71	0.72	2.13	4.76	0.91	0.0	0.0	3.76	0.0	0.37	3.49	0.5
Gnb5	0.0	51.1	361.22	443.8	0.0	72.33	242.23	543.83	228.15	0.31	406.48	357.74	327.9	633.0	30.78	506.45	125.88	300.59	0.33	722.01	868.09	0.0	564.73	113.29	0.0	307.27	295.1	894.74	415.04	240.09	126.7	410.95	122.41	41.34	201.04	21.26	458.5
Mical2	0.0	24.22	47.98	45.54	0.0	0.0	68.88	76.84	7.92	0.1	35.06	62.37	21.09	96.14	58.65	3.04	41.63	42.14	0.0	112.41	144.92	0.0	46.97	4.3	0.07	43.7	26.76	12.77	6.83	109.82	8.42	38.21	49.69	9.74	0.13	59.37	56.74
Mrpl46	0.0	265.49	231.35	393.36	0.0	178.33	229.19	303.19	0.0	0.36	0.0	1.08	141.6	359.82	112.78	97.06	402.51	200.38	0.0	303.97	180.82	0.0	231.3	46.59	0.45	250.3	177.61	0.33	173.7	273.67	228.39	361.68	90.51	541.21	132.41	423.16	69.4
Nosip	0.56	43.01	99.03	78.19	0.0	88.31	136.85	130.59	0.48	0.0	2.11	8.29	1.12	128.19	85.62	400.49	120.17	73.63	1.89	175.11	98.32	1.11	172.61	1.42	1.52	96.95	94.82	2.21	104.53	141.3	6.19	2.38	53.62	0.95	3.52	93.03	76.04
Nudt21	0.59	71.58	31.89	118.04	0.0	5.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.74	0.71	17.97	0.0	103.68	0.0	254.64	75.1	0.0	241.47	7.02	0.0	12.72	101.64	0.3	97.3	57.8	0.0	0.0	0.0	82.29	0.0	0.0	133.09
Pcp4	2218.95	5350.95	4871.0	4341.13	0.0	3287.36	5130.46	5293.38	5082.23	7467.74	5853.47	6240.76	5498.56	5326.1	6808.32	7407.1	6583.41	4322.71	0.0	4134.5	4770.47	0.0	7030.52	5005.09	5492.66	4928.48	5219.57	7638.97	5202.71	5242.95	6941.16	7178.2	5557.87	6670.6	6291.11	8685.7	6217.49
Pde4a	0.0	19.07	42.88	32.91	0.0	0.0	22.13	20.7	14.48	0.34	12.84	0.32	2.37	51.78	17.74	21.39	13.29	24.82	0.0	107.64	15.53	0.0	2.24	2.41	0.0	19.46	34.1	52.71	4.4	9.93	10.97	45.45	32.77	3.06	2.91	0.0	25.56
Phf20	25.85	101.28	57.25	0.75	0.0	0.23	27.24	16.46	2.52	0.0	38.24	6.62	37.1	0.05	80.9	39.51	50.68	46.65	0.0	93.3	87.36	0.0	74.25	19.26	4.77	49.74	38.48	85.07	0.0	50.01	76.51	41.26	80.03	110.76	61.87	0.0	21.85
Plec	0.0	7.98	4.88	15.03	0.0	0.0	48.38	18.61	11.21	0.05	30.86	13.58	35.0	39.9	57.15	47.11	32.39	28.98	0.0	12.4	49.97	0.0	40.1	8.97	0.06	22.51	20.93	72.77	52.87	58.63	0.0	2.14	45.78	0.06	9.83	16.2	19.28
Ppig	0.0	76.99	65.48	23.53	0.0	0.07	45.19	79.62	0.04	0.0	60.18	12.17	28.2	24.98	98.63	5.35	46.54	40.73	0.18	51.72	63.94	0.0	34.73	31.45	0.0	45.65	44.31	89.93	33.06	48.47	4.75	7.82	48.18	15.81	2.67	31.06	48.82
Ppp1r7	1.99	6.88	42.43	103.38	0.0	22.05	153.78	175.53	56.36	1.13	199.12	127.88	131.85	116.69	191.1	37.53	13.77	167.92	0.35	219.37	136.51	2.98	55.48	45.58	2.65	63.69	63.15	93.84	69.72	6.39	2.25	99.55	53.83	177.96	47.11	35.77	100.8
Prkcc	0.0	78.96	319.7	116.74	0.0	0.0	273.95	104.94	19.32	355.17	99.88	229.87	191.87	353.86	202.82	189.99	257.5	189.69	0.0	334.85	509.54	0.0	126.35	13.07	0.0	156.03	200.79	234.03	223.17	235.86	3.86	112.65	205.53	90.67	84.37	61.11	256.6
Rrp1	0.0	340.69	188.19	222.2	0.0	3.27	208.38	229.55	26.45	0.36	150.74	65.04	321.22	47.26	440.13	414.62	338.53	204.94	0.0	396.03	195.1	0.0	127.81	35.82	183.83	192.72	182.05	161.09	164.23	372.73	97.99	113.37	216.03	41.82	8.24	146.24	140.03
Scai	0.0	27.26	9.06	79.41	0.0	0.0	1.19	13.95	1.21	0.03	1.3	33.15	0.18	12.34	0.83	31.66	0.57	9.58	0.0	43.53	8.18	0.12	81.8	7.87	0.0	10.5	7.66	5.3	25.0	19.33	0.05	0.42	43.78	1.3	0.06	3.8	21.3
Scamp5	0.0	2.22	23.97	143.6	0.0	4.48	94.08	31.73	1.18	4.98	24.3	7.96	55.91	9.08	0.36	79.55	23.18	58.32	0.24	36.89	2.43	0.0	0.0	2.86	0.0	19.67	64.25	76.42	39.64	98.03	0.0	54.24	2.41	0.69	93.27	30.38	44.95
Slitrk3	0.0	0.0	61.83	13.22	0.0	0.0	5.24	0.43	42.69	0.0	0.0	0.0	39.51	48.06	0.0	0.09	0.0	0.0	0.0	45.1	89.54	0.0	5.26	12.37	0.0	2.68	9.16	49.52	72.43	0.0	0.0	0.0	0.08	10.79	2.02	10.87	48.9
Srp54a	0.0	25.16	48.04	53.47	0.0	16.56	22.63	0.0	8.79	0.0	4.24	13.65	19.51	4.75	20.55	15.58	8.14	11.44	0.0	61.65	53.65	0.0	15.0	0.0	0.0	14.05	18.74	0.0	14.79	39.13	5.52	7.35	29.44	10.13	2.76	0.0	33.94
Ssbp2	0.0	289.76	72.38	96.71	26.71	0.78	48.99	50.7	2.97	1.06	96.3	78.05	83.59	136.55	54.32	164.28	96.48	77.29	0.0	328.0	190.99	0.0	84.94	6.7	0.0	97.05	90.31	132.7	128.74	134.24	185.49	116.28	177.67	123.03	86.11	75.43	30.23
Tanc2	0.32	0.27	36.04	57.75	0.03	0.29	51.82	87.6	0.14	0.1	24.11	20.26	25.34	11.97	38.54	68.95	39.58	56.03	1.62	81.06	44.85	0.0	114.94	2.26	1.59	24.76	22.39	34.65	18.75	23.36	10.97	19.4	73.63	12.16	8.92	52.05	17.31
