	Calb2_tdTpositive_cell_27	Chrna2_tdTpositive_cell_51	Cux2_tdTnegative_cell_16	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_20	Slc17a6_tdTpositive_cell_23	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_43
Dok5	0.0	59.38	1.77	0.69	475.18	75.62	0.41	1.8	2.06	0.87	0.35	0.86	0.54	183.79	0.43	193.62	236.53	296.46	123.73	171.43	22.63	203.21	122.62	208.53
Dtna	0.0	25.65	0.0	168.31	29.89	223.15	0.0	0.0	103.1	0.0	0.0	0.08	0.0	0.12	0.0	105.83	191.2	113.87	9.49	123.57	51.42	68.31	11.23	0.23
Dynll1	45.31	1447.06	550.63	766.55	1558.91	1119.76	0.0	275.83	864.03	1.49	544.92	631.99	179.8	708.8	905.57	1236.1	738.57	853.25	1303.01	1539.4	1282.72	1362.68	1104.32	533.96
Emb	0.0	0.0	0.0	0.0	104.91	79.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.49	152.67	269.21	149.19	65.1	0.0	0.0	5.68	0.0
Exoc6	0.0	13.04	0.0	55.15	5.23	47.87	0.0	251.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.11	45.38	65.97	68.29	41.71	10.08	3.56	0.0	0.14
Fam131a	0.0	148.49	0.0	100.34	132.48	543.4	0.0	16.64	0.34	0.11	0.28	0.0	0.0	8.96	0.0	297.88	169.21	148.43	53.02	102.47	130.76	115.52	66.41	80.75
Fkbp1a	0.0	381.28	420.79	195.52	445.41	497.36	106.87	282.86	59.2	22.43	0.0	98.32	0.88	569.79	440.12	598.95	321.09	534.24	148.0	173.13	68.51	191.22	378.06	613.23
Gadd45a	0.0	11.14	0.0	6.48	208.91	118.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	375.99	145.73	46.8	8.07	29.09	49.99	31.18	7.85	345.15
Garnl3	0.0	20.47	0.0	44.11	49.27	134.78	0.11	61.7	125.28	0.0	0.0	0.0	0.0	0.0	63.2	158.81	125.49	8.53	18.95	77.0	46.06	13.32	56.93	44.07
Gm13306	0.0	19.36	9.53	352.63	318.99	85.18	0.0	279.74	364.23	0.0	0.0	0.0	0.0	144.42	30.14	100.7	111.82	319.12	80.83	235.31	83.58	97.07	149.77	95.77
Gm2506	0.0	19.36	9.53	352.63	318.99	85.18	0.0	279.74	364.23	0.0	0.0	0.0	0.0	144.42	30.14	100.7	111.82	319.12	80.83	235.31	83.58	97.07	149.77	95.77
Gpr123	97.22	54.58	0.0	42.15	158.87	17.39	0.0	258.97	82.79	0.17	0.0	0.29	0.0	122.86	0.14	46.51	62.08	331.87	55.57	225.92	230.37	100.66	126.03	97.42
Grin2b	52.01	154.64	107.26	278.15	168.66	295.67	0.25	356.75	188.95	0.09	0.0	0.09	0.0	299.95	165.56	213.5	240.06	186.82	118.88	55.51	128.86	73.91	69.08	82.65
H2-T23	84.21	116.68	121.35	138.59	353.21	591.83	95.53	149.95	137.35	114.5	205.12	16.96	85.14	229.49	228.7	546.66	201.12	191.6	158.87	321.04	105.87	1014.86	258.02	133.62
Hs3st2	0.0	2.71	0.0	109.35	0.0	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.22	0.0	139.63	0.75	31.19	16.97	37.61	0.34
Hs3st4	0.0	62.47	0.0	48.79	61.79	55.74	0.0	236.64	147.63	0.0	0.0	0.0	0.0	1.25	0.0	170.53	128.72	34.57	7.56	175.27	0.1	88.96	94.93	231.79
Igfbp4	0.0	0.0	0.0	0.0	21.2	240.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.57	0.0	13.31	102.14	0.0	114.07	19.86	17.15	8.89
Lmo3	0.0	104.36	476.53	548.66	98.97	620.04	0.0	1601.72	1617.69	0.11	0.0	0.0	0.0	375.19	1043.59	664.0	688.14	539.1	309.27	322.0	449.17	177.72	328.07	339.63
Lrrtm2	0.0	2.36	95.56	43.71	81.28	37.05	0.0	23.33	2.86	0.04	0.0	0.0	0.0	115.36	94.11	129.42	118.18	31.59	1.25	19.8	65.23	22.75	0.8	119.09
Lsmd1	0.0	30.23	536.59	274.71	359.1	164.99	351.73	380.52	361.14	179.83	0.0	0.0	134.27	414.76	0.0	260.38	355.64	625.8	401.37	236.29	289.34	512.28	173.31	81.62
Mctp1	0.0	40.74	0.0	22.7	24.87	12.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224.88	8.09	114.7	21.06	89.79	46.13	55.21	71.04	44.47
Med10	0.0	385.11	267.72	62.76	728.25	692.47	0.0	0.0	1.39	0.58	521.43	0.0	0.0	288.01	0.0	628.98	228.16	967.82	475.97	646.98	881.48	617.72	249.43	318.55
Mmp17	0.0	5.98	0.0	0.0	110.78	0.0	0.0	0.0	3.81	0.2	0.0	0.0	0.0	0.0	0.0	46.24	29.78	42.99	56.78	25.25	153.99	43.89	175.08	188.39
Myadm	375.4	160.64	0.0	34.03	7.6	93.51	0.0	156.04	18.16	0.0	0.0	0.0	0.0	28.75	94.68	16.46	14.68	10.21	95.52	39.17	74.76	6.55	60.58	9.99
Myh3	0.0	0.0	0.0	0.0	13.46	23.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.31	17.99	0.0	0.0	2.94	14.07	3.51	0.0	0.83
N28178	0.0	2.6	0.3	0.93	0.15	45.69	0.0	5.09	0.12	0.07	0.0	0.0	0.0	122.25	1.33	177.7	33.24	40.31	28.23	85.39	96.75	31.76	16.64	6.94
Nos1ap	0.0	0.42	0.0	21.62	203.83	99.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.81	0.0	191.36	128.02	3.71	120.49	79.47	23.59	75.84	24.77	38.82
Nptx1	0.0	48.3	85.53	155.97	49.96	72.44	0.0	150.65	70.64	0.0	0.0	0.0	0.0	8.19	74.34	142.24	160.97	79.39	71.06	100.21	247.4	80.19	41.46	178.74
Nrp1	0.0	0.0	1.37	33.94	32.4	70.75	0.0	52.49	6.82	0.08	0.0	0.0	0.0	0.0	93.1	13.27	98.0	45.29	87.68	85.28	50.93	24.92	19.27	36.28
Nrxn3	0.0	6.62	0.2	80.72	139.93	77.9	0.07	9.56	0.23	0.14	0.0	0.0	0.0	10.29	0.0	123.86	70.62	85.07	98.97	11.24	106.25	74.62	90.35	40.82
Ociad2	12.77	176.09	86.8	65.36	623.86	511.0	8.9	105.22	517.72	16.28	2.09	3.33	15.7	22.05	100.99	244.87	592.19	524.13	522.74	614.82	266.51	453.9	446.49	16.46
Pcp4	2218.95	4955.04	0.0	3863.9	5498.56	7407.1	0.0	2189.58	1975.8	0.79	0.0	0.0	0.0	4710.66	3923.3	5242.95	4439.21	4654.82	6941.16	7178.2	5557.87	6291.11	8685.7	4044.68
Pdlim1	0.0	0.0	345.59	0.47	0.0	69.67	0.0	0.0	0.0	0.0	0.0	0.94	285.93	0.0	0.0	318.53	0.0	0.0	284.65	194.96	124.85	219.26	32.16	0.0
Ppa1	2.03	211.74	0.0	161.42	183.55	759.04	0.0	0.3	96.8	0.19	0.0	0.0	0.0	360.41	460.88	530.99	78.4	342.28	451.59	892.57	178.13	58.62	26.67	61.75
Prkcb	0.35	218.9	270.11	31.45	143.75	283.48	0.04	189.67	3.22	0.3	0.0	0.0	22.62	0.15	0.92	289.23	241.56	205.14	399.85	339.75	281.91	247.11	248.14	145.36
Prkcc	0.0	178.84	1.51	18.73	191.87	189.99	0.0	138.36	80.89	0.0	0.0	0.0	0.0	190.69	162.58	235.86	0.13	174.06	3.86	112.65	205.53	84.37	61.11	372.19
Ptk2b	0.0	119.13	38.83	0.18	63.75	209.97	0.2	18.12	99.06	0.06	0.0	0.0	0.0	33.22	2.13	52.35	54.62	171.45	122.14	184.49	165.28	137.06	42.47	18.54
Ramp3	0.0	0.0	0.0	0.0	197.44	0.0	0.0	0.0	80.56	0.0	0.0	0.0	0.0	0.0	185.36	0.0	0.0	527.39	238.75	422.62	129.73	545.45	390.09	0.0
Rogdi	2.81	709.51	272.48	233.58	401.73	489.02	0.0	334.82	319.59	0.35	0.0	3.06	103.38	322.35	677.82	1331.52	790.26	700.39	262.08	973.47	797.55	253.75	669.93	573.61
Sema3a	0.0	15.86	3.55	0.11	0.63	56.19	0.0	0.06	0.18	0.0	0.11	0.0	0.0	0.0	0.19	8.09	38.71	37.39	105.41	28.14	59.68	17.39	84.64	13.68
Sema3e	0.73	0.0	0.41	43.95	23.13	4.41	0.15	15.28	162.54	0.15	0.0	0.0	0.14	2.9	0.37	35.88	95.39	2.79	0.21	46.26	0.21	0.14	4.66	7.03
Serinc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.9	0.0	108.49	105.18	0.0	0.15	0.0	0.0	0.0	0.0	0.0
Serpinb8	0.0	0.11	0.98	0.82	22.72	198.18	0.0	1.39	0.2	0.0	0.0	0.0	0.0	1.89	0.74	74.39	47.27	0.0	64.21	0.19	0.0	6.09	0.07	1.99
Sez6l	0.0	8.19	21.49	3.08	42.04	29.43	0.0	24.88	6.67	0.12	0.0	0.0	0.0	5.95	29.81	83.53	23.47	20.05	0.0	2.87	68.59	17.98	10.01	39.08
Slc35f1	0.64	41.5	0.2	18.53	13.85	15.22	0.0	1.23	4.68	0.0	0.12	0.0	0.0	1.83	14.51	110.74	4.34	66.13	132.86	1.22	17.24	29.06	5.53	3.14
Slc7a4	0.0	143.17	0.0	99.47	0.0	0.0	0.12	55.83	114.76	0.06	0.0	0.0	0.0	0.0	267.07	233.43	535.61	132.62	62.88	54.08	23.02	20.07	2.44	65.99
Slc8a1	0.0	0.14	7.36	17.37	18.79	28.91	77.9	34.08	9.45	0.0	40.51	0.0	0.0	19.57	11.65	57.45	63.96	58.84	28.82	20.64	23.88	40.39	76.32	89.37
Stmn1	10414.48	10587.49	11391.73	12096.72	9467.14	8680.94	10015.46	13005.25	11961.92	4977.06	6980.74	6841.51	6129.65	9453.54	10788.95	8937.9	7108.9	10789.21	9222.0	12161.23	10051.01	11287.74	9866.46	8419.83
Syt12	0.68	0.86	1.73	1.44	1.38	12.55	0.16	0.72	1.74	1.76	1.16	0.24	1.24	2.37	2.01	23.56	98.46	2.35	1.89	12.62	0.91	1.24	11.36	1.01
Syt16	0.0	2.96	0.0	77.25	5.21	10.17	0.0	0.0	2.82	0.09	0.0	0.0	0.0	163.93	46.41	104.27	0.25	8.2	0.21	8.45	100.65	13.94	27.35	227.43
Syt6	0.0	0.0	0.0	0.08	0.0	47.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.44	0.0	0.0	0.0	0.0	0.0	87.74	135.96
Syt7	132.86	30.11	6.27	6.06	71.66	32.84	0.0	3.4	78.47	0.07	0.36	0.66	0.0	2.17	1.22	26.94	10.77	65.89	22.01	12.62	70.68	14.73	44.65	16.55
Tceal5	0.0	3.75	8.9	7.13	159.86	41.28	0.0	6.96	44.78	0.24	0.0	0.0	0.0	79.92	0.0	118.22	27.5	39.77	23.99	34.23	17.38	95.71	80.4	29.78
Tle4	0.0	0.0	0.0	150.82	61.93	67.46	0.0	128.86	0.0	0.0	0.0	1.37	0.0	118.97	270.06	150.25	37.28	116.96	13.72	25.32	22.5	28.0	249.91	31.56
Tmem159	0.0	79.42	0.0	287.37	413.11	0.0	0.0	201.63	199.49	0.0	0.0	0.0	0.0	309.78	235.36	418.63	411.6	185.19	248.17	207.63	255.69	134.86	167.48	0.0
Ttc9b	0.74	36.29	17.24	0.0	416.38	189.03	0.0	176.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.27	14.93	134.97	0.0	1.95	17.85	10.09	139.78	0.0
mt_AK136262	0.0	0.0	0.0	3.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.18	1.14	52.84	0.09	5.83	2.02	0.0	12.15
mt_AK142003	0.0	0.0	0.0	3.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.18	1.14	52.84	0.09	5.83	2.02	0.0	12.15
mt_AK166798	0.0	0.0	0.0	3.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.18	1.14	52.84	0.09	5.83	2.02	0.0	12.15
mt_AK166978	0.0	0.0	0.0	3.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.01	0.18	1.14	52.84	0.09	5.83	2.02	0.0	12.15
