	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_8	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_54	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_65	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_26	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_34	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTnegative_cell_50	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rbp4_tdTpositive_cell_172	Rorb_tdTpositive_cell_3	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_37	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg3_tdTpositive_cell_36	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
Gls2	0.0	1.5	94.29	0.0	0.0	0.0	0.0	2.3	0.0	145.73	121.98	0.0	62.7	0.0	0.0	1.89	0.48	1.84	0.0	0.0	2.91	0.0	0.36	0.0	0.0	3.86	0.0	63.34	3.39	0.0	1.9	251.66	0.0	0.0	0.0	0.0	16.14	8.85	16.78	13.04	11.18	23.15	22.31
Gm2002	0.0	0.07	0.0	0.0	0.0	0.0	0.11	0.0	0.39	0.0	0.41	0.37	0.08	0.0	0.23	0.14	0.07	0.06	0.2	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.05	0.0	0.04	0.02	0.0	0.0	0.0	0.0	2.35	0.41	1.27	4.28	1.89	1.73	1.86
Gps2	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	80.59	0.0	0.0	80.47	90.08	0.0	0.0	102.73	104.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.05	141.26	0.0	4.48	182.49	0.92	33.62	20.18	15.34	20.29	22.23	29.19	30.46
Herc1	17.38	44.58	38.65	11.08	28.42	22.5	23.03	89.07	61.77	85.41	7.51	19.83	85.73	3.95	33.18	21.33	38.38	1.12	0.0	4.05	22.01	45.87	25.83	46.06	40.17	7.85	20.21	26.74	17.21	9.45	73.13	81.21	16.13	10.81	12.81	32.0	28.25	15.16	26.54	21.47	22.18	61.27	54.82
Hist1h2bq	0.19	0.03	0.03	0.0	0.15	0.26	0.0	0.22	0.35	0.09	0.1	0.0	0.0	0.0	0.0	0.08	0.12	0.01	0.0	0.0	0.28	0.0	0.76	0.0	0.0	0.0	0.1	0.0	0.06	0.0	0.05	0.18	0.03	0.0	0.0	0.15	0.07	0.06	0.07	0.11	0.53	0.38	0.28
Hist1h2br	0.19	0.03	0.03	0.0	0.15	0.26	0.0	0.22	0.35	0.09	0.1	0.0	0.0	0.0	0.0	0.08	0.12	0.01	0.0	0.0	0.28	0.0	0.76	0.0	0.0	0.0	0.1	0.0	0.06	0.0	0.05	0.18	0.03	0.0	0.0	0.15	0.07	0.06	0.07	0.11	0.53	0.38	0.28
Ikbip	88.78	0.05	0.87	0.46	1.17	0.0	0.18	0.71	0.23	0.95	1.07	0.12	0.74	1.19	0.22	0.17	0.87	1.04	0.1	0.74	37.84	0.46	1.34	0.35	8.19	0.47	0.57	0.43	0.87	0.47	0.11	112.41	0.17	0.6	0.03	3.69	18.86	3.83	3.3	5.28	2.19	12.87	13.9
Il11ra2	0.0	0.07	0.0	0.0	0.0	0.0	0.11	0.0	0.39	0.0	0.41	0.37	0.08	0.0	0.23	0.14	0.07	0.06	0.2	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.05	0.0	0.04	0.02	0.0	0.0	0.0	0.0	2.35	0.41	1.27	4.28	1.89	1.73	1.86
Itsn1	1.75	2.08	2.19	2.19	2.15	1.88	1.31	7.78	3.61	2.44	2.07	3.0	13.17	2.46	8.77	2.01	3.28	8.26	0.99	5.3	1.4	3.68	3.5	2.76	2.37	0.88	15.83	1.48	1.85	2.12	11.39	27.52	18.49	3.11	1.83	1.79	4.84	7.82	7.09	6.64	6.21	51.09	47.68
Kcna4	0.0	0.0	0.0	0.0	0.0	19.37	0.0	0.0	0.0	0.0	4.11	0.0	1.57	0.0	5.56	4.63	16.98	0.0	0.13	0.0	0.0	2.26	0.0	0.0	49.05	70.5	0.95	24.51	0.0	0.0	1.26	39.37	17.49	0.0	0.0	0.97	0.25	7.42	1.16	5.91	4.12	16.2	14.71
Kdm5c	8.47	4.99	0.03	10.41	0.0	41.17	4.7	0.0	0.0	2.81	7.24	3.65	19.48	0.0	5.49	6.52	11.72	6.34	9.13	4.02	5.72	22.48	0.07	14.31	2.59	7.94	11.7	0.0	7.51	13.3	5.49	47.76	28.06	0.33	0.0	9.65	6.52	8.39	6.72	5.15	4.98	34.89	26.41
Kif9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	0.0	0.14	0.0	0.0	0.0	0.0	62.95	0.0	0.0	0.0	1.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	89.97	0.0	0.93	0.0	0.0	3.28	8.02	8.84	2.64	5.16	4.63	4.25
Lsm4	0.0	0.16	0.78	1.66	0.0	1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.47	27.7	0.0	5.43	0.0	0.0	0.0	0.0	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.3	99.77	7.95	0.33	0.0	0.3	2.99	4.92	0.0	1.14	2.69	49.03	64.24
Madd	3.29	28.12	84.51	70.5	7.84	0.63	50.87	13.44	8.68	19.98	70.4	122.21	170.31	57.58	50.51	30.36	14.43	39.42	13.83	46.88	36.34	1.4	10.03	1.3	98.62	50.09	20.19	5.29	2.67	0.32	164.79	192.37	49.73	17.04	2.48	0.57	34.69	36.02	27.52	35.5	31.56	113.32	109.49
Map2k7	0.9	6.17	54.11	0.0	0.36	0.0	36.77	59.69	0.0	68.99	0.0	0.0	0.0	0.0	1.51	4.71	84.84	1.71	66.07	34.14	0.0	0.0	1.04	0.0	7.76	0.0	32.01	0.0	0.31	215.62	0.03	100.39	37.14	0.87	0.0	0.12	12.97	7.51	9.25	10.48	11.56	58.55	64.67
Mbtps2	0.11	45.55	0.05	20.04	0.0	0.11	0.09	0.81	0.15	0.22	46.02	0.0	0.09	0.0	0.05	0.1	63.49	1.77	0.07	44.38	0.25	53.9	0.13	0.4	28.49	0.0	0.18	0.07	0.0	0.0	0.02	47.72	0.0	0.14	0.03	0.26	20.37	11.67	7.27	11.01	8.25	18.29	17.06
Mfsd10	0.0	0.0	0.06	0.0	0.0	0.3	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	1.29	0.19	0.09	0.0	0.0	0.0	0.0	0.0	0.24	0.0	49.06	0.0	0.23	1.54	0.0	0.0	0.0	0.07	0.06	0.0	0.0	0.83	5.64	2.6	3.47	4.76	9.41	21.21	23.51
Mri1	0.0	0.13	0.2	0.0	2.01	0.26	0.0	0.32	0.0	0.0	0.0	0.0	0.91	7.22	0.05	0.28	0.53	0.0	0.0	0.69	0.84	0.0	1.44	0.29	0.0	0.25	0.21	15.27	0.11	0.0	0.09	43.43	0.11	0.0	0.0	0.0	0.14	0.0	2.38	0.16	3.42	11.78	13.9
Nelf	0.0	0.0	0.04	0.72	0.0	0.0	0.0	25.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	14.47	0.0	0.0	0.0	0.0	0.0	0.44	43.96	0.0	2.09	0.44	0.0	2.0	4.18	16.06	91.62	0.1	0.13	100.66	20.4	22.44	10.82	11.76	11.45	364.64	385.29
Neo1	0.31	0.02	0.04	0.0	0.0	165.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	2.4	2.26	0.09	0.0	26.79	25.54	0.0	1.4	12.58	19.87	2.66	0.0	2.83	0.08	0.0	0.0	0.0	92.08	21.33	0.6	49.61	0.07	4.89	2.67	2.59	2.62	3.11	43.16	40.98
Nphp4	0.0	0.61	0.0	0.0	0.12	2.91	3.41	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.06	3.3	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.24	0.94	0.75	1.78	11.9	12.75
Nudt4	229.74	95.47	8.1	169.76	77.29	84.99	168.37	109.11	0.23	1.83	7.25	96.07	107.03	5.01	211.89	119.82	48.66	0.5	68.59	0.0	1.55	165.9	30.28	3.5	55.73	0.0	61.84	26.6	0.0	9.94	156.58	282.29	52.59	0.09	5.62	18.48	34.98	14.08	36.99	34.08	34.06	143.72	140.46
Parp8	0.0	0.0	0.03	0.0	0.0	0.0	0.0	2.31	0.0	0.13	0.0	0.0	0.0	0.0	0.03	27.77	0.0	0.42	0.0	0.0	0.0	1.12	0.0	0.0	0.0	0.0	0.0	0.2	0.0	4.23	0.0	151.89	0.0	0.0	0.0	0.0	0.58	9.41	2.31	5.34	2.8	16.76	16.19
Pgbd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	41.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	53.42	0.2	0.0	29.07	0.1	159.52	0.07	0.0	0.0	0.84	0.19	6.17	7.83	4.74	9.03	2.23	1.96
Phc3	0.0	8.7	6.95	3.62	0.6	2.38	0.0	7.01	0.26	4.26	0.17	0.51	0.04	0.0	12.83	0.02	5.19	2.44	21.68	0.0	0.11	0.06	4.32	1.7	2.34	0.0	5.74	7.56	0.18	0.0	0.07	21.12	0.75	0.14	14.16	0.32	8.45	2.66	3.4	2.16	4.51	22.54	20.64
Prr5	0.84	0.0	0.58	0.42	0.99	1.27	0.22	1.29	1.46	0.69	0.87	0.57	0.21	0.0	0.14	0.11	0.0	0.96	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.74	0.19	0.23	0.29	0.0	0.38	3.13	0.54	0.13	0.22	0.61	1.21	0.44	0.0	0.4	0.65	5.73	5.99
Ptpmt1	0.0	0.0	0.0	0.0	0.0	0.0	5.68	0.0	0.0	33.71	0.0	0.26	0.0	0.0	71.49	0.07	0.0	31.2	0.0	0.0	0.0	39.69	0.0	0.0	0.0	49.85	30.12	0.0	0.0	0.0	0.0	139.11	92.55	0.0	0.0	0.21	15.81	23.92	6.71	16.0	11.57	39.42	39.68
Rad9	0.0	0.15	0.1	0.0	0.0	0.0	0.0	0.29	1.51	181.03	0.45	0.17	0.0	0.0	0.06	0.09	0.17	0.0	0.0	0.58	0.0	0.0	0.45	0.0	0.0	0.26	0.22	91.19	0.13	0.49	0.0	194.54	0.64	0.0	0.0	0.0	25.91	16.04	19.45	8.9	13.37	9.89	10.94
Rccd1	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.09	0.0	0.0	0.0	0.0	14.92	0.0	0.0	0.0	0.0	2.57	1.05	0.13	0.0	0.3	9.13	9.4
Rheb	65.53	35.07	2.0	5.26	10.65	50.05	61.73	2.79	2.06	123.46	3.46	78.26	3.93	96.41	7.37	4.34	6.24	4.36	3.08	13.58	0.8	7.36	7.14	56.6	45.2	4.97	15.8	9.87	212.87	116.79	28.7	104.37	11.6	15.69	14.36	1.39	71.46	49.26	39.74	53.97	57.68	147.49	152.4
Rilpl2	0.0	67.72	28.12	0.0	0.0	191.72	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	112.39	0.0	0.0	0.0	0.0	0.0	46.75	0.0	0.0	0.0	0.52	176.27	0.27	0.0	0.0	0.0	3.42	12.87	7.53	8.69	4.52	18.86	18.37
Sbsn	0.0	15.78	42.03	0.0	4.45	54.88	0.0	30.47	92.91	33.54	0.0	0.0	0.0	56.31	47.6	34.77	0.0	34.17	0.0	1.71	0.0	25.12	0.0	0.0	4.77	0.0	20.21	22.01	0.0	74.22	0.0	91.88	0.0	0.0	5.18	6.13	7.85	34.09	9.54	22.17	13.61	10.78	10.08
Scap	0.0	0.0	0.1	0.05	0.0	0.13	0.1	0.86	125.13	0.57	0.32	0.0	0.41	0.0	0.5	0.96	0.0	0.0	0.0	0.0	0.0	1.5	30.32	0.76	0.0	0.0	1.02	0.07	0.0	0.0	1.73	37.67	0.38	0.75	50.73	8.24	4.4	1.42	3.44	5.29	4.17	54.94	62.12
Sec24c	0.0	86.24	9.08	195.33	0.0	71.56	16.98	0.04	1.31	0.37	31.97	47.74	0.0	0.0	6.42	4.78	9.73	0.08	3.57	46.69	0.0	10.59	0.0	0.0	5.86	1.45	0.6	0.0	0.0	0.0	32.37	168.69	17.65	20.04	0.0	2.95	17.35	10.44	17.16	11.77	18.36	54.15	52.33
Sgpp1	0.0	0.0	3.4	0.0	0.0	0.0	0.13	1.47	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.03	2.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	88.77	0.0	0.0	0.0	0.08	1.8	2.66	5.01	6.7	4.06	34.14	35.26
Snap25	26182.83	20995.4	24880.43	23752.44	17984.32	25194.29	21404.94	24000.2	22188.29	24648.02	21855.18	18757.51	22891.51	18204.99	21740.03	21362.22	21459.53	21685.06	21261.82	23051.34	18976.87	22470.57	21096.18	21550.85	19454.91	21696.22	22039.64	19998.95	21226.95	25542.47	21954.45	15290.89	22725.47	19485.64	18812.81	20516.03	17485.78	16180.38	20846.74	19146.26	18964.09	2513.78	2278.43
Sprn	0.0	4.39	0.03	31.3	9.48	149.09	212.11	0.0	63.88	0.0	0.0	0.11	71.49	84.83	117.35	4.37	8.39	0.61	0.0	4.59	0.0	179.21	0.0	0.0	22.83	11.21	169.15	78.93	0.9	0.0	11.18	275.43	0.16	0.0	3.61	4.17	33.77	40.19	29.43	43.38	49.15	142.66	148.93
Sstr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.52	0.09	0.16	0.0	0.0	296.52	0.59	0.0	0.0	0.0	103.85	0.5	0.79	0.0	0.0	0.0	0.1	544.88	108.52	0.0	212.52	0.14	20.39	29.39	11.39	8.32	18.74	28.88	26.29
Supt6h	0.0	17.37	0.03	103.51	28.16	0.58	1.86	59.61	0.0	17.71	0.0	0.05	76.02	54.39	36.81	0.04	25.13	5.51	4.14	22.75	4.55	0.88	39.78	46.39	10.47	1.59	4.72	89.46	9.46	0.0	8.47	89.53	0.27	5.42	28.28	1.84	29.39	16.12	18.45	16.89	14.66	82.51	87.27
Syn1	1.2	56.79	5.44	49.88	3.85	0.17	6.24	33.66	0.0	6.71	10.98	3.06	0.0	6.28	51.79	7.05	63.3	6.1	48.22	49.03	25.28	94.91	0.55	66.45	20.65	73.0	31.48	66.49	8.24	10.71	52.82	79.41	2.08	0.28	27.81	15.22	15.35	30.96	27.73	31.28	29.66	435.88	453.27
Syt7	3.23	38.98	0.05	9.14	32.09	72.53	36.47	0.28	3.64	51.05	5.84	54.0	0.07	0.24	95.78	0.76	2.87	66.32	5.22	53.4	41.68	3.05	23.18	8.05	24.05	12.74	36.19	7.28	19.54	16.24	87.57	107.53	36.68	39.85	0.44	2.81	38.43	29.87	39.12	31.02	34.42	137.04	129.89
Trim37	109.59	91.9	0.11	53.89	21.15	0.0	90.27	193.87	147.16	184.06	0.0	52.98	41.54	90.87	95.63	65.45	91.04	25.05	29.11	30.11	149.68	97.87	36.05	106.7	38.08	1.76	71.42	25.77	127.2	0.0	142.84	281.34	60.34	9.19	9.36	28.78	47.46	30.44	56.42	33.18	42.93	216.02	201.17
