	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Cux2_tdTpositive_cell_22	Cux2_tdTpositive_cell_29	Cux2_tdTpositive_cell_32	Gad2_tdTpositive_cell_77	Nr5a1_tdTpositive_cell_12	Ntsr1_tdTnegative_cell_2	Ntsr1_tdTnegative_cell_42	Rbp4_tdTnegative_cell_11	Scnn1a.Tg2_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_7	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Prkg2	0.0	0.0	64.01	61.52	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.0	6.31	5.06	6.6
Rab10	0.0	0.0	0.39	100.99	0.13	96.71	2.35	98.57	153.58	77.73	0.0	0.81	125.64	123.8	124.07
Rab14	25.9	348.07	222.73	441.95	145.43	67.53	39.91	124.23	89.17	233.14	371.41	408.27	224.9	218.61	212.37
Reep5	0.0	0.0	418.9	237.2	97.78	1008.71	3.7	1261.63	608.5	150.89	0.33	51.99	346.59	359.18	339.17
Rilpl1	0.0	0.0	152.81	185.95	0.0	15.22	0.0	0.0	0.0	0.0	0.63	0.0	53.9	51.2	52.55
Scamp5	0.0	0.0	222.27	206.27	65.94	0.13	4.41	3.66	0.0	0.47	388.61	0.0	323.92	334.22	327.86
Sfrs18	5.08	0.0	371.4	388.3	174.04	50.45	295.46	148.97	107.01	70.57	115.74	272.94	122.51	104.22	125.62
Sirt2	0.56	0.0	92.39	2.28	0.0	4504.61	168.86	10087.55	10009.68	9238.95	15065.74	17617.51	172.59	180.56	184.9
Slc22a17	0.0	0.0	213.86	264.98	8.72	5.89	1.07	1.71	191.6	226.21	181.55	282.77	585.25	674.77	635.05
Slco6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Snd1	0.14	0.0	250.34	139.18	0.0	0.96	12.81	3.72	15.33	5.84	33.22	5.73	55.35	57.33	55.23
Sox5	0.0	0.0	0.27	0.07	0.0	0.06	0.0	0.0	0.0	0.0	0.07	0.0	16.24	14.52	15.03
Tas2r137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1
Th1l	0.22	0.0	210.8	205.98	137.72	0.0	6.01	0.0	0.0	239.37	0.21	0.0	42.4	46.3	42.13
Tmem62	0.0	0.0	188.13	73.98	0.17	49.69	0.0	0.0	12.49	0.0	0.0	0.0	26.92	28.04	25.32
Ttc39d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Ttll1	0.46	6.97	630.24	396.56	3.66	1.35	54.41	1.88	4.37	1.7	6.38	2.32	49.65	49.52	45.89
Tubg1	0.0	0.0	310.4	443.79	31.12	198.78	77.77	159.21	0.0	0.0	0.46	0.0	47.0	50.48	48.53
Ube2j1	0.0	0.0	121.32	66.91	0.0	0.0	0.0	0.0	0.0	0.1	0.13	0.0	79.49	82.59	77.99
Ugp2	0.0	0.0	0.0	166.82	22.41	125.49	0.0	146.3	47.61	0.12	0.0	4.33	64.0	58.96	62.3
Usp8	0.0	0.0	108.35	98.93	0.0	0.7	0.0	7.57	133.76	19.76	0.11	152.14	49.09	43.37	48.27
Vax2os2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Zfp958	0.0	0.0	5.05	175.6	0.2	4.57	4.37	3.36	2.12	10.64	4.74	2.43	6.63	5.57	6.03
Zp3r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Zscan21	0.0	0.0	231.85	215.61	0.0	0.0	140.41	0.0	0.0	0.33	0.21	0.0	14.24	17.25	14.37
c2_5S	0.0	0.0	87.2	155.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.95	30.39	32.11
mt_AK166684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18796.57	17507.83	18655.33
