	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_22	Chat_tdTpositive_cell_6	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_10	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_38	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Rbp4_tdTpositive_cell_165	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Colec10	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.13	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.06	0.04
Dync1li2	0.63	1.93	0.0	65.29	0.0	0.0	0.0	49.61	30.86	20.61	91.66	16.05	67.24	98.3	61.21	0.21	4.44	134.83	2.07	32.22	28.09	23.58	27.15	0.0	0.52	13.85	54.89	163.9	162.52	165.81
Eif4h	39.44	46.86	3.33	123.14	0.21	0.0	0.0	0.15	93.22	22.65	40.58	0.22	0.83	58.53	92.65	15.67	128.63	14.12	0.0	65.97	12.68	40.64	46.12	38.22	200.05	14.18	81.76	333.37	353.14	351.38
Fam199x	0.0	9.42	0.58	0.0	0.0	0.0	0.0	0.0	7.21	0.06	0.0	0.0	0.0	0.87	193.26	0.0	0.0	1.13	1.95	9.3	0.42	0.88	3.13	0.0	0.0	0.0	0.28	5.28	4.65	4.91
Gabbr2	0.0	0.0	0.0	10.65	0.0	0.0	0.0	0.0	0.28	0.0	2.04	0.0	0.0	51.63	97.6	0.0	0.0	0.0	0.33	2.33	4.15	3.85	7.66	0.0	3.34	10.1	0.0	156.54	138.94	168.37
Gak	11.17	0.0	1.39	13.8	0.0	0.0	0.0	82.81	31.67	40.58	0.32	2.2	24.06	4.61	219.33	76.87	83.05	24.64	58.9	0.27	54.69	9.5	12.08	0.0	2.65	75.87	0.09	65.57	67.73	67.97
Gm5918	0.0	0.0	0.0	108.17	0.0	0.0	0.0	1.67	0.0	5.55	0.0	0.0	94.11	0.0	296.04	0.0	242.58	0.0	0.0	44.63	24.62	27.75	40.48	0.93	149.66	0.0	0.0	11.46	8.47	8.54
Ip6k2	25.41	40.29	0.0	23.12	0.0	0.0	0.0	0.41	20.9	15.63	38.12	0.0	0.0	17.63	50.86	34.61	42.13	1.93	16.68	0.17	51.07	15.26	4.69	1.7	50.81	16.81	1.08	78.19	87.2	71.33
Kctd14	0.69	1.58	0.52	1.28	0.0	0.0	0.0	0.2	0.48	0.11	0.24	0.23	0.22	0.9	3.66	0.74	1.58	0.67	0.36	0.13	0.18	0.0	1.03	0.64	0.73	0.43	0.45	2.75	2.52	2.99
Lgals12	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.75	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.8	0.61	0.94
Lime1	4.36	68.3	130.2	0.0	0.0	0.0	0.0	31.75	0.0	7.47	0.0	0.0	0.26	0.0	233.83	0.0	171.91	0.0	0.0	0.0	0.0	0.0	10.66	0.0	1.9	0.0	11.8	57.7	56.82	56.73
Lyrm5	2.14	1.0	1.49	89.31	2.82	0.0	0.35	2.87	55.26	107.79	2.9	3.32	2.59	1.98	416.0	16.75	147.91	0.0	1.83	0.41	0.76	106.36	64.48	2.78	1.19	0.65	2.16	24.59	23.66	24.83
Mcm3ap	0.03	0.84	1.36	8.08	0.0	0.0	0.0	1.89	0.0	0.3	0.0	0.0	24.62	2.8	43.03	0.05	7.11	0.0	0.0	0.0	0.5	3.87	10.13	0.0	0.0	0.0	0.0	27.34	27.67	27.57
Myst1	147.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.05	34.63	0.0	0.0	0.0	99.53	366.8	0.0	304.58	169.46	18.04	45.27	0.0	45.33	35.94	23.1	170.0	0.0	0.0	24.03	26.64	24.54
Ncrna00085	0.0	0.0	0.0	2.11	0.0	0.0	0.0	0.0	5.66	3.46	0.0	0.0	0.0	0.0	65.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15	0.0	0.0	0.0	0.0	15.58	14.18	16.08
Nf2	1.99	0.18	0.32	0.0	0.0	0.0	0.0	0.39	1.22	0.18	3.55	0.34	0.0	0.13	11.58	0.13	18.84	0.0	0.06	31.25	4.28	17.79	4.71	0.0	0.1	1.65	0.1	61.3	58.03	60.84
Nipal4	0.06	0.0	0.0	0.11	2.41	0.0	0.0	0.11	0.11	0.0	0.03	1.11	0.42	0.23	0.94	0.1	0.16	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.14	0.29	0.26	4.22	4.01	4.3
Ogfr	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29	0.0	0.0	0.21	0.0	40.39	38.33	36.92
Orc2	8.89	6.63	0.0	0.0	0.0	0.0	0.0	4.01	6.13	0.8	9.96	1.69	0.0	31.24	106.33	1.06	81.95	59.62	0.0	0.0	3.87	6.78	25.85	0.0	0.0	0.0	10.86	27.76	24.56	27.26
Plcxd1	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.23	0.37	0.25	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	5.33	0.0	0.0	0.0	0.0	14.59	14.9	16.3
Polr2m	12.81	0.0	0.0	102.6	0.0	0.0	0.0	2.56	71.8	85.52	140.63	0.48	0.69	18.75	187.58	133.48	0.0	8.86	0.25	12.03	94.78	24.7	20.62	9.76	4.51	0.9	114.7	182.36	197.49	182.07
Ppp2r2d	0.0	0.0	1.09	30.95	0.0	0.0	0.0	121.75	0.0	39.8	0.0	0.26	0.0	1.97	305.52	0.0	15.27	0.22	0.0	49.26	6.97	19.82	25.28	0.0	7.9	106.93	0.0	66.87	66.28	62.18
Ptp4a3	6.4	4.12	13.14	12.35	77.68	2.2	1.29	2.85	3.5	9.7	3.78	14.36	8.52	3.39	123.63	8.07	17.8	3.61	1.41	2.91	27.64	2.26	16.72	5.24	6.8	2.46	3.02	36.37	37.23	39.99
Rasgef1a	56.83	3.75	0.0	0.06	0.0	0.0	0.0	45.04	0.0	8.78	8.47	0.0	0.15	113.29	93.61	0.0	79.45	31.23	0.0	30.83	5.25	0.9	25.68	0.0	0.49	0.3	0.0	204.44	211.08	213.34
Rfx1	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	0.0	1.67	0.0	0.0	0.0	0.0	0.0	1.54	0.0	1.13	0.0	0.0	17.75	18.16	19.2
Scube1	0.16	0.23	1.12	0.07	0.0	0.0	0.12	1.68	0.41	0.38	0.06	0.0	0.06	0.25	5.83	0.08	4.3	0.1	0.95	0.46	0.09	0.08	11.43	0.32	2.7	0.37	0.1	30.28	25.93	31.71
Siglece	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.35	0.0	0.0	1.14	0.94	1.55
Slain1	0.0	0.0	0.0	3.82	0.0	0.0	0.0	0.0	11.56	0.0	0.0	0.19	0.0	0.0	194.8	0.0	0.0	0.0	0.0	0.0	14.27	0.83	13.65	0.23	0.0	55.35	0.0	44.08	47.41	49.76
Slk	1.87	0.0	0.0	46.06	0.0	0.0	0.0	0.0	3.81	3.95	0.0	0.0	0.0	62.86	94.99	0.0	0.07	0.0	49.69	0.73	31.75	0.14	2.1	15.19	13.91	0.0	0.0	46.81	40.09	47.23
Svop	0.0	51.88	21.97	0.53	0.0	0.0	0.0	67.02	0.0	31.92	0.0	0.0	0.0	9.64	190.0	48.58	269.34	153.75	72.91	49.96	0.0	0.0	15.07	0.0	1.98	0.0	70.12	162.41	167.3	157.31
Syn1	0.05	0.0	0.14	100.79	0.0	0.0	0.0	10.55	0.12	9.34	45.69	9.32	61.32	1.16	86.45	25.66	45.7	0.14	38.05	34.38	3.35	26.57	49.48	8.57	61.57	17.88	35.99	435.88	453.27	459.24
Thoc3	4.79	0.0	0.0	9.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	21.09	52.89	0.0	18.61	0.0	0.0	0.0	0.0	0.0	5.59	0.0	0.0	0.0	0.0	27.23	27.25	25.86
Thy1	224.04	93.87	103.0	69.7	7.38	6.15	0.0	142.65	49.53	96.56	46.63	13.07	43.39	74.89	371.97	83.42	201.53	20.88	10.36	112.98	43.15	103.58	134.45	69.85	58.99	78.45	73.32	659.66	677.75	653.67
Tlr13	0.0	0.33	0.11	0.12	0.38	0.0	0.0	1.0	0.09	0.06	0.0	0.64	0.0	0.08	1.38	0.0	0.12	0.0	0.0	0.09	0.0	0.08	0.67	0.0	0.12	0.0	0.0	1.77	1.39	1.9
Tmem158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.63	2.15	0.0	0.0	0.0	0.0	24.72	0.0	0.0	0.0	13.67	0.0	0.0	0.0	4.54	0.0	0.0	0.0	0.0	75.2	98.12	88.24
Tmem178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.52	26.58	42.52	0.0	0.0	9.6	234.39	0.0	0.0	0.0	0.0	0.0	0.0	71.66	13.77	197.86	0.0	0.0	0.0	98.74	101.3	98.51
Tnks	0.05	1.04	0.61	0.83	0.0	0.0	0.0	0.0	0.35	0.3	8.16	0.0	6.0	7.34	81.86	2.66	75.0	5.47	0.0	27.95	34.02	4.61	1.51	0.0	1.46	0.0	1.33	36.78	34.86	39.29
Trim30a	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.05	0.23	0.0	0.16	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	2.2	1.31	1.52
Trim30b	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.15	0.14	0.21
Ubqln1	82.38	3.48	0.0	1.13	0.0	0.0	0.0	112.06	37.04	50.03	54.57	0.0	11.48	8.23	182.13	87.83	45.47	0.0	3.27	25.64	24.54	9.88	18.17	27.76	0.0	1.34	0.76	145.86	151.7	140.9
Vapb	0.0	16.47	0.0	0.0	0.0	0.0	3.52	0.0	1.28	9.12	0.51	0.0	0.0	0.0	162.47	0.0	113.23	0.0	0.0	0.9	0.0	0.05	5.06	0.0	0.04	0.0	0.0	53.38	58.23	58.6
Wdr26	0.59	14.97	0.58	2.06	0.0	0.2	1.05	0.34	15.64	5.32	9.66	1.07	34.12	62.03	92.49	30.83	20.24	52.8	20.75	20.92	43.3	33.12	9.01	12.28	1.2	1.61	0.45	56.0	53.04	55.65
Zfp651	1.51	0.0	0.48	0.64	0.0	0.0	0.0	0.0	0.0	4.2	0.0	0.0	0.0	0.0	50.3	4.47	0.0	0.0	0.0	0.0	0.0	9.05	4.87	0.0	0.0	0.0	0.0	37.72	38.58	36.99
Zic1	0.39	0.74	1.55	0.28	0.53	0.11	0.21	0.81	1.38	0.4	0.3	1.69	0.87	0.22	2.61	0.77	2.18	0.8	0.52	0.92	0.38	0.3	0.47	0.81	0.53	0.42	0.72	9.06	11.02	7.95
mt_AK140457	275.88	307.27	27.45	103.27	0.0	0.0	370.83	0.0	372.74	500.22	106.97	162.21	67.53	0.0	766.99	259.5	373.0	0.0	226.09	81.65	143.51	309.83	650.21	0.0	36.96	263.02	47.91	2834.26	2375.87	3021.71
mt_BC055066	0.0	0.0	0.0	17.88	0.0	0.0	144.26	0.0	0.0	0.0	0.41	0.0	101.7	211.38	268.59	0.0	0.0	0.0	0.0	17.56	0.0	0.0	55.95	0.0	0.0	0.0	0.0	263.91	297.78	134.58
