	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_23	Calb2_tdTpositive_cell_39	Chrna2_tdTpositive_cell_58	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_15	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_79	Cux2_tdTnegative_cell_4	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTnegative_cell_50	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_16	Rbp4_tdTpositive_cell_85	Rbp4_tdTpositive_cell_88	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_111	Rbp4_tdTpositive_cell_112	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_150	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_35	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTpositive_cell_55	Scnn1a.Tg3_tdTpositive_cell_60	Scnn1a.Tg3_tdTpositive_cell_62	Scnn1a.Tg3_tdTpositive_cell_68	Scnn1a.Tg3_tdTpositive_cell_83	Scnn1a.Tg3_tdTpositive_cell_94	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTnegative_cell_18	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_12
Leo1	0.0	0.0	112.19	107.58	0.09	0.62	0.0	0.0	0.0	0.99	0.0	0.0	223.13	0.0	148.83	102.66	103.43	108.32	0.0	186.33	55.25	193.73	0.0	12.14	95.38	133.48	141.6	127.65	182.37	0.0	0.23	88.43	0.0	0.1	28.46	152.68	40.41	0.0	409.56	105.77	208.74	0.0	3.11	103.69	138.01	0.0	58.03	88.2
Map3k9	3.34	0.0	0.0	3.0	5.15	5.26	0.0	49.73	0.0	0.0	0.0	0.0	0.77	0.0	13.3	0.0	3.75	1.6	0.0	0.77	0.0	0.15	0.04	0.22	0.91	6.06	0.0	0.0	2.67	6.1	0.05	2.12	3.69	0.06	0.04	10.43	0.45	1.31	30.47	0.0	42.67	0.0	26.24	2.6	0.01	0.0	4.22	0.0
Nt5c3l	1.12	234.92	0.39	1.15	1.91	0.5	130.2	0.0	123.32	0.0	87.13	0.57	0.0	0.0	128.87	53.36	17.42	121.69	0.57	115.83	99.94	17.83	0.0	0.0	217.59	95.12	0.0	0.68	186.74	0.0	0.0	155.01	0.0	0.41	122.45	27.69	0.66	72.87	218.14	60.51	105.63	49.43	91.26	119.61	1.21	0.0	69.44	80.63
P4ha1	1.32	155.74	35.17	20.15	45.79	1.01	58.12	0.0	0.0	23.68	0.0	15.26	8.72	0.0	0.05	12.54	147.8	60.81	0.0	0.0	82.46	56.44	11.98	16.55	52.43	0.0	0.0	38.64	9.27	29.02	0.0	3.12	32.36	3.21	0.03	82.31	0.03	51.29	189.86	0.0	0.0	0.0	25.23	71.13	3.51	0.0	28.72	0.0
Pla2g4e	0.0	0.0	0.0	0.0	12.93	0.0	0.0	0.0	9.66	0.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.05	0.0	0.0	0.15	55.05	0.0	0.0	104.04	0.13	0.0	15.58	4.78	0.0	0.0	0.0	0.0	0.0	0.0	14.15	0.0	0.0	97.22	0.0	0.0	24.7	0.0	0.04	0.24	0.0	2.44	0.0
Prune2	95.1	33.4	134.21	95.01	137.35	165.79	27.46	87.09	94.91	119.63	127.69	292.37	128.33	0.03	200.36	75.93	159.91	201.76	109.5	134.93	178.32	162.21	140.1	139.16	163.21	144.88	107.65	148.19	145.73	75.48	152.34	83.28	157.02	78.12	110.16	149.7	92.24	113.34	165.17	78.95	78.88	201.29	286.52	217.13	92.05	0.0	165.79	63.08
Psmb3	906.21	869.76	1259.23	285.65	660.31	629.48	983.62	541.56	722.92	842.91	402.88	1.15	432.04	0.0	585.0	510.71	673.4	702.83	721.24	183.48	511.13	800.5	765.24	871.81	296.99	826.55	388.34	824.79	850.73	326.91	316.77	728.87	1322.69	351.39	847.7	718.36	867.61	531.34	1096.83	620.32	1273.35	458.49	915.18	872.43	811.53	18.57	543.4	11.88
Rims1	2.17	4.16	3.28	3.57	175.65	0.12	0.36	69.75	21.99	22.03	5.17	0.0	0.0	0.0	7.26	0.21	40.74	36.58	3.37	1.25	84.06	89.27	0.47	80.87	170.04	119.59	0.0	4.25	133.74	9.69	49.47	17.33	5.47	53.95	173.42	13.9	26.56	1.31	129.98	46.86	54.93	2.47	116.69	6.75	2.12	0.0	23.16	57.16
Rnf157	0.0	2.15	89.66	160.7	0.0	0.1	58.37	166.97	19.15	0.0	73.28	0.0	1.63	0.0	0.16	0.0	0.0	102.09	110.83	1.14	32.13	46.58	0.09	73.77	112.33	90.11	8.93	169.44	0.0	64.1	0.0	23.07	0.0	78.94	201.91	0.07	74.58	13.64	227.2	0.0	62.05	0.0	68.83	43.89	0.83	0.0	31.5	0.61
Shank2	10.89	0.0	0.0	0.48	0.76	0.0	0.11	1.37	0.0	0.65	10.27	0.0	0.0	0.0	4.31	0.0	0.0	0.06	0.0	0.0	0.0	7.36	0.0	4.42	20.74	5.46	0.0	0.0	0.8	0.0	0.0	0.21	0.0	0.13	0.0	14.9	0.33	0.0	24.11	0.0	0.31	0.0	0.52	1.18	0.05	0.0	2.14	0.32
Snap25	26182.83	20388.22	17910.18	20371.44	24880.43	23752.44	18044.41	25194.29	19442.84	21404.94	22198.58	12002.74	16271.25	0.16	24000.2	24648.02	22891.51	17497.88	23051.34	18976.87	22470.57	18985.93	21096.18	17302.69	18096.94	19790.53	16608.03	17078.37	19257.32	22845.02	21696.22	22039.64	25542.47	18796.65	18233.72	21954.45	22725.47	15981.93	15305.37	16121.53	20576.26	17302.08	17359.79	18336.85	20516.03	0.0	20846.74	18167.33
Stx7	0.0	0.0	100.14	64.61	194.87	99.67	13.81	248.65	0.0	90.08	14.14	0.0	114.93	0.0	161.31	81.95	227.74	339.76	193.9	120.15	64.08	254.25	373.83	215.06	9.04	285.3	21.49	104.71	199.52	284.58	0.0	105.08	0.0	56.81	156.29	0.0	138.91	11.34	450.93	111.12	134.75	0.0	279.19	21.16	6.83	0.0	110.5	46.25
Tada1	0.36	0.0	312.38	130.47	0.0	0.0	0.0	0.0	211.14	0.41	141.21	0.0	0.0	0.0	0.35	397.61	224.42	18.65	23.18	266.53	123.08	3.86	210.15	368.06	384.99	89.42	63.52	198.71	278.03	290.12	157.17	111.81	0.0	0.16	317.73	6.07	286.75	37.66	604.85	0.0	356.35	66.5	0.0	157.04	16.92	12.48	135.52	104.22
Them4	0.0	33.63	142.26	187.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.17	0.23	111.56	99.39	0.0	0.0	19.45	0.48	0.0	256.38	89.66	0.0	13.36	131.45	183.25	181.8	0.0	125.22	0.55	0.0	1.61	1.68	138.37	0.0	133.42	0.0	0.0	0.0	18.31	0.5	0.56	0.0	59.05	0.28
Tmem199	0.0	239.43	0.4	222.83	193.17	166.85	102.11	0.0	0.68	3.95	293.3	0.0	102.3	0.0	545.21	5.72	224.44	443.37	253.91	263.26	322.57	270.6	0.67	115.48	0.0	11.52	354.6	289.66	599.22	12.43	61.87	197.28	476.19	137.71	507.01	238.05	350.06	403.5	594.89	0.0	19.26	6.14	98.48	290.67	179.24	0.0	241.68	334.62
Tprkb	7.01	11.04	51.48	6.69	2.91	5.74	36.0	81.27	11.16	59.99	6.42	2.69	51.98	4.12	307.44	173.48	37.24	48.48	12.32	3.6	22.21	7.07	12.04	73.37	9.25	90.75	84.07	9.96	50.82	27.88	5.82	5.96	7.33	4.15	4.18	4.52	5.9	5.88	98.14	6.91	160.08	15.51	133.88	19.72	1.7	3.79	31.68	13.76
Ubap2l	7.92	216.83	81.75	18.92	0.68	1.28	66.39	0.0	0.0	91.54	34.18	86.33	4.77	0.0	49.87	6.03	2.52	206.53	1.84	54.24	61.43	8.17	11.09	138.37	114.42	59.78	39.86	89.08	23.13	35.49	10.44	50.97	69.8	23.75	19.73	92.2	98.16	29.25	127.35	9.61	122.86	159.97	128.89	160.85	4.84	29.58	69.59	95.68
Ubl4	0.0	33.17	151.99	195.71	0.61	420.75	0.0	584.84	250.73	176.24	134.48	36.18	159.22	0.0	203.42	538.46	21.61	555.54	38.9	0.27	137.35	117.39	211.39	322.15	409.97	120.46	19.31	0.0	1.64	349.32	357.66	314.98	642.96	27.47	458.76	436.54	1.99	233.71	853.13	11.49	579.95	0.0	307.08	231.88	166.61	0.0	164.77	202.06
Usf2	0.0	0.27	1.24	18.07	0.1	0.38	7.51	0.3	0.46	8.85	86.08	0.33	0.87	0.0	5.04	40.52	0.0	1.09	20.34	0.56	0.57	1.5	0.77	27.97	102.03	9.91	0.28	0.42	1.5	1.9	0.62	1.72	1.26	0.0	0.38	0.26	0.65	0.54	54.83	0.61	0.31	0.0	0.02	0.43	0.37	0.49	2.52	0.24
Yif1b	0.0	0.0	115.19	97.1	0.0	131.24	230.96	155.26	13.34	0.39	112.18	0.0	0.0	0.0	199.32	0.36	102.25	339.61	0.0	99.19	225.75	197.72	199.33	0.0	180.99	156.73	118.17	294.46	155.63	89.48	0.45	0.0	50.36	117.56	13.47	123.4	88.33	142.05	502.69	113.92	223.24	291.84	541.62	304.27	0.62	0.46	50.14	71.63
