	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_31	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_128	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_138	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_28	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_33	CAV_LP_Ipsi_tdTpos_cell_36	CAV_VISp_Contra_tdTpos_cell_1
Ddhd1	0.0	1.08	0.07	0.0	0.0	37.17	0.0	0.0	27.53	0.0	0.07	28.15	0.05	13.09	26.89	6.42	0.0	19.96	57.3	30.11	3.84	10.59	0.11	0.23	8.69	0.0	0.13	0.0	6.51	11.63	10.85	3.05	9.41	0.08	8.6	0.06	0.0	0.52	0.0	0.84	58.16	0.15	0.16	0.9	57.55
Dus2l	0.0	0.0	0.0	0.0	0.0	0.0	5.2	25.95	138.11	140.64	135.03	0.0	287.99	2.92	98.54	0.22	0.0	0.0	131.52	0.0	52.12	37.54	11.4	46.09	2.11	0.0	2.11	0.0	23.73	38.54	41.71	24.28	11.53	28.77	28.36	0.0	0.0	110.8	0.24	0.33	66.39	0.0	0.0	70.7	162.86
Egr2	0.0	0.0	124.93	2.04	0.0	0.0	4.65	139.53	0.0	0.0	0.0	5.69	104.69	0.0	0.0	0.0	0.0	41.09	0.0	60.91	51.42	5.23	34.97	26.83	16.02	0.0	117.9	44.45	18.44	15.77	5.52	0.0	22.5	6.25	7.94	22.21	0.0	0.0	30.97	0.0	80.44	0.0	6.58	0.0	62.04
Eif3b	0.0	0.07	0.25	13.68	0.0	0.0	100.26	0.0	100.98	5.02	0.0	0.0	0.0	0.0	0.0	0.2	0.0	25.87	4.49	15.38	30.62	10.49	2.48	1.08	5.79	0.0	0.17	0.0	18.92	5.86	14.71	1.01	21.63	13.77	11.65	0.0	83.29	0.0	67.41	0.1	0.16	0.13	0.0	79.12	71.86
Elovl7	0.39	0.36	1.42	1.56	0.35	0.29	0.59	0.53	0.08	0.0	0.44	0.19	0.41	0.36	0.99	0.82	0.0	0.72	0.59	3.68	0.93	2.31	1.19	1.29	0.84	0.04	0.97	0.37	6.56	0.55	1.58	2.43	0.62	2.91	2.05	0.06	0.17	0.16	0.11	0.21	0.14	0.21	1.11	0.56	19.36
Ephx4	7.57	146.41	559.36	1182.56	0.64	180.61	668.43	307.27	173.61	3.96	514.69	0.0	60.03	214.38	0.9	287.4	431.66	292.33	62.12	358.77	526.6	194.58	109.6	310.0	754.38	168.14	371.39	152.69	245.62	188.71	190.05	145.84	169.72	155.3	135.12	182.6	242.22	12.17	2.51	98.98	478.94	245.5	299.85	236.67	449.34
Fars2	0.0	0.0	83.19	0.29	0.0	0.0	0.0	0.0	0.0	58.03	0.0	3.48	0.12	79.72	0.24	0.38	0.0	36.5	0.89	0.0	43.06	21.2	0.0	42.51	0.31	0.0	0.45	0.0	26.77	32.63	14.84	32.52	21.33	26.92	22.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.04	0.14	195.27
Fastkd1	3.75	0.32	2.08	1.54	0.0	0.42	1.68	19.13	0.12	0.0	5.45	0.1	0.51	0.98	3.36	0.83	0.0	4.91	44.22	4.17	12.39	5.85	2.99	4.41	33.82	0.09	2.34	4.64	6.56	8.43	3.84	13.31	9.05	11.29	5.54	16.38	0.0	2.92	1.39	5.94	0.26	0.63	20.69	3.3	10.18
Fhod1	0.05	0.0	0.0	0.15	0.0	0.32	0.0	0.5	0.04	0.09	1.64	3.04	0.0	0.0	0.0	2.1	0.0	0.39	0.53	0.0	0.94	1.44	0.16	0.17	0.06	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fosl2	0.0	0.0	110.85	67.68	0.92	26.91	0.19	0.87	26.45	10.46	5.34	0.0	0.75	0.0	0.06	0.03	0.0	14.45	12.39	18.56	40.03	9.62	0.0	0.07	25.09	46.48	2.43	0.0	20.88	11.73	28.65	1.72	8.4	2.63	3.02	19.97	0.0	5.8	0.0	0.0	0.04	0.0	57.44	0.0	62.29
Gm12253	1.7	0.94	1.43	1.05	0.0	2.61	3.01	2.27	4.75	1.26	4.4	0.82	3.18	0.83	0.52	2.77	0.0	2.53	4.41	2.92	15.46	7.26	1.32	3.13	4.5	0.35	2.56	2.03	3.77	7.64	4.07	3.62	4.89	2.64	2.88	3.11	2.97	0.0	4.23	1.89	1.5	0.5	2.73	5.54	12.23
Gm14430	0.03	8.59	15.53	17.21	0.15	2.72	2.43	0.0	0.16	0.1	8.97	0.0	0.0	0.22	0.04	1.35	34.63	14.15	5.42	0.0	14.31	6.69	0.2	1.12	1.36	0.0	0.1	0.0	6.07	7.0	1.76	6.89	5.17	3.28	4.14	2.35	0.0	13.98	0.0	0.0	0.0	0.86	22.35	0.69	10.03
Gm14431	0.12	0.0	3.27	1.97	16.9	1.17	2.65	0.7	0.0	0.0	0.15	1.02	0.06	0.48	2.71	15.79	2.0	0.13	14.85	4.51	13.65	1.74	7.13	1.96	0.1	1.56	0.08	1.94	1.14	4.1	0.53	0.51	2.49	0.72	0.99	1.51	0.0	0.0	0.0	0.37	3.49	1.33	0.95	0.0	2.38
Gm14434	0.03	8.59	15.53	17.21	0.15	2.72	2.43	0.0	0.16	0.1	8.97	0.0	0.0	0.22	0.04	1.35	34.63	14.15	5.42	0.0	14.31	6.69	0.2	1.12	1.36	0.0	0.1	0.0	6.07	7.0	1.76	6.89	5.17	3.28	4.14	2.35	0.0	13.98	0.0	0.0	0.0	0.86	22.35	0.69	10.03
Gm14827	1.06	0.0	0.0	1.26	0.25	0.2	0.09	0.0	0.42	0.0	0.0	0.0	0.42	0.0	0.0	0.26	0.0	25.41	71.66	9.43	4.23	27.33	60.67	57.59	9.72	0.0	0.54	1.95	2.43	0.78	2.6	2.71	0.57	1.52	2.07	0.73	0.0	0.0	0.0	0.58	0.0	0.0	0.84	82.4	4.27
Gm20597	0.58	0.61	5.23	2.8	0.57	0.25	1.83	1.35	0.99	0.0	0.19	0.05	0.18	1.0	1.21	2.2	0.0	1.64	4.35	4.72	1.87	4.32	3.9	2.88	3.55	0.0	0.14	3.48	1.9	2.01	1.37	1.05	0.97	0.48	0.76	0.0	1.08	0.09	0.83	0.16	1.13	1.45	0.6	2.85	2.49
Gm4724	0.03	8.59	15.53	17.21	0.15	2.72	2.43	0.0	0.16	0.1	8.97	0.0	0.0	0.22	0.04	1.35	34.63	14.15	5.42	0.0	14.31	6.69	0.2	1.12	1.36	0.0	0.1	0.0	6.07	7.0	1.76	6.89	5.17	3.28	4.14	2.35	0.0	13.98	0.0	0.0	0.0	0.86	22.35	0.69	10.03
Gm5531	13.25	2.73	20.25	14.04	28.58	13.95	15.94	35.47	13.71	7.73	8.18	9.91	11.12	22.1	16.48	10.36	0.0	19.08	93.42	32.22	49.84	37.81	29.59	21.91	34.29	11.36	11.84	25.85	28.65	30.1	32.38	25.59	23.78	46.31	30.44	18.46	24.2	24.07	32.42	24.93	4.32	30.43	31.71	20.15	60.42
Gm8898	0.12	0.0	3.27	1.97	16.9	1.17	2.65	0.7	0.0	0.0	0.15	1.02	0.06	0.48	2.71	15.79	2.0	0.13	14.85	4.51	13.65	1.74	7.13	1.96	0.1	1.56	0.08	1.94	1.14	4.1	0.53	0.51	2.49	0.72	0.99	1.51	0.0	0.0	0.0	0.37	3.49	1.33	0.95	0.0	2.38
Gm9159	9.34	5.64	47.62	46.09	39.96	15.37	13.52	24.72	22.19	0.78	26.28	4.46	4.87	14.63	15.13	15.91	0.0	46.43	102.0	53.22	49.18	42.23	49.75	54.66	48.1	6.61	16.54	42.92	21.45	33.44	31.03	33.94	31.87	22.38	27.2	0.73	15.81	25.0	7.98	17.75	9.55	18.85	22.11	23.86	49.57
Gpr108	0.0	0.0	2.86	0.0	0.0	0.0	0.18	49.57	9.17	1.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	76.25	0.2	67.9	12.07	34.09	0.98	51.76	0.95	2.67	0.0	7.06	37.01	19.49	39.52	25.24	40.1	17.64	0.0	12.37	0.0	0.0	1.02	0.0	0.0	0.0	0.0	124.56
Hsd17b13	0.75	0.14	2.81	0.82	0.0	1.66	1.47	2.38	0.21	0.32	0.7	0.68	0.36	1.33	0.74	2.69	0.0	2.05	4.87	3.47	4.68	2.38	6.47	3.55	3.43	0.69	0.0	0.86	1.24	2.02	0.72	1.37	1.82	0.81	0.86	1.23	0.17	0.18	1.14	0.0	0.42	0.0	1.04	4.55	4.5
Hyal1	0.59	0.06	0.55	0.81	1.02	0.68	0.6	0.84	0.58	0.0	0.52	0.0	0.34	1.01	0.0	1.51	0.0	0.81	1.53	1.43	1.42	1.5	1.27	20.43	0.98	0.0	0.62	0.78	0.38	0.75	0.71	0.86	0.35	0.32	0.14	0.77	0.26	0.12	0.0	0.7	0.56	0.0	0.78	0.82	1.13
Iffo2	0.28	0.09	1.15	1.46	0.27	0.53	0.65	0.15	0.46	0.0	0.57	0.0	0.94	0.05	0.13	0.38	0.0	1.22	26.44	2.8	1.17	1.17	1.33	2.42	1.09	0.12	1.11	2.07	5.65	0.84	8.33	1.96	1.69	0.4	1.16	0.53	0.68	0.13	0.26	0.28	0.0	0.0	0.63	1.05	0.68
Ifnar1	71.93	26.81	53.19	121.41	96.96	34.99	99.26	49.36	59.39	36.31	63.29	13.02	25.08	20.57	24.52	110.04	71.07	62.23	118.83	109.14	67.25	93.57	80.41	108.6	61.68	7.78	120.58	61.34	55.44	71.32	50.73	59.68	71.72	53.4	76.2	37.57	34.74	23.14	33.44	33.1	28.36	23.58	41.55	80.24	87.86
Intu	7.51	5.21	13.15	8.1	14.32	4.15	10.66	5.81	10.92	0.78	10.75	6.28	7.7	1.64	5.21	12.0	1.09	8.33	14.8	12.64	17.29	22.37	15.86	25.24	16.46	1.33	4.9	10.81	14.0	12.02	6.92	11.39	14.43	7.61	8.13	4.25	8.5	11.18	2.75	10.09	2.93	8.69	6.83	18.63	13.47
Irf2	3.59	11.49	0.0	20.92	0.0	4.46	16.66	0.0	0.0	0.0	85.33	0.0	0.0	0.0	0.0	0.16	0.0	0.0	51.54	53.61	46.83	17.76	0.23	1.0	46.25	0.0	31.15	0.0	15.74	6.75	14.27	15.73	18.06	19.14	8.06	0.0	0.0	0.0	15.98	5.77	0.48	0.0	48.67	1.59	26.94
Klhdc1	109.35	0.0	0.0	108.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.03	0.0	0.0	0.13	102.96	0.0	0.0	12.6	0.0	0.08	0.0	0.0	0.0	6.78	15.94	5.37	0.45	0.78	15.45	17.9	17.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.32
LOC106740	55.85	0.0	0.35	0.41	1.5	9.73	23.26	0.0	0.0	0.0	0.0	0.0	1.88	0.0	0.0	0.0	0.0	0.0	172.57	0.0	22.0	23.84	2.7	1.67	206.48	0.0	0.0	0.0	10.55	10.5	24.06	0.0	14.18	2.26	16.45	0.27	0.0	138.35	0.0	4.9	0.0	0.0	92.12	90.47	169.25
Lifr	9.25	17.05	106.66	75.03	8.41	17.52	8.43	3.25	2.85	4.13	9.17	1.37	2.66	1.11	5.93	2.51	0.0	44.07	187.58	53.33	53.52	23.36	24.35	42.49	17.01	4.14	165.07	51.02	19.46	5.18	14.09	15.93	15.03	8.98	29.03	3.51	3.56	0.52	2.18	3.44	0.57	7.87	12.85	54.97	27.87
Lrrtm3	38.66	39.11	83.74	59.66	0.2	12.86	67.16	555.11	129.23	68.84	297.15	125.1	104.38	77.94	133.13	26.79	7.01	114.98	144.82	44.64	219.15	80.16	66.4	64.91	1.55	2.31	14.55	198.6	232.44	217.09	185.13	150.13	115.07	72.9	113.28	28.8	118.94	74.89	59.39	48.63	29.3	194.88	89.39	1.18	87.68
Lta4h	66.03	0.0	160.5	0.63	0.0	0.0	74.89	118.18	105.34	0.0	0.66	64.47	0.0	0.0	0.0	299.03	0.0	79.24	211.83	86.66	59.62	14.89	2.21	110.15	48.35	114.05	5.18	101.32	39.44	45.53	54.81	72.09	43.22	69.56	41.02	6.38	0.0	156.29	93.78	99.15	0.0	165.88	0.0	63.6	126.99
Mbnl2	44.88	69.49	64.15	161.99	8.94	107.8	56.3	34.22	52.19	193.58	25.39	26.91	45.38	34.24	70.93	111.9	84.64	34.34	96.45	114.64	109.24	88.51	19.63	66.59	160.89	22.62	72.39	139.78	63.55	71.23	54.12	57.92	57.12	33.04	50.67	53.96	47.17	3.18	15.62	5.56	51.91	79.89	87.73	120.91	127.92
Mrgprb1	0.43	0.24	0.33	0.55	0.0	0.29	0.09	0.3	0.09	0.0	0.0	0.0	0.25	0.12	0.01	0.3	0.0	0.48	0.88	0.76	0.48	0.82	1.71	0.69	0.39	0.0	0.72	0.67	0.6	0.37	0.62	0.29	0.91	0.31	0.27	0.0	0.19	0.06	0.21	0.25	0.0	0.31	0.59	0.34	1.0
Mrpl39	107.6	2.1	3.01	4.57	7.12	19.56	5.26	91.03	3.52	0.53	3.73	0.42	0.4	26.53	0.05	2.0	0.0	27.8	203.81	3.5	83.94	55.26	9.76	27.8	8.0	0.18	208.86	3.12	20.25	27.3	21.15	36.41	32.18	25.11	29.13	1.69	1.74	0.84	1.23	38.7	0.38	3.91	20.59	3.73	203.84
Mrpl9	8.14	0.86	187.04	8.82	365.42	4.82	78.85	26.35	2.34	1.05	2.2	1.33	3.94	3.23	5.72	9.48	0.0	91.76	36.48	10.54	164.46	43.14	9.53	163.97	21.77	1.48	206.23	15.46	13.0	55.82	8.74	38.92	44.77	46.44	26.38	4.62	75.67	153.76	2.12	3.89	2.71	23.95	9.63	9.73	146.3
Myo1e	4.18	1.55	4.42	34.09	3.7	2.38	2.97	45.66	1.23	0.54	0.39	1.92	1.82	1.75	1.65	2.26	0.16	1.78	4.18	5.54	67.93	5.5	4.69	6.1	5.8	1.9	4.18	7.65	12.24	4.54	5.95	7.73	11.31	1.99	5.63	1.57	1.35	1.09	3.17	0.96	1.69	1.57	4.03	5.38	4.81
Myoz3	1.68	0.87	3.34	2.78	1.67	1.51	1.22	1.45	1.04	0.13	0.37	2.86	2.12	1.14	0.84	4.04	0.0	1.11	0.97	2.07	1.25	1.71	3.69	2.3	1.72	1.14	1.6	0.72	1.06	0.99	1.02	1.04	2.02	0.55	1.04	0.61	1.12	0.79	0.52	0.78	1.09	0.81	1.29	0.98	3.14
Ndst3	0.0	0.71	0.14	0.09	0.0	0.04	0.0	2.73	0.0	0.0	1.52	0.0	0.0	0.31	0.0	0.17	0.0	11.65	66.23	1.12	68.38	15.83	28.37	1.16	10.24	0.0	0.0	2.78	9.74	24.47	14.44	12.5	6.44	2.98	16.83	7.59	0.09	1.2	0.0	0.11	0.05	0.0	0.0	13.57	9.92
Ntrk3	16.6	0.0	251.16	129.5	0.0	68.38	0.0	198.44	4.4	9.76	11.3	22.62	11.35	116.12	94.86	103.68	1.34	145.54	4.79	2.41	228.15	54.25	44.93	113.93	2.69	0.0	177.7	117.2	48.14	28.04	36.93	68.91	51.0	35.59	26.71	0.29	0.0	0.08	0.0	205.25	179.33	8.37	41.41	100.43	93.68
Ogdh	17.2	32.64	54.87	180.51	52.3	68.35	88.65	135.8	10.27	167.37	93.53	76.36	52.18	78.77	102.05	180.53	0.42	36.84	144.05	61.93	219.78	65.89	95.47	74.94	39.77	6.17	96.55	63.41	85.22	88.23	63.31	74.5	83.83	89.68	125.39	46.37	26.32	60.13	81.77	62.08	5.55	94.67	96.84	121.97	148.07
Olfr613	109.06	28.03	69.68	101.05	65.96	43.38	43.39	68.18	19.04	14.39	62.58	16.47	30.84	37.52	38.78	86.11	0.0	56.7	100.2	116.29	88.63	100.61	99.06	165.25	93.41	7.13	31.99	87.33	75.3	108.51	86.16	89.51	82.91	54.85	61.49	14.96	40.1	53.1	79.16	56.59	20.84	45.21	122.46	69.42	137.24
Onecut3	0.8	0.29	2.57	1.72	0.78	0.82	1.12	1.32	0.21	0.0	1.13	0.17	0.98	0.51	0.38	0.43	0.08	0.72	1.82	0.66	0.66	1.0	3.11	1.48	1.54	0.14	0.6	1.98	0.7	0.64	1.01	1.5	1.05	0.58	0.36	0.25	0.0	0.0	0.86	0.2	0.14	0.24	0.72	0.72	1.75
