	Ctgf_tdTpositive_cell_2	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_9	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gprc5c	0.0	0.14	0.08	0.1	0.23	0.07	0.0	1.88	0.0	2.54	2.85	3.01
Gstt2	948.6	0.0	0.0	0.0	0.24	30.95	0.55	0.0	0.35	3.29	2.96	2.26
Gtf2a2	3244.7	403.91	0.0	0.0	0.0	0.0	1069.22	0.0	0.0	47.44	47.32	39.87
H2-T9	1443.06	0.0	0.26	0.0	0.2	0.0	0.71	0.0	0.0	11.38	9.73	8.64
Hbxip	1664.08	0.0	0.0	0.0	547.59	0.0	0.0	1587.22	0.0	70.07	71.21	71.66
Hip1	238.78	145.5	0.0	0.0	0.0	0.0	1.96	103.77	0.0	23.09	22.58	24.09
Hrct1	1976.0	0.0	0.0	405.73	0.0	0.0	0.0	0.0	0.0	1.89	1.78	1.61
Hspb1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.61	14.51	8.01
Iffo2	0.09	0.0	2.21	0.0	0.06	0.13	0.07	0.0	0.09	12.79	12.86	11.38
Ifitm1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66	6.52	4.15
Il15	614.39	0.0	0.0	0.0	221.57	0.0	0.0	0.0	54.88	1.34	1.33	0.97
Ino80c	1346.41	0.57	0.0	0.14	0.0	0.0	0.0	0.0	0.0	23.21	23.96	22.41
Ints9	1090.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.21	14.85	11.9
Irf3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.09	18.3	15.62
Itm2a	11226.41	15187.76	6731.18	8239.17	28258.71	44601.9	19778.69	21453.5	27583.62	90.62	84.1	79.88
Kdm5c	213.91	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	34.89	26.41	27.1
Keap1	386.98	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	46.23	54.83	51.32
Mapk1ip1l	647.37	0.77	0.08	0.0	0.0	0.24	0.33	0.0	1.56	27.39	27.51	25.7
Mettl14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.36	17.92	17.65
Mfsd11	827.14	8.67	35.12	10.57	56.8	30.41	3.55	0.0	7.2	26.67	26.05	23.78
Mir491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.74	0.0
Mir709	23.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73	0.0	1.97
Mis12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	933.14	0.0	18.73	17.44	16.02
Mndal	0.0	31.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	1.13	1.87
Mrpl32	1591.97	677.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.5	35.76	30.24
Mrpl36	0.0	0.0	0.0	0.0	13.75	0.0	105.96	1109.59	0.0	40.51	41.87	42.86
Mrps14	749.51	0.0	795.63	0.0	0.0	0.0	203.52	3.84	0.0	34.24	33.11	34.2
Mtmr12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.16	27.53	27.0
Myct1	998.05	0.0	0.0	0.17	0.0	0.0	0.13	0.0	0.0	0.85	0.68	0.92
Naalad2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.14	1.02
Nktr	363.45	0.0	229.15	0.0	0.0	0.0	0.0	0.0	0.0	56.37	47.42	56.55
Noc3l	705.47	47.17	0.0	0.22	0.0	0.5	0.09	0.0	0.61	11.39	10.6	10.11
Nsun3	1228.12	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	7.75	6.79	6.69
Olfr266	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11
Olfr694	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Osmr	0.0	0.0	0.0	36.67	0.0	0.0	0.08	0.0	0.0	2.41	2.45	1.91
Pla2r1	0.0	0.05	0.0	0.0	0.0	0.08	0.05	0.0	0.0	0.41	0.31	0.45
Plcb4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	30.97	23.96	33.02
Plscr4	986.3	0.0	0.0	0.0	0.2	0.0	0.0	0.0	53.72	3.38	2.85	2.87
Polr2j	0.0	0.0	0.0	0.0	750.11	0.0	0.0	1836.56	480.79	73.23	68.64	66.44
Ppp1r14c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.05	17.27	14.84
Prg4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	4.13	1.75
Prim2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.53	6.42	6.08
Pth1r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.39	6.19	5.62
Qpctl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.65	19.73	18.89
Rai2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.96	10.39	9.98
Rasl12	1.78	0.76	2.12	1.26	0.17	0.78	0.15	0.0	0.95	5.66	4.41	6.34
Rassf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.73	20.15	16.18
Rassf3	422.15	0.0	0.0	0.0	0.0	0.0	0.0	257.61	0.0	36.48	37.41	36.43
Rfk	235.24	0.0	0.14	0.0	0.0	0.0	0.0	39.39	0.19	52.91	55.76	55.39
Rfxank	361.56	1.07	0.81	0.13	0.55	3.22	0.92	0.0	0.0	10.68	10.68	11.79
Rg9mtd2	775.53	1.1	0.33	3.33	0.0	0.87	0.41	0.0	0.63	5.39	4.98	4.63
Rgl2	287.88	0.0	0.0	1.95	2.32	177.36	0.0	0.0	0.0	37.58	38.67	42.65
Robo4	451.74	102.83	0.0	0.13	2.02	0.44	0.0	0.0	0.25	4.74	5.15	3.99
Sec63	0.0	33.12	0.0	0.0	0.0	56.61	0.03	0.0	0.0	40.39	35.34	39.94
Slc19a3	2573.89	709.17	0.35	0.0	140.09	0.0	0.0	0.0	0.0	2.65	2.22	2.67
Slc39a8	823.5	0.0	0.08	0.0	0.1	0.64	0.09	143.67	0.35	3.14	3.04	3.32
Snrpe	1633.48	0.0	0.0	0.0	0.72	1078.97	959.7	1442.2	0.0	55.62	61.06	49.25
Snx18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.31	15.64	15.91
Sp110	16.01	0.8	14.33	0.74	3.02	4.57	5.53	0.0	3.2	2.13	2.08	3.43
Sp140	739.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.58	0.85
Syde1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.16	8.07	7.39
Taf1d	0.0	171.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.75	18.02	20.18
Tbxa2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.93	1.01
Tgtp1	897.26	0.0	0.0	0.0	111.83	0.0	0.4	0.0	0.0	0.83	0.92	0.75
Tmco5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	2.71	2.97
Tmem167b	1274.7	25.05	0.0	0.0	0.22	0.0	0.13	0.0	0.0	44.69	45.81	45.82
Tmem182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.17	0.0
Tmem200b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.96	8.94	9.72
Trim16	671.64	0.11	0.0	0.0	41.18	70.16	0.0	0.0	0.0	1.14	1.16	1.22
Trip4	239.25	1.27	2.65	2.58	1.29	1.38	2.26	0.0	2.45	15.3	14.06	15.54
Trp53inp2	0.0	0.0	0.0	0.0	0.0	0.0	7.41	0.0	0.0	141.93	139.5	142.37
Uckl1	1443.64	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	24.41	26.21	23.81
Unc13d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.77	0.66
Vmn1r14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Vmn1r236	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Wdr11	401.35	0.0	0.0	0.0	0.0	0.0	92.19	0.0	0.0	35.59	34.95	35.38
Wdr44	506.29	0.0	0.0	0.0	63.95	0.0	0.0	0.0	195.91	13.23	12.26	13.91
Xiap	0.0	0.0	0.05	0.14	38.79	276.61	0.0	404.38	0.0	45.99	41.82	43.87
Zap70	609.35	0.0	0.0	0.0	0.15	0.25	0.17	0.0	0.0	1.23	1.93	1.78
Zfp366	32.85	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	2.5	2.73	2.03
Zfp418	1313.45	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	2.49	2.75	2.68
Zfp551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.71	4.81
Zfp7	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	7.45	8.3	6.92
Zfp764	1074.59	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	4.47	3.72	4.18
Zfp790	726.97	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	10.41	9.48	9.63
Zwilch	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	2.92	2.65	3.35
c12_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63	2.48	0.0
c9_tRNA-Ala-GCA	1183.99	0.0	0.0	0.0	150.55	0.0	0.0	0.0	0.0	8.09	29.31	32.99
