	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_13	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_4	Ntsr1_tdTnegative_cell_27	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_48	PvalbF.Gad2_tdTpositive_cell_49	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_54	PvalbF.Gad2_tdTpositive_cell_56	PvalbF.Gad2_tdTpositive_cell_57	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_60	PvalbF.Gad2_tdTpositive_cell_61	PvalbF.Gad2_tdTpositive_cell_62	PvalbF.Gad2_tdTpositive_cell_63	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_65	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_73	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12	Vip_tdTpositive_cell_13
Gm13629	0.19	0.0	130.64	0.0	0.0	102.47	658.51	101.04	204.12	67.62	49.29	248.67	215.47	142.01	188.41	193.87	60.64	236.03	267.87	241.87	142.61	131.93	202.38	135.38	138.58	116.25	223.78	197.23	227.67	223.2	34.3	209.27	228.46	69.92	75.51	149.22	98.99	266.18	193.55	107.68	0.0	25.3
Gm14430	0.0	0.0	7.02	0.0	8.44	0.0	14.72	13.46	12.83	3.07	11.03	13.57	4.08	0.54	8.34	9.58	4.61	28.79	31.83	13.98	8.31	16.82	17.65	0.06	10.45	7.54	7.83	13.81	18.59	20.22	20.14	40.89	14.03	23.53	9.97	11.12	30.75	25.3	15.88	2.38	0.0	4.38
Gm14434	0.0	0.0	7.02	0.0	8.44	0.0	14.72	13.46	12.83	3.07	11.03	13.57	4.08	0.54	8.34	9.58	4.61	28.79	31.83	13.98	8.31	16.82	17.65	0.06	10.45	7.54	7.83	13.81	18.59	20.22	20.14	40.89	14.03	23.53	9.97	11.12	30.75	25.3	15.88	2.38	0.0	4.38
Gm4724	0.0	0.0	7.02	0.0	8.44	0.0	14.72	13.46	12.83	3.07	11.03	13.57	4.08	0.54	8.34	9.58	4.61	28.79	31.83	13.98	8.31	16.82	17.65	0.06	10.45	7.54	7.83	13.81	18.59	20.22	20.14	40.89	14.03	23.53	9.97	11.12	30.75	25.3	15.88	2.38	0.0	4.38
Ldhb	8970.97	2832.54	8550.52	0.0	4948.76	10118.08	10894.4	10165.1	9602.81	11261.44	10004.69	13571.31	12546.17	11010.48	10182.84	7057.76	6851.78	7891.81	7551.43	7750.55	7124.4	6379.79	7739.08	7194.73	7205.83	6728.17	7185.39	9082.37	7352.41	7441.82	6343.21	7928.56	7199.93	7910.47	6628.6	7844.79	8351.44	7830.1	8111.86	11746.38	5577.5	4155.42
Lrp1	0.08	0.0	0.0	0.0	0.0	0.0	0.41	0.13	1.33	0.0	1.72	0.2	0.62	0.57	8.56	0.54	0.22	10.72	11.72	12.16	9.34	3.31	0.39	1.79	5.24	5.85	0.05	13.08	3.96	14.02	4.24	0.95	16.05	0.18	1.3	0.4	1.49	5.77	5.61	0.21	0.0	0.0
Mapk8ip3	0.04	0.0	6.48	0.0	0.0	0.0	12.11	29.25	47.95	4.2	21.84	50.47	8.13	4.2	47.33	25.35	4.11	6.21	86.8	63.32	20.35	41.53	99.35	48.09	60.89	26.47	45.58	17.1	19.22	64.74	0.71	54.02	45.07	63.04	5.33	49.89	29.13	52.01	39.04	16.65	0.0	0.1
Mmgt1	1.25	2.79	1.36	0.0	1.11	0.24	0.46	8.79	37.79	128.42	0.82	25.82	21.81	3.62	20.26	27.74	10.7	78.03	129.92	72.04	7.79	92.71	67.69	3.96	67.86	11.15	14.77	51.85	60.46	192.66	8.22	20.14	48.04	10.32	65.86	53.17	3.13	16.32	11.09	12.0	0.39	138.98
Nrxn3	42.51	0.0	87.25	0.0	0.0	78.44	36.59	109.8	53.55	71.78	97.65	114.37	56.44	47.45	86.39	108.11	79.64	13.48	188.26	167.76	92.94	92.3	96.42	67.1	112.56	62.89	166.49	74.96	141.43	208.95	97.48	178.07	115.6	84.75	113.98	110.82	141.76	185.31	234.51	63.4	0.0	81.67
Ormdl2	0.0	0.0	0.0	0.0	0.0	0.0	38.88	0.0	24.72	6.39	0.0	0.0	35.93	6.8	0.0	0.0	0.0	1.94	37.41	25.17	0.0	33.68	9.82	0.0	0.0	0.0	11.64	6.25	0.0	0.0	0.0	45.85	0.0	0.0	0.0	45.65	0.0	1.24	12.44	0.0	0.0	0.0
Pias2	0.0	0.0	0.31	0.0	0.0	1.24	29.48	49.0	5.52	20.96	5.9	18.09	1.59	2.62	21.17	7.44	70.26	100.86	43.48	18.85	35.28	40.76	123.26	10.91	39.71	33.73	26.86	14.21	58.14	56.99	21.71	73.14	34.02	3.6	25.19	92.05	0.98	11.4	50.5	19.15	0.0	0.11
Prpf39	55.56	0.0	13.6	0.11	0.0	5.58	53.65	29.48	53.16	0.29	36.83	23.27	10.62	1.24	47.16	47.82	31.47	38.72	44.81	43.14	115.84	32.65	44.54	2.28	33.35	65.74	118.51	31.18	18.81	40.03	14.47	126.14	94.62	85.26	30.25	101.78	19.0	62.59	48.26	35.89	0.0	13.49
Rab3gap2	30.75	0.0	0.0	26.15	0.0	10.53	8.58	41.92	61.8	9.27	13.87	18.01	17.4	16.23	25.59	30.12	32.82	19.81	52.72	30.69	15.41	30.17	42.89	0.57	30.35	9.29	53.38	31.5	20.6	38.3	9.14	34.01	57.88	8.51	46.11	49.43	11.61	11.35	41.84	3.6	0.0	1.1
Smek1	28.35	0.0	0.0	0.0	0.0	7.75	4.07	6.22	32.44	11.77	1.74	1.45	0.0	34.4	3.93	22.19	32.34	36.98	21.77	65.15	26.75	55.3	16.39	0.07	0.0	1.04	30.38	11.32	38.31	11.52	6.83	10.81	3.55	10.65	9.08	36.03	6.89	34.63	8.81	4.08	0.0	4.48
Snap91	38.61	0.0	2.05	0.0	0.0	38.92	29.29	187.3	84.01	89.56	41.69	106.17	40.36	31.63	73.47	134.19	0.0	49.53	151.47	102.43	108.99	101.06	48.2	24.99	70.69	31.87	76.3	122.56	82.14	89.76	4.93	69.03	117.15	127.84	46.51	112.65	33.91	240.09	177.5	84.31	0.0	0.0
Snx4	2.12	0.0	0.0	0.0	0.0	0.0	12.95	39.98	4.71	78.66	0.13	54.06	0.0	0.0	0.37	3.33	0.0	0.0	65.08	53.83	1.68	0.96	0.0	0.96	0.0	63.41	0.0	0.12	0.0	25.63	0.0	0.0	0.0	0.0	0.0	2.17	0.0	15.77	20.31	0.16	0.0	0.0
Spock3	44.59	0.0	17.55	0.0	0.0	47.08	81.6	120.28	184.7	119.62	78.68	135.99	32.11	220.69	148.91	45.4	95.41	263.04	450.73	364.08	130.46	364.19	451.45	17.06	312.45	165.89	338.95	109.94	248.05	76.29	141.1	198.45	88.78	220.85	288.89	313.3	73.24	289.92	200.99	181.75	0.0	0.54
Spred3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.27	0.56	0.0	2.4	0.0	1.0	1.98	0.0	0.0	1.15	3.13	17.65	9.76	0.64	2.49	0.0	0.0	0.0	3.91	3.27	1.55	4.78	7.18	0.0	3.06	3.7	0.0	0.0	2.69	0.0	1.86	0.0	1.86	0.0	0.0
Wac	0.05	0.0	0.13	0.09	0.7	3.98	28.18	53.71	28.63	68.44	13.49	14.85	25.62	29.67	9.87	20.28	46.82	41.92	72.05	23.13	32.63	77.1	20.75	0.0	59.86	76.34	78.38	19.47	23.31	25.99	2.54	79.46	19.37	36.54	11.33	53.05	58.86	112.88	39.03	34.15	0.14	0.22
Wdr70	0.0	0.0	0.0	0.0	0.0	60.19	0.0	14.0	0.69	0.18	25.61	45.59	0.0	7.82	6.55	0.0	0.37	0.0	103.68	50.61	0.35	0.0	0.56	0.0	0.0	2.37	8.42	13.76	84.21	66.38	2.21	0.0	0.0	1.82	6.31	66.76	0.0	1.02	20.21	0.0	0.0	0.0
