	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_16	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_42	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
9030204H09Rik	0.0	0.34	0.6	0.0	0.0	0.83	16.14	0.0	1.69	0.0	0.0	0.71	0.0	25.06	0.53	0.0	1.93	0.0	0.18	0.0	0.0	0.0	0.0	0.28	0.0	0.97	0.47	0.0	0.21	0.0	0.0	0.0	1.04	0.0	6.96	0.0	0.0	2.37	0.0	0.0	0.95	0.43	0.39	0.0	0.0	1.7	1.71	1.63	0.0	0.52	0.0	0.0	0.0	0.0	0.0	26.98	0.0	0.82	0.0	0.16	0.32
9430038I01Rik	2.23	0.56	1.41	1.27	205.67	0.93	0.3	32.17	2.04	1.1	0.3	3.27	0.38	98.62	0.0	2.06	1.66	0.72	0.0	1.52	2.19	7.69	0.0	0.63	17.0	3.68	2.44	0.79	0.38	3.15	0.58	4.55	24.55	2.78	2.19	5.5	4.82	2.44	1.48	2.18	1.63	11.37	1.2	5.42	3.51	2.36	5.28	2.97	1.61	1.03	2.63	4.3	3.05	0.0	1.15	1.73	0.99	1.95	0.79	3.28	3.42
9430060I03Rik	0.0	0.0	0.0	0.0	0.0	0.0	54.95	0.0	0.0	0.0	0.0	0.0	0.0	65.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.35	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.05	7.67	0.0	0.0	0.0	0.0	7.79	0.0	0.0	0.0	0.84	0.0	82.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.54
A430107O13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.36	8.93	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.24	0.56	0.84	0.0	0.0	36.08	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	2.22	2.11
AI506816	11.68	2.99	13.51	6.0	20.11	7.66	2.4	2.12	2.37	8.65	15.36	14.85	12.76	430.66	1.63	32.72	6.98	1.34	10.14	6.9	13.6	8.21	0.0	7.54	25.03	6.2	40.53	9.48	41.15	97.32	38.8	43.67	7.55	10.52	15.0	51.59	15.94	24.3	14.18	15.88	8.39	8.18	8.18	21.91	14.0	9.72	13.79	31.38	1.51	2.39	25.17	6.2	2.04	11.48	30.16	10.41	33.64	36.52	5.76	10.2	8.49
Abca9	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.13	4.87
Acadvl	125.27	77.74	0.0	0.0	0.0	0.0	187.27	74.82	5.72	3.76	76.03	110.02	0.0	128.0	0.0	0.0	96.31	0.0	0.0	0.0	125.77	0.65	0.0	0.0	4.22	89.75	82.78	0.0	89.34	0.0	86.99	0.39	129.03	63.31	49.64	43.39	28.55	17.02	33.86	20.27	74.35	28.26	35.09	66.33	32.26	51.49	35.77	135.35	0.0	0.0	2.91	0.21	1.28	0.0	95.56	33.82	0.0	0.0	278.37	46.3	44.91
Adamtsl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.12	2.93	4.25	2.49	0.81	4.79	0.18	4.25	0.56	0.3	0.53	0.74	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.09	0.0	0.0	2.59	2.68
Adsl	237.38	5.85	10.4	19.7	13.39	17.84	20.0	80.54	131.69	160.74	90.78	8.85	13.26	307.47	14.64	102.8	32.49	5.73	6.68	5.87	18.34	172.0	3.71	37.13	54.87	46.99	89.3	2.86	14.58	28.67	19.17	18.37	96.34	119.76	20.63	37.43	69.61	66.32	63.75	48.96	44.8	53.11	94.28	85.32	65.52	72.48	79.42	271.47	286.22	11.76	13.11	15.88	142.37	5.67	4.52	13.97	74.35	11.28	129.95	25.44	26.9
Alg2	0.13	0.0	0.85	2.03	115.56	18.72	0.49	0.0	116.49	35.33	72.72	0.11	0.13	251.49	0.11	0.22	57.1	0.0	0.42	0.11	6.21	38.36	0.0	114.23	60.13	173.5	44.53	0.0	0.27	0.0	13.66	0.0	36.62	0.0	57.51	67.92	85.79	50.14	88.59	50.25	80.69	80.4	89.24	36.49	22.89	47.65	46.04	0.0	86.74	0.0	11.63	214.96	0.0	26.35	107.36	9.43	0.0	22.03	177.79	115.6	110.95
Alkbh1	1.0	0.23	1.41	1.11	2.54	1.25	1.04	0.23	0.78	0.25	91.71	0.82	0.0	143.88	149.59	0.0	0.53	0.76	0.0	3.24	1.03	1.79	0.18	3.95	11.07	1.73	53.7	0.11	52.54	0.0	0.53	0.53	0.0	151.27	23.22	39.6	20.11	34.18	2.14	0.69	0.86	0.71	1.76	0.51	16.18	6.35	6.81	0.44	0.37	0.0	0.12	92.8	0.0	0.0	0.67	0.17	192.21	0.65	0.61	13.36	12.7
Aoc3	0.09	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.28	0.0	0.0	0.0	0.25	0.31
Ap1m2	0.0	3.08	0.0	0.0	0.0	20.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	7.72	0.0	0.0	0.0	3.7	5.39	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	1.65
Arhgef37	0.0	0.0	0.0	2.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.59	1.79
Arid5b	0.0	5.45	40.93	0.1	0.0	0.0	6.33	16.06	14.74	45.44	1.37	0.0	39.26	84.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	7.71	0.26	22.42	0.39	0.0	0.94	0.0	0.0	30.03	20.82	5.64	3.55	4.28	15.86	1.34	9.93	13.73	2.05	7.24	7.02	4.48	5.7	3.22	0.0	0.0	9.48	0.0	0.0	0.0	0.0	7.06	3.49	0.0	43.57	35.84	12.18	11.9
Asap2	0.0	0.86	0.27	0.2	0.0	11.79	0.0	0.31	52.36	0.22	0.07	58.7	14.22	67.34	0.18	0.06	0.11	0.05	0.0	0.37	24.82	10.6	0.0	12.5	9.4	4.03	0.82	3.83	6.01	0.12	0.32	36.24	0.11	0.11	2.43	11.3	9.01	7.71	4.22	2.27	20.65	2.58	1.43	8.64	6.7	9.39	5.72	19.29	0.05	0.13	21.31	19.98	0.0	4.34	3.37	0.2	0.25	31.68	0.15	25.96	27.77
Atxn7l1	13.89	15.85	0.22	26.57	0.0	1.78	0.0	94.91	0.0	151.23	153.49	291.5	0.0	194.65	109.47	81.6	0.15	0.0	0.0	89.31	0.0	6.75	32.46	39.3	54.06	98.41	1.59	0.0	175.45	0.0	66.06	0.0	0.0	0.0	49.89	22.47	23.95	36.58	10.0	45.64	55.9	42.63	42.71	32.2	33.19	43.93	40.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.75	0.0	0.14	0.0	29.08	27.32
BC037034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71	0.0	0.0	8.54	0.0	0.0	0.0	0.0	0.0	9.13	0.17	0.16	0.71	0.1	1.02	3.34	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.85	0.26	0.0	0.93	0.83	0.45	0.2	2.62	0.47	0.35	0.54	1.09	0.0	0.0	0.0	0.0	0.0	0.0	6.14	0.0	0.0	0.0	0.0	0.0	48.42	49.02
Bmp2k	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.07	0.0	0.0	0.0	0.0	12.71	0.0	0.05	0.0	0.0	0.0	0.0	0.13	0.06	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	8.64	8.32
Brd9	79.02	10.84	44.6	177.39	14.45	110.49	99.71	41.33	183.47	39.22	10.38	142.29	188.01	277.7	100.19	4.4	133.64	112.57	52.44	247.93	115.38	9.34	87.01	34.73	39.59	8.16	58.41	8.16	28.55	16.55	41.36	106.63	69.69	170.31	163.3	127.69	197.88	149.89	92.49	129.99	74.48	82.35	93.29	115.54	156.27	142.1	155.54	258.9	13.03	135.25	212.27	74.66	167.14	90.04	223.38	57.28	284.21	82.91	1.3	76.85	74.96
Cacna2d2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.07	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.23	0.04	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	25.53	26.92
Calm2	20249.89	18003.48	20813.5	20740.74	17688.69	17910.32	19533.68	19081.81	18790.75	17934.64	19635.16	19628.74	19578.34	15577.56	24749.41	21064.56	18026.74	19971.06	20654.99	19749.13	18161.55	19103.2	18789.68	18742.78	18187.15	17343.84	19736.86	16272.6	18784.2	16465.48	20660.56	19581.9	19276.37	18006.13	15475.49	15887.21	14138.62	17363.25	14908.0	16198.04	15858.62	15411.91	15343.8	18644.66	18004.95	16099.57	15686.41	19423.54	22860.58	23322.9	18237.98	25106.81	19256.69	21777.08	23557.63	19735.95	19141.42	19191.1	18621.16	2887.42	2667.18
Cass4	0.0	0.0	0.6	0.54	0.23	1.04	0.0	0.3	0.0	0.0	0.62	0.88	0.53	33.6	0.0	0.18	0.0	0.0	0.47	0.09	0.91	0.43	0.0	0.26	0.6	1.13	0.87	0.06	0.0	0.5	0.19	0.24	0.17	0.21	0.1	0.0	3.22	4.58	0.27	0.16	5.74	1.72	0.54	0.21	1.22	4.34	2.54	0.38	0.0	0.07	0.06	0.4	0.0	0.0	0.0	0.35	0.39	0.09	0.26	2.32	2.18
Cbl	0.0	17.5	0.0	0.08	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.85	0.0	6.63	0.05	0.66	0.44	0.0	0.14	0.07	0.15	0.0	0.0	0.0	0.61	4.6	1.56	4.09	3.75	0.24	4.36	0.05	0.1	4.0	1.68	1.88	1.56	1.05	0.0	0.72	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.05	0.21	24.26	24.59
Ccdc57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.55	0.0	56.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.62	0.0	0.0	0.68	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.32	9.04	0.0	0.6	1.15	0.0	0.0	0.51	1.16	2.1	1.62	1.12	0.0	0.09	19.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.23	7.35	8.33
Ccrl1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.19	0.15
Celf3	2.54	0.38	2.84	0.0	0.0	0.0	0.82	1.89	0.0	0.0	0.0	2.94	9.86	27.97	0.0	0.25	0.0	0.0	0.27	0.0	0.15	0.0	0.0	0.28	1.7	7.52	2.07	14.6	28.0	0.0	0.0	0.0	9.23	0.0	3.88	5.61	6.95	0.42	3.32	2.73	0.1	0.0	0.45	3.31	2.61	1.88	4.18	0.0	0.0	0.1	0.0	0.16	0.0	0.17	0.0	0.0	1.99	0.44	10.82	122.93	134.16
Cntnap4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	49.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.31	0.0	0.05	3.7	0.18	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.68	6.87	2.94	2.17	7.93	6.19	4.86	1.58	3.88	4.76	6.52	3.59	3.26	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	12.17	123.4	0.0	0.0	17.78	15.84
Cog1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	0.0	0.0	0.0	0.0	0.0	39.15	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58	0.15	28.25	0.0	0.2	0.0	0.0	0.0	0.0	0.0	5.58	2.51	15.01	5.25	1.84	5.47	2.93	1.97	4.84	5.94	6.43	3.22	1.6	79.48	0.0	0.0	0.0	18.78	9.38	0.0	0.0	0.0	36.75	0.0	0.0	41.23	39.66
Cotl1	0.0	0.0	5.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.64	0.0	0.0	0.0	24.08	0.0	0.0	0.0	4.79	0.0	0.0	1.6	21.74	6.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.67	8.5	8.72	2.93	7.24	2.31	4.31	0.61	0.12	3.33	0.21	3.01	0.0	0.0	0.0	0.0	0.0	1.13	0.0	0.0	0.0	0.0	0.0	0.0	52.38	60.09
Cryz	0.0	12.71	37.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.98	0.0	0.0	97.63	0.0	0.0	0.0	0.0	0.0	0.0	70.98	0.11	0.8	0.32	0.0	0.0	0.0	0.0	0.0	0.0	85.12	9.19	19.7	22.32	26.33	4.94	11.48	17.82	28.29	3.9	29.3	28.64	23.36	25.0	0.0	125.58	0.0	0.0	0.18	0.0	0.0	0.0	1.94	0.0	0.0	100.0	15.79	14.41
Csk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.34	23.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.31	0.0	2.12	5.44	0.0	0.0	0.0	0.39	1.82	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.46	0.0	0.0	0.0	24.96	23.74
D16Ertd472e	0.06	0.07	0.0	0.0	0.0	0.0	0.0	0.05	0.0	8.68	0.0	0.0	0.0	17.01	0.0	0.0	0.0	0.0	0.08	0.06	0.0	0.03	0.0	0.04	0.74	0.05	0.08	0.0	0.0	0.0	0.08	9.62	0.0	0.0	0.0	0.72	0.79	0.0	0.0	0.4	0.0	2.64	0.0	3.08	1.1	1.39	0.23	0.0	0.0	0.0	0.04	0.0	0.0	0.0	33.48	0.0	0.0	10.27	11.99	6.05	5.33
Dhcr24	0.0	2.29	0.07	3.73	0.0	0.0	0.19	0.0	0.11	0.0	4.81	0.0	0.0	9.74	0.0	0.0	3.67	0.0	0.0	0.0	0.0	0.1	0.0	0.06	0.64	0.65	14.33	0.92	23.51	0.0	2.31	0.62	0.0	0.0	0.61	4.94	0.82	3.83	5.08	11.04	3.75	0.64	4.2	0.78	3.38	2.88	3.17	0.13	1.33	0.0	0.06	0.0	19.41	0.0	0.0	0.3	26.22	0.0	0.0	79.84	78.98
Dhx38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	11.05	0.0	0.0	0.09	0.0	0.0	0.0	0.1	71.46	0.0	0.12	5.77	0.0	0.0	0.0	0.0	0.0	2.07	0.0	0.0	15.74	9.5	1.61	7.21	9.94	7.92	3.84	6.25	1.71	3.42	2.34	4.8	1.22	4.52	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	2.95	0.0	33.19	13.16	22.37	23.56
