	Chrna2_tdTpositive_cell_54	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_77	Rbp4_tdTpositive_cell_51	Scnn1a.Tg3_tdTnegative_cell_12
A930011O12Rik	8.86	0.0	0.0	0.35	63.58	0.0	10.57	46.76	164.48	31.01	61.68	22.87	36.92	35.86	6.84	60.69	73.24	117.1	12.22	11.94	34.53	0.15
AI413582	428.29	0.0	0.0	0.0	171.71	370.12	87.98	293.78	738.36	217.52	440.13	371.54	117.24	136.62	110.34	111.98	0.0	63.71	154.36	115.55	270.9	0.0
Akirin2	38.15	0.0	0.0	0.0	0.41	0.0	0.0	34.52	70.28	0.0	17.13	26.86	8.43	0.16	0.0	0.0	0.0	17.79	0.0	1.11	20.96	0.0
Aldh18a1	0.0	0.0	0.13	0.0	1.78	8.94	0.0	11.93	172.12	27.43	0.0	0.0	28.24	0.08	0.0	0.0	22.77	0.91	0.51	14.07	0.0	0.0
Ap3b1	0.0	0.0	0.0	0.0	6.41	0.0	16.43	27.43	104.5	0.0	17.5	0.0	2.12	19.7	2.83	1.67	29.26	34.11	26.45	0.28	0.0	7.92
Ap4e1	8.41	0.16	0.2	0.89	0.65	9.54	14.12	16.31	30.33	0.42	10.28	5.05	0.36	4.86	1.46	13.54	1.22	1.6	10.97	22.27	8.56	1.55
Apeh	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	92.86	0.0	0.0	0.0	23.1	104.31	2.57	1.73	0.0	3.62	0.0	0.0	0.0	0.0
Arf3	0.62	4.51	1.39	5.5	89.33	124.67	47.54	35.07	275.54	6.16	149.14	21.76	92.27	144.69	34.28	54.65	60.68	18.36	103.98	123.57	131.9	0.09
Atf4	0.0	26.63	0.0	0.0	185.17	164.16	142.83	100.24	510.16	689.86	84.7	322.09	102.02	165.44	121.58	157.43	117.34	232.07	81.7	175.66	4.22	15.2
Atxn7l1	10.03	0.0	0.0	0.0	78.01	77.24	20.72	53.81	221.16	264.71	13.46	85.66	62.73	167.47	55.77	145.16	120.22	6.14	55.88	60.71	141.32	0.0
B9d1	0.0	0.0	0.0	0.0	73.57	0.0	0.0	33.19	130.53	0.0	0.0	0.0	54.87	44.12	0.0	8.02	0.0	0.0	52.9	47.68	0.0	0.0
BC030336	0.0	0.0	0.0	0.0	81.85	58.67	7.33	72.41	60.05	11.82	9.76	15.51	38.18	29.84	28.17	20.79	29.49	6.84	18.76	36.18	23.35	0.0
Bcat1	4.08	0.0	0.0	0.0	120.68	41.42	61.89	139.48	203.12	131.33	39.28	145.52	115.22	111.05	71.13	161.5	165.23	21.52	154.01	78.83	97.57	0.0
Bmi1	0.0	0.0	0.0	0.0	0.58	3.61	0.0	0.0	75.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0
Btbd6	0.0	0.0	0.0	0.0	3.56	0.0	0.0	0.0	98.56	0.0	0.0	0.16	10.53	10.02	0.0	44.13	0.0	0.0	0.0	0.0	0.0	0.0
Camk2d	15.95	0.09	0.0	0.0	29.83	65.33	2.49	10.9	75.87	12.91	17.1	34.62	8.45	13.07	3.28	5.23	1.85	23.99	35.39	74.41	5.61	0.0
Casz1	0.0	0.0	0.0	0.0	3.91	4.46	1.48	10.53	10.24	0.33	0.05	2.01	0.0	5.16	9.36	0.0	0.0	0.0	8.83	0.61	0.0	0.0
Ccdc21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.18	55.65	0.12	0.1	24.45	1.65	0.0	0.42	19.74	0.0	41.18	0.12	0.1	0.0	0.0
Ccl27b	0.54	0.0	0.0	0.0	0.92	0.0	6.15	0.0	24.17	0.0	3.31	0.76	0.0	0.0	2.62	1.92	4.77	8.14	0.0	0.74	9.34	0.0
Cdh11	0.06	0.0	0.0	0.0	14.13	3.07	0.91	6.74	37.4	1.42	2.99	0.8	6.6	4.09	11.57	6.83	1.97	0.0	3.21	3.2	6.48	0.0
Chd5	10.7	0.0	0.0	12.08	5.96	5.04	12.81	3.41	21.16	3.23	2.78	3.36	5.03	3.07	6.57	7.16	12.22	22.15	13.53	30.98	4.11	0.0
Ciapin1	46.19	0.0	0.0	0.0	60.18	108.79	22.36	72.65	156.06	112.39	61.03	44.57	47.05	86.66	89.4	127.22	85.23	181.7	52.0	124.95	36.33	0.0
Cirh1a	0.11	0.0	0.0	0.0	91.73	0.0	0.0	39.45	159.02	73.75	71.93	113.8	32.9	38.6	2.55	4.18	60.69	54.21	59.34	24.92	54.38	0.0
Clcn3	31.84	0.0	0.0	0.0	127.79	95.29	122.72	129.64	221.71	120.41	96.2	230.27	92.59	110.03	125.04	203.01	98.64	92.04	121.51	171.91	42.82	0.0
Cnpy2	29.94	0.0	0.0	0.0	170.21	393.23	102.87	21.19	301.42	97.31	59.33	36.96	72.24	37.71	0.0	184.18	54.64	0.0	50.25	175.0	51.72	0.0
Ctgf	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	13.93	0.0	0.0	1.54	9.55	1.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dalrd3	0.0	0.0	0.0	0.0	29.01	7.57	42.95	8.7	148.46	0.0	68.23	40.79	12.0	0.0	62.43	90.0	0.0	68.71	14.75	0.0	0.0	0.0
Dcbld2	0.0	0.0	0.0	0.0	13.95	32.94	1.38	33.69	78.31	2.37	6.41	17.1	0.44	29.1	25.44	0.0	0.53	10.68	16.16	1.09	21.03	0.0
Dcun1d1	1.1	0.0	0.0	0.0	74.06	55.44	28.81	67.93	217.84	62.11	76.1	124.6	60.63	54.22	46.56	23.02	117.92	28.1	76.81	110.88	104.35	0.15
Ddah1	2.41	71.46	0.0	0.0	0.0	36.33	39.69	38.42	262.29	116.33	53.31	0.0	9.87	30.74	148.06	25.14	16.29	148.7	27.57	0.0	0.1	0.0
Dedd	0.0	0.0	30.27	0.0	2.19	1.94	91.97	24.37	63.26	9.17	0.0	9.65	15.89	16.65	101.01	52.88	54.85	36.9	51.76	2.38	19.81	0.0
Dgkh	0.0	0.0	0.0	0.0	4.05	0.0	11.92	0.0	73.88	0.6	2.24	0.0	0.0	0.21	1.53	0.0	1.2	0.68	0.0	4.37	0.0	0.18
Dlx5	0.18	0.0	0.0	0.0	3.79	34.7	65.9	36.4	180.92	119.08	64.41	82.46	52.39	12.02	34.69	75.59	47.1	118.22	89.18	22.18	37.67	0.0
Dnajb2	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	81.27	3.47	4.3	21.09	6.96	8.12	32.71	0.0	12.81	0.57	63.65	10.2	0.11	0.0
Edf1	11.33	0.0	0.0	0.0	65.04	22.72	3.82	132.98	360.01	222.41	133.66	151.94	155.77	97.43	115.68	195.46	57.85	44.86	81.7	152.67	98.74	0.0
Eomes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Epb4.9	0.36	0.12	0.37	3.04	85.79	19.53	3.53	11.26	119.61	2.88	55.6	80.06	26.69	6.47	8.15	76.54	24.59	9.29	58.34	37.68	19.58	0.0
Etohd2	0.0	0.0	0.0	0.0	0.0	5.28	0.0	12.44	34.92	0.0	6.93	0.0	0.0	2.74	0.0	0.0	0.0	0.0	0.0	5.2	0.0	0.0
Fbxl16	22.21	0.0	0.0	0.0	27.99	38.49	35.75	20.52	87.49	56.34	11.04	21.63	29.35	38.42	11.39	2.25	33.72	39.89	5.17	40.3	5.57	0.0
Fbxo25	0.0	0.0	0.0	0.0	51.71	0.0	56.13	6.19	201.79	70.43	41.35	47.75	11.48	80.04	55.15	27.63	160.2	0.0	9.75	0.0	0.0	0.0
Gcc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.67	0.0	5.19	0.0	0.0	10.2	0.0	0.0	0.0	1.94	0.0	0.0	0.0	0.0
Gm13102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm13306	0.54	0.0	0.0	0.0	0.92	0.0	6.15	0.0	24.17	0.0	3.31	0.76	0.0	0.0	2.62	1.92	4.77	8.14	0.0	0.74	9.34	0.0
Gm14430	0.0	0.0	0.0	0.25	36.04	0.0	14.72	13.46	0.84	12.83	3.07	11.03	18.55	13.57	4.08	11.25	0.32	0.54	8.34	30.75	2.38	0.0
Gm14434	0.0	0.0	0.0	0.25	36.04	0.0	14.72	13.46	0.84	12.83	3.07	11.03	18.55	13.57	4.08	11.25	0.32	0.54	8.34	30.75	2.38	0.0
Gm15800	61.87	0.05	0.0	0.0	77.12	19.7	35.7	34.08	107.13	27.33	10.43	43.14	39.35	44.38	40.78	16.31	64.43	19.0	58.26	25.91	33.34	0.0
Gm2506	0.54	0.0	0.0	0.0	0.92	0.0	6.15	0.0	24.17	0.0	3.31	0.76	0.0	0.0	2.62	1.92	4.77	8.14	0.0	0.74	9.34	0.0
Gm3500	0.0	0.0	0.0	0.0	23.81	0.0	2.76	2.21	58.01	30.93	23.55	0.95	55.07	36.44	0.0	0.0	19.5	0.0	13.08	0.0	38.49	4.67
Gm4297	0.47	0.0	0.25	0.0	1.54	0.09	0.0	0.0	3.88	0.34	0.15	0.15	0.0	0.66	4.07	0.28	4.23	4.04	0.0	0.0	1.22	0.0
Gm4724	0.0	0.0	0.0	0.25	36.04	0.0	14.72	13.46	0.84	12.83	3.07	11.03	18.55	13.57	4.08	11.25	0.32	0.54	8.34	30.75	2.38	0.0
Gzf1	9.64	0.0	9.77	1.36	6.39	0.0	19.41	41.33	74.32	21.92	24.77	66.16	19.4	21.53	9.57	58.72	1.88	2.43	31.89	102.03	0.09	0.0
H60c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.16	0.0	0.0	0.0
Ict1	0.0	0.0	0.0	0.0	151.14	140.66	150.05	97.67	286.15	55.74	125.14	37.78	87.99	137.13	182.56	247.13	48.51	62.39	203.96	71.46	119.61	0.0
Ino80c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28	100.56	0.19	0.0	0.0	23.41	71.7	71.03	2.39	0.0	0.0	0.0	0.0	0.0	0.0
Ldhb	8970.97	0.0	5274.92	0.0	8750.45	10118.08	10894.4	10165.1	7814.88	9602.81	11261.44	10004.69	9074.03	13571.31	12546.17	9106.97	9755.78	11010.48	10182.84	8351.44	11746.38	5577.5
Lrrn3	4.07	0.0	0.0	0.0	34.66	39.82	14.06	59.35	109.16	57.56	63.36	101.64	21.49	36.15	0.0	23.21	50.3	0.0	20.36	0.0	0.06	0.0
Mdn1	0.32	0.0	0.0	0.0	6.25	0.0	3.01	6.6	30.35	6.9	4.16	5.75	3.83	1.65	7.81	16.08	9.95	4.63	1.41	10.08	1.47	0.0
Mgat3	0.0	0.08	0.0	0.0	45.71	28.23	6.17	16.69	68.96	5.16	6.65	97.61	17.93	42.44	18.4	16.31	33.06	0.0	28.7	74.48	88.5	0.0
Mynn	31.51	0.0	0.0	0.0	16.58	8.99	0.0	0.0	60.44	0.0	0.0	0.07	12.47	5.91	0.0	43.14	0.0	24.49	0.0	42.25	0.0	0.0
OTTMUSG00000016609	0.0	0.0	0.0	0.0	0.0	1.67	0.0	32.56	134.61	0.0	161.98	101.67	24.32	40.66	51.65	12.1	28.28	36.2	12.7	5.19	30.93	0.0
Osbpl6	10.07	0.0	0.0	0.0	27.93	0.0	11.84	16.16	44.77	9.67	14.95	16.74	25.86	12.88	32.03	15.72	59.86	18.39	8.98	4.99	5.18	0.0
Pecr	0.0	0.0	0.0	0.0	0.61	0.0	63.07	0.0	157.94	17.92	0.0	106.62	37.88	0.0	0.0	5.85	26.09	0.0	0.0	45.5	0.0	0.0
Prokr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Psmd13	0.0	0.0	0.3	0.0	144.02	60.87	0.31	136.35	363.97	144.66	64.48	201.2	107.42	165.36	31.34	112.76	215.54	57.85	251.79	186.06	224.17	0.0
Rbm28	19.27	0.09	29.05	21.01	38.01	8.64	27.43	18.96	85.21	44.49	17.41	26.8	11.75	10.88	34.11	25.88	15.55	49.23	16.71	34.24	21.08	17.93
Rcc2	0.71	0.0	0.0	0.0	0.18	0.34	0.0	0.0	25.61	0.48	0.0	0.0	3.77	21.99	0.0	10.68	0.8	0.0	0.0	11.64	0.05	0.0
Rchy1	4.38	1.23	0.74	4.56	53.96	66.31	85.81	77.72	473.3	10.9	92.61	51.81	88.31	28.98	2.04	66.91	33.06	82.34	107.8	198.29	56.13	11.25
Reep3	2.19	3.02	2.57	1.77	9.89	0.16	12.12	2.58	62.79	13.87	4.25	2.63	9.19	16.02	3.07	3.11	3.38	4.57	8.12	8.34	2.66	3.69
Rere	0.03	0.0	0.0	0.0	27.16	0.1	0.76	2.58	33.87	0.3	0.15	3.25	4.16	12.82	8.59	14.42	21.26	1.57	1.62	0.45	0.0	0.0
Riok1	0.0	0.0	0.0	0.0	53.12	0.0	11.84	14.91	189.58	4.18	0.0	0.0	22.15	8.81	33.49	0.55	20.47	1.38	0.66	0.0	26.29	0.0
Samd4b	0.0	0.0	0.0	0.0	0.0	0.0	10.26	3.23	14.52	0.0	0.0	5.68	3.71	0.0	0.0	3.38	11.81	0.0	0.0	6.56	0.0	0.0
Sephs1	25.74	0.0	0.0	0.0	0.0	0.0	4.71	0.0	84.61	5.8	29.21	0.0	9.05	5.69	35.81	8.09	0.0	0.0	16.98	33.57	0.0	0.0
Sigmar1	0.0	0.0	0.0	0.0	103.36	0.0	27.46	39.37	267.49	0.0	33.55	47.23	121.43	2.84	84.48	100.66	170.4	141.48	0.0	51.74	42.68	0.0
Slc25a3	28.52	0.0	0.0	0.0	188.87	11.35	193.63	179.58	394.26	446.31	51.43	117.13	162.2	433.46	218.6	313.83	50.44	157.54	83.02	235.56	190.55	322.69
Slc6a9	0.0	0.12	0.0	0.0	1.92	0.0	0.0	0.59	28.07	12.71	0.0	0.09	8.71	0.0	0.0	35.02	0.0	0.0	0.0	0.69	0.0	0.0
Snord96a	0.0	0.0	0.0	0.0	0.0	0.0	16.61	0.0	21.03	0.0	0.0	0.0	0.0	0.0	14.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snx27	91.42	0.0	0.0	0.0	29.34	2.68	59.71	75.49	132.16	41.13	15.5	73.99	30.87	18.72	19.38	32.1	15.91	30.89	6.07	25.81	13.69	22.7
Sox6	0.0	0.0	0.0	0.0	13.11	1.12	14.95	11.63	52.92	10.24	0.23	21.27	7.15	14.46	30.77	19.6	36.47	27.01	3.69	24.34	20.24	0.0
Supt16h	87.74	63.91	2.89	0.0	52.46	57.99	53.56	69.82	234.9	60.05	31.2	43.44	29.84	18.27	38.43	50.61	40.67	41.8	115.52	104.47	40.21	0.0
Syn1	50.7	0.0	0.0	0.0	20.69	30.76	19.81	8.36	95.65	32.12	3.59	41.23	21.11	59.67	20.15	10.82	17.35	2.2	21.99	28.06	3.73	0.0
Taok1	7.79	0.0	0.0	0.0	37.22	29.95	21.48	66.9	67.49	39.29	43.13	99.08	57.68	56.7	41.51	67.91	35.75	47.29	33.55	29.76	19.88	6.68
Tbrg1	0.0	0.0	0.0	0.0	111.97	9.7	166.96	24.03	372.52	14.0	14.04	16.94	58.98	14.98	109.8	0.0	0.0	68.28	13.11	73.2	0.13	0.0
Tecpr1	11.1	0.95	0.0	0.0	1.0	0.0	0.0	0.31	50.75	9.29	0.0	0.0	0.0	0.0	1.07	4.82	0.52	0.0	0.0	12.87	0.0	0.0
Tex2	7.22	0.0	0.0	0.0	57.73	13.37	45.02	81.07	83.14	15.17	9.79	46.07	28.66	62.08	16.78	27.1	9.95	59.14	19.65	26.29	0.58	0.0
Tmc4	0.0	0.0	0.0	0.0	0.0	0.0	5.93	0.0	28.54	0.0	0.0	0.0	0.0	0.0	13.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Tmem168	0.0	0.0	0.0	0.0	0.15	0.0	0.0	24.49	63.46	21.7	0.0	0.0	0.0	10.66	0.0	18.13	0.0	20.11	9.46	0.49	0.0	0.15
Ttll7	0.0	0.0	0.0	0.0	64.88	4.46	20.16	87.84	129.63	34.62	59.92	26.08	44.25	49.81	71.31	53.56	34.36	76.78	18.59	138.23	34.98	0.0
Tubgcp6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.1	0.0	0.0	0.0	0.14	0.0	5.48	0.0	4.82	18.49	0.13	13.81	20.9	0.0
Tulp3	0.06	0.0	0.0	0.0	0.41	0.29	0.28	1.15	19.51	0.41	0.89	0.45	0.84	1.38	0.24	0.89	0.77	0.8	0.4	0.25	0.12	0.0
Usp31	4.11	0.0	0.0	0.0	1.29	8.05	9.65	3.68	28.39	7.88	0.0	0.59	18.01	3.53	13.74	7.99	10.03	2.71	25.47	0.36	1.04	0.0
Usp34	2.99	0.0	0.0	0.0	30.48	3.01	41.49	10.34	34.19	6.79	17.02	10.63	7.1	4.75	2.67	7.64	14.43	7.16	14.19	17.5	0.38	0.0
Vps37a	0.1	0.0	0.07	0.0	11.0	15.78	19.35	8.88	49.73	6.07	79.06	9.71	30.2	33.03	22.17	20.79	25.18	8.58	0.06	28.28	26.63	0.49
Zfp329	0.11	0.82	0.4	0.57	35.64	1.96	8.76	28.07	107.75	88.52	44.08	21.23	19.98	27.34	16.87	53.27	1.52	36.92	45.27	13.9	3.85	0.28
Zfp653	0.0	0.0	0.0	0.0	4.02	0.59	0.23	0.0	43.43	0.22	0.0	0.0	0.0	10.35	0.2	0.0	24.32	0.77	0.0	0.18	0.0	0.0
Zfp711	0.0	0.0	0.0	0.0	0.0	8.57	23.98	4.76	107.42	0.0	31.76	3.59	6.23	11.32	11.7	3.78	0.0	0.37	0.0	13.91	0.0	0.0
mt_AK136262	0.0	0.0	0.0	0.0	0.01	0.05	0.04	7.2	0.04	0.09	0.0	0.0	0.0	0.0	0.15	0.15	0.0	0.04	0.06	0.0	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.01	0.05	0.04	7.2	0.04	0.09	0.0	0.0	0.0	0.0	0.15	0.15	0.0	0.04	0.06	0.0	0.0	0.0
mt_AK166798	0.0	0.0	0.0	0.0	0.01	0.05	0.04	7.2	0.04	0.09	0.0	0.0	0.0	0.0	0.15	0.15	0.0	0.04	0.06	0.0	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.01	0.05	0.04	7.2	0.04	0.09	0.0	0.0	0.0	0.0	0.15	0.15	0.0	0.04	0.06	0.0	0.0	0.0
