	Cux2_tdTnegative_cell_4	Htr3a_tdTpositive_cell_85	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_20	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_32	Pvalb_tdTpositive_cell_35	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_71	PvalbD.Slc32a1_tdTpositive_cell_9	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_38	PvalbF.Gad2_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_89
Gm6300	0.58	89.19	38.63	41.56	55.55	0.56	41.98	32.57	57.53	56.76	69.34	40.96	35.34	34.84	39.23	42.83	34.98	75.22	46.03	56.36	41.5	32.97	38.14	52.3	60.82	43.31	63.9	64.44	33.61	69.62	27.45	90.69	98.5	47.31	54.51	64.82	9.94
Kcnq1ot1	0.45	69.21	40.11	33.61	42.89	0.7	31.83	26.61	47.72	34.64	45.78	36.28	24.68	37.63	35.88	33.41	30.11	57.25	49.83	46.46	34.9	27.65	26.28	36.97	44.37	36.77	54.43	47.71	17.54	58.98	30.5	61.88	51.45	36.42	38.91	50.28	3.59
Ldhb	2593.67	8550.52	8752.31	8798.32	8750.45	10118.08	10894.4	8525.9	8583.06	8517.89	5463.85	9220.91	8808.99	7074.56	8223.21	8574.79	9602.81	11261.44	7829.53	8285.69	7834.03	9074.03	13571.31	12546.17	9106.97	8513.41	9755.78	8904.1	7282.37	11010.48	8275.76	8671.45	6703.36	7724.63	10182.84	11746.38	4283.85
Lrrn4cl	1.77	7.6	3.82	6.34	7.22	0.0	4.15	5.43	9.43	8.5	15.36	6.05	5.29	4.79	5.55	8.18	2.93	7.05	3.04	7.83	3.75	3.68	2.7	9.04	5.76	4.41	9.11	6.22	2.06	6.75	4.21	10.46	12.59	90.48	3.79	4.98	0.16
Mcm5	0.0	3.51	0.87	0.23	1.58	0.14	0.19	0.99	1.63	1.09	2.21	0.46	0.91	0.88	0.48	0.28	0.8	1.64	1.08	2.39	1.02	0.45	0.32	1.31	0.12	2.12	0.22	1.9	0.2	2.31	2.24	0.49	2.05	0.88	0.66	1.88	0.0
Olfr613	0.03	21.44	47.37	45.18	75.27	2.28	30.6	44.91	59.32	80.41	119.2	37.57	49.02	46.65	50.5	56.54	44.48	77.59	40.09	64.08	48.54	39.08	37.29	47.57	78.19	37.99	52.61	66.54	30.61	56.41	20.52	127.63	87.83	49.21	52.79	62.68	0.0
Park2	0.0	21.32	2.61	5.91	36.01	0.0	0.0	42.73	16.57	27.51	31.74	29.52	26.68	5.92	24.09	8.0	14.28	0.0	0.0	4.26	0.0	6.68	25.26	0.25	8.4	31.46	13.7	13.3	12.53	14.61	9.13	45.84	45.81	16.14	12.94	24.47	0.0
Pi15	0.1	18.75	6.1	9.64	12.03	0.58	14.15	13.18	14.29	16.02	19.87	15.13	10.67	10.47	16.33	10.19	9.08	19.41	8.02	10.98	7.9	7.79	7.96	9.4	18.98	9.59	10.49	19.52	10.7	14.22	11.53	22.34	23.76	15.71	10.51	9.93	1.22
Rdh1	3.52	29.86	10.81	17.5	24.52	1.36	21.7	22.9	24.04	22.64	29.98	21.43	19.87	16.08	21.56	22.42	15.17	37.47	14.74	25.21	10.79	11.42	13.66	20.18	22.97	17.74	19.66	32.83	15.08	26.16	15.04	34.08	33.13	24.79	13.52	16.83	0.1
Spc24	3.39	13.03	10.83	11.31	16.13	0.55	18.97	10.71	18.47	14.46	25.84	16.42	12.06	11.38	11.14	12.01	13.25	18.24	20.19	22.18	7.96	16.55	9.5	35.42	19.05	20.26	17.52	18.69	8.4	19.04	9.61	25.77	28.95	13.53	11.88	11.83	0.28
Tyms	0.22	46.04	17.9	32.63	60.58	9.3	35.71	28.16	43.2	50.0	73.58	29.27	28.11	46.09	39.28	38.08	34.61	52.06	30.25	43.85	26.0	31.13	28.86	40.24	57.49	40.76	63.83	47.42	23.87	58.92	32.21	71.37	54.03	45.25	27.2	90.14	0.82
Tyr	25.1	94.92	20.97	34.99	49.58	12.03	27.4	49.89	35.11	47.16	48.49	32.14	21.17	28.16	39.11	32.44	21.78	44.38	42.02	55.21	41.97	24.6	27.74	27.78	33.17	31.21	34.47	38.43	11.78	64.65	43.34	47.45	61.43	52.64	24.4	29.6	5.35
Whsc1	0.0	48.78	16.99	40.15	23.65	1.61	19.54	42.68	19.79	67.49	71.16	43.67	29.13	31.18	37.5	13.47	10.22	14.11	16.24	9.59	0.0	15.57	26.36	6.47	16.79	22.79	0.19	30.45	60.44	21.31	14.83	43.47	51.62	23.81	29.11	63.95	0.05
Xcr1	0.0	1.5	2.0	1.08	2.42	0.45	0.63	0.74	0.43	1.43	2.29	0.64	1.34	1.07	1.39	1.5	1.08	2.53	1.9	2.5	0.94	0.89	0.72	1.81	1.59	1.08	1.29	1.35	0.87	2.35	1.69	2.85	2.66	1.47	0.59	0.93	0.2
Zfp488	0.0	103.55	106.78	144.68	197.53	7.05	97.66	124.75	170.27	215.8	304.95	144.07	128.77	131.3	120.9	141.04	124.53	223.33	123.5	163.04	93.76	114.26	86.37	126.71	179.13	136.2	188.74	182.53	90.49	148.8	106.08	318.52	240.72	136.91	160.38	162.66	5.44
