	Calb2_tdTpositive_cell_3	Calb2_tdTpositive_cell_32	Calb2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_58	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_16	Cux2_tdTpositive_cell_33	Cux2_tdTpositive_cell_46	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_62	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Cux2_tdTpositive_cell_78	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_38	Nr5a1_tdTpositive_cell_41	Nr5a1_tdTpositive_cell_42	Nr5a1_tdTpositive_cell_43	Nr5a1_tdTpositive_cell_46	Ntsr1_tdTpositive_cell_9	Ntsr1_tdTpositive_cell_24	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTnegative_cell_50	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_13	Rbp4_tdTpositive_cell_28	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_79	Rbp4_tdTpositive_cell_85	Rbp4_tdTpositive_cell_86	Rbp4_tdTpositive_cell_88	Rbp4_tdTpositive_cell_92	Rbp4_tdTpositive_cell_94	Rbp4_tdTpositive_cell_97	Rbp4_tdTpositive_cell_102	Rbp4_tdTpositive_cell_103	Rbp4_tdTpositive_cell_115	Rbp4_tdTpositive_cell_116	Rbp4_tdTpositive_cell_142	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_8	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_34	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_37	Rorb_tdTpositive_cell_38	Rorb_tdTpositive_cell_40	Scnn1a.Tg2_tdTnegative_cell_7	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTpositive_cell_58	Scnn1a.Tg3_tdTpositive_cell_96	Scnn1a.Tg3_tdTpositive_cell_97	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Hs3st4	0.0	0.0	0.0	46.99	61.59	0.12	0.08	0.0	0.0	26.05	0.0	0.0	17.32	0.46	0.0	0.0	0.2	0.0	0.0	2.64	7.53	27.59	0.0	0.21	0.0	11.87	11.63	97.66	0.25	157.98	92.76	98.48	14.85	0.0	129.95	29.04	51.87	15.97	0.0	65.48	28.25	5.97	0.13	10.72	0.0	4.82	12.67	60.95	0.24	0.45	3.46	73.91	14.95	16.11	0.25	5.17	0.17	0.09	0.0	22.23	24.54	0.29	91.0	147.06	118.2	119.5	100.45	103.83	149.32	140.89	138.75
Josd2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.63	56.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.28	21.31	0.19	0.0	0.0	0.0	0.0	32.5	0.0	0.0	0.0	0.0	0.0	0.0	3.24	0.0	12.46	0.0	0.0	0.0	0.0	0.0	6.49	0.0	0.0	0.0	0.0	0.0	0.0	0.13	29.91	0.0	5.45	10.93	0.0	0.48	112.71	0.83	0.45	7.22	1.04	16.92	10.04	25.34	24.46	11.25	10.35	17.73
Necap1	421.04	432.8	470.42	221.97	560.04	572.75	391.27	528.62	368.34	383.66	189.21	285.65	1169.75	150.01	419.6	471.04	131.15	306.09	501.72	304.48	0.68	786.15	7.86	450.69	933.3	662.01	550.28	303.1	4.79	654.27	682.07	579.83	413.37	435.27	816.14	381.17	398.13	188.63	223.91	412.58	373.93	456.47	427.86	456.13	422.16	472.17	531.97	505.39	391.93	531.9	592.29	86.2	150.04	449.63	776.35	427.09	560.21	232.44	301.77	434.6	685.29	508.6	503.25	458.34	566.08	485.95	489.22	405.86	671.1	542.69	633.76
Net1	0.0	0.0	0.0	0.0	5.95	0.12	0.0	2.22	0.0	41.79	11.28	107.7	0.0	0.0	35.79	0.0	0.0	0.0	60.93	75.8	0.97	0.0	74.32	143.58	136.57	162.68	0.07	51.55	0.0	69.28	60.16	0.0	0.0	0.0	189.84	52.83	0.0	0.0	0.0	7.77	0.0	0.11	0.0	33.04	0.0	1.6	0.0	1.01	0.0	0.63	0.14	5.41	0.1	0.57	78.25	67.55	0.44	20.79	0.0	12.21	0.32	1.83	9.03	13.6	7.9	1.7	12.49	27.69	22.2	15.53	13.93
Ogfod2	6.54	0.0	0.0	0.0	0.0	0.13	0.0	0.0	1.58	0.0	0.0	0.0	0.0	0.0	2.49	0.0	0.0	0.0	1.19	0.74	0.0	0.26	0.0	74.07	1.32	0.11	2.75	0.0	0.0	0.0	191.96	0.0	103.55	0.0	73.6	33.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.75	0.0	0.0	7.05	6.39	24.08	128.82	0.22	0.28	52.09	13.64	0.0	140.04	0.0	200.76	1.07	1.07	37.79	19.12	20.92	26.28	63.46	2.73	21.17	20.34	26.0
Pdlim1	0.0	0.0	11.07	0.0	1.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	147.57	0.08	0.0	0.0	121.57	88.37	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.47	0.0	0.0	0.0	0.0	71.8	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	56.86	0.0	0.0	180.79	0.49	0.64	220.51	155.27	87.35	84.49	24.72	54.69	65.81	111.49	149.38
Rab3b	0.0	0.0	0.0	2.28	0.34	0.12	0.0	0.0	0.0	62.3	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.27	0.0	0.65	0.59	0.13	63.07	0.0	133.29	141.31	164.19	0.0	0.19	59.93	0.24	0.0	30.0	17.97	0.53	21.17	0.0	0.0	50.07	0.0	0.11	0.0	43.12	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	125.57	0.03	0.04	57.5	0.0	0.0	0.0	49.02	0.43	140.42	167.41	75.69	48.72	229.38	76.21	37.59	68.57	74.04	73.77
Rprm	0.0	0.0	0.0	0.0	165.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	0.0	0.0	123.24	65.67	100.53	1.93	0.08	1.28	0.0	128.74	681.17	319.86	369.61	0.0	9.96	0.0	0.0	293.14	0.0	6.36	0.0	128.93	172.52	103.9	0.0	0.0	8.37	0.0	0.0	0.0	16.11	0.0	0.0	0.0	1.61	0.0	0.0	0.18	0.0	153.61	0.13	0.57	211.71	287.25	276.1	144.13	579.7	330.45	40.28	224.26	206.3
Serinc2	0.0	0.0	0.0	0.0	0.22	0.11	0.0	0.22	0.0	0.0	0.0	2.32	18.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.19	128.93	0.49	0.0	0.0	0.17	0.0	0.0	0.0	27.18	0.0	18.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.61	0.0	0.0	17.41	0.11	0.13	0.12	0.0	0.0	0.0	0.0	5.82	0.88	20.07	33.27	56.08	36.4	30.57	16.07	13.49	28.7	28.79
Snap25	26182.83	16477.92	18360.91	15382.13	20371.44	24880.43	23752.44	19564.24	19393.09	18091.67	14897.45	16982.14	25194.29	19442.84	16298.67	21404.94	22198.58	15304.83	21262.24	24000.2	20741.69	24648.02	22891.51	21740.03	21362.22	21459.53	17497.88	20866.53	20758.47	21685.06	17155.04	23051.34	18976.87	22470.57	18985.93	18470.75	21550.85	19454.91	17302.69	18436.62	18096.94	16235.58	17672.87	19790.53	17683.38	20314.47	19257.32	22845.02	19669.87	22039.64	18685.7	25542.47	18796.65	21954.45	15290.89	22725.47	21280.34	16440.37	15981.93	16938.54	16240.32	20516.03	13859.73	17485.78	15823.69	14249.14	16180.38	16617.11	20846.74	19146.26	18964.09
Uckl1	0.0	0.0	0.0	0.0	0.23	173.09	0.0	0.0	0.0	0.0	0.0	2.07	314.14	0.25	0.0	0.24	0.0	6.09	0.0	0.0	0.0	4.64	80.5	0.11	0.05	0.0	0.0	0.0	0.0	0.0	110.97	0.0	0.0	0.0	107.66	73.99	129.09	73.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.22	154.45	0.0	0.0	1.54	0.07	0.06	5.43	0.14	0.0	35.75	98.24	0.3	78.54	42.41	11.7	32.87	62.34	0.11	24.67	30.57	35.89
Zdhhc7	0.0	0.0	0.0	0.24	0.29	0.11	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.06	0.0	0.08	0.0	0.09	0.0	0.18	0.09	0.0	0.0	71.12	0.37	0.0	1.15	0.0	14.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.08	0.0	0.09	0.06	0.0	38.3	0.0	0.05	10.56	3.15	1.0	0.09	0.95	6.78	0.1	3.49	2.43
c12_LSU-rRNA_Hsa	62.84	190.69	121.86	132.36	96.51	149.63	182.64	92.53	85.13	158.46	186.15	127.4	136.64	96.03	121.39	85.12	90.93	134.96	121.78	126.81	120.75	89.18	188.18	249.12	253.68	127.39	218.32	156.5	76.21	120.4	140.69	157.8	75.39	114.18	149.14	137.57	121.1	123.39	80.48	114.06	149.17	140.48	153.87	215.55	301.29	206.0	115.05	73.78	143.76	153.55	86.41	186.56	256.33	183.75	317.39	256.61	159.42	121.22	97.87	134.19	306.92	133.02	296.3	332.11	318.81	244.47	284.7	239.52	1336.39	882.67	941.41
c16_LSU-rRNA_Hsa	384.92	342.28	221.68	273.95	242.87	338.67	396.08	307.63	246.23	461.63	423.26	262.48	442.39	272.83	320.48	263.22	288.88	386.18	275.36	386.08	289.96	221.57	321.67	522.38	512.43	351.56	551.73	397.28	183.82	205.31	386.1	333.43	213.67	384.16	293.33	439.09	304.89	302.96	507.65	220.73	313.02	520.92	420.12	299.08	809.21	389.02	271.08	184.66	364.69	289.05	410.99	340.87	576.77	415.23	589.4	522.05	347.28	319.31	280.85	464.08	645.19	328.08	817.31	978.16	905.57	903.45	898.56	887.21	4078.37	3436.41	3239.78
c6_LSU-rRNA_Hsa	273.83	390.75	197.13	245.22	208.76	326.42	556.83	200.27	208.81	322.9	429.08	220.55	289.57	205.49	250.14	195.11	228.02	191.69	357.37	295.91	159.49	135.91	321.66	593.55	584.04	313.77	500.72	331.62	202.24	284.37	254.16	305.69	131.56	283.23	305.22	276.33	325.07	199.44	214.24	283.0	240.3	385.19	308.68	405.53	719.03	423.22	192.83	193.16	330.81	367.56	270.55	240.15	497.22	392.82	788.98	556.57	364.53	275.95	150.98	286.75	640.86	293.6	596.62	664.18	545.18	537.35	545.96	520.93	2823.89	2178.25	2269.48
c9_LSU-rRNA_Hsa	296.7	312.98	221.84	281.62	230.01	298.86	458.73	247.26	232.68	416.56	354.08	284.42	314.7	287.64	261.27	202.29	213.43	268.38	249.46	290.72	230.06	297.23	277.57	584.49	513.1	332.35	462.07	333.44	256.45	293.1	285.24	243.28	211.08	374.59	319.89	289.04	351.82	116.55	208.66	255.72	256.92	326.91	268.2	412.84	688.34	391.69	243.39	146.86	371.81	307.79	298.52	253.76	474.08	433.61	664.4	543.98	328.44	273.8	215.85	323.42	603.31	337.82	814.07	800.05	735.22	722.26	738.95	767.48	3836.05	3013.32	3066.88
mt_AK136262	12.47	0.0	0.0	0.0	3.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	1.1	0.76	0.16	0.28	1.01	0.0	86.5	29.26	0.0	0.0	0.06	30.81	6.27	0.0	0.0	1.37	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.02	0.2	0.03	0.23	0.0	0.0	7.34	0.15	0.04	0.02	100.77	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6
mt_AK142003	12.47	0.0	0.0	0.0	3.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	1.1	0.76	0.16	0.28	1.01	0.0	86.5	29.26	0.0	0.0	0.06	30.81	6.27	0.0	0.0	1.37	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.02	0.2	0.03	0.23	0.0	0.0	7.34	0.15	0.04	0.02	100.77	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6
mt_AK166798	12.47	0.0	0.0	0.0	3.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	1.1	0.76	0.16	0.28	1.01	0.0	86.5	29.26	0.0	0.0	0.06	30.81	6.27	0.0	0.0	1.37	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.02	0.2	0.03	0.23	0.0	0.0	7.34	0.15	0.04	0.02	100.77	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6
mt_AK166978	12.47	0.0	0.0	0.0	3.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	1.1	0.76	0.16	0.28	1.01	0.0	86.5	29.26	0.0	0.0	0.06	30.81	6.27	0.0	0.0	1.37	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.02	0.2	0.03	0.23	0.0	0.0	7.34	0.15	0.04	0.02	100.77	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6
