	Ctgf_tdTpositive_cell_3	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_19	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Gm20597	0.0	0.05	0.61	0.83	0.62	0.88
Gm2109	0.0	0.0	0.24	0.35	0.13	0.37
Gm527	0.0	0.0	0.0	7.99	6.75	8.1
Gm5567	0.0	0.17	0.37	44.49	38.34	51.32
Gm7244	0.0	0.0	0.0	1.14	1.62	1.03
Gm872	0.0	0.0	0.0	1.13	0.85	1.12
Gm8898	0.34	0.0	0.06	8.87	7.17	8.34
Gpr180	1.89	0.1	0.16	20.98	19.71	20.62
H2-Q7	0.0	0.0	0.0	0.69	0.37	0.0
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hif3a	0.06	0.18	0.2	2.52	2.86	2.1
Hist1h2bq	0.0	0.0	0.24	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.24	0.38	0.28	0.38
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Il10rb	0.22	0.0	0.0	9.88	9.96	11.25
Kdm4a	0.0	0.0	0.95	33.21	34.05	34.15
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Klf11	0.0	0.0	0.45	6.11	6.52	6.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lpp	1.62	1.04	2.72	2.8	2.71	3.18
Lpxn	0.0	0.0	0.0	2.08	1.96	2.46
Lrfn1	0.0	0.0	0.0	42.71	49.13	45.11
Map3k11	0.0	0.0	0.0	14.65	18.28	16.03
Map3k6	0.0	0.0	0.0	2.36	2.11	2.43
Mettl15	0.0	0.0	0.0	5.3	5.49	4.93
Mfsd1	0.28	0.0	0.0	25.75	24.88	24.7
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Mtap2	0.0	49.03	38.98	353.37	323.67	355.02
Naf1	0.0	0.0	1.55	14.69	16.28	13.99
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Nt5dc3	3.14	0.17	3.33	67.85	65.67	69.07
Nthl1	0.0	0.0	0.0	4.01	4.4	4.05
ORF61	0.0	1.43	0.0	106.73	123.33	117.39
Pdzd9	0.0	0.0	0.29	0.15	0.22	0.87
Pglyrp1	0.0	0.0	0.0	7.41	8.83	10.92
Pkd2l1	0.0	0.0	0.0	0.89	0.81	1.19
Pof1b	0.0	0.0	0.0	0.33	0.21	0.42
Rab11fip4	0.0	0.09	0.0	127.04	122.04	128.94
Rasgrp4	0.08	0.0	0.0	3.36	3.32	3.14
Rbp4	0.0	0.0	0.0	28.0	29.66	23.69
Reep3	2.53	0.65	18.57	23.01	19.86	23.73
Rev1	9.5	63.21	3.31	17.41	16.67	16.45
Sash3	0.0	0.0	0.0	1.72	1.44	2.05
Sec14l5	0.0	0.0	0.0	8.72	8.13	10.39
Sema6c	0.0	0.0	0.0	14.99	16.94	16.69
Slc26a3	0.0	0.0	0.0	0.19	0.14	0.08
Slc26a6	0.0	0.0	0.0	5.11	6.24	5.68
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tax1bp3	0.3	0.0	0.0	10.44	11.3	10.92
Tbc1d16	0.0	0.0	0.0	23.36	24.86	24.36
Tcf20	0.0	0.82	12.3	41.58	41.79	43.86
Thbs1	0.07	0.0	0.0	1.69	2.0	1.2
Tmem200c	0.0	0.0	0.0	10.88	12.59	12.37
Tmem56	0.0	33.58	33.62	40.64	35.37	38.83
Trabd	0.0	0.0	0.0	16.49	16.63	16.77
Trdmt1	0.0	0.0	0.0	4.27	4.27	6.28
Ttbk2	0.39	16.53	2.15	34.46	28.64	33.32
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Ugt8a	0.0	0.0	20.67	44.13	40.77	48.35
Ush1g	0.0	0.0	0.0	0.34	0.9	0.44
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Wisp3	0.0	0.0	0.0	0.56	0.75	0.67
Wnk4	0.0	0.0	0.0	3.7	3.08	3.86
Zfp575	0.0	0.82	0.19	8.73	10.02	10.98
Zfpm1	0.0	0.0	0.0	20.08	22.49	24.12
Zkscan2	0.0	0.0	0.0	16.42	15.07	16.88
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	6370.03	0.43	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
