	Calb2_tdTpositive_cell_53	Cux2_tdTnegative_cell_11	Gad2_tdTpositive_cell_55	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_9	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_2	PvalbF.Gad2_tdTpositive_cell_4	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_11	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_24	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51
Daam1	0.0	0.07	3.29	0.15	0.14	0.0	0.16	1.15	14.8	2.26	22.61	28.69	25.7	2.73	28.99	0.23	5.1	1.28	37.24	14.22	29.39	23.54	0.09	0.0	0.34	12.87	0.0	0.29	1.02	29.78	0.0	0.09	5.06	4.05
Dcx	0.0	0.0	27.26	0.1	0.05	1.67	15.83	2.83	5.5	0.0	1.65	16.9	14.8	1.07	9.67	1.06	8.32	20.27	9.31	10.76	3.22	12.59	0.0	0.0	1.53	5.89	1.31	8.79	18.82	1.86	0.74	5.38	10.8	17.8
Dido1	0.0	0.05	11.23	0.09	0.17	0.0	0.11	4.9	0.87	0.5	14.78	5.17	13.26	20.35	43.63	20.67	3.93	37.35	17.2	9.62	30.16	12.96	0.0	0.0	0.62	14.33	0.05	43.79	14.12	38.13	0.29	0.75	0.0	46.48
Gaa	0.43	0.29	136.96	42.07	8.85	16.7	73.06	46.47	141.55	41.2	15.89	130.08	34.91	36.8	34.52	82.91	129.82	304.06	124.07	18.84	86.64	120.05	42.34	10.22	77.71	81.23	43.8	25.45	40.82	276.09	7.18	23.52	46.55	95.89
Gm11127	54.48	0.0	142.77	52.52	80.82	12.13	77.61	107.88	82.48	61.78	91.7	131.46	99.16	62.71	99.18	47.49	215.26	131.14	81.36	79.03	74.51	71.03	25.26	71.57	112.17	109.37	22.0	131.18	71.62	87.57	19.55	79.5	127.46	57.96
Gm19757	28.89	9.84	48.9	31.38	41.94	18.65	46.18	36.06	33.98	21.26	34.54	58.52	34.4	37.06	52.92	35.82	58.52	40.18	50.46	38.95	35.27	41.78	32.69	33.51	55.4	59.39	13.68	42.71	38.8	47.11	31.0	58.4	43.87	36.92
Gm20199	0.81	0.1	55.49	17.98	5.01	0.0	0.0	8.25	0.76	0.45	15.9	3.97	0.38	0.96	0.19	37.03	38.47	1.77	0.49	0.38	9.79	0.73	0.0	0.47	22.29	13.14	0.0	0.54	22.9	0.63	0.0	32.59	0.66	37.49
Gmps	184.25	0.0	718.6	232.03	216.2	125.98	176.47	204.39	248.51	294.41	343.43	371.75	267.8	396.69	268.84	134.51	418.73	428.34	366.12	225.2	178.68	176.91	79.23	57.51	348.67	269.32	4.35	344.72	233.15	302.56	169.85	116.52	187.27	266.28
Kars	0.0	0.0	273.05	67.55	101.48	126.16	140.28	227.17	236.64	145.67	305.57	253.14	173.1	91.64	273.15	221.52	199.71	491.28	303.77	168.44	202.15	211.51	53.45	3.68	233.98	316.78	72.76	86.51	155.2	89.01	14.42	237.62	185.84	126.96
Krr1	2.52	1.89	84.53	17.59	13.42	0.24	1.13	1.17	34.81	57.39	21.52	36.49	21.82	18.01	22.47	29.27	135.36	50.73	112.54	24.53	23.08	18.7	4.95	0.9	15.39	43.29	2.33	49.55	44.43	3.68	0.65	15.46	8.8	82.67
Ldhb	7486.96	4107.23	7692.96	6832.63	8752.31	10118.08	10894.4	8525.9	8892.3	7234.97	9220.91	9343.6	8808.99	10165.1	9166.61	9602.81	7343.35	7167.6	11261.44	10004.69	9074.03	13571.31	6113.3	5750.93	12546.17	9106.97	5318.26	9755.78	8904.1	8390.99	7282.37	11010.48	10182.84	11746.38
Ldlrad2	2.92	2.33	10.26	4.44	5.01	0.37	4.19	4.9	5.24	4.79	8.24	6.03	5.82	6.43	6.19	4.66	9.51	8.01	7.77	5.47	4.33	4.74	2.25	1.31	5.91	4.32	0.93	7.51	10.52	5.27	2.05	2.57	5.71	4.41
Poglut1	0.0	0.0	80.09	1.2	3.18	0.0	0.0	62.86	52.54	29.11	121.25	76.69	99.87	77.74	229.47	0.52	47.24	290.92	1.55	16.17	128.7	31.79	149.49	0.52	8.2	45.98	0.32	61.71	4.71	122.06	0.89	60.49	18.83	89.32
Ppt1	1.85	5.39	514.15	228.04	312.38	231.34	241.85	262.86	113.63	244.34	395.08	176.0	255.52	380.32	443.74	251.81	340.93	469.74	181.3	283.26	220.73	306.08	68.05	145.12	504.53	174.49	167.48	269.21	207.84	279.44	163.62	307.1	313.81	262.56
Rab5b	0.0	0.0	66.7	12.07	19.35	67.84	69.01	28.5	50.06	49.38	85.31	43.26	65.08	127.19	43.59	8.64	86.7	341.49	139.49	33.44	54.32	8.55	0.0	2.57	35.39	47.15	8.43	77.13	2.6	92.25	3.58	16.09	33.75	23.05
Rufy3	0.0	0.1	350.55	190.49	226.82	232.34	238.57	277.88	365.56	225.15	483.14	478.18	275.72	241.65	129.61	315.82	559.47	491.19	310.65	236.04	441.03	327.79	118.25	72.17	255.31	413.68	110.91	344.9	195.21	210.71	184.11	272.47	336.59	288.6
Samd8	0.69	0.32	24.63	6.9	10.44	9.2	9.76	13.75	18.77	30.53	19.42	37.68	44.99	24.29	21.82	37.61	32.46	25.65	54.03	13.74	40.32	14.93	0.51	2.64	35.33	21.99	1.17	51.8	16.44	10.07	0.03	30.47	17.08	15.05
Slc6a15	0.0	0.0	102.46	27.98	47.5	25.91	0.94	0.0	30.47	0.0	95.42	110.88	50.76	4.55	7.57	33.07	88.1	274.57	70.59	0.09	10.23	37.5	0.0	1.21	69.28	101.24	0.0	68.05	46.3	16.76	0.0	76.87	32.22	48.91
Strbp	63.78	3.93	286.07	97.77	96.86	43.8	72.63	114.89	257.77	201.36	264.65	254.63	144.0	232.74	264.02	158.91	194.16	288.33	280.47	224.49	104.84	104.21	55.75	78.56	103.23	193.37	31.85	175.9	166.7	199.36	45.68	235.54	160.8	192.03
Tmem170b	0.0	0.0	65.56	56.93	55.59	39.5	7.83	51.59	43.37	22.49	109.15	119.82	104.16	45.04	111.16	92.51	156.35	246.36	107.7	85.07	78.23	52.69	42.12	2.07	63.65	82.69	36.89	46.39	81.88	84.29	40.89	50.49	57.39	63.15
Ube2k	0.0	0.17	143.65	28.6	19.81	27.12	89.61	75.61	69.97	12.41	69.8	93.87	105.46	50.5	9.11	43.6	127.62	142.15	139.75	81.53	53.13	58.31	1.92	0.65	22.88	47.2	14.97	63.92	50.65	95.65	23.07	48.05	126.84	55.61
Xrn2	0.0	0.0	80.17	83.62	19.6	2.21	8.62	37.16	21.88	7.57	22.23	40.12	24.89	70.1	0.0	87.64	89.62	21.33	104.54	0.41	51.39	83.49	0.16	0.0	4.95	26.48	0.52	2.06	35.69	56.06	39.28	3.51	4.28	55.01
