	Chrna2_tdTpositive_cell_51	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_50	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_165	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_16	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28
Crcp	0.0	0.0	386.27	0.0	0.0	0.0	0.51	86.11	218.84	66.77	0.0	0.91	36.57	75.29	0.0	86.16	145.21	125.61	119.34	62.81	86.47	101.13	101.33	85.66	190.35	81.55	0.0	553.38	172.22	30.91
Crebl2	0.0	0.0	148.13	0.0	28.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	11.47	10.8	15.31	23.34	3.67	8.09	0.0	0.0	0.0	0.0	1.49	0.0	0.0
Crlf2	0.0	0.0	4.17	0.0	0.0	0.0	0.0	0.0	6.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66	0.0	0.6	0.0	0.0	0.27	0.27	0.0	0.0	0.0	0.0	0.0	3.75	0.0
D14Abb1e	0.13	0.05	64.41	58.24	0.54	2.19	1.07	0.34	21.74	3.5	10.77	5.8	42.71	60.71	0.0	12.79	22.08	16.35	15.96	22.35	8.13	15.55	15.25	5.25	3.79	64.0	15.86	15.92	0.83	0.34
Dennd4a	0.0	0.0	63.86	0.0	0.0	0.0	0.48	0.0	0.04	0.4	15.24	20.94	14.45	28.67	0.0	9.25	10.96	6.87	6.14	12.19	2.09	8.86	10.32	7.57	0.0	0.03	0.0	0.0	0.0	3.8
E2f1	2.36	0.0	20.32	182.59	4.59	0.95	2.44	4.6	10.12	0.74	9.93	16.12	8.48	8.08	0.55	17.87	13.31	19.65	35.37	17.17	5.01	14.51	15.31	8.88	3.8	3.3	2.94	2.5	7.74	1.01
Evi2b	0.0	0.0	40.24	0.0	0.0	0.0	0.0	0.0	1.53	0.0	0.0	0.0	3.94	0.0	0.0	4.5	0.3	1.05	0.51	0.0	0.0	0.58	0.2	1.46	0.0	0.0	0.0	0.0	0.0	0.0
Exoc8	37.73	0.0	91.09	0.18	0.04	1.75	54.28	0.52	14.65	12.7	0.13	13.53	15.58	0.08	0.0	29.77	29.73	29.72	11.72	31.98	15.19	11.5	13.13	40.88	0.22	82.46	14.66	71.12	55.72	37.29
Ezh1	12.13	0.0	100.25	0.0	0.0	46.8	2.04	1.78	0.09	7.24	0.0	28.31	23.66	64.69	0.09	32.17	29.48	20.61	13.61	30.26	26.0	38.52	35.27	31.31	8.23	15.25	28.38	13.23	64.1	0.23
Fat4	0.0	0.0	13.88	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fdx1	0.0	0.0	39.52	0.0	0.0	0.0	0.0	0.0	30.43	0.0	0.0	0.0	3.78	0.0	0.0	1.73	0.0	1.05	3.78	3.01	2.41	2.94	4.23	0.0	0.0	0.0	55.63	0.54	0.0	0.0
Fjx1	0.0	0.0	43.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.46	0.0	0.0	3.67	0.0	2.02	0.96	0.0	0.0	1.71	0.57	0.0	0.0	6.41	0.0	0.0	0.0	0.0
Flrt1	0.0	0.0	92.56	6.86	38.07	8.74	59.54	20.62	16.58	65.07	21.96	107.73	23.73	121.56	25.14	66.88	38.76	40.66	51.55	50.48	66.77	34.76	35.91	25.55	107.32	10.71	21.62	79.97	47.7	64.8
Git2	18.03	0.0	26.91	0.0	0.07	0.0	0.07	0.18	0.6	0.14	0.34	0.82	3.16	0.0	0.0	4.82	8.81	15.62	4.32	18.76	12.16	3.61	5.58	0.47	0.58	0.19	0.06	0.0	0.16	0.0
Gm14430	8.59	0.0	38.04	19.02	0.16	0.0	0.0	0.22	2.16	0.04	0.62	0.0	6.69	0.0	0.04	11.7	6.07	1.76	1.83	4.81	3.28	5.97	4.22	0.48	0.0	13.98	0.21	0.0	0.0	0.0
Gm14434	8.59	0.0	38.04	19.02	0.16	0.0	0.0	0.22	2.16	0.04	0.62	0.0	6.69	0.0	0.04	11.7	6.07	1.76	1.83	4.81	3.28	5.97	4.22	0.48	0.0	13.98	0.21	0.0	0.0	0.0
Gm4724	8.59	0.0	38.04	19.02	0.16	0.0	0.0	0.22	2.16	0.04	0.62	0.0	6.69	0.0	0.04	11.7	6.07	1.76	1.83	4.81	3.28	5.97	4.22	0.48	0.0	13.98	0.21	0.0	0.0	0.0
Gm9159	5.64	0.0	50.46	13.49	22.19	4.46	4.87	14.63	37.16	15.13	21.62	29.26	42.23	18.18	0.74	31.26	21.45	31.03	23.45	27.34	22.38	27.79	26.85	35.44	15.81	25.0	25.98	7.98	17.75	9.55
Gsdma	0.0	0.0	0.84	0.0	0.12	0.1	0.09	0.1	0.0	0.0	0.2	0.0	0.35	0.0	0.14	0.0	0.28	0.0	0.33	0.0	0.07	0.13	0.0	0.12	0.1	0.0	0.0	0.19	0.0	0.0
Hmox1	0.0	0.0	127.39	0.0	0.0	0.0	0.0	106.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.13	8.54	0.0	5.66	21.81	0.0	0.67	2.91	0.0	161.92	0.0	0.0	0.28	0.0	0.0
Ighmbp2	0.04	0.0	5.63	5.87	0.1	0.02	0.47	0.18	0.48	0.7	1.58	0.52	0.85	0.21	0.0	1.02	4.08	4.03	3.51	3.4	1.03	0.83	1.13	0.46	0.3	0.13	0.15	0.36	0.22	0.21
Ints7	10.27	0.0	52.26	0.0	0.1	0.0	0.0	0.0	5.91	0.0	0.0	17.81	25.95	0.0	0.0	24.15	21.61	28.11	15.81	32.41	19.86	36.17	29.37	0.2	0.0	0.0	0.0	0.94	0.0	0.0
Iqce	11.24	0.0	43.72	0.08	0.0	0.0	0.0	0.0	30.46	0.0	0.0	0.0	6.42	10.37	0.0	3.39	0.81	2.16	1.64	4.1	6.35	3.52	1.98	4.41	0.0	0.0	0.13	38.99	13.77	24.97
Isg20l2	0.08	0.0	92.77	0.09	0.0	0.0	0.46	0.39	0.0	0.24	0.0	0.0	2.98	0.4	0.0	1.0	11.4	12.95	6.24	5.56	0.82	2.48	2.65	0.03	0.31	0.0	0.0	0.0	0.08	0.08
Jph1	0.0	0.0	31.17	0.0	8.0	0.55	0.0	0.0	6.04	0.0	2.02	0.07	1.81	0.12	0.0	2.85	2.07	2.49	2.66	4.48	5.25	2.06	2.65	0.0	0.29	0.55	21.3	0.0	0.06	0.0
Kcnj13	0.0	0.0	71.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.21	0.0	3.5	0.0	0.0	0.0	0.56	0.0	0.52	3.42	0.0	0.0	0.0	0.0	0.0	0.0	194.09
Krit1	1.44	0.0	150.79	79.86	29.56	0.13	20.91	0.22	1.64	41.52	16.02	41.68	43.75	25.75	0.0	23.04	32.05	36.75	21.5	24.09	22.98	22.98	32.29	7.45	0.23	31.31	13.56	0.0	2.29	0.67
Leprotl1	57.18	0.13	254.65	0.14	75.66	8.0	0.0	0.0	37.32	63.06	0.0	42.34	38.21	31.67	150.67	43.17	37.58	26.73	29.38	77.77	52.34	51.05	47.07	31.75	23.66	48.07	0.11	0.0	14.6	37.48
Lnp	34.37	0.0	157.31	263.75	0.0	24.35	9.75	12.16	24.38	48.44	54.81	17.1	86.93	66.64	0.0	46.55	46.98	44.63	31.61	32.2	25.92	46.95	54.65	57.93	0.0	10.15	26.43	8.11	33.22	5.36
Lnpep	0.12	0.0	59.11	0.0	0.0	0.0	0.0	0.0	0.37	0.0	2.03	0.88	1.14	0.0	14.17	3.66	3.08	1.32	0.39	0.75	0.98	1.58	2.32	11.84	27.44	0.0	0.11	0.0	37.4	0.05
Lrch3	0.0	0.0	79.57	0.0	0.11	0.0	0.0	0.0	20.72	1.29	0.0	0.0	7.93	0.0	0.0	8.01	8.91	4.78	3.58	5.24	4.71	2.17	2.68	0.0	0.0	0.0	0.0	0.07	0.0	5.53
Manea	5.12	0.0	70.48	0.0	0.08	0.0	0.0	19.42	17.87	0.0	70.54	0.49	18.37	43.78	0.0	15.14	13.44	8.82	19.54	7.94	23.28	8.47	17.5	8.41	3.44	0.0	0.0	0.0	0.38	10.85
Mcmbp	31.97	0.0	99.96	0.0	38.76	2.24	0.0	1.22	8.11	0.0	10.25	27.86	66.35	17.87	0.0	52.68	33.71	44.32	25.78	39.41	29.24	51.25	53.29	35.1	0.0	1.21	6.72	20.83	6.1	4.07
Mknk1	0.0	0.0	172.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.05	0.0	0.0	2.14	28.78	12.02	10.47	11.31	19.46	14.25	12.84	28.41	0.0	0.0	0.0	0.0	0.0	0.0
Mrps25	39.71	0.0	188.72	0.12	46.79	43.04	32.3	86.14	50.67	45.75	28.47	6.53	56.3	86.79	0.0	56.52	53.81	61.28	59.92	53.83	42.77	41.6	45.16	102.94	101.28	3.45	61.72	38.73	57.0	32.16
Mtg1	100.07	0.0	101.73	0.45	0.0	0.0	190.13	0.22	167.01	0.24	4.44	132.72	41.0	0.0	0.0	17.55	79.43	111.94	71.56	56.9	63.11	48.22	52.99	86.66	1.05	0.0	172.17	10.37	0.21	47.36
Mum1	0.18	0.28	66.4	45.7	0.0	0.39	22.27	2.31	45.93	47.11	0.87	1.84	3.43	0.38	0.0	16.08	2.3	4.54	22.05	7.59	9.54	3.51	11.55	0.95	0.32	28.6	2.42	9.94	1.07	0.06
Nat10	0.0	0.0	70.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.74	0.59	11.61	55.85	0.0	8.6	12.73	5.7	4.72	2.48	7.74	3.02	4.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nek6	0.4	0.0	63.91	0.0	0.31	0.0	0.08	0.2	0.4	0.0	0.09	0.08	0.46	62.69	0.0	11.17	3.95	1.34	6.5	10.09	4.44	1.9	4.04	0.11	0.09	0.15	0.0	0.0	0.0	0.0
Ngfr	0.0	0.0	1.95	0.21	0.0	0.09	0.16	0.1	0.31	0.28	0.66	0.32	0.24	0.67	0.0	0.4	0.24	0.0	0.41	0.37	0.04	0.0	0.13	0.42	0.38	0.32	0.41	0.32	0.1	0.08
Ntn5	0.0	0.0	4.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54	0.5	0.0	0.0	0.0	0.23	0.0	0.0	0.32	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pcdh9	19.76	0.0	326.14	70.35	77.55	63.22	33.36	58.76	159.78	60.04	128.84	205.39	39.7	248.28	0.07	205.85	138.54	127.79	156.15	156.19	167.29	134.33	123.91	71.51	7.95	67.16	181.34	166.2	104.66	75.04
Pcnx	0.02	0.84	48.01	8.14	0.0	1.78	8.29	0.02	0.31	0.0	0.32	3.75	2.18	0.19	0.0	4.17	4.84	8.9	2.74	10.68	2.5	5.05	5.01	0.08	2.06	15.89	13.65	1.82	2.02	0.04
Pcp4	4955.04	0.0	0.0	7467.74	5853.47	6240.76	5498.56	5326.1	6808.32	7407.1	5341.11	6583.41	2202.57	7030.52	1174.81	4246.61	4480.25	4373.65	4928.48	3901.08	5219.57	3442.63	3306.12	7638.97	6941.16	7178.2	5557.87	6670.6	6291.11	8685.7
Pdzd9	0.0	0.0	0.6	0.0	0.25	0.42	3.39	0.0	0.3	0.0	0.34	0.0	0.2	0.0	0.0	0.0	0.0	0.44	0.0	0.19	1.69	0.53	0.81	0.0	0.0	0.0	0.0	0.0	0.0	1.51
Peg3	8.06	0.0	108.46	0.05	29.76	4.18	3.03	0.64	5.06	62.48	1.95	0.73	24.89	71.38	0.0	27.74	19.52	18.32	25.91	24.07	12.22	11.43	9.97	53.45	11.8	32.66	0.35	0.22	0.05	0.0
Pik3r5	0.12	0.0	16.63	7.85	0.88	1.48	2.59	0.92	2.69	1.59	5.69	10.05	3.24	8.13	0.0	1.75	1.77	2.71	1.93	1.95	1.32	1.88	2.07	2.44	3.73	0.11	1.42	1.0	4.19	0.0
Pnpt1	0.0	0.0	124.17	0.0	0.0	0.0	0.0	2.49	31.23	0.0	0.0	0.0	17.11	27.99	0.0	14.77	4.11	1.7	7.35	0.91	1.24	10.44	7.45	0.0	0.0	0.89	0.0	0.16	0.0	27.0
Pold2	68.99	0.0	99.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.77	0.0	0.0	9.41	7.9	0.36	10.9	8.1	17.58	0.87	8.76	0.0	0.0	0.0	127.61	246.58	0.0	0.0
Prkci	0.0	0.0	84.66	0.0	0.0	0.0	0.0	62.55	3.09	0.0	0.1	0.0	16.74	102.3	0.0	19.94	4.93	11.43	1.95	9.54	7.42	6.19	7.94	37.92	10.99	0.05	0.0	0.0	2.03	0.0
Rab11fip3	0.0	233.57	112.36	0.0	49.8	0.0	0.08	5.31	0.0	0.97	9.57	2.7	13.26	60.32	0.0	21.44	17.99	14.01	3.22	4.21	10.29	15.2	9.52	0.88	18.43	68.36	1.81	0.0	0.21	0.07
Rab21	0.0	552.15	45.34	0.0	0.73	0.0	4.24	0.15	0.0	22.47	0.74	56.21	22.67	0.65	1.24	12.0	6.75	12.11	11.44	3.97	9.09	14.49	7.7	60.98	0.0	16.93	0.66	0.0	0.84	0.13
Rcc2	0.0	0.0	42.56	0.09	0.0	0.21	1.11	30.14	25.14	0.0	2.57	0.0	3.35	58.27	23.91	10.54	7.08	17.3	2.66	7.82	10.59	7.9	11.91	0.09	0.67	0.25	18.6	24.16	12.76	2.72
Rpgrip1l	12.07	0.0	66.11	11.88	13.74	0.3	8.23	0.0	27.82	14.55	0.0	0.09	3.56	18.95	0.0	8.64	10.54	3.95	6.39	2.03	6.69	4.44	5.75	0.0	0.0	0.0	0.0	3.05	33.28	0.0
Rrnad1	0.2	10.34	88.03	0.29	2.07	25.45	0.09	0.09	79.84	0.11	9.7	5.57	15.83	0.48	0.0	16.73	13.02	15.48	13.83	9.49	2.7	14.77	12.65	16.57	0.67	9.29	0.63	6.06	0.36	1.02
Sac3d1	0.0	0.0	24.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.27	0.0	0.0	2.38	0.0	0.64	6.33	1.29	0.0	2.56	1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Scyl3	31.71	0.0	68.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.19	26.44	11.75	0.0	0.0	2.42	3.93	8.56	0.13	13.65	2.99	6.89	3.9	0.0	0.0	2.07	0.0	0.0	7.27	0.0
Sfmbt1	0.0	0.0	53.6	0.05	27.4	0.41	0.0	5.83	2.62	0.45	0.0	5.13	2.86	15.42	0.0	7.87	12.66	7.19	7.94	11.36	10.99	6.41	6.32	3.27	3.15	0.28	3.45	0.0	8.88	0.25
Sh2b1	0.0	0.0	47.37	0.0	0.0	0.18	0.0	0.0	53.63	0.1	33.78	0.19	6.78	64.58	0.0	2.83	2.65	7.49	3.67	7.97	7.37	4.79	3.54	23.6	0.0	0.0	0.0	0.0	0.09	0.0
Slc25a42	6.07	0.0	41.48	13.8	11.98	12.78	27.2	9.59	21.59	9.0	22.69	32.48	28.15	20.51	0.0	25.35	28.13	24.3	14.33	24.15	25.4	30.23	25.81	15.25	5.9	16.42	12.4	6.38	15.67	4.37
Slc5a12	0.0	0.0	0.9	0.34	0.13	0.0	0.05	0.37	0.68	0.07	0.5	0.0	0.65	0.11	0.0	0.23	0.35	0.36	0.35	0.5	0.21	0.51	0.45	0.2	0.05	0.06	0.11	0.17	0.38	0.14
Smad5	0.0	0.0	43.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	3.35	1.23	0.3	2.45	0.0	0.0	0.57	1.51	0.0	0.0	0.0	0.0	8.18	0.0	0.0
Snapin	111.14	0.0	127.07	0.0	0.0	0.0	0.0	0.0	44.12	0.0	0.0	1.21	28.98	0.0	0.17	32.36	20.21	19.04	0.29	16.19	3.62	21.35	21.27	1.67	0.0	0.0	0.0	0.0	0.0	0.0
Spty2d1	0.0	0.0	196.98	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	2.24	0.69	7.36	0.0	8.07	6.58	1.14	0.68	1.33	3.18	2.41	6.78	22.43	0.0	0.09	0.11	0.0	0.0	17.28
Tollip	0.0	0.0	244.98	0.0	0.62	28.37	8.62	114.34	0.1	1.6	21.6	46.08	29.05	58.16	0.0	47.44	48.13	42.97	62.32	41.53	32.5	64.1	50.14	63.66	2.65	0.06	0.0	1.54	12.48	9.67
Traf7	0.32	0.0	127.23	0.14	0.0	0.0	12.35	75.81	0.8	0.0	0.0	0.0	20.18	205.75	0.0	8.61	42.2	2.33	32.8	36.35	26.33	20.28	24.1	0.98	0.25	11.23	1.37	95.55	10.57	0.09
Trpc6	5.63	0.0	120.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.0	0.0	0.0	0.0	0.62	1.26	0.0	0.0	0.53	1.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ttc17	0.0	0.0	92.4	0.0	0.0	0.0	3.95	10.23	25.9	55.91	0.0	0.0	1.68	0.0	0.0	14.1	4.17	1.74	12.31	4.05	10.79	13.6	12.67	0.0	4.92	0.0	0.0	0.29	0.92	0.0
Ttc8	54.17	0.0	162.97	0.0	0.0	3.19	0.0	15.19	0.17	122.94	0.2	89.15	60.21	45.32	0.0	57.67	22.89	31.87	36.55	56.27	48.89	35.81	20.52	72.57	15.46	1.17	0.13	0.0	60.59	0.0
Ubac1	0.0	0.0	80.67	0.0	0.0	14.49	0.34	0.18	0.0	0.62	1.02	0.19	3.67	0.24	0.1	4.28	5.58	3.16	10.71	1.14	14.87	5.36	3.51	3.35	1.39	0.07	5.13	0.13	0.42	0.0
