	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTpositive_cell_9	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_70	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_107	Htr3a_tdTpositive_cell_114	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_55	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_80	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_37	PvalbD.Slc32a1_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_78	PvalbF.Gad2_tdTpositive_cell_86	Rbp4_tdTpositive_cell_91	Scnn1a.Tg2_tdTpositive_cell_21	Scnn1a.Tg2_tdTnegative_cell_9	Scnn1a.Tg3_tdTpositive_cell_68	Scnn1a.Tg3_tdTnegative_cell_11	Vip_tdTpositive_cell_24
Fyttd1	27.72	55.25	282.51	99.58	0.0	64.24	0.0	58.61	66.03	19.71	0.07	0.66	124.74	86.24	2.06	27.84	123.72	73.96	30.18	11.02	57.56	49.04	47.09	45.97	66.15	60.43	22.69	0.18	0.0	0.0	383.81
Gabra3	0.0	43.66	0.0	1.2	0.0	129.41	100.24	47.61	90.92	131.78	18.98	48.91	0.0	57.75	68.17	112.78	26.5	85.32	57.42	0.0	21.9	137.98	72.48	41.27	125.3	58.42	0.16	0.0	0.0	0.24	593.49
Glmn	69.16	80.8	0.0	0.0	0.0	64.33	0.0	140.79	42.6	112.3	59.17	0.18	2.0	0.0	82.24	25.03	129.51	65.81	35.27	3.72	64.17	83.47	62.52	160.77	61.85	145.33	2.38	253.62	0.0	0.0	0.0
Gpr22	40.35	145.36	0.44	31.66	0.0	50.88	52.38	25.04	29.39	96.98	19.42	8.08	119.02	80.41	49.93	124.63	126.65	53.85	195.93	302.36	19.89	28.14	43.03	100.19	113.29	294.52	0.13	0.0	0.0	0.0	151.11
Hist3h2a	0.0	24.55	0.0	26.23	0.0	19.21	0.0	34.46	0.0	14.91	42.2	0.0	77.87	0.0	4.94	0.0	25.11	0.0	5.91	0.0	0.0	19.14	18.11	0.0	59.59	56.37	0.0	0.0	0.0	0.0	0.0
Hp1bp3	71.58	56.92	174.35	33.3	0.0	68.63	168.15	89.33	34.92	89.8	51.81	91.46	7.36	64.06	43.97	41.08	95.01	80.4	69.98	95.05	139.07	148.55	37.44	92.23	134.26	53.01	0.0	26.53	19.16	0.0	99.69
Lpgat1	13.52	112.58	95.36	59.43	0.0	83.64	3.61	32.26	38.63	58.05	27.51	3.15	34.28	71.93	47.72	5.82	42.34	30.9	97.92	76.33	89.6	7.91	33.64	68.05	74.2	17.55	0.09	0.0	0.0	0.0	208.37
Nprl2	0.0	61.56	0.0	243.3	0.0	140.61	0.0	180.6	164.14	175.84	40.3	0.22	115.79	194.98	164.05	139.88	66.89	161.03	112.45	116.71	218.74	175.84	184.01	196.89	21.45	223.8	20.12	0.0	0.0	0.0	875.36
Osbpl3	2.17	30.82	0.0	35.01	0.0	1.42	0.0	2.31	1.13	16.79	0.92	0.0	3.58	34.05	28.95	16.38	12.6	51.46	25.2	0.0	39.15	11.67	0.81	65.37	29.75	17.75	0.0	0.11	0.2	0.0	74.34
Pafah1b2	13.39	124.96	1.63	1.01	0.23	71.34	76.89	47.38	16.88	72.51	40.38	21.71	60.38	51.21	44.27	64.51	68.47	156.61	99.92	0.0	161.77	67.47	69.05	19.99	163.03	74.08	0.0	0.01	7.82	0.0	299.43
Phip	13.16	0.51	19.39	0.02	0.62	10.0	2.18	2.75	20.16	9.28	1.13	0.3	23.67	12.82	0.04	0.28	15.59	3.87	0.03	6.36	14.53	21.39	6.03	1.8	15.71	34.84	0.0	1.02	4.73	0.0	81.75
Pkm2	3481.61	4143.72	4450.71	4253.32	2603.75	4057.72	4232.73	4007.13	3686.3	3866.15	3677.99	4017.79	4532.45	4154.04	4313.35	3800.35	3860.26	3678.51	4225.41	4327.46	4426.64	4191.54	4325.36	4057.81	4171.44	3825.85	3668.95	3794.28	3076.01	3141.9	4968.45
Pop7	0.0	104.57	131.7	59.72	0.0	52.16	0.0	24.66	97.95	156.53	63.21	45.2	236.77	34.79	294.47	167.68	98.15	107.39	16.67	141.08	79.23	54.88	56.25	41.37	305.36	108.28	0.0	0.0	0.0	0.0	0.0
Prpf38a	18.92	48.58	0.27	163.07	0.0	79.68	0.0	52.32	42.52	0.22	0.0	3.82	1.14	67.77	59.83	1.61	71.0	150.35	155.14	0.0	117.39	156.82	66.68	2.35	149.09	193.01	0.0	0.0	0.0	0.0	244.89
Ranbp3	0.0	51.97	12.78	0.0	0.0	1.23	0.0	81.92	0.0	0.14	1.55	0.27	0.48	0.0	32.39	0.0	8.48	0.37	29.15	40.15	85.26	0.24	0.34	0.75	0.53	6.33	0.0	0.0	0.0	0.0	0.0
Rwdd1	0.35	44.55	1.96	4.29	0.0	8.79	24.52	27.59	33.3	8.85	0.87	36.63	65.36	29.46	6.6	1.15	40.8	58.65	40.09	0.0	131.98	60.41	38.81	14.55	27.81	54.85	0.0	0.0	0.0	0.0	96.48
Slc12a5	13.48	22.88	12.94	7.35	0.0	19.12	21.4	4.43	16.19	2.44	3.56	9.92	17.82	33.18	33.78	8.79	13.48	32.75	41.02	7.34	2.73	29.2	31.76	22.31	35.87	55.83	0.0	0.0	0.0	0.0	81.24
Snrpa	0.0	50.66	69.06	0.0	0.0	6.02	177.34	49.73	0.33	41.81	0.0	0.0	102.6	0.0	21.95	9.09	4.1	64.49	13.47	0.0	3.45	41.81	35.45	61.71	21.4	87.51	0.0	0.0	0.0	0.0	225.15
Snrpb	0.0	47.35	238.39	3.99	0.0	77.27	94.77	46.68	0.0	104.44	81.72	56.29	99.23	168.84	131.95	17.18	68.9	80.95	3.84	0.0	99.67	53.99	53.14	95.69	87.6	232.63	0.0	0.0	0.0	0.0	0.0
Srr	0.0	53.84	168.06	145.91	0.0	10.86	0.0	36.5	7.37	122.25	16.94	0.0	0.0	28.3	61.48	1.3	67.87	15.92	4.51	6.45	0.4	0.0	38.94	0.0	3.37	132.43	0.0	0.44	0.0	0.0	87.71
Stx8	0.0	8.89	5.56	2.69	0.0	25.0	16.55	0.0	0.5	15.76	0.0	6.05	19.55	33.25	27.99	0.0	0.0	14.91	26.68	76.1	0.0	22.59	25.82	21.19	0.0	30.22	0.0	0.0	0.0	0.0	0.0
Trnt1	0.0	96.33	0.0	27.99	0.0	1.5	344.54	81.07	56.44	34.34	24.15	0.0	78.09	268.71	124.53	75.15	64.19	52.87	87.09	72.76	129.41	133.55	99.16	104.99	0.15	46.86	83.23	1.13	0.0	0.93	140.42
Ube3c	0.0	19.73	0.0	0.96	0.0	28.57	4.58	2.19	0.49	0.91	19.41	0.0	7.73	33.42	7.91	5.45	10.86	13.75	30.83	0.0	5.08	24.73	1.02	53.45	26.25	29.8	0.0	0.0	0.0	0.0	50.09
Znrf1	0.0	0.3	0.22	0.0	0.0	0.0	0.44	4.55	13.45	25.2	5.26	0.0	0.85	2.37	0.11	1.48	22.11	1.53	20.29	0.0	8.91	3.12	3.35	0.0	0.43	4.1	0.17	0.0	0.0	0.0	95.83
mt_AK159675	4.03	11.75	0.0	7.53	0.0	24.62	5.14	7.27	3.94	6.46	8.94	3.02	11.19	7.06	11.68	12.24	29.5	17.97	64.67	0.0	10.38	6.76	12.62	6.17	14.03	12.02	0.0	0.0	0.0	0.0	39.42
