	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_30	Rbp4_tdTnegative_cell_14	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dnm2	0.52	0.15	0.21	36.7	38.37	41.09
Doc2a	0.0	0.0	0.0	44.38	46.02	45.81
Dsc2	0.0	0.0	0.0	0.49	0.63	0.73
Dusp23	0.0	0.0	0.0	5.22	6.79	5.76
Dyx1c1	0.0	0.0	0.4	2.77	2.74	1.97
E230025N22Rik	0.0	0.0	0.0	0.55	0.37	0.05
E430018J23Rik	0.0	0.0	0.0	4.31	5.87	6.61
Eif2c2	0.0	0.0	0.0	26.1	22.83	28.05
Enox2	0.0	0.0	0.0	7.96	9.2	7.17
Erv3	0.0	0.0	0.04	0.23	0.2	0.26
Exoc5	0.0	0.0	19.62	36.29	30.6	34.57
Fam75d3	0.0	0.0	0.0	0.0	0.02	0.02
Fam84b	0.0	0.0	0.0	6.47	6.76	5.21
Fancc	0.0	0.0	0.21	6.87	7.33	7.32
Fig4	0.0	0.0	0.0	27.98	30.41	28.25
Flywch2	0.0	0.0	0.0	12.71	15.49	16.82
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Glrx5	0.0	0.0	0.0	73.03	85.53	70.1
Gm10865	0.0	0.0	0.0	1.35	1.82	2.16
Gm11190	0.0	0.0	0.0	0.37	0.38	0.24
Gm19897	0.0	0.22	0.0	1.71	1.77	1.79
Gm5441	0.0	0.0	0.0	1.18	0.45	0.49
Gm960	0.0	0.0	0.0	0.88	1.11	1.17
Gpr179	0.0	0.0	0.0	0.22	0.09	0.17
Haus2	1.02	1.42	1.33	19.22	20.31	22.78
Hexim1	0.0	0.0	0.0	41.82	43.16	41.2
Hhat	0.0	0.0	0.0	0.52	0.79	0.72
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist2h2aa2	0.0	0.0	0.0	0.76	17.27	0.0
Ier5	7.02	0.0	86.96	75.41	75.64	62.19
Ift122	0.0	0.0	0.0	22.09	22.15	23.12
Iqch	0.0	0.0	0.0	0.2	0.14	0.18
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lrguk	0.0	0.0	0.0	1.39	1.0	0.96
Lrriq4	0.0	0.0	0.0	0.04	0.0	0.02
Map3k5	14.87	0.0	7.69	26.04	25.01	25.24
Mas1	0.0	0.0	0.0	22.32	20.14	20.56
Mfsd5	0.0	0.0	0.0	47.12	47.32	45.14
Msrb3	0.0	0.0	0.0	6.18	6.02	6.35
Myo1h	0.0	0.0	0.0	0.51	0.78	1.0
Ndst3	0.03	0.14	0.29	16.74	14.36	16.62
Nkain2	0.0	0.0	0.0	43.75	43.56	41.28
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nlrc3	0.0	0.0	0.0	0.48	0.54	0.45
Ntn1	0.0	0.0	0.0	4.81	5.05	6.09
Obsl1	0.0	0.0	0.0	10.98	11.24	11.27
Otud7a	0.0	0.0	0.0	34.24	37.91	37.57
Pde6b	0.0	0.16	0.0	0.07	0.16	0.22
Pdgfra	0.07	0.0	0.0	24.76	23.57	25.11
Pgbd5	0.0	0.0	0.0	134.18	138.74	137.8
Phka2	0.1	0.0	0.0	24.76	22.38	24.93
Ppp1r35	0.0	0.0	0.0	17.59	21.75	17.6
Prdx4	0.0	0.0	0.0	24.18	25.81	28.82
Prop1	0.0	0.0	0.0	0.28	0.0	0.0
Ptpn22	0.0	0.0	0.0	0.54	0.34	0.78
Rad51	0.0	0.0	0.0	1.44	1.83	1.2
Rad51ap2	0.0	0.0	0.0	1.3	0.76	1.38
Rb1	0.0	0.0	0.0	22.66	20.56	23.35
Rbp1	0.0	0.0	0.0	7.11	6.8	8.15
Rgs8	0.0	0.16	0.11	56.68	53.59	51.66
Rnf44	0.0	0.0	0.0	99.93	107.11	100.64
Rpgrip1l	0.0	0.0	0.0	11.64	10.12	11.23
Rps10	0.0	0.0	66.94	332.23	401.77	364.23
Rsph6a	0.0	0.0	0.0	0.21	0.12	0.26
Runx1	0.0	0.0	0.0	0.36	0.31	0.38
Samd4b	0.0	0.0	35.55	36.48	34.92	33.74
Scml2	0.0	0.0	0.0	1.17	0.86	1.04
Scn4a	0.0	0.0	0.0	0.0	0.0	0.03
Sfmbt2	0.0	0.0	0.0	1.98	2.09	1.82
Sh3bp5l	0.0	0.0	18.71	37.93	42.11	39.34
Shf	0.0	0.0	0.0	35.84	41.34	36.49
Sik1	0.0	6.3	0.0	15.4	13.82	5.32
Skap1	0.0	0.0	0.0	1.94	1.92	1.67
Slc25a38	0.0	0.0	0.0	26.29	27.79	27.01
Slc2a8	0.0	0.0	0.0	23.79	26.38	27.3
Slc43a3	0.0	0.48	0.0	0.51	0.71	0.84
Sox8	0.0	0.15	0.0	44.76	43.15	32.46
Speer3	0.0	0.0	0.0	0.0	0.0	0.0
Speer6-ps1	0.0	0.0	0.0	0.21	0.1	0.21
Srr	0.0	0.0	0.37	76.68	70.5	78.84
Stom	0.0	0.0	0.0	10.99	11.15	10.18
Styxl1	0.0	0.0	0.0	1.55	0.48	0.84
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tesk2	0.0	17.93	0.0	3.73	4.14	5.18
Tnfsf12	0.0	0.0	0.0	9.14	9.99	10.76
Tns3	2.68	1.99	0.26	23.86	23.21	24.25
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Unc13a	0.0	0.0	0.0	173.28	162.24	184.32
Ush2a	0.0	0.0	0.0	0.02	0.05	0.03
Vash2	0.0	0.0	0.0	1.99	2.45	2.13
Vat1l	0.0	0.0	0.0	45.55	46.63	43.57
Vax2os2	0.0	0.0	0.0	0.07	0.07	0.07
Vmn1r63	0.0	0.0	0.0	0.0	0.0	0.0
Vmn2r-ps11	0.0	0.0	0.0	0.09	0.0	0.0
Vmn2r118	0.0	0.0	0.0	0.04	0.04	0.09
Vmn2r2	0.0	0.0	0.0	0.05	0.0	0.0
Vmn2r3	0.0	0.0	0.0	0.0	0.04	0.0
Wwtr1	0.0	0.0	0.0	10.28	9.78	11.34
Zc3h3	0.0	0.0	0.0	14.15	15.64	16.44
Zfp367	0.0	0.0	0.0	19.62	18.37	17.87
Zfp407	0.0	0.0	0.08	5.86	5.65	6.08
Zfp748	0.0	0.0	0.0	7.34	6.18	7.29
Zfp768	0.0	0.0	0.0	10.0	11.49	11.46
Zfyve26	0.0	0.0	0.0	8.68	7.36	9.12
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
Zscan4a	0.0	0.0	0.0	0.0	0.0	0.0
c10_tRNA-Ala-GCA	0.0	0.0	0.0	6.57	8.86	4.78
c9_tRNA-Met	0.0	0.0	0.0	0.0	0.0	0.0
cx_5S	0.0	0.0	0.0	1.52	3.47	2.14
mt_AK131586	7.36	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	11.47	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	0.0	9032.87	8417.95	8583.15
