	Gad2_tdTpositive_cell_34	Htr3a_tdTpositive_cell_35	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Naip6	0.0	0.0	0.38	0.22	0.38
Ncr1	0.0	0.0	0.07	0.0	0.07
Nkx6-3	0.0	0.0	0.04	0.04	0.09
Nox4	0.0	0.0	0.06	0.0	0.06
Obox5	0.0	0.0	0.15	0.14	0.16
Olfr1419	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.11	0.1	0.11
Olfr15	0.0	0.0	0.11	0.0	0.11
Otx2os1	0.0	0.0	0.14	0.0	0.14
Panx2	0.0	0.0	71.83	76.59	75.56
Pgrmc2	1.97	0.0	62.84	62.1	60.62
Prps1l1	0.0	0.0	0.06	0.0	0.06
Rab44	0.0	0.0	0.12	0.18	0.12
Raet1d	0.0	0.0	0.16	0.0	0.16
Scd2	0.06	70.37	716.19	715.89	753.91
Shroom4	0.0	0.0	2.7	1.71	2.7
Slc10a5	0.0	0.0	0.08	0.07	0.08
Slc22a3	0.0	0.0	2.7	2.52	2.7
Slc4a1	0.0	0.0	0.02	0.0	0.02
Slco6c1	0.0	0.0	0.04	0.04	0.04
Slfnl1	0.0	0.0	0.06	0.0	0.06
Smok3a	0.0	0.0	0.11	0.03	0.11
Tas1r2	0.0	0.0	0.03	0.0	0.03
Tas2r137	0.0	0.0	0.1	0.1	0.1
Tcstv1	0.0	0.0	0.12	0.0	0.12
Tg	0.0	0.0	0.08	0.04	0.08
Tktl1	0.0	0.0	0.08	0.11	0.08
Top2b	21.74	5.68	54.63	49.09	53.13
Ttc39d	0.0	0.0	0.05	0.05	0.05
Txndc2	0.0	0.0	0.12	0.11	0.12
Usp26	0.0	0.0	0.02	0.0	0.02
Vax2os2	0.0	0.0	0.07	0.07	0.07
Vmn1r210	0.0	0.0	0.11	0.0	0.11
Vmn2r11	0.0	0.0	0.04	0.0	0.04
Vmn2r118	0.0	0.0	0.04	0.04	0.09
Vmo1	0.0	0.0	0.15	0.14	0.16
Vrk2	0.0	0.0	2.24	2.2	2.24
Wdr7	0.0	51.62	86.74	85.95	84.87
Zfp957	0.0	0.0	0.07	0.1	0.07
Zp3r	0.0	0.0	0.05	0.05	0.05
Zscan10	0.0	0.0	0.04	0.03	0.04
mt_AK131586	1150.9	0.05	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	9032.87	8417.95	8583.15
