	Ndnf_tdTpositive_cell_7	Ntsr1_tdTnegative_cell_44	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Dnajb11	0.43	0.0	58.65	55.63	56.06
Dyx1c1	0.0	0.0	2.77	2.74	1.97
E130112N10Rik	6.43	7.44	9.89	9.91	12.14
Egr1	0.0	0.62	374.95	320.45	189.48
Egr3	0.0	0.0	112.58	98.75	94.2
Ercc8	0.0	0.0	10.86	11.03	11.1
Fam107a	0.26	0.0	240.76	243.26	245.84
Fcrls	0.0	0.0	34.27	31.96	34.25
Fmo1	0.0	0.0	7.97	8.04	6.58
Foxi1	0.0	0.0	0.04	0.04	0.09
Gabra3	0.0	0.0	97.89	91.92	95.89
Gale	0.0	0.0	15.25	17.91	15.21
Gas1	0.0	0.0	6.95	8.27	9.45
Gm10865	0.0	0.0	1.35	1.82	2.16
Gm1568	0.0	0.0	8.99	10.45	10.71
Gm3414	0.04	0.0	0.86	0.52	0.91
Gm5176	0.0	0.0	2.61	1.59	2.62
Gm608	0.0	0.03	21.07	18.69	21.54
Gm9961	0.0	0.0	0.19	0.18	0.2
Gpx7	0.0	0.0	5.54	5.92	6.23
Gstm2	0.0	0.0	3.15	3.16	3.12
Hck	0.0	0.0	1.47	1.96	2.59
Hdgfrp2	0.0	0.0	69.64	80.22	74.92
Hhla1	0.0	0.0	0.04	0.04	0.09
Hist1h1e	0.0	0.0	2.01	1.66	1.91
Hist1h3f	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.07	0.07	0.07
Idua	0.0	0.0	14.32	14.89	16.0
Itih2	0.0	0.0	3.34	3.42	2.31
Itih3	0.0	0.13	15.68	14.37	13.26
Kank3	0.13	0.0	17.8	20.97	18.11
Keap1	0.0	0.0	46.23	54.83	51.32
Kera	0.0	0.0	0.05	0.05	0.05
Khdc1b	0.0	0.0	0.04	0.04	0.16
Kif23	0.0	0.0	1.69	1.16	1.16
LOC100861571	0.0	0.0	2.78	2.62	0.0
Mageh1	0.0	0.0	44.54	47.27	47.03
March11	0.0	0.0	4.13	4.92	4.79
Micall1	0.0	2.69	25.54	25.68	29.06
Mipol1	0.0	0.0	3.73	3.74	4.16
Mir703	25.38	7.17	25.82	29.33	36.2
Mybph	0.0	0.0	0.07	0.34	0.3
Myc	0.0	0.0	3.01	3.88	4.17
Nacc1	0.0	0.0	71.08	73.02	74.58
Nat1	0.0	0.0	1.86	1.26	1.89
Ncaph2	0.0	29.74	74.69	76.35	72.7
Nkx6-3	0.0	0.0	0.04	0.04	0.09
Nup98	0.0	0.0	14.53	14.94	15.02
Orc2	0.0	0.17	27.76	24.56	27.26
Pfn3	0.0	0.0	0.19	0.18	0.2
Phospho2	0.0	0.0	26.23	25.35	22.46
Pigt	0.0	0.0	72.19	79.62	79.03
Pim1	0.0	0.0	3.01	2.46	3.89
Plec	22.27	0.0	46.49	48.19	52.96
Plek	0.2	0.09	9.5	8.74	8.8
Plekhh3	0.0	0.0	9.21	12.14	9.65
Plvap	0.0	0.0	8.56	9.31	7.36
Prom1	0.0	0.0	11.56	11.13	12.48
Ptp4a3	27.84	0.0	36.37	37.23	39.99
Pygl	0.0	0.0	3.25	3.56	3.07
Pygo1	0.0	0.0	19.03	17.18	18.88
Rasgef1b	0.0	34.97	59.07	56.61	64.69
Rasl10b	0.0	0.0	176.08	191.44	185.21
Rbmx2	0.0	0.0	6.73	7.1	5.89
Rlbp1	0.0	0.0	21.25	21.05	20.33
Rnf38	10.78	0.0	36.48	34.22	37.6
Rpp14	0.0	0.0	32.66	30.31	29.83
Rpp30	0.0	0.0	16.96	16.72	15.44
Rps6ka4	0.0	0.0	41.49	40.5	37.81
S100a16	0.0	0.0	87.16	92.23	99.6
S1pr1	8.46	0.25	116.4	110.54	115.49
Samm50	0.0	0.0	97.54	105.64	95.86
Sardh	0.0	0.0	6.95	6.49	7.48
Serpina9	0.0	0.0	8.58	7.64	7.7
Setd6	0.0	0.0	14.55	13.3	11.15
Setx	0.0	0.0	22.16	18.26	22.55
Sfrp4	0.0	0.0	2.15	1.86	1.58
Slc35f2	0.0	0.0	4.04	3.91	4.29
Slco6c1	0.0	0.0	0.04	0.04	0.04
Snord16a	0.0	0.0	5.41	8.36	5.2
Spns1	0.0	0.0	47.1	54.44	50.3
Swap70	0.0	0.09	9.3	9.08	8.87
Tas2r137	0.0	0.0	0.1	0.1	0.1
Tbc1d10a	0.0	0.0	28.59	34.21	29.19
Tbccd1	0.0	0.0	11.14	10.65	11.04
Tceanc	0.0	0.0	1.09	1.33	1.36
Tlk2	0.0	0.0	22.9	20.76	22.2
Tm7sf3	0.0	0.0	28.74	34.41	34.58
Tmc2	0.0	0.0	0.49	0.51	0.61
Trmt61a	0.15	0.0	17.07	18.47	18.67
Ttc39d	0.0	0.0	0.05	0.05	0.05
Ube2d3	22.6	0.0	222.43	213.57	202.85
Vax2os2	0.0	0.0	0.07	0.07	0.07
Vmn2r118	0.0	0.0	0.04	0.04	0.09
Xrcc1	0.0	0.0	24.12	26.97	26.19
Zc3h4	0.0	0.0	25.06	27.79	28.3
Zdhhc12	0.0	0.0	8.28	9.12	7.57
Zfp954	0.0	0.0	12.61	13.66	11.57
Zp3r	0.0	0.0	0.05	0.05	0.05
c10_tRNA-Trp-TGG	0.0	0.0	0.0	2.62	0.0
c15_tRNA-Ala-GCA	0.0	15.83	0.0	0.0	0.0
mt_AK131586	4908.34	0.0	25813.35	24091.17	24561.45
mt_AK153847	0.0	2390.64	7244.76	6702.54	7355.06
mt_AK166684	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	0.0	9032.87	8417.95	8583.15
