	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_30	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
Rassf5	0.0	0.0	0.0	125.28	0.0	0.06	0.0	0.0	0.0	0.0	12.13	11.47	5.69
Rbm43	0.0	179.48	0.35	232.91	0.0	0.19	0.0	0.0	0.0	0.06	6.75	17.72	21.01
Rbpjl	0.0	0.0	0.43	0.23	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0
Rgs4	4301.63	4793.66	4051.91	5464.61	3726.59	4839.36	4053.59	2622.49	4166.93	5037.98	551.79	516.4	518.01
Rnf31	0.0	0.0	0.0	7.26	0.0	0.0	43.45	0.0	52.48	0.0	0.35	1.32	6.34
Rnf8	0.0	0.15	0.11	178.08	0.0	7.1	0.0	49.51	0.0	21.66	3.85	6.32	3.1
Rnpep	0.0	0.0	5.85	50.87	0.0	0.0	0.0	0.0	0.0	14.36	7.19	12.43	7.64
Rprd1a	0.35	0.12	0.0	168.21	0.0	0.96	0.62	0.08	0.0	21.6	43.53	30.2	30.26
Rps13	200.11	370.95	190.25	658.78	379.51	277.1	438.56	232.02	356.92	221.59	307.02	388.18	339.11
Scaf8	0.0	5.1	0.0	98.45	0.0	0.72	0.0	0.0	0.19	0.02	10.37	8.61	9.18
Schip1	930.02	1203.87	921.54	2734.7	1532.16	788.86	429.81	909.07	853.3	1156.37	1328.14	1131.01	1355.46
Serpinc1	0.0	0.0	0.0	3.61	0.0	0.0	0.37	0.0	0.0	2.22	1.11	1.12	0.16
Sf3a2	0.0	0.0	14.16	44.23	0.0	0.0	2.16	0.0	0.0	0.0	1.63	0.0	1.05
Sh3gl2	600.34	300.81	320.89	771.91	25.2	377.31	2.77	178.61	36.68	448.44	274.48	417.49	414.06
Sirt7	0.0	0.0	0.0	248.13	0.0	0.0	0.23	0.0	100.2	0.07	7.76	8.13	11.28
Slc1a1	0.22	144.04	0.24	293.03	0.03	151.71	0.0	0.0	0.0	0.06	51.09	60.6	61.74
Slc39a9	0.23	0.2	0.08	15.58	0.0	0.26	0.33	0.0	0.0	0.95	13.4	13.33	12.6
Slc5a3	32.77	46.03	0.02	57.06	0.0	0.05	0.03	0.03	0.0	18.38	19.55	9.47	10.49
Smarcc2	38.37	33.11	27.24	51.7	0.83	14.19	0.0	0.0	0.0	22.64	8.97	13.05	9.74
Smc3	0.0	10.41	17.99	76.43	0.0	84.4	29.82	0.07	80.72	2.04	22.6	20.31	20.07
Snap25	26182.83	24880.43	23752.44	13306.19	25194.29	24000.2	24648.02	18757.51	25542.47	22725.47	20846.74	19146.26	18964.09
Snhg6	0.0	0.0	100.3	133.95	161.29	66.88	256.17	0.0	0.0	65.48	55.16	58.8	59.57
Snord42b	0.0	0.0	0.0	29.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snx15	0.0	0.0	0.0	35.98	181.02	0.12	0.0	0.0	0.0	0.0	22.26	22.94	11.45
Sp3	21.79	1.06	1.16	131.09	0.13	1.14	0.1	28.25	0.0	0.32	17.62	11.49	16.45
Styxl1	0.81	0.07	0.14	0.78	0.28	0.21	0.0	0.0	0.0	0.71	0.18	0.48	0.21
Sult4a1	83.21	4.61	143.08	863.47	1.61	219.14	351.78	306.99	258.9	381.77	182.75	269.03	262.99
Sun2	0.0	0.49	4.25	2.54	0.0	6.81	1.27	0.0	0.0	2.17	0.08	0.0	0.09
Tmod2	36.62	51.73	22.9	160.53	0.59	1.13	42.22	43.95	3.87	42.69	31.05	31.5	32.8
Traf6	0.0	0.22	0.12	4.1	0.2	0.07	0.31	0.0	0.17	0.04	0.6	1.49	1.38
Ttyh1	5.24	100.63	75.53	139.4	1.95	38.57	241.07	8.75	2.25	63.74	18.8	18.18	21.32
Twistnb	0.0	0.0	0.0	190.73	0.0	0.0	0.0	0.0	0.0	0.61	9.79	3.86	4.05
U90926	0.0	0.59	0.0	1.47	0.0	0.0	2.21	0.0	0.0	0.68	0.0	0.0	0.0
Ubr3	0.0	110.66	2.66	120.58	31.23	39.96	40.81	6.65	0.12	1.08	19.87	16.34	13.85
Usf2	0.0	0.1	0.38	26.38	0.3	5.04	40.52	0.14	1.26	0.65	2.52	3.54	3.02
Vill	0.0	0.0	0.0	265.66	0.0	0.0	0.0	0.0	0.0	32.95	1.84	0.24	2.38
Vmac	0.0	0.0	0.0	225.09	0.0	0.0	0.0	0.0	0.0	0.0	1.66	3.14	0.53
Wbp1	0.0	0.0	0.0	58.49	0.0	0.0	0.0	0.28	0.0	20.79	2.02	3.49	5.87
Wwc1	0.0	0.0	0.0	0.14	0.0	0.0	0.0	79.25	0.0	0.0	2.24	1.24	1.88
Zbtb40	0.0	0.0	0.0	67.95	0.0	0.0	0.43	0.0	0.0	0.0	0.08	0.85	0.43
Zdhhc17	68.35	3.07	78.77	178.68	107.18	71.41	129.81	35.86	141.12	0.07	28.16	30.01	21.5
Zfp750	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zfp830	1.48	147.56	31.31	61.91	0.32	1.58	1.11	0.0	0.12	0.84	7.45	14.14	11.81
Zmym6	130.95	0.05	2.72	77.91	0.0	2.58	0.47	0.0	80.34	64.97	14.76	16.78	7.77
c12_tRNA-Ala-GCY_	0.0	28.18	62.94	48.11	0.0	0.0	50.36	0.0	0.0	0.0	0.0	0.0	0.0
c5_tRNA-Ala-GCG	0.0	0.0	0.0	19.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
