	Calb2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_2	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_90	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_102	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_115	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_50	Ndnf_tdTpositive_cell_9	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_13	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTnegative_cell_1	Ntsr1_tdTnegative_cell_9	Ntsr1_tdTnegative_cell_40	Rbp4_tdTpositive_cell_109	Rbp4_tdTpositive_cell_140	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_12	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_25	Slc17a6_tdTpositive_cell_27	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Slc17a6_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_46
Enc1	3351.93	1241.01	3711.69	3224.31	4617.29	2939.69	2711.71	3721.89	4964.77	3580.33	3506.04	4371.04	5244.75	4858.01	4969.83	5086.85	5961.43	0.0	4272.89	3934.88	1295.71	0.0	0.23	4241.61	1567.58	3158.03	3477.82	4486.48	3450.98	3319.6	3814.51	0.88	775.05	4102.95	3679.52	0.0	0.0	3827.54	4537.38	5364.46	3028.56	5158.5	3679.63	3656.83	4744.08	3634.29	3919.74	3922.04	3946.3	6135.31	4563.79	3766.5
Grin1	27.51	0.0	9.09	22.57	7.58	50.76	3.34	4.27	2.58	40.21	27.65	61.8	14.0	46.82	1.2	30.19	7.45	0.0	9.27	3.35	0.0	0.0	0.0	1.88	13.69	4.32	3.07	2.24	2.45	40.31	41.26	0.0	0.0	25.93	46.02	0.0	0.0	10.5	0.19	21.97	11.78	6.91	11.82	27.14	6.13	2.36	26.92	16.22	2.04	11.92	24.74	3.28
Ids	0.3	0.1	0.54	1.0	0.44	21.68	1.38	6.55	11.93	14.91	27.13	6.18	24.3	54.88	5.46	103.54	2.68	0.09	5.89	10.7	0.18	0.2	0.0	39.07	30.69	2.95	45.47	0.73	57.51	1.45	17.09	0.07	1.15	0.74	63.49	0.1	0.0	10.94	44.33	1.17	1.27	21.46	1.25	19.31	4.91	49.26	32.8	0.48	39.84	37.49	1.55	10.97
Mapk8ip3	7.87	0.0	6.96	12.83	79.18	87.7	8.7	116.66	13.45	52.35	47.24	63.54	25.4	61.66	48.18	45.02	10.46	0.0	10.82	1.26	0.0	0.0	0.07	85.43	79.6	4.33	13.57	6.01	21.1	56.47	51.07	0.13	0.0	9.07	23.93	0.0	0.0	21.06	22.96	66.89	57.92	18.53	1.95	5.2	1.86	31.86	10.05	15.37	24.18	0.0	42.74	42.35
Mgea5	69.17	0.0	39.55	182.5	25.47	99.47	10.14	36.74	47.78	60.5	5.9	7.62	106.33	27.74	64.8	70.05	31.58	0.1	90.45	107.25	0.0	18.68	0.0	16.91	122.49	39.21	51.46	0.0	215.01	56.58	164.51	0.0	0.0	146.04	144.87	0.0	0.0	86.83	96.86	13.34	55.78	53.24	3.66	121.88	71.72	24.86	85.94	19.0	56.95	109.59	65.97	49.68
Mpped1	99.19	0.0	80.87	0.0	62.59	99.64	4.16	8.27	4.37	36.85	95.81	102.6	62.42	151.26	5.01	68.71	57.73	0.0	80.64	0.24	0.0	0.0	0.0	0.0	38.35	0.0	50.1	1.11	77.76	15.18	240.97	0.0	0.0	172.26	3.44	0.0	0.0	48.37	9.9	147.73	51.79	63.52	3.78	0.57	3.51	111.53	7.65	7.99	3.41	64.8	3.37	72.21
Mrpl41	3.29	351.85	75.36	69.79	0.18	108.39	41.57	69.24	184.91	144.19	74.29	167.48	64.8	98.56	96.0	209.4	53.67	0.0	39.84	72.1	0.0	0.0	0.0	45.13	137.37	141.76	63.1	80.07	26.67	79.13	68.02	0.15	0.0	57.77	0.17	0.0	0.52	156.37	106.56	166.44	140.15	74.87	66.98	125.82	4.25	61.09	174.8	72.42	76.48	80.08	50.2	68.88
Nop58	0.0	0.0	90.42	4.02	39.07	150.07	5.4	0.0	84.65	58.77	227.22	297.73	34.94	73.37	4.23	47.5	143.38	0.0	91.6	105.15	0.0	0.0	0.19	146.68	106.0	165.78	73.38	5.53	0.11	97.76	9.23	0.18	0.0	81.57	1.49	0.0	0.0	396.62	191.05	65.53	4.54	80.91	313.79	253.23	80.73	203.99	108.25	0.0	74.38	100.14	0.0	74.81
Pcdhgc5	28.79	0.0	116.29	28.61	20.15	28.96	0.66	91.46	72.15	148.05	157.99	147.5	97.9	113.76	83.21	25.3	0.0	0.0	71.75	16.76	0.0	0.0	0.0	8.78	71.96	50.11	107.4	118.11	23.28	11.41	1.64	0.0	0.0	96.43	82.55	0.0	0.0	129.62	48.13	54.99	59.8	58.32	27.9	34.04	14.41	137.81	15.68	29.2	126.1	1.2	87.19	71.06
Pip4k2c	31.49	0.0	2.08	0.16	129.39	22.58	0.0	73.42	29.84	93.63	0.0	23.83	12.5	18.42	27.41	2.62	0.0	0.0	1.53	0.0	0.0	0.0	0.0	48.88	91.4	1.5	4.19	1.7	26.51	0.0	0.0	0.0	0.0	42.68	18.27	0.0	0.0	0.0	39.81	42.02	1.75	29.69	42.33	25.8	0.0	1.68	92.28	0.0	20.72	0.0	40.17	0.0
Ptpn5	300.13	0.0	97.96	33.29	127.72	237.36	193.67	82.83	121.66	244.78	151.7	273.81	111.04	417.68	282.13	95.07	228.39	0.0	85.22	97.02	0.0	0.0	0.0	243.17	166.67	42.98	148.9	174.16	113.33	231.5	196.58	0.12	0.0	222.54	159.27	0.0	0.0	179.95	0.62	139.46	102.35	212.63	151.58	343.05	228.76	101.61	200.31	171.51	171.54	103.15	96.01	119.75
Ptprg	0.53	0.05	0.02	0.0	0.05	31.39	0.0	0.0	2.74	6.42	0.31	4.96	0.02	11.89	0.0	0.24	0.0	0.0	0.23	0.0	0.0	0.0	1.16	0.0	0.45	0.08	1.93	0.15	4.01	17.46	31.42	0.0	0.0	0.82	0.04	0.0	0.0	6.73	0.0	1.33	6.6	0.0	0.57	9.95	0.0	0.14	1.08	0.0	0.44	0.07	30.42	0.0
R3hdm2	8.69	0.0	6.33	7.12	120.21	98.73	8.2	69.8	63.73	53.39	49.27	54.49	59.53	26.36	42.09	24.3	6.48	0.0	59.93	15.32	0.0	0.82	0.0	1.1	78.88	5.74	56.76	108.87	93.43	36.54	29.18	0.17	0.0	92.79	48.93	0.0	0.0	128.06	35.67	91.12	15.04	1.55	3.82	62.21	24.28	28.83	39.34	43.08	0.72	11.9	42.75	12.89
Sh2d4a	3.3	1.93	1.48	0.96	4.5	3.83	1.63	2.99	4.07	1.98	1.17	0.85	2.3	2.11	0.13	1.58	0.78	0.0	2.59	0.84	4.69	0.0	0.13	2.33	5.15	2.26	2.88	3.17	1.44	2.21	3.74	0.24	13.08	0.98	4.26	1.08	1.84	3.6	3.94	3.93	1.89	2.04	3.36	1.88	2.37	0.84	0.73	2.41	2.56	1.43	0.58	1.28
Shank1	17.91	12.76	9.68	16.11	3.58	9.61	11.57	13.95	13.06	23.73	13.24	21.91	9.44	17.92	14.31	9.86	6.6	0.0	5.73	7.12	0.0	0.0	0.0	22.47	20.71	10.54	9.58	17.06	5.89	15.7	11.71	0.0	0.0	12.28	11.99	0.0	0.0	17.92	14.42	19.28	11.56	21.86	3.6	21.57	13.88	16.12	8.61	13.72	10.37	7.56	16.32	10.92
Smarcb1	101.13	0.0	155.86	113.82	220.65	412.73	0.0	248.9	206.25	0.0	135.9	190.12	229.38	162.97	25.54	132.6	46.97	0.0	279.58	117.16	0.0	0.0	0.46	193.33	313.22	254.09	63.74	95.0	103.33	92.28	230.97	0.0	0.0	190.26	167.75	0.0	0.0	280.6	93.26	217.23	300.68	166.8	241.93	433.12	183.31	106.25	303.82	80.51	155.98	114.76	97.76	97.4
Srfbp1	0.0	0.0	59.26	114.9	0.0	82.55	0.0	0.37	99.81	70.2	0.78	80.29	0.3	125.73	0.14	0.0	125.74	0.0	32.47	0.0	0.0	0.0	0.0	0.0	82.92	93.92	0.0	0.0	59.5	0.0	37.08	0.0	0.0	16.26	0.0	0.0	0.0	71.72	5.63	0.0	81.16	0.0	0.0	0.43	0.0	67.52	87.66	0.0	45.26	114.81	0.0	60.22
Ssbp3	5.56	0.0	25.12	16.32	62.59	39.16	1.94	24.08	13.52	56.97	5.19	53.43	84.77	65.03	22.81	0.0	26.48	0.0	38.91	24.47	0.0	0.0	0.0	0.0	31.84	0.0	43.47	26.59	36.96	41.39	26.5	0.11	0.0	80.36	82.86	0.0	0.0	37.95	21.33	11.97	36.12	50.54	31.1	55.59	57.05	89.49	27.82	40.66	84.0	19.91	132.39	1.32
Stxbp5l	22.85	0.04	23.52	57.32	20.69	75.47	3.58	26.29	11.02	22.27	36.19	19.03	8.23	24.41	10.31	11.25	5.74	0.34	0.14	46.84	0.1	0.08	0.0	1.18	47.11	13.61	19.49	5.44	26.15	16.71	0.52	0.11	0.6	20.38	21.12	0.07	0.11	1.22	9.5	44.29	34.15	0.91	20.3	52.89	14.86	12.31	41.23	3.62	31.62	15.05	47.12	45.58
Tspan14	0.0	0.0	0.08	1.06	301.07	0.0	0.0	0.0	4.57	210.22	139.48	307.28	157.25	192.96	32.49	58.09	68.9	0.0	29.22	5.62	0.0	0.22	0.9	0.0	149.45	0.0	0.0	0.0	2.52	0.0	8.67	0.0	0.0	0.0	0.0	0.0	0.0	106.49	82.82	0.0	127.65	98.96	38.99	0.0	5.62	62.57	186.34	0.0	11.37	64.27	0.0	0.24
Vezt	5.16	0.0	0.09	0.47	6.7	74.69	13.88	7.85	2.9	0.0	93.67	59.74	15.67	10.11	38.0	81.83	11.48	0.0	31.95	1.71	0.0	0.0	4.76	117.28	35.88	6.17	4.94	10.75	10.45	2.84	20.26	0.23	0.0	20.22	136.66	0.0	0.0	69.89	97.22	141.3	46.32	2.47	49.15	47.97	8.16	26.93	47.89	2.36	61.43	15.79	40.73	0.0
Zfp955a	27.45	0.0	6.14	0.0	0.0	38.68	0.0	32.44	81.63	0.0	12.63	0.0	24.45	16.68	0.04	0.0	45.85	0.08	0.01	0.0	0.0	1.32	0.0	27.33	50.65	35.75	20.31	155.55	144.45	3.19	8.26	0.0	0.0	0.0	0.48	0.0	0.0	76.97	37.48	70.46	43.36	0.0	54.47	42.95	57.32	2.69	0.0	0.0	19.56	0.0	77.39	0.0
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.51	0.13	0.25	0.12	3.29	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	6.05	0.0	34.55	0.43	0.26	0.21	0.0	0.0	0.0	3.65	7.34	0.0	0.0	130.76	0.23	0.0	3.34	0.1	0.77	0.11	0.0	0.64	0.18	0.04	0.0	0.04	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.51	0.13	0.25	0.12	3.29	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	6.05	0.0	34.55	0.43	0.26	0.21	0.0	0.0	0.0	3.65	7.34	0.0	0.0	130.76	0.23	0.0	3.34	0.1	0.77	0.11	0.0	0.64	0.18	0.04	0.0	0.04	0.0	0.0
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.51	0.13	0.25	0.12	3.29	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	6.05	0.0	34.55	0.43	0.26	0.21	0.0	0.0	0.0	3.65	7.34	0.0	0.0	130.76	0.23	0.0	3.34	0.1	0.77	0.11	0.0	0.64	0.18	0.04	0.0	0.04	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.51	0.13	0.25	0.12	3.29	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	6.05	0.0	34.55	0.43	0.26	0.21	0.0	0.0	0.0	3.65	7.34	0.0	0.0	130.76	0.23	0.0	3.34	0.1	0.77	0.11	0.0	0.64	0.18	0.04	0.0	0.04	0.0	0.0
