	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_5	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96
Ptpn5	105.26	0.0	0.0	0.0	0.0	36.27	59.52	37.46	65.17	27.92	44.1	70.5	53.53	40.95	40.22	62.81	22.71	81.21	55.3	108.9	20.68	146.74	184.6	0.0	0.0	0.0	0.0	23.64	62.36	14.79	84.3	264.14
Rab27b	14.09	0.0	0.0	0.5	0.0	15.99	40.12	22.8	0.0	16.28	7.13	0.07	0.26	0.23	7.34	1.74	33.21	0.02	0.01	13.35	48.89	0.09	234.54	0.86	0.0	0.8	0.02	0.08	17.7	18.41	12.13	200.24
Rab3b	1000.9	0.0	0.0	0.0	0.0	1198.43	934.59	1037.56	1722.37	1423.77	1203.48	1202.87	964.61	1075.94	751.22	824.17	811.02	832.67	952.42	620.57	1481.64	1027.99	1894.16	0.14	0.0	0.0	0.0	1480.86	1039.21	1576.88	1235.12	603.0
Rgs17	73.8	0.0	0.0	0.0	0.0	44.57	73.81	41.43	50.23	52.18	40.35	45.4	54.5	43.91	27.16	55.1	152.31	19.88	29.19	11.25	68.88	47.84	172.88	0.0	0.0	0.07	0.0	81.1	54.44	24.46	45.29	100.07
Sec61a1	71.69	0.33	0.0	2.11	0.0	159.78	19.73	40.56	123.9	156.72	123.78	117.12	39.09	27.44	75.42	79.34	149.78	31.98	248.01	212.5	96.22	165.28	249.9	0.3	0.0	0.0	0.0	66.79	82.64	53.99	61.14	331.82
Sgta	202.09	0.0	0.0	0.0	0.0	111.54	3.31	78.49	176.79	104.36	185.08	308.67	38.13	104.34	170.79	31.09	65.76	188.04	49.53	149.13	124.04	159.7	492.86	0.48	0.0	0.0	0.0	107.03	91.03	247.03	99.95	360.68
Srgap3	37.3	0.0	0.07	0.17	0.0	26.13	29.06	10.21	24.89	26.64	26.42	14.31	25.83	18.29	14.44	22.65	0.34	10.21	8.93	2.59	47.72	23.52	40.51	0.26	0.4	0.27	2.23	22.13	38.57	22.98	5.87	61.82
St8sia3	62.07	0.09	0.12	0.15	0.0	25.54	50.09	48.14	71.76	66.19	69.33	70.87	24.03	18.05	15.26	50.05	46.35	63.29	81.4	24.26	47.94	48.52	181.25	0.62	0.33	0.76	0.0	50.2	26.13	80.7	28.46	175.12
Stxbp6	41.58	1.9	0.07	1.17	0.0	11.95	14.17	0.74	89.6	35.18	24.07	40.31	115.52	19.31	74.5	47.94	25.69	0.83	3.05	51.69	24.91	33.75	207.11	4.65	0.0	0.0	2.37	38.96	15.42	29.88	2.55	99.8
Syt13	32.11	0.0	0.0	0.12	0.0	6.86	49.23	40.21	19.36	33.0	33.75	25.61	31.85	23.72	0.23	162.12	14.3	3.64	0.0	2.4	1.02	85.67	41.84	0.0	0.0	0.0	0.0	29.1	36.91	43.05	40.01	152.35
Zfp955b	0.0	0.0	0.0	0.0	0.0	1.9	0.09	0.04	29.44	48.09	17.58	14.85	30.55	0.0	0.0	33.64	13.12	3.11	56.09	13.42	0.42	0.0	97.08	0.0	0.0	0.0	0.0	20.82	0.0	39.33	5.74	155.0
