	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_22	Calb2_tdTpositive_cell_25	Chat_tdTpositive_cell_2	Chat_tdTpositive_cell_5	Chrna2_tdTpositive_cell_61	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_37	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_60	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Bcl2l15	0.09	0.46	0.0	0.0	0.0	0.1	0.0	0.18	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.72	0.0	0.6	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	1.17	0.2	0.31	0.79
Btc	0.29	0.23	0.21	0.33	0.17	0.35	0.0	0.69	0.22	0.23	0.41	0.13	1.26	0.23	0.55	1.13	1.52	0.52	0.6	0.7	0.31	0.0	0.7	0.11	0.0	0.4	0.69	0.3	0.18	0.2	0.75	0.14	2.63	1.24	1.37	1.42
C130074G19Rik	0.11	0.1	0.0	0.17	0.0	0.0	0.0	0.36	0.0	0.13	0.0	0.0	0.0	0.11	0.1	0.0	0.0	0.06	0.14	0.27	0.0	0.0	0.0	0.11	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.62	49.03	50.81	49.79
Cdkl2	54.67	8.75	6.89	73.74	0.0	54.05	0.0	0.09	11.89	0.0	2.17	3.35	66.2	32.97	27.6	0.08	8.6	4.31	0.0	59.2	0.0	3.13	0.0	2.2	0.0	16.21	0.0	0.0	15.58	24.66	0.0	0.0	110.92	29.92	27.86	26.47
Chuk	17.05	0.52	0.0	5.73	0.0	10.44	0.0	0.0	0.0	1.11	29.78	35.91	0.0	67.79	3.44	0.0	62.73	20.8	152.23	0.0	0.92	24.37	0.0	20.87	153.72	0.0	0.0	47.81	0.0	0.0	0.15	4.07	174.78	32.04	28.94	31.5
Cnot1	0.04	35.67	0.15	4.33	33.0	0.07	0.0	0.0	22.59	28.84	0.29	7.23	0.05	1.84	18.3	0.04	57.01	50.82	118.85	0.0	20.89	0.04	13.18	14.24	11.69	12.58	47.37	1.07	0.0	0.0	4.91	7.9	199.09	45.11	42.17	44.78
Cnr1	878.95	10009.06	712.02	788.29	631.53	14271.7	155.35	14712.45	18446.25	9089.03	33283.94	19184.04	6610.37	19801.43	16437.47	6746.03	423.07	19681.78	7913.61	2642.59	17646.7	12520.63	22064.64	33041.05	0.0	1258.97	12766.46	14288.55	794.82	25768.68	16287.97	23267.78	1764.01	80.79	75.85	84.42
Copg2	163.07	0.0	0.0	67.34	0.0	5.27	0.0	0.0	0.0	0.0	5.58	0.0	122.34	0.0	0.3	4.95	221.55	0.0	0.0	0.0	0.0	0.0	31.01	153.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	434.89	67.62	63.7	64.81
Cstf2	0.0	0.0	0.0	5.46	93.68	37.38	0.0	0.0	20.37	1.18	26.61	3.91	0.47	0.0	73.32	0.07	33.13	7.06	0.0	165.01	21.77	58.94	2.92	19.16	0.0	0.0	2.26	0.0	0.0	50.03	0.0	0.0	329.55	76.47	73.56	73.98
Ctdspl2	2.2	2.65	80.1	16.11	4.48	0.0	0.0	0.0	0.0	66.56	36.03	36.04	165.39	6.92	3.87	2.37	5.71	1.44	126.86	21.17	7.45	0.07	14.42	22.78	0.0	60.71	20.03	1.73	0.0	69.65	0.0	43.55	269.93	17.42	15.17	15.62
D1Ertd622e	0.0	13.49	0.0	57.16	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.12	0.0	0.0	0.16	225.96	0.0	0.0	0.0	0.0	21.84	0.0	0.0	0.0	13.49	0.0	0.0	0.0	0.0	633.4	59.85	58.61	55.96
D730040F13Rik	0.67	0.95	0.81	0.44	0.66	2.81	0.05	0.43	0.75	1.23	0.47	0.99	0.98	2.96	0.61	1.05	1.51	0.92	1.34	14.86	0.2	0.11	0.56	0.43	0.0	1.29	1.07	0.39	0.29	0.58	0.83	5.95	1.93	22.62	16.53	21.26
Dgkz	0.05	0.11	0.0	0.0	0.0	41.6	0.0	30.93	0.0	0.0	4.55	52.42	0.0	0.0	33.18	0.0	216.62	0.13	0.0	33.68	0.0	0.0	23.19	0.0	0.0	0.0	0.0	17.59	0.0	0.0	75.24	25.9	182.87	347.99	334.7	361.93
Dnm1	8.22	11.48	0.16	0.0	0.0	42.58	0.0	61.89	17.64	0.0	44.04	7.42	0.0	89.58	21.45	2.21	6.62	22.34	4.12	11.52	0.21	17.83	29.5	76.62	0.0	23.07	17.72	0.28	0.0	1.79	1.64	0.31	157.09	785.48	840.55	821.55
Dnmt1	21.41	17.54	0.23	0.09	0.0	28.34	0.0	12.11	16.14	16.11	13.68	29.05	6.91	0.0	0.0	0.0	1.5	0.0	156.03	0.0	0.0	0.0	0.4	23.35	0.0	1.3	0.12	0.0	0.0	0.0	66.93	0.0	214.0	29.29	31.37	29.43
E330016A19Rik	0.08	0.0	0.0	0.13	0.13	0.06	0.0	0.0	0.1	0.25	1.36	0.25	0.51	0.0	0.12	0.08	0.12	0.0	0.52	0.44	2.47	0.25	0.17	0.3	0.0	0.08	0.0	0.55	0.0	0.12	0.39	0.75	2.38	1.5	0.99	1.32
Ecm2	0.2	0.82	0.22	0.63	0.21	0.5	0.0	1.02	0.15	1.01	0.08	0.81	1.11	0.24	0.75	0.84	0.22	0.37	1.52	0.23	0.81	0.57	0.03	0.22	0.0	1.35	0.0	0.15	0.0	0.0	1.04	0.36	2.15	4.56	4.02	5.06
Ednra	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.1	0.0	0.27	0.18	0.09	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.22	0.37	2.85	3.15	3.32
Epas1	0.2	0.56	1.4	0.38	0.13	0.79	0.13	0.1	0.0	0.24	0.24	0.27	1.43	0.23	0.1	0.87	0.16	0.33	0.32	2.69	0.66	0.31	0.19	0.12	84.72	0.63	0.29	0.13	0.0	0.33	0.29	1.53	1.45	56.18	55.43	68.04
Erlec1	0.0	5.51	0.17	0.0	0.0	5.49	0.0	0.0	1.61	89.54	19.49	16.6	0.0	68.77	111.33	0.0	127.18	0.0	14.54	146.04	0.0	66.24	1.11	6.89	0.0	47.86	0.0	25.43	0.0	70.42	0.0	0.34	184.98	36.05	31.92	32.02
Fam169a	28.22	65.5	48.19	13.73	6.65	43.33	0.0	44.66	27.92	42.23	56.44	54.97	45.45	165.63	63.86	56.26	160.26	93.75	0.17	26.14	117.89	24.58	74.91	21.16	0.0	93.96	0.0	27.49	0.0	21.59	0.0	76.32	266.45	41.99	39.12	40.21
Fmo5	0.34	0.12	0.0	0.29	0.0	0.07	0.0	0.0	0.0	0.44	0.05	0.12	0.0	0.09	0.08	0.0	0.11	0.09	0.11	0.43	0.3	0.0	0.07	0.0	0.0	0.39	0.36	0.39	0.0	0.0	0.0	0.29	1.57	2.03	1.62	2.54
Gatsl2	0.04	0.34	0.0	0.2	2.93	0.97	0.0	0.0	0.0	5.14	0.62	0.0	0.0	0.0	1.05	0.0	8.59	1.93	62.02	2.52	0.0	0.0	0.65	1.28	0.0	0.07	0.0	0.0	0.0	4.88	0.0	66.38	11.59	48.97	45.54	51.81
Gm10635	0.2	0.24	0.18	0.15	0.0	0.3	0.0	0.07	0.5	0.14	0.19	0.3	0.75	0.0	0.28	0.4	0.45	0.03	0.23	1.0	0.16	0.08	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.1	0.67	2.45	1.99	1.65
Gm14634	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.41	0.0	0.0	0.0	0.0	43.87	0.0	0.0	0.0	145.23	0.0	0.0	0.0	0.0	0.0	22.72	0.01	0.0	0.0	0.0	0.0	105.19	1.2	0.62	2.25
Gm17801	0.15	0.49	0.44	0.0	0.0	0.27	0.0	0.0	0.53	0.0	0.14	0.15	0.0	0.0	0.0	0.48	0.0	0.0	2.62	0.4	0.41	0.0	0.0	0.0	0.0	0.18	0.45	0.0	0.0	0.0	0.0	0.0	3.48	0.54	0.54	0.35
Gmip	0.03	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	5.89	6.85	6.26
Grin1	5.36	0.23	0.75	11.22	74.56	30.6	0.0	86.67	12.27	0.13	13.55	2.94	1.29	1.16	0.78	17.88	5.21	89.34	0.13	66.81	2.17	3.43	5.95	5.91	0.0	0.73	9.69	4.75	0.23	13.05	9.69	84.1	121.67	389.58	403.6	404.44
Idua	0.0	0.05	0.19	0.0	0.0	0.0	159.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	89.54	0.0	0.0	0.0	0.0	40.26	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	369.96	14.32	14.89	16.0
Il21r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.09	0.14	0.19	0.25	0.0	0.0	0.0	0.0	1.45	1.82	0.36	0.0	0.0	0.18	0.4	0.0	0.44	0.0	0.51	0.0	0.0	0.0	0.17	3.48	1.58	1.55	1.59
Ip6k1	4.17	22.29	34.28	18.47	0.0	110.42	0.0	15.03	30.78	0.1	66.31	0.0	236.22	10.36	19.86	0.0	7.66	0.69	355.15	112.98	220.56	28.01	60.72	42.32	0.0	154.23	0.14	113.5	0.0	41.9	0.0	85.14	333.4	145.75	151.74	145.31
Irak1bp1	5.14	4.49	5.04	0.0	2.88	5.82	0.0	73.76	26.76	3.82	18.42	23.89	20.74	4.39	2.96	12.19	16.19	0.0	0.0	72.25	0.15	26.45	9.52	0.89	0.0	12.62	0.0	0.44	0.0	12.13	4.32	8.98	101.67	24.24	24.16	24.23
Jagn1	0.0	115.34	0.0	0.84	0.0	41.81	0.0	1.76	139.07	137.09	38.52	153.76	333.49	107.42	109.78	0.0	91.98	0.0	0.39	455.76	0.0	100.28	148.57	118.31	0.0	0.0	1.18	0.0	0.0	131.98	0.0	0.0	388.48	42.56	39.13	34.79
Jph1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.23	1.07	0.46	0.0	0.0	0.72	0.0	5.06	0.0	0.0	0.0	0.0	0.0	1.12	0.07	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	4.8	14.53	14.58	14.41
Kcns1	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.28	14.64	18.65	18.42
Kdm5c	10.71	0.0	14.55	0.0	0.0	1.86	0.0	5.59	12.72	2.25	5.73	11.88	0.0	11.17	5.59	17.75	26.08	0.0	46.75	34.78	0.0	1.29	12.89	10.29	0.0	12.04	0.0	0.0	0.0	6.29	0.08	11.83	40.22	34.89	26.41	27.1
Klhdc3	6.22	109.66	0.0	0.0	0.0	78.4	0.0	331.87	51.11	59.26	0.0	137.23	33.1	0.0	0.0	0.48	0.0	0.23	0.0	220.37	100.62	46.4	57.05	43.78	0.0	0.0	7.29	0.27	0.0	53.98	89.48	365.32	436.87	192.51	209.92	188.5
Klhl31	0.0	0.08	0.1	0.04	0.0	0.09	0.0	0.07	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.07	0.31	0.37	0.06	0.05	0.0	0.09	0.06	0.0	0.09	0.0	0.11	0.0	0.11	0.0	0.01	1.36	0.03	0.01	0.03
Lrrn4	0.0	0.0	0.17	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.13	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.33	0.57	0.4	0.64
Man2b1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	99.95	22.75	0.0	35.24	0.0	0.0	0.23	0.0	1.14	0.0	66.72	0.09	0.0	0.0	25.18	70.28	51.39	0.0	31.17	0.0	0.0	0.0	4.69	0.0	114.23	278.5	29.77	30.56	29.98
Mgat3	0.07	0.0	0.0	0.0	0.22	1.63	0.0	0.0	1.28	8.53	4.07	34.5	0.0	0.0	36.4	0.0	0.0	125.09	161.9	0.0	0.0	0.13	14.88	39.97	0.0	59.79	0.0	0.06	0.0	88.73	0.0	0.0	282.9	99.56	101.36	101.11
Mir1954	0.0	0.0	21.95	0.0	0.0	6.74	0.0	13.53	0.0	45.99	0.0	0.0	0.0	0.0	0.0	0.0	33.97	0.0	0.0	31.92	0.0	0.0	0.0	11.8	0.0	0.0	0.0	0.0	0.0	16.25	0.0	14.03	52.3	29.23	11.45	26.43
Mirg	5.32	4.53	0.0	0.0	2.03	0.0	0.0	35.53	0.0	0.0	0.19	0.0	0.82	0.39	0.0	75.3	1.47	0.0	7.16	161.4	11.24	0.0	4.48	0.0	0.0	3.27	0.0	5.41	0.0	23.77	0.0	0.0	123.66	25.79	26.16	28.9
Mtap1a	20.45	13.37	0.0	0.0	31.45	51.07	0.15	9.54	8.58	0.26	10.33	26.29	0.1	1.28	16.92	0.8	2.67	27.9	36.17	21.45	0.02	1.62	34.81	26.15	0.0	59.45	0.2	30.72	0.0	2.39	0.13	18.57	40.07	314.16	309.4	342.35
Mtx2	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.31	0.0	5.81	0.0	0.0	0.0	0.0	71.8	172.56	0.0	0.0	0.0	0.0	66.6	0.0	0.0	0.0	0.0	87.97	43.25	0.0	0.0	0.0	0.0	213.47	54.29	54.22	52.58
Nfat5	0.09	0.45	0.62	0.18	0.42	15.38	0.03	0.19	9.48	0.11	13.41	1.84	0.45	16.14	0.11	11.27	0.24	8.13	1.54	28.08	22.4	0.83	11.91	8.19	0.0	0.78	0.43	28.7	0.0	1.44	0.05	0.21	26.7	31.7	27.59	34.05
Opa1	71.92	40.06	121.65	0.0	0.0	23.89	0.0	44.3	0.19	1.86	8.05	14.15	0.0	0.0	86.65	0.0	0.0	0.0	0.0	49.28	0.0	0.3	50.85	0.0	139.82	215.91	0.0	115.21	0.0	74.9	98.74	26.61	336.27	91.34	81.74	84.07
Pgpep1	0.07	0.0	0.0	0.0	0.0	0.08	170.91	0.0	17.06	0.0	11.27	36.92	0.0	0.0	0.0	0.0	76.85	0.0	30.92	0.09	0.0	21.97	0.0	0.0	0.0	59.11	95.32	22.29	0.0	0.0	0.0	0.0	191.79	5.75	5.95	5.56
Pkp4	0.69	0.0	4.56	46.49	0.0	14.11	0.0	35.35	27.93	0.1	62.36	74.94	0.22	0.22	0.0	0.0	37.69	42.16	99.54	3.8	3.21	0.0	6.57	52.78	0.0	59.79	0.0	0.0	0.0	53.43	0.0	46.46	220.77	116.43	120.28	126.26
Pmaip1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.15	0.29	2.73	2.17	2.28
Ppp3r1	2.99	47.58	18.86	8.24	108.72	75.51	10.81	30.52	4.26	135.68	75.48	8.4	0.0	31.51	6.86	146.03	313.26	51.67	186.14	238.58	60.74	93.89	57.0	39.97	0.0	365.84	175.26	6.71	3.17	64.45	3.68	102.86	453.11	920.94	893.77	828.14
Ptgfr	0.13	0.59	0.31	0.0	0.88	0.17	0.0	0.31	0.09	0.0	0.17	0.19	0.4	0.46	0.48	0.17	0.18	0.37	0.39	0.83	0.07	0.08	0.0	0.23	0.0	0.4	0.14	0.0	0.0	0.0	0.0	0.0	1.05	0.78	0.95	1.17
Pvrl4	0.05	0.0	0.0	0.0	0.0	0.08	0.0	0.11	0.12	0.0	0.0	3.95	0.0	0.0	74.42	0.09	100.16	0.0	0.0	0.22	0.06	0.0	0.0	34.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.34	173.97	2.71	3.45	3.13
Sat2	0.0	132.67	0.0	98.2	46.46	24.0	0.0	0.0	38.07	0.0	16.64	153.31	0.0	37.7	0.0	0.0	170.74	0.0	0.0	256.09	0.0	2.16	51.08	23.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.35	234.85	11.86	12.58	11.65
Setd2	0.0	1.47	0.0	0.0	28.62	0.02	0.0	19.87	5.97	0.0	20.11	22.1	0.0	12.87	21.22	0.0	84.52	40.37	121.99	30.73	29.55	2.25	1.09	23.39	0.0	0.0	25.35	68.41	0.0	0.8	0.0	0.05	290.75	28.44	23.75	28.97
Slc25a23	0.46	1.87	0.0	3.49	5.78	51.13	1.21	0.55	1.9	7.16	39.25	32.37	0.0	2.94	56.42	1.94	71.11	14.97	0.0	87.05	0.0	30.28	23.69	29.97	0.0	28.58	0.0	2.32	0.0	13.98	3.24	1.29	142.05	290.22	282.16	298.37
Slc30a9	0.05	77.48	0.0	0.0	8.4	4.61	0.0	0.11	75.86	6.05	30.14	70.8	51.38	0.29	40.67	0.0	58.35	34.61	201.94	0.0	92.75	28.25	41.92	55.01	0.0	0.3	0.0	0.08	0.0	0.0	112.08	0.69	211.21	113.22	114.28	108.85
Slc7a2	0.02	0.42	0.86	0.75	0.83	0.17	0.0	0.64	0.0	0.64	0.2	0.26	0.19	0.46	0.82	0.58	0.76	0.47	0.48	1.12	1.7	0.11	0.55	0.0	0.0	0.69	0.11	0.53	0.05	0.06	0.32	0.4	3.6	13.05	12.6	13.08
Smyd4	0.48	2.28	4.92	1.5	5.14	2.81	0.0	1.13	2.47	0.98	0.43	1.33	4.69	1.08	95.71	5.12	3.05	1.32	2.38	82.62	11.79	0.81	1.0	1.1	0.0	4.62	1.17	13.92	0.0	1.1	12.38	0.71	139.86	9.91	9.46	8.02
Srebf2	0.0	0.0	0.0	7.32	0.0	0.0	0.0	25.23	0.0	0.0	0.0	0.94	7.55	0.0	1.31	0.0	0.0	0.0	0.0	0.0	0.0	3.61	2.93	16.69	0.0	0.0	0.0	1.66	0.32	2.75	0.0	20.07	32.63	117.15	120.52	122.1
Srsf4	0.0	36.35	0.0	0.0	0.26	0.0	0.0	0.0	15.63	0.0	13.26	0.0	0.0	0.0	0.0	0.14	0.0	0.46	33.0	20.84	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	108.72	65.11	68.74	66.78
Syngr1	88.02	129.1	30.51	100.17	43.69	70.2	0.0	135.43	72.63	95.18	118.72	78.25	80.79	24.27	6.9	160.93	183.31	138.66	178.36	190.8	34.62	36.63	74.59	28.64	0.0	115.23	53.99	96.1	4.33	10.64	7.53	159.93	280.97	373.26	376.32	379.56
Synpo2l	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.03	0.0	0.0	0.0	0.0	0.07	0.0	0.13	0.0	0.0	0.26	0.0	0.0	0.0	0.05	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.18	0.28	0.3	0.18	0.36
Tbc1d24	4.26	7.45	40.94	6.14	3.55	6.21	0.8	3.83	7.36	59.71	7.72	41.58	14.38	22.22	90.53	12.11	77.74	5.59	7.22	71.16	36.94	3.17	18.17	12.48	0.0	5.71	10.91	8.18	0.91	62.16	4.66	5.96	64.69	49.86	48.16	50.67
Tgm3	1.56	1.89	0.15	2.26	0.23	1.72	0.0	1.2	0.83	0.81	0.38	0.99	1.04	0.98	2.36	1.26	2.81	0.64	1.99	2.75	1.54	0.97	0.81	0.5	0.0	0.97	0.3	1.06	0.0	0.4	0.63	1.91	2.1	3.24	2.81	3.68
Tmem173	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.16	0.0	0.0	0.0	0.0	0.23	0.22	0.13	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.68	0.0	0.0	0.0	0.0	1.36	3.89	3.89	4.04
Tmem201	0.0	0.0	178.86	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	8.47	0.0	99.72	0.12	0.0	112.25	0.05	2.01	4.28	8.19	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	264.34	55.13	57.86	56.99
Tmem44	0.04	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	51.46	50.41	52.58
Tnfsf15	0.05	0.08	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.07	0.04	0.06	0.0	0.08	0.0	0.12	0.07	0.1	0.14	0.15	0.01	0.0	0.09	0.07	0.0	0.06	0.0	0.07	0.0	0.13	0.0	0.21	0.31	0.04	0.06	0.0
Tnik	0.07	29.59	0.0	0.0	2.09	54.97	0.0	22.58	23.04	0.0	0.07	108.24	0.11	14.45	0.0	0.04	8.81	54.35	101.51	2.93	0.0	42.01	32.98	15.3	0.0	54.98	0.0	45.26	0.0	1.03	128.14	0.0	112.95	80.77	74.37	85.69
Trank1	17.99	10.72	0.34	11.41	7.02	18.66	0.0	0.07	18.18	1.33	0.78	17.84	81.77	0.83	14.37	22.15	13.72	0.22	1.7	103.29	10.33	8.25	0.03	12.17	0.0	28.87	15.62	0.22	0.0	0.09	0.0	0.06	161.93	140.49	127.25	159.33
Treml2	0.13	0.0	0.23	0.1	0.11	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.22	0.0	0.07	0.0	0.1	0.0	0.34	0.53	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.35	0.38	0.4
Vps37a	0.44	0.0	0.21	0.22	13.84	39.62	0.0	0.0	0.0	0.09	11.58	14.0	3.36	7.01	4.57	0.35	8.51	0.57	164.48	49.97	5.7	34.13	17.56	16.58	0.0	0.53	110.93	0.08	0.0	0.24	0.21	65.87	289.95	28.69	23.86	27.71
Zfp598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	87.4	29.85	31.91	30.48
