	Chrna2_tdTpositive_cell_62	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_89	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Hectd3	0.0	0.0	0.0	0.0	23.39	0.0	0.0	0.0	23.04	33.25	6.66	25.04	10.93	10.97	1.06	0.0	0.0	0.0	42.68	0.0	25.74	0.0	34.96	0.0	0.09	0.0	35.01	33.61	33.43
Igsf8	28.98	0.57	0.42	4.89	10.89	0.0	1.16	11.23	10.27	9.63	15.73	12.3	0.59	48.61	0.0	2.44	5.65	5.1	86.74	27.83	13.38	16.85	19.87	0.0	5.01	67.22	177.56	211.72	181.99
Kcnab2	125.93	56.32	34.78	45.03	96.91	0.0	41.6	28.22	23.84	39.01	59.43	114.13	2.83	41.09	57.17	35.16	36.58	65.92	72.34	47.5	126.13	79.62	98.54	2.63	30.04	30.33	267.74	284.22	279.19
Kcnt1	0.12	1.91	28.52	0.0	0.0	0.0	0.0	0.11	0.58	0.7	0.42	9.17	0.23	10.97	0.0	0.28	0.0	56.98	19.63	1.14	51.63	0.59	34.38	0.0	1.85	0.0	77.78	78.9	85.59
Klhl23	0.14	0.0	0.0	12.04	0.0	0.0	0.32	0.0	0.0	0.0	15.31	0.0	0.0	15.27	0.0	0.0	0.0	1.01	38.63	0.0	0.13	0.0	39.57	0.0	0.0	0.0	48.34	48.8	47.82
March4	0.33	0.18	0.93	0.16	0.07	0.0	0.0	0.38	0.1	0.0	9.32	0.31	0.0	1.81	0.0	0.0	0.12	0.39	0.59	0.4	0.13	0.17	6.71	0.0	0.13	0.39	14.39	14.5	14.89
Nipal2	0.0	1.65	4.57	0.0	0.0	0.0	0.0	17.53	0.0	0.0	2.06	11.05	0.0	27.5	0.0	0.0	0.0	1.52	54.95	1.57	0.19	0.67	38.62	0.0	0.0	0.17	4.66	4.86	5.02
Nr6a1	23.23	0.0	0.0	0.0	0.0	0.0	15.82	0.28	0.0	0.0	0.0	4.23	0.0	0.0	0.0	0.0	0.0	0.0	11.77	0.0	4.94	0.0	0.0	0.0	0.0	0.0	5.22	5.02	5.35
Pcdh10	56.28	32.41	2.8	26.66	15.01	0.0	37.0	1.81	32.33	26.52	85.62	6.81	34.59	45.43	2.41	14.56	9.64	56.12	58.1	33.99	35.79	42.78	59.15	0.0	3.33	18.36	96.09	89.16	95.98
Pigq	50.99	203.45	55.49	0.1	0.61	0.0	20.74	36.69	0.56	0.41	66.27	105.65	0.0	39.71	31.11	65.49	15.22	0.99	115.41	23.9	70.8	50.99	138.27	0.0	70.4	0.43	79.81	85.55	87.13
Pmaip1	43.38	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.07	0.0	0.0	0.0	2.73	2.17	2.28
Pppde2	0.0	0.0	0.0	0.0	0.0	0.0	4.93	29.46	49.08	0.0	31.26	10.57	2.57	5.81	0.0	37.61	2.42	0.0	62.99	0.13	8.58	0.97	99.42	0.0	0.54	116.7	103.5	101.86	107.13
Prr5l	0.46	0.67	0.24	1.19	0.3	0.0	1.71	1.22	0.55	0.2	1.14	1.55	0.51	0.39	1.17	0.47	0.84	1.06	3.19	0.32	1.58	1.35	5.19	0.0	0.89	0.43	8.45	8.22	8.82
Pvalb	2658.58	2506.7	2781.07	2461.61	2914.72	0.0	2576.97	2481.2	2258.23	3332.67	2136.15	1553.08	2248.99	1915.25	1909.51	1763.04	1839.14	2567.22	1182.99	1830.01	1823.48	1749.01	3516.69	0.0	2759.1	3357.43	74.74	78.67	86.9
Rnf168	4.72	7.36	10.96	25.23	8.64	1.67	33.67	7.7	7.58	4.01	10.96	40.91	23.28	13.15	7.25	6.55	18.02	8.05	78.93	16.18	6.73	7.85	12.57	0.48	33.89	19.7	25.77	25.2	23.82
Sap30l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.47	2.48	1.64	17.94	0.0	0.0	0.0	0.0	0.0	0.0	14.77	0.0	0.0	0.0	33.93	0.0	0.0	0.0	33.22	36.33	35.75
Sec16a	2.63	1.43	0.21	15.94	0.64	0.0	0.0	6.69	5.48	7.85	3.73	14.38	0.05	0.24	0.0	0.0	20.07	0.0	16.01	0.6	8.05	1.27	18.87	0.0	0.0	0.15	24.56	22.49	24.35
Sgsm2	0.31	0.53	0.0	0.0	0.65	0.0	3.45	0.0	0.0	0.0	1.95	0.0	0.82	23.71	0.54	0.0	5.14	0.14	36.7	6.67	0.68	0.0	0.65	0.0	0.08	38.5	63.85	61.07	67.41
Shank1	5.62	2.14	10.3	6.31	3.75	0.0	3.54	6.21	6.64	5.45	17.66	7.43	3.43	6.65	2.86	4.44	3.77	21.52	11.05	6.61	15.3	7.65	7.43	1.27	2.76	4.96	148.7	139.9	181.16
Snrnp70	53.17	6.28	13.76	17.01	21.74	0.0	9.1	50.36	20.89	11.16	44.04	42.16	13.62	56.37	3.23	11.41	23.06	13.55	23.29	26.79	16.6	8.33	52.93	0.0	5.12	18.02	247.69	260.7	259.94
Ubn1	0.51	0.0	0.0	14.21	0.0	0.0	3.38	1.0	0.0	0.0	20.24	4.51	4.16	0.0	0.11	5.95	0.36	0.3	38.5	2.71	3.72	10.52	25.81	0.0	0.0	0.0	27.68	26.73	27.37
