	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_22	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tac4	0.0	0.0	0.08	0.0	0.08
Tas1r2	0.0	0.0	0.03	0.0	0.03
Tas2r137	0.0	0.0	0.1	0.1	0.1
Tcstv1	0.0	0.0	0.12	0.0	0.12
Tekt1	0.0	0.0	1.78	1.88	2.28
Thra	0.0	0.0	506.35	556.82	538.05
Ttc39d	0.0	0.0	0.05	0.05	0.05
Ube2t	0.0	0.0	1.87	1.85	2.05
Upp1	0.0	0.0	1.52	1.13	2.23
Usp19	12.99	18.31	83.97	82.11	83.33
Usp26	0.0	0.0	0.02	0.0	0.02
Vax2os2	0.0	0.0	0.07	0.07	0.07
Vmn1r210	0.0	0.0	0.11	0.0	0.11
Vmn2r11	0.0	0.0	0.04	0.0	0.04
Wfdc12	0.0	0.0	0.14	0.0	0.14
Zfp493	0.81	0.0	2.24	1.89	2.04
Zfp768	8.64	0.0	10.0	11.49	11.46
Zp3r	0.0	0.0	0.05	0.05	0.05
mt_AK131586	2055.97	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	18796.57	17507.83	18655.33
